module,category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
2,Human Diseases,Endocrine and metabolic disease,hsa04933,AGE-RAGE signaling pathway in diabetic complications,7/128,101/9512,0.06930693069306931,5.1503712871287135,4.89726749282658,4.086872931686495e-4,0.03296344967154075,0.0269714205627379,5054/7424/7040/2335/4087/5601/4772,7
2,Cellular Processes,Transport and catabolism,hsa04142,Lysosome,8/128,133/9512,0.06015037593984962,4.469924812030075,4.706430968420013,4.145478530732496e-4,0.03296344967154075,0.0269714205627379,2990/3920/967/2717/6272/51172/3482/8906,8
2,Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,10/128,204/9512,0.049019607843137254,3.642769607843137,4.456257480662729,4.1550566812866496e-4,0.03296344967154075,0.0269714205627379,1839/967/3678/2064/7040/1026/7430/3791/2335/4087,10
2,Organismal Systems,Digestive system,hsa04979,Cholesterol metabolism,5/128,51/9512,0.09803921568627451,7.285539215686274,5.256336779986385,5.838398629609945e-4,0.034738471846179175,0.02842378280204842,4023/255738/6272/948/26119,5
2,NA,NA,hsa04517,IgSF CAM signaling,12/128,302/9512,0.039735099337748346,2.952814569536424,4.027715061921757,7.444117324814293e-4,0.035433998466116036,0.0289928780019083,3678/50848/8829/7430/25/3791/4627/3635/382/5601/9788/92154,12
