module,category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
5,NA,NA,hsa04518,Integrin signaling,13/308,154/9512,0.08441558441558442,2.607016360263114,3.677809939809444,0.0014527340720981346,0.006977886608602515,0.004437168779316132,2243/5155/1950/3655/5154/8440/208/3910/2324/6714/10000/1280/7423,13
5,Organismal Systems,Endocrine system,hsa04910,Insulin signaling pathway,12/308,138/9512,0.08695652173913043,2.685488424618859,3.64840453572154,0.0017028539093510563,0.008047357990965476,0.005117235007727284,2997/5604/1399/208/1977/5573/10000/5770/5501/3636/1978/2308,12
5,Human Diseases,Infectious disease: parasitic,hsa05146,Amoebiasis,10/308,103/9512,0.0970873786407767,2.9983608624385325,3.7301039746589106,0.0018003985958425853,0.0083732823584425,0.005324487075424187,3553/5269/929/836/3910/2921/732/5330/4790/7124,10
5,Human Diseases,Cancer: specific types,hsa05219,Bladder cancer,6/308,41/9512,0.14634146341463414,4.51948051948052,4.131166699544338,0.0018972001895961501,0.008578546834617336,0.005455012716821515,4318/1950/5604/6714/4312/1890,6
5,NA,NA,hsa04517,IgSF CAM signaling,20/308,302/9512,0.06622516556291391,2.0452395286832377,3.3766778259701624,0.0019030905947103308,0.008578546834617336,0.005455012716821515,2243/8832/351/10666/4067/91584/9046/5604/8440/208/5777/83700/6714/10000/1796/10451/10298/2308/4133/28964,20
5,Cellular Processes,Cell growth and death,hsa04217,Necroptosis,13/308,159/9512,0.08176100628930817,2.525034713713959,3.547341245415681,0.0019379270193312867,0.008603221464607076,0.0054707030689256425,3553/637/834/9525/8772/5119/5321/6773/5610/6777/581/841/7124,13
5,Organismal Systems,Immune system,hsa04622,RIG-I-like receptor signaling pathway,8/308,72/9512,0.1111111111111111,3.4314574314574315,3.7883235672073385,0.0021802417396369813,0.009534489995725905,0.006062887477073775,8772/841/4790/843/7706/7124/57506/64343,8
5,Human Diseases,Cancer: specific types,hsa05223,Non-small cell lung cancer,8/308,73/9512,0.1095890410958904,3.3844511652730827,3.7409940150500636,0.0023813308790260673,0.010260734522862318,0.006524699157703002,1950/5604/208/2272/6777/581/10000/6789,8
5,Organismal Systems,Aging,hsa04211,Longevity regulating pathway,9/308,90/9512,0.1,3.0883116883116886,3.641205315892536,0.0024615449939192767,0.01045264758287461,0.006646734766189352,6794/208/1977/581/10000/4790/1978/2308/84335,9
5,Human Diseases,Drug resistance: antineoplastic,hsa01524,Platinum drug resistance,8/308,75/9512,0.10666666666666667,3.2941991341991343,3.6487567363276723,0.0028269649961860563,0.011832867769750208,0.007524403072555369,637/8772/598/208/836/581/10000/841,8
5,Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,10/308,110/9512,0.09090909090909091,2.8075560802833532,3.488013391202108,0.0029352031615227305,0.012112880652481128,0.007702460483165654,1950/284/5604/2023/208/1977/2026/10000/4790/1978,10
5,Environmental Information Processing,Signal transduction,hsa04370,VEGF signaling pathway,7/308,60/9512,0.11666666666666667,3.603030303030303,3.6999268405550416,0.003090184093053465,0.012575332489787018,0.007996529012726072,5321/5604/5534/208/6714/10000/9261,7
5,Genetic Information Processing,"Folding, sorting and degradation",hsa04130,SNARE interactions in vesicular transport,5/308,33/9512,0.15151515151515152,4.679260133805588,3.8729005677938804,0.0038813479009214614,0.015578560753013535,0.009906252032633003,8417/9482/8773/8673/143187,5
5,Cellular Processes,Cell growth and death,hsa04218,Cellular senescence,12/308,157/9512,0.07643312101910828,2.3604930101745385,3.144302993839073,0.004940260856251609,0.019299952411756284,0.012272648021846102,5604/5534/208/6237/5608/10000/3708/5501/4790/9261/1978/2308,12
5,Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,12/308,157/9512,0.07643312101910828,2.3604930101745385,3.144302993839073,0.004940260856251609,0.019299952411756284,0.012272648021846102,3553/637/4713/208/836/840/581/1329/10000/841/4790/7124,12
5,Organismal Systems,Endocrine system,hsa04915,Estrogen signaling pathway,11/308,139/9512,0.07913669064748201,2.4439876670092495,3.1371242487278477,0.005402186609245683,0.020826851006697174,0.013243587670865456,4318/3303/5604/208/9166/6714/2289/10000/5330/3708/2288,11
5,Human Diseases,Cancer: specific types,hsa05221,Acute myeloid leukemia,7/308,68/9512,0.10294117647058823,3.179144385026738,3.2988503746604434,0.006229889803407843,0.023705944316863608,0.015074374507220618,929/5604/208/6777/10000/4790/1978,7
5,Human Diseases,Cardiovascular disease,hsa05418,Fluid shear stress and atherosclerosis,11/308,142/9512,0.07746478873239436,2.3923541247484907,3.057906672331164,0.006330172920558438,0.023778726483636183,0.015120655964086958,4318/3553/6385/5155/5154/208/5608/6714/10000/4790/7124,11
5,Human Diseases,Cancer: specific types,hsa05210,Colorectal cancer,8/308,87/9512,0.09195402298850575,2.8398268398268396,3.1535232779633824,0.007018432966358612,0.026030390622064217,0.01655246682272451,2069/1950/5604/208/836/581/10000/8312,8
5,Human Diseases,Cancer: specific types,hsa05215,Prostate cancer,9/308,106/9512,0.08490566037735849,2.622151433472188,3.072146940941233,0.0073094830742320175,0.026770981759374764,0.017023401370250883,4318/5155/1950/5154/5604/208/10000/4790/2308,9
5,Environmental Information Processing,Signal transduction,hsa04022,cGMP-PKG signaling pathway,12/308,166/9512,0.07228915662650602,2.2325144734783287,2.9304433329335016,0.007640520623531542,0.02763793262586101,0.017574686814361053,4659/5604/5534/208/7408/10000/5330/5592/3708/5501/8654/10105,12
5,Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,8/308,89/9512,0.0898876404494382,2.7760105063475846,3.0792580287308913,0.008026269122385864,0.028679229912915345,0.018236837415433863,2814/6385/3655/51206/2811/3910/2812/1280,8
5,Environmental Information Processing,Signal transduction,hsa04630,JAK-STAT signaling pathway,12/308,168/9512,0.07142857142857142,2.2059369202226344,2.884781747442767,0.008374197274939292,0.029561925319966414,0.01879813465649023,5155/1950/5154/6773/598/208/3574/6777/5777/10000/3559/1489,12
5,Human Diseases,Endocrine and metabolic disease,hsa04931,Insulin resistance,9/308,109/9512,0.08256880733944955,2.5499821279637795,2.9771921525324108,0.008727216330752775,0.03044136172512575,0.01935735953061706,2997/208/10000/5770/5501/4790/10724/2308/7124,9
5,Human Diseases,Cancer: specific types,hsa05218,Melanoma,7/308,73/9512,0.0958904109589041,2.9613947696139475,3.07725576482332,0.009134377092456594,0.031486735153997435,0.020022102109781018,5155/1950/5154/5604/208/581/10000,7
5,Cellular Processes,Cellular community - eukaryotes,hsa04540,Gap junction,8/308,92/9512,0.08695652173913043,2.685488424618859,2.9716275814435473,0.009736888022572967,0.033173351053649755,0.02109460440630863,5155/1950/5154/5604/6714/5330/5592/3708,8
5,Human Diseases,Infectious disease: viral,hsa05171,Coronavirus disease - COVID-19,15/308,238/9512,0.06302521008403361,1.946414929608207,2.704809352708937,0.010494689541752882,0.03534418431877695,0.022475015715550637,2243/3553/717/834/51135/6773/5610/727/4312/732/4790/715/3654/7124/57506,15
5,Human Diseases,Cancer: specific types,hsa05214,Glioma,7/308,76/9512,0.09210526315789473,2.8444976076555024,2.9531878324436662,0.011294257793565599,0.03760474469903091,0.023912483605994156,5155/1950/5154/5604/208/581/10000,7
5,Organismal Systems,Circulatory system,hsa04270,Vascular smooth muscle contraction,10/308,134/9512,0.07462686567164178,2.304710215157976,2.7823482796970236,0.011600593197026336,0.03810883335817197,0.024233028576958648,4659/5321/5604/9138/5330/5592/3708/5501/23365/94274,10
5,Human Diseases,Cancer: specific types,hsa05213,Endometrial cancer,6/308,59/9512,0.1016949152542373,3.1406559542152763,3.0170895049796513,0.011711016417739969,0.03810883335817197,0.024233028576958648,1950/5604/208/581/10000/8312,6
5,Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,19/308,333/9512,0.057057057057057055,1.762099762099762,2.589622155228394,0.011835849268237712,0.03810883335817197,0.024233028576958648,1950/3655/8772/6773/5604/208/836/3910/5610/581/10000/8312/841/4790/1978/2308/1280/9550/7124,19
5,Human Diseases,Cancer: specific types,hsa05212,Pancreatic cancer,7/308,77/9512,0.09090909090909091,2.8075560802833532,2.913173393341161,0.012090169817851193,0.03850456257206956,0.024484668853085367,1950/5604/598/208/581/10000/4790,7
5,Organismal Systems,Nervous system,hsa04730,Long-term depression,6/308,60/9512,0.1,3.0883116883116886,2.968309841815653,0.012668886676038488,0.039913804258916954,0.025380791642997315,4067/5321/5604/5330/5592/3708,6
5,Human Diseases,Neurodegenerative disease,hsa05022,Pathways of neurodegeneration - multiple diseases,25/308,483/9512,0.051759834368530024,1.5985050146540831,2.4695719092041974,0.01365754813121683,0.04257086811113331,0.027070392152579833,3553/637/351/627/11315/9246/8772/5604/4713/5534/598/836/840/27429/5608/581/1329/8312/5330/3708/841/4790/10105/6647/7124,25
5,Organismal Systems,Aging,hsa04213,Longevity regulating pathway - multiple species,6/308,62/9512,0.0967741935483871,2.9886887306242143,2.8737361903604297,0.014747119511656663,0.04548322123068844,0.028922328571337724,3303/208/10000/2308/84335/6647,6
5,Human Diseases,Drug resistance: antineoplastic,hsa01523,Antifolate resistance,4/308,30/9512,0.13333333333333333,4.1177489177489175,3.1286136307074344,0.015208039558300029,0.04641620406856155,0.029515603090121766,3553/4790/6470/7124,4
5,Metabolism,Metabolism of other amino acids,hsa00450,Selenocompound metabolism,3/308,17/9512,0.17647058823529413,5.44996180290298,3.359180985945236,0.016320934276147045,0.04929931693722767,0.031348945923798444,4141/7296/883,3
