module,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
3,GO:0032102,negative regulation of response to external stimulus,15/179,437/18986,0.034324942791762014,3.6407450494100204,5.44852560425301,1.7647546519578988e-5,5.602604883010549e-4,4.069890591551777e-4,APOA1/FURIN/ADIPOQ/LGALS9/HGF/RTN4R/TNFRSF1A/PLAT/NOS3/VSIG4/TNFRSF1B/HAVCR2/SIGLEC10/IL12B/DDT,15
3,GO:0008202,steroid metabolic process,13/179,334/18986,0.038922155688622756,4.128357809520624,5.627286206229988,1.7767654230850414e-5,5.602604883010549e-4,4.069890591551777e-4,APOA1/CES1/LEP/ADM/APOF/APOA2/NPC2/HSD11B1/LEPR/SERPINA6/PON1/GAL/KIT,13
3,GO:0034367,protein-containing complex remodeling,5/179,35/18986,0.14285714285714285,15.15243415802075,8.175628584028395,1.8180134022436207e-5,5.671028903127682e-4,4.1195957343426474e-4,PLTP/APOA1/FURIN/LPL/APOA2,5
3,GO:1902105,regulation of leukocyte differentiation,13/179,337/18986,0.03857566765578635,4.091606849791954,5.5865474360082015,1.9517229756238845e-5,5.980449814175042e-4,4.3443678325000214e-4,ADIPOQ/LGALS9/CD4/KITLG/LILRB4/TNFRSF11A/CSF1/CD74/CD27/IL7R/CD80/LAG3/IL12B,13
3,GO:0001818,negative regulation of cytokine production,14/179,388/18986,0.03608247422680412,3.8271612048609107,5.489153399877601,1.9584375468687657e-5,5.980449814175042e-4,4.3443678325000214e-4,APOA1/FURIN/ADIPOQ/LGALS9/HGF/APOD/APOA2/CLEC4A/LILRB4/VSIG4/HAVCR2/SIGLEC1/LAG3/IL12B,14
3,GO:0032373,positive regulation of sterol transport,5/179,36/18986,0.1388888888888889,14.73153320918684,8.045216372426676,2.0952004864767204e-5,6.241292279512884e-4,4.5338511742175276e-4,PLTP/APOA1/CES1/ADIPOQ/PON1,5
3,GO:0032376,positive regulation of cholesterol transport,5/179,36/18986,0.1388888888888889,14.73153320918684,8.045216372426676,2.0952004864767204e-5,6.241292279512884e-4,4.5338511742175276e-4,PLTP/APOA1/CES1/ADIPOQ/PON1,5
3,GO:0006957,"complement activation, alternative pathway",4/179,18/18986,0.2222222222222222,23.570453134698948,9.34625905196233,2.108399322275983e-5,6.241292279512884e-4,4.5338511742175276e-4,CFH/CFB/C3/VSIG4,4
3,GO:0030301,cholesterol transport,8/179,123/18986,0.06504065040650407,6.89866921015579,6.402849141513703,2.185852117437633e-5,6.405209083521792e-4,4.6529249751304006e-4,PLTP/APOA1/CES1/FURIN/ADIPOQ/APOA2/NPC2/PON1,8
3,GO:0043434,response to peptide hormone,15/179,446/18986,0.033632286995515695,3.567277099982464,5.352508496173856,2.237206198996003e-5,6.490135183287404e-4,4.714617695147366e-4,RARRES2/ADIPOQ/GCG/LEP/IGFBP1/ADM/OXT/BAIAP2/GDF15/TNFRSF11A/MZB1/GIP/GAL/RETN/AREG,15
3,GO:0042742,defense response to bacterium,13/179,342/18986,0.038011695906432746,4.0317880361985035,5.519686280869671,2.2770482153681462e-5,6.540313735428705e-4,4.751068814139686e-4,RARRES2/COLEC12/CD4/ADM/TNFRSF1A/RNASE1/LGALS4/RNASE6/BPIFA2/HAVCR2/IL7R/SPON2/IL12B,13
3,GO:0097006,regulation of plasma lipoprotein particle levels,7/179,91/18986,0.07692307692307693,8.1590030081650191,6.67839107336001,2.4468119748157367e-5,6.959021116608287e-4,5.055229694098147e-4,PLTP/APOA1/FURIN/ADIPOQ/LPL/APOA2/HMOX1,7
