metric,value
samples,10159
proteins,2919
metabolites,249
pairwise_tests,726831
sig_edges_q<=0.05,498829
sig_edges_q<=0.05_|r|>=0.1,161128
sig_edges_spearman,519028
pearson_spearman_overlap,482975
CCA_k1_correlation,0.9735004970267714
CCA_k1_perm_p,0.00497512437810945
network_edges,27229
network_nodes,1456
network_modules,5
network_modularity,0.26431790695100876
F_sig_edges,169605
M_sig_edges,147521
sex_diff_edges,8361
