component,side,name,weight,abs_w,rank
2,proteins,HPCAL1,0.40810822647732115,0.40810822647732115,1
2,proteins,FXN,0.24974559879871852,0.24974559879871852,2
2,proteins,PCSK9,-0.23557854004979964,0.23557854004979964,3
2,proteins,CASP3,-0.20079960717676304,0.20079960717676304,4
2,proteins,PRDX5,-0.19368205752858342,0.19368205752858342,5
2,proteins,CD79B,0.19044829932217724,0.19044829932217724,6
2,proteins,HGF,0.166936036123763,0.166936036123763,7
2,proteins,DAB2,-0.15994260488418532,0.15994260488418532,8
2,proteins,LTBP2,0.15754270655518868,0.15754270655518868,9
2,proteins,HS6ST1,-0.15284089160011324,0.15284089160011324,10
2,proteins,GALNT2,-0.1509852148252816,0.1509852148252816,11
2,proteins,PTPRS,0.14758016581158784,0.14758016581158784,12
2,proteins,FAP,-0.1417125243394083,0.1417125243394083,13
2,proteins,NPY,-0.14146643467754536,0.14146643467754536,14
2,proteins,ITGAV,-0.13557671246137745,0.13557671246137745,15
2,proteins,ENG,-0.12317753507306776,0.12317753507306776,16
2,proteins,ST6GAL1,0.11853614822894991,0.11853614822894991,17
2,proteins,HYOU1,-0.11525897011468882,0.11525897011468882,18
2,proteins,AGRP,-0.10915635145813482,0.10915635145813482,19
2,proteins,ANGPTL7,-0.10210617962517521,0.10210617962517521,20
2,proteins,ADM,-0.10154479813230582,0.10154479813230582,21
2,proteins,ESAM,-0.10090994239969713,0.10090994239969713,22
2,proteins,TRIAP1,0.09965040858429551,0.09965040858429551,23
2,proteins,DKK3,-0.09760516141086749,0.09760516141086749,24
2,proteins,CLMP,-0.09436617544327423,0.09436617544327423,25
