component,side,name,weight,abs_w,rank
8,proteins,LAT,-0.3824662288093501,0.3824662288093501,1
8,proteins,PCSK9,0.37576409893615037,0.37576409893615037,2
8,proteins,SERPINE1,0.35345193443022344,0.35345193443022344,3
8,proteins,EGFR,-0.2970993052244288,0.2970993052244288,4
8,proteins,TNFSF10,0.29454200077163556,0.29454200077163556,5
8,proteins,ST6GAL1,-0.2623308895974671,0.2623308895974671,6
8,proteins,GALNT2,0.24832318168920522,0.24832318168920522,7
8,proteins,NCS1,-0.2461565630526174,0.2461565630526174,8
8,proteins,HPCAL1,0.21318872640388128,0.21318872640388128,9
8,proteins,AGRP,-0.2063411279284653,0.2063411279284653,10
8,proteins,EIF4G1,-0.18264922614523144,0.18264922614523144,11
8,proteins,ENG,0.1758093494841926,0.1758093494841926,12
8,proteins,GPC1,0.15808540562872275,0.15808540562872275,13
8,proteins,COL6A3,0.14760968412749872,0.14760968412749872,14
8,proteins,SERPINA11,0.14569598964927302,0.14569598964927302,15
8,proteins,FABP4,0.14502269542122437,0.14502269542122437,16
8,proteins,GDF15,-0.1439686351918039,0.1439686351918039,17
8,proteins,HSPB6,-0.13975354232268117,0.13975354232268117,18
8,proteins,ICAM2,-0.13678815355135593,0.13678815355135593,19
8,proteins,HBQ1,0.13379882249878108,0.13379882249878108,20
8,proteins,CA4,-0.1279853868143817,0.1279853868143817,21
8,proteins,CLSTN2,0.1263903199228771,0.1263903199228771,22
8,proteins,CD79B,-0.1259763368751295,0.1259763368751295,23
8,proteins,PGF,0.12265699579338138,0.12265699579338138,24
8,proteins,DFFA,-0.12226562204236277,0.12226562204236277,25
