component,side,name,weight,abs_w,rank
10,proteins,NPY,-0.36431839169384017,0.36431839169384017,1
10,proteins,SERPINE1,0.3246460306824089,0.3246460306824089,2
10,proteins,DKK3,-0.2441990613096119,0.2441990613096119,3
10,proteins,NCS1,0.21923421267643903,0.21923421267643903,4
10,proteins,IGFBP7,0.21674596510841287,0.21674596510841287,5
10,proteins,EIF4G1,-0.21528569007338536,0.21528569007338536,6
10,proteins,ADM,0.214711399889864,0.214711399889864,7
10,proteins,NUDC,0.2065394321353475,0.2065394321353475,8
10,proteins,PDGFA,-0.19437670086563455,0.19437670086563455,9
10,proteins,MERTK,-0.19250035514334796,0.19250035514334796,10
10,proteins,TNFSF10,0.190299822254176,0.190299822254176,11
10,proteins,ANGPTL7,0.18824294971653732,0.18824294971653732,12
10,proteins,TNFRSF11A,-0.18490293725633153,0.18490293725633153,13
10,proteins,CASP3,0.18366707189686796,0.18366707189686796,14
10,proteins,CD244,0.1807827586938612,0.1807827586938612,15
10,proteins,PRTG,0.17845054725153248,0.17845054725153248,16
10,proteins,ESAM,0.17244786157784397,0.17244786157784397,17
10,proteins,FXN,-0.16574916516652927,0.16574916516652927,18
10,proteins,CLSTN2,0.1606737264561442,0.1606737264561442,19
10,proteins,TGFBR3,0.15827106573098612,0.15827106573098612,20
10,proteins,ST6GAL1,0.1520149213609509,0.1520149213609509,21
10,proteins,CD40LG,-0.14707293471047947,0.14707293471047947,22
10,proteins,CD79B,-0.1448715826341699,0.1448715826341699,23
10,proteins,GDF15,-0.14365511965507824,0.14365511965507824,24
10,proteins,GALNT2,-0.1418022008939863,0.1418022008939863,25
