component,side,name,weight,abs_w,rank
8,metabolites,fid_23557,-3.786406587730201,3.786406587730201,1
8,metabolites,fid_23574,-3.348063624839696,3.348063624839696,2
8,metabolites,fid_23495,-2.6632753000436833,2.6632753000436833,3
8,metabolites,fid_23535,-2.150252280753405,2.150252280753405,4
8,metabolites,fid_23434,2.08022468575559,2.08022468575559,5
8,metabolites,fid_23560,1.9154250353668618,1.9154250353668618,6
8,metabolites,fid_23433,-1.9074787047849493,1.9074787047849493,7
8,metabolites,fid_23532,1.886449147159436,1.886449147159436,8
8,metabolites,fid_23573,-1.7859658604309896,1.7859658604309896,9
8,metabolites,fid_23550,1.7448118218336153,1.7448118218336153,10
8,metabolites,fid_23514,1.7304689977561134,1.7304689977561134,11
8,metabolites,fid_23572,1.72094150599557,1.72094150599557,12
8,metabolites,fid_23499,1.6668901139480252,1.6668901139480252,13
8,metabolites,fid_23578,1.6341261779490133,1.6341261779490133,14
8,metabolites,fid_23564,1.60562738252427,1.60562738252427,15
8,metabolites,fid_23488,1.5890018456488468,1.5890018456488468,16
8,metabolites,fid_23430,1.4238140248600124,1.4238140248600124,17
8,metabolites,fid_23563,-1.3990874536704636,1.3990874536704636,18
8,metabolites,fid_23427,1.3658881959287692,1.3658881959287692,19
8,metabolites,fid_23490,1.3216603489563743,1.3216603489563743,20
8,metabolites,fid_23436,-1.3174676414283113,1.3174676414283113,21
8,metabolites,fid_23539,-1.2752978896623202,1.2752978896623202,22
8,metabolites,fid_23485,-1.1678560099135515,1.1678560099135515,23
8,metabolites,fid_23541,-1.1576634326854331,1.1576634326854331,24
8,metabolites,fid_23542,1.1047181061601783,1.1047181061601783,25
