component,side,name,weight,abs_w,rank
3,proteins,HPCAL1,-0.375575464485949,0.375575464485949,1
3,proteins,PCSK9,0.25926120640537037,0.25926120640537037,2
3,proteins,CD40LG,0.2543264527291178,0.2543264527291178,3
3,proteins,CLMP,0.23261748712950497,0.23261748712950497,4
3,proteins,DCTN1,-0.2233911048275055,0.2233911048275055,5
3,proteins,EIF4G1,0.21645671875504877,0.21645671875504877,6
3,proteins,HYOU1,0.2022995518230225,0.2022995518230225,7
3,proteins,NCS1,-0.19385098102888557,0.19385098102888557,8
3,proteins,NOTCH3,0.17856481071389402,0.17856481071389402,9
3,proteins,DAB2,-0.17652927870161533,0.17652927870161533,10
3,proteins,NPY,-0.16801756432485426,0.16801756432485426,11
3,proteins,DFFA,0.16604004110463055,0.16604004110463055,12
3,proteins,PRDX5,0.16365648925349577,0.16365648925349577,13
3,proteins,AGRP,-0.16079453090204157,0.16079453090204157,14
3,proteins,TRIAP1,0.15862035882867584,0.15862035882867584,15
3,proteins,RTN4R,-0.14284001620270306,0.14284001620270306,16
3,proteins,CASP3,0.14282682321300638,0.14282682321300638,17
3,proteins,NOTCH1,-0.13675560174786483,0.13675560174786483,18
3,proteins,EGFR,0.1343405654031118,0.1343405654031118,19
3,proteins,PTPRS,-0.13282854212751094,0.13282854212751094,20
3,proteins,CPB1,-0.1297730147556545,0.1297730147556545,21
3,proteins,PPP1R9B,-0.12919079689754723,0.12919079689754723,22
3,proteins,GALNT2,-0.12759910728848564,0.12759910728848564,23
3,proteins,SMOC1,-0.12426522352711235,0.12426522352711235,24
3,proteins,HGF,0.12373250050589296,0.12373250050589296,25
