component,side,name,weight,abs_w,rank
5,metabolites,fid_23557,2.1381203731320406,2.1381203731320406,1
5,metabolites,fid_23436,1.9150339326488548,1.9150339326488548,2
5,metabolites,fid_23499,-1.9133879139115986,1.9133879139115986,3
5,metabolites,fid_23481,-1.7566928653799179,1.7566928653799179,4
5,metabolites,fid_23514,1.6236076469397556,1.6236076469397556,5
5,metabolites,fid_23556,-1.4972360507627847,1.4972360507627847,6
5,metabolites,fid_23419,1.4946703166292217,1.4946703166292217,7
5,metabolites,fid_23522,-1.493181137378599,1.493181137378599,8
5,metabolites,fid_23576,-1.2749069694325459,1.2749069694325459,9
5,metabolites,fid_23539,-1.2270550297796325,1.2270550297796325,10
5,metabolites,fid_23509,-1.2075443339690097,1.2075443339690097,11
5,metabolites,fid_23574,1.1079114778060493,1.1079114778060493,12
5,metabolites,fid_23437,-1.0975207893655596,1.0975207893655596,13
5,metabolites,fid_23495,1.0964238400231903,1.0964238400231903,14
5,metabolites,fid_23497,0.9855160688985685,0.9855160688985685,15
5,metabolites,fid_23565,-0.9639151930140949,0.9639151930140949,16
5,metabolites,fid_23532,0.9501451642060658,0.9501451642060658,17
5,metabolites,fid_23564,-0.9288037748424443,0.9288037748424443,18
5,metabolites,fid_23575,-0.9179468340281473,0.9179468340281473,19
5,metabolites,fid_23483,-0.9048355771724824,0.9048355771724824,20
5,metabolites,fid_23569,0.903283141142363,0.903283141142363,21
5,metabolites,fid_23512,0.8264617900333523,0.8264617900333523,22
5,metabolites,fid_23535,0.8122543867972754,0.8122543867972754,23
5,metabolites,fid_23558,-0.8108999913034642,0.8108999913034642,24
5,metabolites,fid_23530,-0.8025458202606207,0.8025458202606207,25
