section,content
Proteins,AARSD1; ACP1; ACYP1; ADA; ADD1; AHSP; AK1; ALDH1A1; AMPD3; ANKRD54; ANXA1; APBB1IP; APEX1; ARG1; ATG4A; ATXN3; AZU1; BAP18; BLNK; BLVRB; BOLA1; BOLA2_BOLA2B; BCL2L15; C9ORF40; CA1; CA2; CA3; C7ORF50; CAPG; CARHSP1; CAT; CCS; CD2AP; CDA; CEACAM8; CENPF; CHAC2; CASP1; CIT; CPPED1; CCL2; CSTB; CWC15; CXCL8; CLNS1A; DDI2; DDT; DDX58; DNAJB1; DNAJA4; DNAJB2; DNAJC9; DNPEP; DNPH1; BCL2; DPY30; DTYMK; CEBPB; EGLN1; EIF4EBP1; ELOA; ENTR1; CD6; EZR; ERI1; ARID4B; FEN1; FGR; FMNL1; FUS; GBP1; GCLM; GCHFR; GLO1; GLOD4; GLRX; GET3; GMPR; GSR; GIPC2; GNPDA1; HAGH; HBQ1; HDDC2; GPKOW; HDGF; HDGFL2; HIP1R; DHPS; HNRNPUL1; CLC; HSPA2; IGBP1; GIMAP7; IL18; IL16; IMPACT; INPP5D; KCTD5; LBR; HMBS; LMNB1; KIF1C; LHPP; LRCH4; KLF4; LPCAT2; LSP1; MAD1L1; LXN; MDH1; MMP8; LYAR; MMP9; MNDA; MRI1; MPO; NADK; MYL4; NAP1L4; NAMPT; NBN; NAPRT; NCF2; NEDD4L; NFYA; NMNAT1; MAEA; NPL; NPM1; NSFL1C; OLFM4; OGFR; OLR1; PAGR1; OSM; PARK7; PARP1; PAXX; PDCD5; PEBP1; PADI4; PIK3AP1; NEDD9; POLR2F; PPCDC; PKLR; PPME1; PRDX2; PRDX6; PQBP1; PSIP1; PSMD1; PSMD9; PSME1; PSME2; PSMG3; PSMG4; QDPR; PXN; RABGAP1L; RAB44; RANBP1; RASSF2; RBKS; RIDA; RILP; RBP7; RPE; RNASE3; S100A11; S100A12; SEPTIN8; SART1; SERPINB8; SF3B4; SH2D1A; SH3GLB2; SIT1; GIMAP8; RALY; RPL14; S100P; SKAP1; SMNDC1; MAPK13; SETMAR; SNCA; SNRPB2; SNX15; SLC4A1; SOD1; SRP14; SSNA1; ST13; STIP1; SWAP70; TALDO1; TBC1D17; RRM2; TCOF1; TGM2; THOP1; TCL1A; TOR1AIP1; TP53I3; TPK1; TDP1; TPR; TSNAX; TXN; UBAC1; UBXN1; UROD; WARS; TRAF3; UROS; YOD1; WDR46; ZBTB17; HBZ; LCP1; ZHX2
Top GO terms,hydrogen peroxide metabolic process; cellular oxidant detoxification; cellular detoxification; cellular response to toxic substance; nucleotide metabolic process; response to oxidative stress; positive regulation of ATP-dependent activity; positive regulation of inflammatory response; detoxification; regulation of inflammatory response; hydrogen peroxide catabolic process; cellular metabolic compound salvage; purine nucleotide metabolic process; nucleoside phosphate biosynthetic process; pyridine nucleotide metabolic process
Top KEGG pathways,Nucleotide metabolism; Biosynthesis of cofactors; Lipid and atherosclerosis; NOD-like receptor signaling pathway; Pyruvate metabolism; Thiamine metabolism; Glutathione metabolism; Nitrogen metabolism
Associated metabolites,Pyruvate; Glutamine
