section,content
Proteins,ACE; ACSL1; AKAP12; AIDA; AMFR; AMDHD2; APOB; ATP1B2; ADRA2A; ARHGAP30; ATP1B3; BABAM1; B3GAT3; BHMT2; BRD1; BRD2; C1GALT1C1; C1QTNF6; CACNA1C; CDAN1; CDH23; CCNE1; CEP164; ATP2B4; BCL7B; CACNB1; CLASP1; CLEC2L; ARID3A; ATF4; ATP1B4; CA7; CNTNAP4; CRTAP; COL3A1; CPTP; CREBZF; CCAR2; CDKL5; CYTH3; DCUN1D1; CD164L2; CHRM1; DDX1; CEBPA; DDX25; EIF1AX; DDA1; CLEC12A; CFC1; EDNRB; EP300; ESR1; FOLH1; CGA; CD3D; GGA1; GLP1R; GPHA2; CALY; GLI2; CTNNA1; ECSCR; GPR158; GLYR1; IGF2BP3; HDAC8; HSP90B1; BRME1; CNTF; CTLA4; GUK1; HMGCS1; HTR1B; IFNL2; IL13RA2; IKZF2; JUN; EVPL; ITIH1; ITPRIP; GABARAPL1; LRFN2; LRTM1; KDM3A; LYZL2; EPN1; MAPRE3; MORC3; MORF4L2; MKI67; NAGA; MYL6B; NCLN; ADAMTS1; CPOX; FGF20; INSR; KIAA1549L; MAP1LC3A; NENF; NME1; NUBP1; FSHB; KIAA2013; OGT; NUDT10; PAFAH1B3; MRPS16; PAIP2B; DCLRE1C; GAD1; GATA3; NINJ1; PGR; MNAT1; PCSK7; GAD2; LRIG3; PALLD; PLCB1; PLXDC1; NMRK2; PBK; PRAME; PNPT1; RAB37; MYO6; NLGN2; PRKAG3; PPM1B; PALM3; RBP1; INSL4; PROK1; PAEP; RLN1; RANGAP1; POLR2A; RANBP2; RBPMS; NPR1; NUP50; PROCR; MTHFD2; SAFB2; RPS10; DIPK1C; SAT1; C2CD2L; SCP2; SCN2B; RCOR1; RNF168; RNF31; EDEM2; MEGF11; NOS2; RYR1; SCGB2A2; SHC1; SLC16A1; SEMA6C; SIRT1; SATB1; SLC1A4; SNU13; SNX18; SLC12A2; RPA2; SMPD3; SPRING1; DYNC1H1; STX3; STAU1; SSBP1; ST8SIA1; ACRV1; TERF1; SOX9; REST; SPACA5_SPACA5B; SPTBN2; TJP3; TP73; STOML2; TTN; TUBB3; UBE2B; TSC1; TXNL1; MYH7B; TGFBR1; TLR1; TPSG1; UNC5D; ZBP1; SFTPA1; ZNF830; BRD3; CSF2; GAMT; GASK1A; HCG22; HIP1; IFNW1; ISM2; KRT6C; MYH4; NRXN3; OTOA; PSMC3; RBM19; RBM25; RCC1; RLN2; RTKN2; SCN3B; SOWAHA; SPINK8; SPRR1B; SSH3; TEX101; TLR4; TMED4; TRPV3; TSPAN15; TSPAN7; TXK; UGDH; UHRF2; USP28; VIPR1; VSTM2B; VWC2L; WASL; WFDC1; YY1
Top GO terms,gonad development; development of primary sexual characteristics; ovulation cycle process; female gonad development; development of primary female sexual characteristics; sex differentiation; female sex differentiation; reproductive structure development; reproductive system development; ovulation cycle; vascular process in circulatory system; rhythmic process; male gonad development; development of primary male sexual characteristics; regulation of miRNA metabolic process
Top KEGG pathways,cAMP signaling pathway; Relaxin signaling pathway; cGMP-PKG signaling pathway; Aldosterone synthesis and secretion; Thyroid hormone synthesis; Endocrine and other factor-regulated calcium reabsorption; Insulin secretion; Chagas disease
Associated metabolites,NA
