section,content
Proteins,AMY1A_AMY1B_AMY1C; AMY2A; AMY2B; CELA2A; CELA3A; CLPS; CPA1; CPA2; BPIFA2; CST1; CPB1; CTRB1; CTRC; CTRL; CUZD1; GP2; PLA2G1B; PNLIP; PNLIPRP1; PRSS2; SEMA3G; CST5; KIRREL2; SERPINI2
Top GO terms,digestion; positive regulation of lipase activity; leukotriene metabolic process; regulation of lipase activity; mucosal immune response; organ or tissue specific immune response
Top KEGG pathways,Pancreatic secretion; Protein digestion and absorption; Fat digestion and absorption; Salivary secretion; Starch and sucrose metabolism; Carbohydrate digestion and absorption; Glycerolipid metabolism
Associated metabolites,NA
