section,content
Proteins,AAMDC; ABHD14B; ABL1; ABRAXAS2; ACADSB; ACOT13; ACOX1; ACRBP; ADAMTS4; ADGRF5; AHCY; AHSA1; AIF1; AFAP1; AIFM1; AK2; AKR1B1; AKT1S1; AKT2; AKT3; ALDH5A1; AMOTL2; ANGPT1; ANKMY2; ANXA11; ANXA2; ANXA3; ANXA4; AP1G2; AP2B1; AP3B1; AP3S2; APP; APPL2; APRT; ARAF; ARF6; ARFIP1; ARHGAP1; ARHGAP25; ARHGAP45; ARHGEF1; ARHGEF10; ARHGEF12; ARG2; ARL13B; ARL2BP; ARSA; ARSB; ASAH1; ASPSCR1; ASRGL1; ATG16L1; ATOX1; ATP5IF1; ATP6V1F; ATP6V1G1; ATXN10; ATXN2L; AXIN1; AZI2; BACH1; BAG4; BAG6; BANK1; BAX; BCAT1; BCL2L1; BCL2L11; BCR; BDNF; BECN1; BGN; BID; BIN2; BIRC2; BLMH; BLOC1S3; BNIP2; BNIP3L; BRAP; BRDT; BRK1; BRSK2; BTC; BMP6; BTN3A2; C2ORF69; CA13; CABP2; CACNB3; CACYBP; CALCOCO1; CALCOCO2; CAMKK1; CAMLG; CAMSAP1; CASC3; CASP10; CASP2; CASP3; CASP7; CASP8; CASP9; CC2D1A; CCL13; CCDC134; CCL17; CCL28; CCL4; CCL5; CCL26; CCL8; CCN2; CCT5; CD164; CD226; CD36; CD40; CD40LG; CD63; CD69; CD84; CDC26; CDC27; CDC37; CDC42BPB; CDK5RAP3; CDKN1A; CDKN2D; CDNF; CEP170; CEP20; CEP43; CEP85; CERT; CETN2; CETN3; CHM; CHMP1A; CHMP6; CIAPIN1; CIRBP; CLEC1B; CLIP2; CLPP; CLTA; CMC1; CMIP; CNP; CNPY4; COCH; CNST; COL2A1; COMMD1; COMMD9; COMT; COPB2; CORO1A; COX5B; COX6B1; CPXM1; CRACR2A; CRADD; CRELD2; CRKL; CRYBB1; CRYGD; CRYM; CRYZL1; CSDE1; CSNK1D; CSNK2A1; CTF1; CXCL1; CXCL11; CXCL3; CXCL5; CXCL6; CYB5R2; DAAM1; DAB2; DAG1; DAPK2; DAPP1; DARS1; DBI; DBN1; DBNL; DCTD; DCTN1; DCTN2; DCTN6; DDHD2; DECR1; DENR; DFFA; DGKA; DGKZ; DHRS4L2; CXCL12; DIABLO; DKK1; DLG4; DMD; DNAJA2; DNAJB14; DNAJB6; DNAJB8; DNAJC21; DNAJC6; DNM1; DNM3; DNMBP; DOK1; DOK2; DPP7; DRG2; DTD1; DTNB; DUSP3; DUT; DXO; DYNLT1; DYNLT3; EBAG9; ECHS1; ECI2; EDAR; EDF1; EEF1D; EFCAB2; EGF; EHBP1; EHD3; EIF2AK2; EIF2AK3; EIF2S2; EIF4B; EIF4E; EIF4G1; EIF4G3; EIF5; ELAC1; ELOB; ENAH; ENO1; ENO2; ENOX2; ENSA; EPPK1; ERBIN; EREG; ERMAP; ERP29; ERP44; ESYT2; EVI5; F11R; F2R; FABP5; FADD; FAM13A; FAM172A; FARSA; FDX2; FES; FGD3; FGF2; FGFBP3; FHIT; FIS1; FKBP14; FKBP1B; FKBP4; FKBP5; FKBP7; FKBPL; FLI1; FNTA; FMR1; FOXJ3; FOXO1; FOXO3; FRMD4B; FUT8; FXN; FXYD5; FYB1; GADD45GIP1; GAPDH; GATD3; GBP2; GBP4; GCC1; GFER; GGACT; GGCT; GIGYF2; GIPC3; GIT1; GLB1; GLRX5; GMFG; GMPR2; GNAS; GNE; GNPDA2; GOLGA3; GOPC; GORASP2; GP1BA; GP1BB; GP5; GP6; GPC5; GPI; GRAP2; GRHPR; GRK5; GRSF1; GSTT2B; GTPBP2; GSTP1; GYS1; HARS1; HBEGF; HCLS1; HEXIM1; HGS; HHEX; HMGCL; HNRNPK; HPCAL1; HPSE; HS1BP3; HSBP1; HSD17B3; HSDL2; HSPA1A; HSPB1; HTRA2; ICA1; IFIT3; IFT20; IGHMBP2; IKBKG; IL1B; IL7; ILKAP; IMPA1; ING1; INPP1; INPPL1; IPCEF1; IQGAP2; IRAG2; IRAK1; IRAK4; IST1; ITGA6; ITGB1BP2; ITGB5; ITPA; ITPR1; JAM3; JPT2; KAZN; KIF22; KIFBP; KYAT1; L3HYPDH; LACTB2; LAMTOR5; LAP3; LARP1; ITGB1BP1; LAT; LAT2; LATS1; LDLRAP1; LETM1; LGALS8; LGMN; LONP1; LPP; LRPAP1; LRRC59; LRRFIP1; LSM1; LYN; LZTFL1; MAGED1; MANF; MAP2; MAP2K1; MAP2K6; LYSMD3; MAP3K5; MAP4K5; MAPK9; MAPKAPK2; MARS1; MAVS; MAX; MCEMP1; MCFD2; CGN; MDK; MDM1; MECR; MED18; MESD; METAP1D; METAP2; MGLL; MGMT; MICALL2; MIF; MINDY1; MINK1; MITD1; MMP1; MMUT; MOCS2; MPHOSPH8; MPI; MPIG6B; MRPL46; MRPL58; MSRA; MTDH; MTHFSD; MTIF3; MTSS1; MTSS2; MYCBP2; MYDGF; MYH9; MYO9B; MZT1; NAA10; NAA80; NACC1; NAGK; NARS1; NCK2; NDUFA5; NDUFB7; NECAP2; NEK7; NEXN; NFAT5; NFATC1; NFE2; NFKB1; NDUFS6; NFKBIE; NFU1; NID1; NFX1; NID2; NGRN; NIT1; NIT2; NMI; NMT1; NRGN; NT5C; NT5C3A; NUB1; NUCB2; NUDC; NUDT16; NUDT2; NUDT5; NUMB; OGA; OPHN1; OPLAH; OTUD6B; OTUD7B; OXCT1; P4HB; PACS2; PAFAH2; PAG1; PAK4; PARD3; PBLD; PCBP2; PCYT2; PDAP1; PDE5A; PDGFA; PDGFB; PDIA3; PDIA4; PDLIM5; PDLIM7; PDP1; PDZD2; PEAR1; PECAM1; PECR; PER3; PF4; PFDN2; PFKFB2; PGD; PHACTR2; PHLDB1; PHYKPL; PIBF1; PIKFYVE; PKD2; PKN3; PLA2G4A; PLCB2; PLEKHO1; PLIN3; PLPBP; PLSCR3; PLXNA4; PLXNB3; PMM2; PMVK; PNMA1; PPBP; PPIB; PPIF; PPM1A; PPM1F; PPP1CC; PPP1R12A; PPP1R14A; PPP1R2; PPP1R9B; PPP2R5A; PPP3R1; PRDX1; PRDX3; PRDX5; PRKAB1; PRKAR1A; PRKAR2A; PRKG1; PRKRA; PRTFDC1; PRKD2; PSRC1; PSTPIP2; PTEN; PTGES2; PTPN1; PTPN6; PTRHD1; PVALB; RAB10; RAB11FIP3; RAB27B; RAB2B; RAB33A; RABEP1; RABEPK; RAD23B; RAPGEF2; RBM17; RBPMS2; REEP4; REPS1; RFC4; RGCC; RGS10; RHOC; RILPL2; RNASEH2A; RNF41; RNF5; RP2; RRAS; C1QBP; RRM2B; RTN4IP1; RWDD1; S100A4; SAMD9L; SARG; SCAMP3; SCARF1; SCPEP1; SCRN1; SCRIB; SDC4; SDCCAG8; SDHB; SEC31A; SELP; SEMA4D; SEPTIN9; SERPINB1; SERPINB6; SERPINB9; SERPINE1; SERPINE2; SERPINH1; SESTD1; SH2B3; SH3BP1; SHMT1; SIAE; SIRT2; SKAP2; SLA2; SLC27A4; SLC9A3R1; SLMAP; SMAD1; SMAD2; SMAD3; SMARCA2; SMS; SMTN; SNAP23; SNAP25; SNAP29; SNAPIN; SNX2; SNX5; SNX9; SOD2; SORT1; SPAG1; SPARC; PDGFC; SPART; SPINT2; SPRED2; SPRY2; SPTLC1; SRC; SRPK2; STAM; STAMBP; STAT2; STAT5B; MTPN; STK11; STK24; STK4; STX16; STX4; STX6; STX7; STX8; STXBP1; STXBP3; SUGP1; SUGT1; SULT1A1; SUMF2; SUSD1; SV2A; SYAP1; SYTL4; TAB2; TACC3; TADA3; TANK; TARBP2; TARS1; TAX1BP1; TBC1D23; TBC1D5; TBCA; TBCB; TBCC; TBL1X; TDRKH; TGFB1; THPO; THTPA; TIA1; TIGAR; TIMM10; TIMM8A; TIMP3; TJAP1; TMCO5A; TMED8; TMEM106A; TMSB10; TNFAIP2; TNFAIP8; TNFAIP8L2; TNFSF12; TNFSF14; TNIP1; TOMM20; TOP2B; TP53; TPD52L2; ENOPH1; TPMT; TRAF2; TPP1; TRDMT1; TREML1; TRIAP1; TRIM21; TRIM24; TRIM25; TRIM40; TRIM5; TRIM58; TSC22D1; TSPYL1; TST; TTF2; TWF2; TXLNA; TXNDC5; TXNDC9; TXNRD1; TYMP; UBE2L6; UBE2Z; UFD1; UNC79; UNG; USO1; USP25; USP47; USP8; VAMP8; VASH1; VASP; VAV3; VEGFA; VEGFC; VPS28; VPS37A; VPS4B; VPS53; VSIR; VTA1; VTI1A; WAS; WASF1; WASF3; WASHC3; WWP2; XIAP; XRCC4; YARS1; YES1; YJU2; YTHDF3; YWHAQ; ZBTB16; ZFYVE19; RPGR; TYRP1; ZNRD2; ZNRF4
Top GO terms,wound healing; hemostasis; positive regulation of phosphorylation; platelet activation; positive regulation of protein phosphorylation; coagulation; blood coagulation; regulation of apoptotic signaling pathway; intrinsic apoptotic signaling pathway; negative regulation of phosphorus metabolic process; negative regulation of phosphate metabolic process; chemotaxis; taxis; leukocyte migration; regulation of body fluid levels
Top KEGG pathways,Lipid and atherosclerosis; Apoptosis - multiple species; Apoptosis; TNF signaling pathway; NF-kappa B signaling pathway; MAPK signaling pathway; Chemokine signaling pathway; Hepatitis B; Endocytosis; Kaposi sarcoma-associated herpesvirus infection; Measles; Platinum drug resistance; Toxoplasmosis; Pancreatic cancer; Yersinia infection
Associated metabolites,Lactate
