module_protein,category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
3,Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,99/661,298/9521,0.33221476510067116,4.785199362365341,18.132727248714495,6.7190095283915855e-43,2.0022648394606926e-40,1.563053795552148e-40,94/27302/6356/6358/6362/6367/6368/6348/6354/10850/6366/939/920/6359/6360/6370/652/1435/3627/6376/1436/284340/60401/58191/4283/2056/355/9518/2690/1442/10563/3459/3460/3588/6364/3593/3594/3601/8809/29949/3557/2658/3554/3559/3563/3597/7850/3572/3626/3575/9235/3566/3625/3569/1441/3952/163702/4055/3977/2660/356/4049/27189/3953/50616/9180/84957/3568/7048/8797/8795/8792/51330/23495/7124/8764/55504/7132/7133/27242/7293/115650/8771/943/4982/8743/3604/8741/3570/944/608/8794/3458/3600/55540/8808/8600/10673/6375,99
3,Organismal Systems,Immune system,hsa04610,Complement and coagulation cascades,53/661,88/9521,0.6022727272727273,8.675096272864806,19.756162678391828,2.319123806792024e-39,3.4554944721201157e-37,2.6975071647423016e-37,715/716/718/717/4179/1604/966/727/732/629/1675/3080/3075/81494/3426/1378/1380/712/1361/1191/2159/2155/2158/725/2160/2165/2243/2152/2147/3684/3689/735/2161/3818/5328/5329/5327/5340/5624/5627/5265/5104/462/3053/5345/7035/7056/710/11326/730/10877/5648/7450,53
3,Environmental Information Processing,Signaling molecules and interaction,hsa04514,Cell adhesion molecule (CAM) interaction,58/661,160/9521,0.3625,5.2214258698941,14.70822886341112,1.6066015996012947e-27,1.5958909222706194e-25,1.2458208895153902e-25,214/933/29126/940/920/947/80381/941/965/4267/83692/999/1001/1003/1000/1272/6900/942/925/26047/1525/90952/1002/3383/3384/23308/3385/3684/3685/3688/3689/58494/3695/3897/4684/5819/23114/4685/4897/100506658/5133/80380/3683/5792/5802/5788/5797/6614/6382/6401/84631/114798/84189/201633/7412/5817/6402/1462,58
3,Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,37/661,100/9521,0.37,5.329455370650529,11.887406341970102,2.7562418626693862e-18,2.0534001876886928e-16,1.602972241184038e-16,6356/6358/6362/6367/6368/6348/6354/10850/6366/6359/6360/6370/1435/3627/6376/1436/4283/10563/3588/6364/8809/29949/3559/3572/3569/4055/4049/8797/8795/7124/8764/7132/7133/8743/3570/8794/6375,37
3,NA,NA,hsa04518,Integrin signaling,46/661,154/9521,0.2987012987012987,4.302473623199796,11.285006170810323,3.962418492836493e-18,2.3616014217305497e-16,1.8435673408776105e-16,718/999/1101/1277/1293/1311/1956/2064/1282/1758/2243/2324/2335/3082/3383/3384/2321/3480/3385/22801/3678/3673/3684/3685/3688/3689/3695/3910/3791/3694/4233/5228/5156/3683/3912/1297/6696/7058/7060/3371/7412/7423/7143/7148/2277/7450,46
3,Organismal Systems,Immune system,hsa04640,Hematopoietic cell lineage,36/661,100/9521,0.36,5.185416036308623,11.491916851962529,2.2561894703979142e-17,1.120574103630964e-15,8.74768198171823e-16,290/933/952/929/920/947/1604/921/966/911/1378/925/1380/1435/1436/924/2208/2056/3554/3559/3563/7850/3678/3673/3684/3575/3566/3815/3569/1441/4311/4254/3568/7124/3570/7037,36
3,Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,69/661,362/9521,0.19060773480662985,2.745501124196555,9.248104566962098,4.606960420938316e-15,1.9612488649137403e-13,1.5310349669584481e-13,285/374/1101/1277/1293/1311/1435/1436/1942/1956/1945/1969/2064/1282/2065/2056/26291/2263/2324/2335/2690/1442/3082/8074/2321/3480/2066/3559/3563/22801/3678/3673/3575/3685/3688/3566/3695/3815/3910/3569/1441/3791/3694/4254/356/4233/4915/5228/5156/9180/4846/3912/5979/1297/7039/6696/7058/7060/7010/3570/3371/7423/4908/5623/9623/7143/7148/2277/7450,69
3,Environmental Information Processing,Signaling molecules and interaction,hsa04512,ECM-receptor interaction,28/661,89/9521,0.3146067415730337,4.531574563565589,9.142476030501205,3.911723278324812e-12,1.4571169211759923e-10,1.1374879533023466e-10,375790/1101/1277/1293/1311/1282/1758/2335/3339/22801/3678/3673/3685/3688/3695/3910/3694/56955/3912/1297/6382/6696/7058/7060/3371/7143/7148/7450,28
3,NA,NA,hsa04517,IgSF CAM signaling,54/661,302/9521,0.17880794701986755,2.575537766378455,7.599634836265497,6.84226911710732e-11,2.265551329886646e-9,1.7685865203283245e-9,10458/51744/940/962/941/999/1000/30835/1272/6900/79827/942/56253/26047/1525/90952/10332/2243/3383/3384/3385/3678/3684/3688/3689/58494/3791/3897/4063/4684/5819/23114/4685/81607/8829/4897/4916/8828/3683/5792/5802/5803/6091/6092/54538/6504/114836/84631/114798/84189/57823/201633/5817/10580,54
3,Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,18/661,50/9521,0.36,5.185416036308623,8.104534229060958,2.4564906871544268e-9,7.320342247720192e-8,5.714573072222404e-8,1378/1311/3082/3383/3689/3820/3569/4035/4233/3683/6382/6401/7058/7060/7124/22914/7412/3458,18
3,Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,24/661,95/9521,0.25263157894736843,3.638888446532367,7.0602724371495,1.848386954698239e-8,5.007448295455229e-7,3.90902887070154e-7,54/6348/940/941/942/1435/1514/51382/3383/2321/6364/3689/3569/3683/8792/7124/8741/7010/3458/3600/4314/5741/8600/10673,24
