name,wX_01,wX_02,wX_03,wX_04,wX_05
AARSD1,-0.038315381741105776,0.03933090459478266,0.0032577099570457978,0.0025192413305496304,-0.015287847685564376
ABHD14B,-0.0028738068341632233,-0.006721811552491112,0.008507592047353076,0.024488532594380587,0.024045960575315023
ABL1,-0.0027773620103457124,-0.0031064083091610854,-0.025300080112532992,0.010791041160039979,-0.006410893197762546
ACAA1,0.008164340378853083,0.002687204472526744,0.029550419934980848,0.003526795069953358,0.046807194860265404
ACAN,-0.01108444339838961,0.02026809784229657,-0.004796213440365956,0.009209581542157997,0.006729592590455831
ACE2,-0.02293551520230661,-0.039474449818699936,-0.009358233755606848,-0.004179731242390212,-0.01449950941809787
ACOX1,-0.007745149005450241,0.005657333411596512,0.003268067559266989,0.010276671016166536,-0.010437914892639755
ACP5,0.02131114642900573,0.007399528376236985,-0.009663164536541494,0.0026346401148199757,-0.0455010182634137
ACP6,-0.00811241802724759,0.0028665533678075956,-0.022412734382422105,0.002528170731416764,-0.00659088184921004
ACTA2,-0.008956056339973626,-0.00871660383230882,-0.003992001999632233,0.013626902226367664,0.001006473416884594
ACTN4,-0.01301432808559248,3.50392328081322e-4,0.007742785744723543,0.012841339983970142,0.003676497533597552
ACVRL1,0.007065330072486467,-0.02464869825246939,0.018377270519753065,8.496557902438336e-4,-0.030219167100727994
ACY1,-0.03904885329050431,-0.03391946491987486,0.013850480965527113,-0.010676964902207006,-0.0456089981277528
ADA,0.009561442982968469,0.0027769175858817162,0.003282328163013045,-0.010576742949383995,-0.012526646761865965
ADA2,-0.007214052162106032,-0.01317212847792813,0.012518130209361189,-0.005843041104093371,0.03167280713223391
ADAM15,-0.011735320918597839,0.0036601953926335513,-0.011386496209679766,-0.006412043034488465,-0.01915744894554836
ADAM22,0.012844111547118795,0.002576514819868783,-0.010751968466028076,-0.011725110736527301,8.687767104789336e-4
ADAM23,-1.6217439228911435e-5,-0.017631812103689994,-0.00398806414581224,0.02598740311721044,8.071703729979827e-5
ADAM8,0.00565519204644743,0.003076253021826837,0.005638731487872561,-0.02255915977974573,0.023684689660558502
ADAMTS13,0.009810389650927537,-0.0275582947277105,0.009751043529837524,0.017314517220808606,-0.01924584691402079
ADAMTS15,0.02789724211654387,1.5109843729783185e-4,-0.008443360165738621,0.013078657423488805,-0.013224402908627688
ADAMTS16,-0.0017057804721546596,0.006502132679905268,0.014553084189072859,0.006019886388279373,-0.005792640998759756
ADAMTS8,-0.011509100819935463,-0.01182312782294362,0.005858251066031969,-0.0163476230827976,0.017983875404731373
ADCYAP1R1,-0.012869542988150295,0.013976414062706024,0.01190126353128527,-0.010411237951516227,-0.02574899977275491
ADGRB3,-0.0038343487514268565,0.00937016026395366,0.0012970431275441774,-0.008854262014781008,-0.00507235066255894
ADGRE2,-0.002762911188428542,-0.037517910952480894,0.013875610046639434,-0.04616828205607821,-0.027492895365725353
ADGRE5,-0.018433321263806392,0.023002416386296017,-0.00111848056591289,0.01905935784011404,-0.004525655251651967
ADGRG1,0.009006962963913477,-0.012629494911065069,0.009076275824931267,-0.031229872015374506,-0.018082489900535344
ADGRG2,0.01939629160199332,-0.014895315151961274,-0.018772987452433765,6.264002152779721e-4,0.029681969929520814
ADH4,0.022326176298794412,-0.044850890615931886,0.04599376381740407,-0.0037339440817712615,-0.009123846263528614
ADM,-0.0029055496549460435,-0.023806573700727217,-0.011947528351412025,-0.046944784226763396,0.0174099289596514
AFP,0.007830416184417075,0.016648174793527714,-0.003703732218876444,0.03883223917325779,-0.01837522070543185
AGER,0.009824796448060455,-0.016429975446110877,0.01588596936034381,-6.476171676313018e-4,0.01729348467287482
AGR2,4.308822930565318e-4,-0.010862369272748959,-0.005179394467581598,0.01583708264427489,0.027235952239015346
AGR3,-0.008261144336495323,-0.004692553137534695,-0.011818681826076127,0.02046634518583234,0.02525892581212293
AGRN,-0.006833806075131776,0.022414507519333386,-0.009372300121244214,-0.02239839411143202,-0.006348995016439353
AGRP,0.005741534261690393,0.02950739669571096,0.03639237435775818,-0.002217396647808735,0.002470723676500587
AGXT,-0.037641413452323726,2.1347854274699648e-4,-0.004688023499443769,-0.015812570839093886,-0.03943869826648082
AHCY,0.026025864823410953,0.011559729540667097,-0.04263522537054692,0.043636503506607485,0.06204804307463357
AHSP,-0.025796055624230235,0.02828715962685751,0.0021179773156659665,-0.018682883524880088,0.08177301725488154
AIF1,0.012398127539390267,0.017569197395297487,-0.015846876907228594,0.006303977543582652,0.009743766600724145
AIFM1,0.03896514287647074,0.03960088210306798,0.030017028164080535,-0.013134802172845158,0.05003392849787887
AK1,0.024865874814558483,-5.102786624553102e-5,-0.05912399246364171,0.09499003632982096,0.11233259102766964
AKR1B1,0.008152368608367665,-0.006908602683205171,-0.006395831577284571,-0.009159131516953871,0.03259386140421848
AKR1C4,-7.64252211139422e-4,-0.003406245420382534,-0.010841524976187046,0.02028911829777384,-0.008928606948719187
AKT1S1,0.004837321586411278,-0.00484162124921748,0.021096746524670775,-0.029459435869057034,0.03569055104926196
AKT3,0.0186619325968167,-0.009135063865084711,-0.00647160335022545,-0.017063116173179876,0.02134163363142988
ALCAM,-0.008032967019191437,0.026734828116968853,0.030860955157796487,-0.030353790937747607,0.060340201699817256
ALDH1A1,-0.009058916581205606,-0.009213050532407922,0.02834289782808201,-0.024862952795428713,0.014835302493156195
ALDH3A1,-0.006783304975871292,-0.0037018124839183967,-0.004192658241338434,0.015539113218264395,-0.025816100748934704
ALPP,-0.010753465682734104,0.004703584650250214,-0.0010597525611712232,-0.01377279335499495,0.013583541554597806
AMBN,0.016065435056112267,-0.01443845543214878,0.02112253221005217,-0.01867932436281912,0.012952360050939263
AMBP,0.04939856056829131,-0.02405576228225977,-0.024379712970694793,-0.011292706912882637,-4.4441830574948956e-4
AMFR,-0.009097948341691099,-0.004169866910017192,0.0394665446812027,0.0014781164382174107,-0.04149512386468186
AMIGO2,0.00786319260270681,0.005993918058783144,-0.01274150433736323,0.009155863865454467,0.004868713437035464
AMN,-0.009692215009962831,0.0068407576457543695,-0.006992147130101495,-0.0177159537204248,0.00943115101068213
ANG,0.007594739430868659,0.008961452198933384,0.0346732340396884,-0.029514626474522992,-0.04139431395230845
ANGPT1,0.02680086824113422,-0.004657720452983925,-0.004173888476558249,0.0482465415807199,0.027997816674128095
ANGPT2,0.0069939396962711035,0.001577686528081868,0.019196333547957908,-0.005549688238431677,-0.02278792595974967
ANGPTL1,-0.03714485479793605,-0.02728411650946575,-0.00423168565168801,0.002232505086763487,0.06684437302711244
ANGPTL2,0.0026406302615252252,-0.03643341403091158,-0.013051077148063684,-0.0012566525033335814,-0.02901089656988619
ANGPTL3,-0.025725020366008537,-0.11508899531130473,-0.04995072669948844,-0.03725262910897412,0.0921448377489483
ANGPTL4,-0.0477987747335174,0.03376704060265457,-0.004756056126404276,0.11004778116872624,-0.0556325278905453
ANGPTL7,-0.01997993233276098,0.01312438730998238,-0.038387013402444554,7.538575615311775e-4,-0.007528159125402477
ANKRD54,-0.0032586884129122483,-0.0044611793567274766,0.014937394066076358,-0.0031295047182984355,0.030009149925691876
ANPEP,0.014475745414986332,-0.015166651988307845,0.012357192999222772,-0.025014147189717926,0.008413000681140493
ANXA10,-0.007615485097937632,-0.009341685415148498,0.009810603736750018,-6.323201487495047e-4,0.017033270220863657
ANXA11,0.006324250486765266,-0.008044083316755707,0.03683578388335058,0.032791395287366874,-0.061785440259506455
ANXA3,-0.01573452562150726,0.03349830599499196,-0.017502872580887556,0.11605897714791497,-0.05455111730464638
ANXA4,-0.06471914873951813,0.04422254838157816,-0.019800268323506086,-0.06929019903010764,-0.015147489188600842
ANXA5,0.0020840701652198096,-0.0032349447587981706,-0.006225089741968256,0.011455833478126985,0.0035723845404693234
AOC1,0.002013152516948259,-0.0028684181071293386,-0.004317394712789041,0.006437723374349111,-0.017405462463891092
AOC3,0.012258928837046426,0.002125724056639105,0.0017243016562290081,-0.016513870399807083,-0.009299452411967085
APBB1IP,-0.011661806597777028,-0.008002983022796471,0.010265589682601425,-0.051784435987327924,-0.035493631035931346
APEX1,-0.010367727531312187,5.160271256255828e-4,0.009020337124748387,-0.05482679660570944,-0.02518702576718879
APLP1,-0.033121169392301406,0.01939899293154627,-0.02827914108330017,0.01519632544493365,0.007079562399615407
APOH,0.004415468097983332,0.002153004960174658,-0.0271587271317763,-0.001313539978976209,-0.014885144957831754
APOM,-0.06908831550208529,-0.08840419436110303,-0.04506529974503327,0.12409466502411136,-0.024358862235719415
APP,0.05240761121570355,-0.04271796456570489,-0.018290806493105896,-0.04752622495514762,-7.771136825785681e-4
APRT,-0.03470434894951526,0.009441170774171663,0.03735721833629106,0.013065412534637085,-0.018494070056197052
AREG,-0.011524093365567525,-0.00965113828481212,0.01591620687960977,-0.006385144458930035,-0.039566661424992905
ARG1,-0.018382414161773816,-0.012680510565810531,0.037298800779531745,-0.05211569349251112,-0.03134130969872818
ARHGAP1,-0.006428880201844073,-0.018155381049056857,0.05021104434958683,-0.029825890806146445,-0.029421107282243973
ARHGAP25,0.0037000485330388254,7.08449594475007e-4,-0.0020231361381325605,0.03125909627588463,-0.03468175221582779
ARHGEF12,-0.009291568710935718,0.011342027646523105,-0.03170305264176205,-0.02805813717771727,0.02901605166627465
ARID4B,0.009928035182524525,0.0033600994149130593,-0.012488044477066012,-0.004776143511844316,-0.0021397310717144727
ARNT,-0.0067151887796438985,0.00422311541229511,-0.001419068872437891,-0.022724395057528803,-0.02829920380048198
ARSA,-0.01336389746184212,0.023157445679922957,-0.007318860948563176,0.017559824308790002,0.0020576101070532665
ARSB,0.02221623447668961,0.0030711474945157584,0.04708694414114371,-0.007306374232155661,-0.018086504605329075
ART3,-0.012317554600370692,-0.008737418323671104,0.025047246484897086,0.013222482579839785,0.0176904228931571
ARTN,0.0038567270610756705,0.003257902137551968,0.007476875970678676,-0.003415091220803696,8.137101801569102e-4
ASAH2,-0.0060378510013511496,-0.020369602792049534,-0.028725315162109855,-0.019764244859895655,-0.005758612031304333
ASGR1,0.021830587191049015,-0.033103115521455756,-0.043729387135547894,-0.03554741255674347,-0.00994660036870413
ATF2,0.0010127179918321446,-0.012594060795765565,0.0019415628218609666,0.004628806576663238,-0.003709014093529866
ATG4A,0.007963759547062957,0.06044260499894208,0.007911565965427268,-0.022294945522197525,0.027326946152818284
ATOX1,-0.0015481264333715662,0.016645498085945787,-0.007709218223711712,-0.04686189619942392,0.0067924520261351436
ATP5IF1,0.004449088110348536,0.036619161698593715,0.05667161040242142,-0.09342211295445528,-0.01783418879907505
ATP5PO,-0.0017569467296710516,0.005731182636017108,-0.006358988360304836,0.008521442634078108,0.016484517112638895
ATP6AP2,0.006114853993011357,-0.012096986890464009,-0.0163316809886443,0.00530281472571328,-7.090951327281883e-4
ATP6V1D,0.008051782234530545,-0.01803811306921318,0.01235151497789407,-0.009323205230017374,-0.008216042027356086
ATP6V1F,0.001045986439616064,-0.021951707488438055,-0.015058302362628895,0.0031560749666840753,0.009495181229089192
ATXN10,0.013298992572525637,0.029588774465603825,-0.012725269287089665,-0.011810054775341928,0.020309328420208987
AXIN1,-0.036618729121738004,-0.06351881630760886,0.008637117798177284,-0.060625983134693445,0.21829709411763681
AXL,0.007145336258967428,-0.009455305638651434,0.032292052172387085,-0.021121906923327428,-0.0071165311517410275
B4GALT1,-0.006896371198464751,0.0035156349581813968,-0.037347916122314244,0.002734313866603304,0.05881837208248165
B4GAT1,5.158684803757529e-4,0.016961765540037685,0.017896089627168307,0.038181026344610576,-0.06845825301026585
BACH1,0.004609876526527637,-0.019581817450754536,-8.159075466406903e-4,-0.03714289860027989,-0.03153229947227106
BAG3,0.01817719604427046,-0.011554624156516594,0.006748507683952323,0.025460310603180235,0.014919377928017796
BAG6,-0.01739491781936845,0.026488430816938375,-0.02762580535621372,0.011986697984595753,0.09444509362463543
BAIAP2,-0.0038898531568470813,-4.426259155937467e-4,0.0024539533810040205,0.013835255541195302,-0.01079337347872164
BAMBI,0.015116960633259097,0.006691753975121827,0.0054274645324609745,0.011006024674665044,-0.05497609057575019
BANK1,-0.019445235487229436,0.028679913785064907,-0.009980532549280389,0.00404059709496839,-0.05061558394649943
BAX,-0.010169723367226113,0.0145778693870635,0.005865928898966407,-0.0033703231336507647,0.04104888742881989
