protein,metabolite,n_pair,r,p,q,r_s,p_s,q_s,sign,abs_r,metabolite_label
SMAD1,fid_23497,10125,0.2904677825745514,4.763012315126183e-196,6.331778930194236e-194,0.28540341074420156,4.741783854390942e-189,4.869072118213595e-187,+,0.2904677825745514,Phospholipids in Large VLDL
ERBB3,fid_23541,10279,0.28836161049206566,5.00573101824922e-196,6.652010571150767e-194,0.2984434277110996,1.7303214300548754e-210,2.271599306407918e-208,+,0.28836161049206566,Cholesteryl Esters in Medium LDL
CCL16,fid_23453,10422,-0.28642283688118525,5.651009940763692e-196,7.508137298569215e-194,-0.3263826793968833,3.2854594109974014e-257,7.489026203344834e-255,-,0.28642283688118525,Polyunsaturated Fatty Acids to Total Fatty Acids percentage
ADM,fid_23443,10430,-0.2863148193432299,5.70198397969283e-196,7.574480551173376e-194,-0.2957117436813797,1.6260290039427267e-209,2.1129580643681894e-207,-,0.2863148193432299,Degree of Unsaturation
ASGR1,fid_23588,10176,0.28966753617386237,6.632930418350336e-196,8.80792893194065e-194,0.300594013735584,1.5741256063043986e-211,2.0906772220067731e-209,+,0.28966753617386237,Triglycerides to Total Lipids in Very Large VLDL percentage
HLA_E,fid_23478,9826,0.29454998754857425,6.761255340911236e-196,8.975057798667523e-194,0.2598466092936627,2.286727312818844e-151,1.424584336135411e-149,+,0.29454998754857425,Creatinine
PROC,fid_23531,10312,0.2878080973598247,7.179858527569517e-196,9.525510194213159e-194,0.2866114513926495,3.429004304223933e-194,3.7428343067342415e-192,+,0.2878080973598247,Total Lipids in Large LDL
APCS,fid_23504,9838,0.2943483427631929,7.434931798326652e-196,9.860320892821962e-194,0.3007423181990253,8.821111394339077e-205,1.0859680383639422e-202,+,0.2943483427631929,Phospholipids in Medium VLDL
CLEC4A,fid_23565,10298,0.2879740447474274,7.69295190953208e-196,1.0200652412933149e-193,0.3093768727488184,2.9301060040774448e-227,4.708788391763467e-225,+,0.2879740447474274,Concentration of Medium HDL Particles
PTH,fid_23509,9655,0.29697221178432937,8.110224989837557e-196,1.0751986746226775e-193,0.3069371236042029,1.0340219821801319e-209,1.346795127459232e-207,+,0.29697221178432937,Concentration of Small VLDL Particles
MAMDC4,fid_23570,9877,0.2937283692900015,9.112535399280937e-196,1.20785818649653e-193,0.2826934353913958,7.112097502728472e-181,6.614332467567538e-179,+,0.2937283692900015,Free Cholesterol in Medium HDL
