protein,metabolite,metabolite_label,r,q,r_s,q_s,sign,abs_r
CA14,fid_23602,Free Cholesterol to Total Lipids in Small VLDL percentage,0.28650167469097776,4.2891411305249805e-189,0.2805488329228049,4.065692894045035e-181,+,0.28650167469097776
ERBB2,fid_23578,Triglycerides in Small HDL,0.2864943253091297,4.389607305184056e-189,0.2898654358617013,7.99982915505336e-194,+,0.2864943253091297
BAIAP2,fid_23435,Triglycerides to Phosphoglycerides ratio,0.2864603963098115,4.8877810619606334e-189,0.2866870136926326,1.9588922802610855e-189,+,0.2864603963098115
PLA2G7,fid_23485,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL,0.2864414259482191,5.19014207065449e-189,0.28640110147858444,4.828140758503536e-189,+,0.2864414259482191
CDHR2,fid_23643,Triglycerides to Total Lipids in Medium HDL percentage,0.2864341356878973,5.310686265401472e-189,0.29019338261737776,2.8003880503544784e-194,+,0.2864341356878973
CRIP2,fid_23483,Phospholipids in Chylomicrons and Extremely Large VLDL,0.2864138544275012,5.662673820650414e-189,0.3248536305473648,5.178098433780217e-246,+,0.2864138544275012
IL1RN,fid_23493,Free Cholesterol in Very Large VLDL,0.2864033406683341,5.8537353718822885e-189,0.32770080614920327,1.401284603154365e-250,+,0.2864033406683341
F9,fid_23573,Total Lipids in Small HDL,0.2863932777351974,6.0425869176926624e-189,0.28839581619734456,8.698542923762675e-192,+,0.2863932777351974
IL18R1,fid_23617,Free Cholesterol to Total Lipids in Large LDL percentage,-0.28638764022328655,6.150570866483504e-189,-0.27213226407261765,4.6311044063326144e-170,-,0.28638764022328655
GSTA1,fid_23433,Average Diameter for HDL Particles,-0.2863828816182578,6.243052075630422e-189,-0.3078484372351781,9.348710999616124e-220,-,0.2863828816182578
ACY1,fid_23574,Phospholipids in Small HDL,0.2863798509120268,6.302284051119467e-189,0.29558348307205723,7.263233542324441e-202,+,0.2863798509120268
GSTA3,fid_23447,Monounsaturated Fatty Acids,0.2863511646635904,6.901452962056914e-189,0.29619809968432875,9.680936525387563e-203,+,0.2863511646635904
CFP,fid_23578,Triglycerides in Small HDL,0.28634140478427283,7.11721384725143e-189,0.31599558218956164,4.042337112626941e-232,+,0.28634140478427283
LEPR,fid_23418,Cholesteryl Esters in HDL,0.28632683024488326,7.452644755575706e-189,0.29756737980851017,1.0582303111441375e-204,+,0.28632683024488326
OXT,fid_23595,Cholesterol to Total Lipids in Medium VLDL percentage,-0.28631824183438215,7.657114553248225e-189,-0.27688925679052734,2.9175405697270015e-176,-,0.28631824183438215
