protein,metabolite,r_F,p_F,q_F,r_M,p_M,q_M,abs_r_F,abs_r_M,p_diff,q_diff,r_diff
TFF3,fid_23574,0.17150577816565812,1.0333621700464508e-37,1.5338799563309884e-36,-0.10823994109340539,1.4552446193598538e-13,8.253483324234451e-13,0.17150577816565812,0.10823994109340539,1.9278313410603844e-45,1.4012075814542602e-39,-0.2797457192590635
TFF3,fid_23577,0.1418714590485383,3.2192895419856124e-26,2.7810019694917216e-25,-0.1271762681549948,3.4972713885965845e-18,2.7677757628974784e-17,0.1418714590485383,0.1271762681549948,4.8054302659625765e-42,1.7463678428199227e-36,-0.2690477272035331
TFF3,fid_23573,0.15082082522117854,1.877844776123148e-29,1.911376591522468e-28,-0.11658550216166029,1.654379161407264e-15,1.0847969798322025e-14,0.15082082522117854,0.11658550216166029,1.4397390724907952e-41,3.488156632658524e-36,-0.2674063273828388
APCS,fid_23647,-0.2803842788003767,2.8654433596225873e-100,2.9466511920173244e-98,-0.02106896777753719,0.151392701956322,0.21719140835404305,0.2803842788003767,0.02106896777753719,5.875533748063672e-41,1.0676300174097167e-35,0.2593153110228395
TFF3,fid_23437,0.1251194231813275,1.0449480272251459e-20,6.72201775050298e-20,-0.13916247042729868,1.7124130371974308e-21,1.688189892628443e-20,0.1251194231813275,0.13916247042729868,1.3002996041860339e-40,1.8901961232202785e-35,-0.2642818936086262
TFF3,fid_23434,0.1174940278398891,1.9771921955995885e-18,1.1200359923619478e-17,-0.1308614177937725,3.615307717532566e-19,3.0611096242421107e-18,0.1174940278398891,0.1308614177937725,5.1006597683604964e-36,6.17886273349538e-31,-0.2483554456336616
TFF3,fid_23571,0.21517227415125367,7.66538563354271e-59,2.4728983157627522e-57,-0.03077341614195617,0.03610977463547452,0.06041884273353479,0.21517227415125367,0.03077341614195617,6.103574429198131e-36,6.337524437069295e-31,-0.24594569029320984
TFF3,fid_23410,0.20746096316081145,9.742217104100175e-55,2.7487075035869083e-53,-0.02523762298932763,0.08569364261131447,0.13147824792090024,0.20746096316081145,0.02523762298932763,2.641418380092013e-32,2.3998309532758226e-27,-0.23269858615013908
TFF3,fid_23567,0.1488883281564476,9.755239625788141e-29,9.576330104200672e-28,-0.08473025822119279,7.505114604978784e-9,2.864814167936545e-8,0.1488883281564476,0.08473025822119279,4.3158815270246914e-32,3.4854627624098704e-27,-0.23361858637764038
TFF3,fid_23436,0.09202136359888949,7.359566726326276e-12,2.796830063716265e-11,-0.13771572005975272,4.458464574088308e-21,4.279422989870027e-20,0.09202136359888949,0.13771572005975272,4.749404225704393e-31,3.45201422277295e-26,-0.2297370836586422
LEP,fid_23625,0.06324861994037982,2.560718292011544e-6,6.540473408468425e-6,-0.16507226085010301,1.0863053464158448e-29,1.7190516029627149e-28,0.06324861994037982,0.16507226085010301,8.272270706149248e-31,5.465947990564694e-26,-0.22832088079048285
APOE,fid_23571,0.006099487579230082,0.6504663286025469,0.7209247665726302,0.231044178012045,3.0006817202638215e-57,1.4374141537079509e-55,0.006099487579230082,0.231044178012045,1.2709011334889668e-30,7.697752847957661e-26,0.2249446904328149
MFGE8,fid_23625,-0.08942068027882956,2.8119670330067685e-11,1.0269134739015719e-10,-0.3063357091784589,2.4040110224935602e-101,4.64339552349194e-99,0.08942068027882956,0.3063357091784589,4.969346809694541e-30,2.778365623874687e-25,-0.21691502889962938
LDLR,fid_23625,0.14890814206769895,9.592887291810504e-29,9.421408890081777e-28,-0.07428011487782904,4.0985636271353513e-7,1.3205911479286165e-6,0.14890814206769895,0.07428011487782904,1.9597611173569845e-29,1.0174393804926388e-24,-0.223188256945528
APOE,fid_23578,-0.017285870164885267,0.19907037998181012,0.2681808167772434,0.20328541546989096,1.8747568500031742e-44,5.58569951237818e-43,0.017285870164885267,0.20328541546989096,3.4524074675510877e-29,1.67287784803175e-24,0.22057128563477624
APOE,fid_23410,0.0199158576222732,0.1389724874703874,0.19559414752333187,0.23837831213535232,6.248520901046024e-61,3.3989063725701114e-59,0.0199158576222732,0.23837831213535232,4.114032658440006e-29,1.8688790444791298e-24,0.2184624545130791
PZP,fid_23574,0.14029217228405944,1.141369750249606e-25,9.577046442516583e-25,-0.07966975778941528,5.544133196434082e-8,1.9485159402035628e-7,0.14029217228405944,0.07966975778941528,1.3241670297082916e-28,5.661444978646513e-24,-0.2199619300734747
TFF3,fid_23566,0.12954946152681093,4.265274571262475e-22,2.9582558321932864e-21,-0.08996335096807243,8.379938786216087e-10,3.4875314425973972e-9,0.12954946152681093,0.08996335096807243,1.8265345414040605e-28,7.375455151462526e-24,-0.21951281249488336
TFF3,fid_23572,0.08598684771826207,1.558599546134195e-10,5.413596931616774e-10,-0.13319009799183634,8.330552360151443e-20,7.360690131876043e-19,0.08598684771826207,0.13319009799183634,2.1639257473902434e-28,8.277938499481043e-24,-0.2191769457100984
TFF3,fid_23564,0.18382272252635543,3.700561757746501e-43,6.864966338629651e-42,-0.0337017703942347,0.021720498567784848,0.03798709237550682,0.18382272252635543,0.0337017703942347,2.9175812212504547e-28,1.0602942383113447e-23,-0.21752449292059012
TFF3,fid_23427,0.07392533678845359,3.815446211748885e-8,1.1204378772212946e-7,-0.1407992873569699,5.729308082624296e-22,5.821179158747903e-21,0.07392533678845359,0.1407992873569699,2.4517987494178492e-27,8.485920651610117e-23,-0.21472462414542348
TFF3,fid_23575,0.08070675045561204,1.910628069068001e-9,6.162239069870314e-9,-0.1323377919584148,1.4299186064130857e-19,1.2445822951768872e-18,0.08070675045561204,0.1323377919584148,6.550647244943862e-27,2.159458180936616e-22,-0.21304454241402684
PZP,fid_23573,0.13635856024664797,2.507156665535357e-24,1.9603252935387264e-23,-0.07656012347957078,1.787097428115422e-7,5.972337960883357e-7,0.13635856024664797,0.07656012347957078,6.833436955983188e-27,2.159458180936616e-22,-0.21291868372621875
SHBG,fid_23614,-0.1026320598781819,2.099541141818019e-14,9.37002466918865e-14,0.10936936609419003,8.094611512074666e-14,4.685142527180943e-13,0.1026320598781819,0.10936936609419003,1.25416533093606e-26,3.7981926735399475e-22,0.21200142597237193
TFF3,fid_23430,0.0841012644576848,3.882305575181239e-10,1.312816095353867e-9,-0.12687834678429502,4.1895459699499845e-18,3.297016952202511e-17,0.0841012644576848,0.12687834678429502,2.0793137598373622e-26,6.0452387975054e-22,-0.21097961124197984
LDLR,fid_23614,-0.07285510704957825,5.981232843678236e-8,1.7319066386484857e-7,-0.27691933420187076,2.0284435059066924e-82,2.2120564468742194e-80,0.07285510704957825,0.27691933420187076,2.732726686100201e-26,7.639347961480366e-22,-0.2040642271522925
IL1RN,fid_23629,-0.3104974684404371,1.1042662108059324e-123,1.955689362247287e-121,-0.10942663597934105,7.85613790942183e-14,4.551536477787059e-13,0.3104974684404371,0.10942663597934105,2.928289519117431e-26,7.882857775813487e-22,0.20107083246109603
LDLR,fid_23647,-0.24798417257729993,3.738330629356888e-78,2.1344340845766662e-76,-0.04266154121070238,0.0036618336195595375,0.00732154178586128,0.24798417257729993,0.04266154121070238,4.15529441491143e-26,1.0786417124587464e-21,0.20532263136659756
TFF3,fid_23411,0.06704305423898718,6.163856203000501e-7,1.652867845992074e-6,-0.14218558154292005,2.24356917918457e-22,2.338149534829159e-21,0.06704305423898718,0.14218558154292005,4.818683707542965e-26,1.2077133440817795e-21,-0.20922863578190723
TFF3,fid_23529,0.20052862821532683,3.467976641832204e-51,8.62964473470349e-50,-0.0054195815754289195,0.7121335039239062,0.7795559632128666,0.20052862821532683,0.0054195815754289195,1.127390454006554e-25,2.731407770253459e-21,-0.20594820979075573
