name,type,module
LDLR,NA,1
PLA2G7,NA,1
SERPIND1,NA,2
PLTP,NA,3
CFI,NA,3
APCS,NA,4
RARRES2,NA,4
APOA1,NA,3
OLR1,NA,5
MFGE8,NA,6
IGSF9,NA,6
FGFBP1,NA,1
TNFSF14,NA,5
APOM,NA,1
ORM1,NA,2
PRAP1,NA,6
MXRA8,NA,3
CFB,NA,2
MAMDC4,NA,1
CES1,NA,4
APOC1,NA,1
F9,NA,2
NPY,NA,4
IGFBP6,NA,7
ADIPOQ,NA,3
FURIN,NA,4
PON3,NA,3
ASGR1,NA,6
AGRP,NA,4
CST3,NA,2
MMP8,NA,5
MMP9,NA,5
CCN1,NA,4
TGFA,NA,5
RELT,NA,7
FAM20A,NA,2
NPDC1,NA,7
ST6GAL1,NA,2
OSM,NA,5
CD40LG,NA,5
GP5,NA,5
IGFBP4,NA,2
CPM,NA,4
GHR,NA,4
SSC4D,NA,3
HSPG2,NA,7
LCAT,NA,1
CD38,NA,6
SIT1,NA,3
COL6A3,NA,7
ACY1,NA,4
SCARB2,NA,7
TNFRSF19,NA,7
HBEGF,NA,5
COLEC12,NA,7
FGA,NA,2
TAFA5,NA,7
IL1RN,NA,3
PRSS8,NA,6
SMOC1,NA,4
IL1B,NA,5
GCG,NA,6
HHEX,NA,4
SERPINF1,NA,3
PAMR1,NA,4
HGF,NA,2
F7,NA,4
LGALS9,NA,3
GUSB,NA,4
LEP,NA,3
PIK3IP1,NA,7
TTR,NA,1
TFPI,NA,1
RBP5,NA,4
RNASE4,NA,2
FGF21,NA,2
PAG1,NA,3
IGFBP1,NA,6
FABP4,NA,3
EFNA4,NA,7
COL18A1,NA,2
INHBC,NA,3
ADH4,NA,4
NHLRC3,NA,2
TNFRSF1A,NA,2
ERBB3,NA,1
TGFBR2,NA,7
RTN4R,NA,3
PROC,NA,1
CD4,NA,4
LPL,NA,4
AMBP,NA,7
NBL1,NA,7
BID,NA,5
EREG,NA,5
CD84,NA,5
SDC4,NA,5
BGN,NA,5
GPR37,NA,4
KITLG,NA,6
GOLM2,NA,2
IGFBP2,NA,3
PDGFB,NA,5
GFRA1,NA,7
JAM2,NA,7
UPB1,NA,4
RGMB,NA,7
SSC5D,NA,4
IL18R1,NA,2
MEGF9,NA,1
MAD1L1,NA,2
MENT,NA,3
ADM,NA,2
EGF,NA,5
SERPINE1,NA,5
XG,NA,7
OGN,NA,7
ANGPT1,NA,5
ADAMTS15,NA,2
RBP7,NA,5
SLC39A5,NA,4
CLMP,NA,7
PTH,NA,4
CD99L2,NA,1
OXT,NA,2
IL6,NA,2
DPY30,NA,2
P4HB,NA,2
AFM,NA,4
ITGA6,NA,5
CKB,NA,3
CCL27,NA,4
TNFRSF12A,NA,2
DAG1,NA,5
GSTA1,NA,4
SEMA3F,NA,2
FSTL3,NA,7
CDHR2,NA,2
PDGFA,NA,5
PLAT,NA,4
TMSB10,NA,5
VWA1,NA,2
APP,NA,5
A1BG,NA,2
EFNA1,NA,7
STAB2,NA,2
NOMO1,NA,2
LAMP2,NA,1
FTCD,NA,4
APOF,NA,2
TMPRSS15,NA,6
ITIH4,NA,2
LAYN,NA,7
ACVRL1,NA,7
PLA2G10,NA,1
CFHR5,NA,2
SERPING1,NA,2
SEMA4D,NA,5
ACE2,NA,2
PPY,NA,6
PYY,NA,6
SCARF1,NA,5
SKAP1,NA,3
LY6D,NA,7
VEGFC,NA,5
APOA2,NA,3
CDNF,NA,7
LILRA5,NA,2
TREML1,NA,5
HS6ST1,NA,4
FAM3C,NA,7
FCAMR,NA,3
VMO1,NA,4
DKK1,NA,5
BDNF,NA,5
SMOC2,NA,7
SELP,NA,5
CD300LG,NA,3
CLUL1,NA,3
AGRN,NA,2
CFP,NA,4
CRIP2,NA,6
F10,NA,1
SHBG,NA,3
CCN2,NA,5
GSTA3,NA,4
CCL23,NA,4
GGT1,NA,2
CNTN3,NA,4
CREG1,NA,2
CD63,NA,5
ANGPTL4,NA,8
BAIAP2,NA,2
FGFR2,NA,2
BTN2A1,NA,7
PTGDS,NA,7
HSPB6,NA,7
PRCP,NA,2
MVK,NA,2
CA14,NA,2
CD302,NA,7
CCL22,NA,2
SERPINA5,NA,4
NPPC,NA,7
IL16,NA,6
EPHA1,NA,3
SERPINE2,NA,5
GPD1,NA,2
NECTIN4,NA,7
NTRK3,NA,3
CRELD1,NA,2
KRT18,NA,2
SUSD1,NA,5
CLEC4A,NA,3
BCHE,NA,4
IGSF8,NA,2
GLA,NA,2
SERPINA3,NA,2
PCSK9,NA,1
PROS1,NA,2
CKAP4,NA,7
CPB2,NA,2
NOS3,NA,6
C2,NA,2
SCLY,NA,2
C1RL,NA,2
C9,NA,4
GGH,NA,2
ADAMTSL2,NA,2
RAB6A,NA,1
SMAD1,NA,4
IGSF3,NA,2
CCL16,NA,2
KYNU,NA,4
SORT1,NA,5
MME,NA,2
EDA2R,NA,7
LGALS4,NA,6
CRHBP,NA,2
TNFRSF10A,NA,6
SCG2,NA,7
PCBD1,NA,2
AIFM1,NA,2
LGALS1,NA,2
PPBP,NA,5
ANXA3,NA,5
TNFRSF11A,NA,7
CPXM1,NA,5
FABP5,NA,5
GYS1,NA,5
CDHR5,NA,3
GZMB,NA,5
HSD11B1,NA,3
DEFB4A_DEFB4B,NA,6
SIAE,NA,2
TRIAP1,NA,5
ITGA5,NA,2
VWC2,NA,7
ART3,NA,7
SUMF2,NA,2
CANT1,NA,2
PF4,NA,5
NAGPA,NA,1
NID2,NA,5
RSPO3,NA,7
PLG,NA,2
LAT,NA,5
CDH2,NA,2
ERBB2,NA,1
GDF15,NA,6
CLEC1B,NA,5
HCLS1,NA,5
TNFRSF14,NA,2
BPIFB2,NA,2
C1S,NA,2
LILRB4,NA,2
NUCB2,NA,2
CHMP6,NA,1
VSIG4,NA,7
IFI30,NA,2
NPC2,NA,2
EPHB4,NA,7
DPT,NA,7
MFAP5,NA,7
THY1,NA,7
RIDA,NA,2
ADH1B,NA,4
CD226,NA,5
LTBR,NA,7
CD72,NA,3
KLKB1,NA,1
HPSE,NA,5
LRP11,NA,7
KHK,NA,4
STX7,NA,5
fid_23578,NA,4
fid_23497,NA,4
fid_23500,NA,4
fid_23491,NA,4
fid_23493,NA,4
fid_23488,NA,4
fid_23515,NA,4
fid_23495,NA,4
fid_23490,NA,4
fid_23498,NA,4
fid_23485,NA,4
fid_23424,NA,4
fid_23407,NA,4
fid_23489,NA,4
fid_23484,NA,4
fid_23496,NA,4
fid_23412,NA,4
fid_23522,NA,4
fid_23492,NA,4
fid_23550,NA,4
fid_23509,NA,4
fid_23408,NA,4
fid_23508,NA,4
fid_23510,NA,4
fid_23648,NA,6
fid_23643,NA,6
fid_23499,NA,4
fid_23494,NA,4
fid_23486,NA,4
fid_23543,NA,4
fid_23435,NA,3
fid_23483,NA,4
fid_23420,NA,4
fid_23409,NA,4
fid_23447,NA,4
fid_23622,NA,4
fid_23481,NA,4
fid_23501,NA,4
fid_23428,NA,1
fid_23641,NA,6
fid_23640,NA,3
fid_23439,NA,1
fid_23529,NA,4
fid_23546,NA,1
fid_23544,NA,1
fid_23429,NA,1
fid_23482,NA,4
fid_23545,NA,1
fid_23536,NA,4
fid_23431,NA,4
fid_23547,NA,1
fid_23530,NA,1
fid_23523,NA,1
fid_23402,NA,1
fid_23505,NA,1
fid_23503,NA,1
fid_23401,NA,1
fid_23548,NA,1
fid_23413,NA,1
fid_23410,NA,4
fid_23638,NA,4
fid_23506,NA,1
fid_23441,NA,1
fid_23404,NA,1
fid_23514,NA,1
fid_23425,NA,1
fid_23571,NA,4
fid_23507,NA,1
fid_23539,NA,1
fid_23403,NA,1
fid_23537,NA,1
fid_23416,NA,1
fid_23480,NA,2
fid_23487,NA,4
fid_23538,NA,1
fid_23405,NA,1
fid_23532,NA,1
fid_23626,NA,4
fid_23562,NA,3
fid_23458,NA,2
fid_23433,NA,3
fid_23540,NA,1
fid_23417,NA,1
fid_23513,NA,1
fid_23558,NA,3
fid_23561,NA,3
fid_23442,NA,1
fid_23454,NA,2
fid_23511,NA,1
fid_23531,NA,1
fid_23512,NA,1
fid_23541,NA,1
fid_23627,NA,4
fid_23559,NA,3
fid_23549,NA,1
fid_23525,NA,1
fid_23504,NA,1
fid_23448,NA,1
fid_23533,NA,1
fid_23542,NA,1
fid_23421,NA,1
fid_23452,NA,2
fid_23534,NA,1
fid_23524,NA,1
fid_23563,NA,3
fid_23502,NA,1
fid_23560,NA,3
fid_23419,NA,1
fid_23535,NA,1
fid_23589,NA,4
fid_23633,NA,4
fid_23624,NA,4
fid_23519,NA,1
fid_23528,NA,1
fid_23526,NA,1
fid_23520,NA,1
fid_23440,NA,3
fid_23527,NA,1
fid_23516,NA,1
fid_23636,NA,2
fid_23418,NA,3
fid_23406,NA,3
fid_23521,NA,1
fid_23617,NA,6
fid_23570,NA,3
fid_23426,NA,3
fid_23642,NA,3
fid_23565,NA,3
fid_23568,NA,3
fid_23453,NA,2
fid_23430,NA,3
fid_23569,NA,3
fid_23555,NA,3
fid_23635,NA,2
fid_23414,NA,3
fid_23400,NA,1
fid_23471,NA,5
fid_23427,NA,3
fid_23422,NA,3
fid_23566,NA,3
fid_23621,NA,1
fid_23517,NA,1
fid_23518,NA,1
fid_23553,NA,3
fid_23628,NA,6
fid_23552,NA,3
fid_23554,NA,3
fid_23438,NA,1
fid_23632,NA,3
fid_23639,NA,3
fid_23415,NA,1
fid_23551,NA,3
fid_23411,NA,1
fid_23436,NA,1
fid_23423,NA,1
fid_23574,NA,1
fid_23567,NA,1
fid_23634,NA,2
fid_23437,NA,1
fid_23478,NA,7
fid_23573,NA,1
fid_23434,NA,1
fid_23594,NA,1
fid_23557,NA,4
fid_23596,NA,6
fid_23645,NA,6
fid_23646,NA,6
fid_23606,NA,6
fid_23613,NA,6
fid_23595,NA,6
fid_23608,NA,6
fid_23577,NA,1
fid_23597,NA,6
fid_23605,NA,6
fid_23449,NA,1
fid_23456,NA,2
fid_23618,NA,6
fid_23585,NA,6
fid_23598,NA,6
fid_23612,NA,6
fid_23556,NA,3
fid_23623,NA,6
fid_23602,NA,6
