protein_metabolite_from,protein_metabolite_to,r,q,abs_r,sign
PLTP,fid_23559,0.5655681323929423,0,0.5655681323929423,+
PLA2G7,fid_23549,0.5636915973615407,0,0.5636915973615407,+
PLA2G7,fid_23525,0.5634997623787193,0,0.5634997623787193,+
PLA2G7,fid_23504,0.562729225387157,0,0.562729225387157,+
APCS,fid_23480,0.561169792558906,0,0.561169792558906,+
LDLR,fid_23448,0.5605343144683822,0,0.5605343144683822,+
PLA2G7,fid_23533,0.5593788150027338,0,0.5593788150027338,+
PLA2G7,fid_23542,0.5591953908952408,0,0.5591953908952408,+
PLA2G7,fid_23421,0.5588704447114129,0,0.5588704447114129,+
LDLR,fid_23452,-0.5586652003238919,0,0.5586652003238919,-
PLA2G7,fid_23534,0.5577711480820309,0,0.5577711480820309,+
PLA2G7,fid_23524,0.5567289412751094,0,0.5567289412751094,+
PLA2G7,fid_23403,0.5556281511124999,0,0.5556281511124999,+
PLTP,fid_23563,0.5551943193988439,0,0.5551943193988439,+
LDLR,fid_23502,0.5550822702775838,0,0.5550822702775838,+
PLTP,fid_23560,0.5543951801793076,0,0.5543951801793076,+
PLA2G7,fid_23502,0.5515543120896904,0,0.5515543120896904,+
PLA2G7,fid_23513,0.5510412806833003,0,0.5510412806833003,+
PLA2G7,fid_23419,0.5499588143587938,0,0.5499588143587938,+
PLA2G7,fid_23535,0.5496990574207219,0,0.5496990574207219,+
LDLR,fid_23589,0.5485938991346241,0,0.5485938991346241,+
LDLR,fid_23633,0.5469946185303612,0,0.5469946185303612,+
PLA2G7,fid_23511,0.5460610103476516,0,0.5460610103476516,+
LDLR,fid_23624,-0.5460405874460719,0,0.5460405874460719,-
PLA2G7,fid_23519,0.5441322815840036,0,0.5441322815840036,+
LDLR,fid_23504,0.5437820861396263,0,0.5437820861396263,+
PLA2G7,fid_23528,0.542683411671696,0,0.542683411671696,+
PLA2G7,fid_23526,0.5417263073031869,0,0.5417263073031869,+
LDLR,fid_23512,0.541011816466135,0,0.541011816466135,+
RARRES2,fid_23480,0.5409894990490688,0,0.5409894990490688,+
PLA2G7,fid_23520,0.5403709808968157,0,0.5403709808968157,+
