module_protein,category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
1,Human Diseases,Infectious disease: bacterial,hsa05130,Pathogenic Escherichia coli infection,28/461,203/9521,0.13793103448275862,2.8486797815842624,6.005555646923952,4.771682431596977e-7,7.65855030271315e-6,4.545655369047647e-6,25/382/9138/23365/581/55845/836/840/841/842/2149/8772/2597/3059/8517/3553/3654/51135/5601/4627/8440/4790/5777/6714/23118/7186/8936/10810,28
1,Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,28/461,204/9521,0.13725490196078433,2.834715665007869,5.97517518839022,5.286098906826255e-7,8.080179757577276e-6,4.79590928388748e-6,208/10000/369/9138/23365/836/967/1026/1975/2247/1839/3059/10855/3693/3708/5604/5501/4659/5777/6237/6385/4087/6714/7040/7078/7157/10451/7422,28
1,Organismal Systems,Immune system,hsa04611,Platelet activation,21/461,126/9521,0.16666666666666666,3.442154736080983,6.22464941316228,5.836768279676802e-7,8.516375535346607e-6,5.0548088929258425e-6,208/10000/9138/23365/2149/2778/2811/2812/2814/51206/3708/4067/5321/5330/5501/4659/5592/8773/6714/8673/7408,21
1,Human Diseases,Cancer: specific types,hsa05220,Chronic myeloid leukemia,16/461,77/9521,0.2077922077922078,4.291517593036032,6.541365139404595,6.255534595723489e-7,8.73055045750974e-6,5.181930260073004e-6,25/208/10000/369/581/598/613/1026/1399/8517/5604/4790/4088/6777/7040/7157,16
1,Human Diseases,Cancer: specific types,hsa05210,Colorectal cancer,17/461,87/9521,0.19540229885057472,4.0356296905777045,6.416014256413368,7.035724411735474e-7,9.4102814006961965e-06,5.585377712825091e-6,208/10000/369/8312/581/10018/836/842/1026/1950/2069/5604/5601/4087/4088/7040/7157,17
1,Human Diseases,Infectious disease: bacterial,hsa05120,Epithelial cell signaling in Helicobacter pylori infection,15/461,71/9521,0.2112676056338028,4.363294735877303,6.416275979033284,1.1232886813257045e-6,1.4423026668222046e-5,8.560642160840105e-6,9296/9550/836/6352/2919/2921/50848/28964/1839/8517/83700/4067/5601/4790/6714,15
1,Organismal Systems,Immune system,hsa04621,NOD-like receptor signaling pathway,26/461,189/9521,0.13756613756613756,2.841143591685891,5.766815216619858,1.2958055313550715e-6,1.5998214444806847e-5,9.495578994950119e-6,55054/598/329/841/6352/2919/2921/55914/8772/2634/115361/8517/3553/51135/3708/5601/57506/140609/4790/5330/6773/10910/23118/10010/7186/331,26
1,Human Diseases,Cancer: specific types,hsa05222,Small cell lung cancer,17/461,93/9521,0.1827956989247312,3.775266484733982,6.066542107928126,1.8739545256235686e-6,2.2279237137969093e-5,1.3223616730521087e-5,208/10000/581/598/329/836/842/1026/2272/8517/3655/4149/4790/5728/7157/7186/331,17
1,Human Diseases,Cancer: specific types,hsa05219,Bladder cancer,11/461,41/9521,0.2682926829268293,5.541029575154754,6.57274718973205,2.5669472268856864e-6,2.9428216422510904e-5,1.7466821355876286e-5,369/1026/23604/1950/1839/5604/4312/6714/7157/1890/7422,11
1,Environmental Information Processing,Signal transduction,hsa04012,ErbB signaling pathway,16/461,86/9521,0.18604651162790697,3.8424052867880745,5.972678165774673,2.95576833921561e-6,3.271729782373141e-5,1.9419022482686945e-5,25/208/10000/369/685/1026/1399/1950/2069/1839/5604/5601/8440/10298/6714/6777,16
