name,wY_01,wY_02,wY_03,wY_04,wY_05,metabolite_label
fid_23474,-0.07067301539805519,0.01816484582905342,-0.00752513951311088,0.2874885274384187,-0.1612739861242643,3-Hydroxybutyrate
fid_23475,-0.08742589236530841,0.01700199958467924,0.05622985428928129,-0.1774274259328972,0.18961227980377585,Acetate
fid_23476,0.02652091050089974,0.00566564566744913,0.01559501946023357,-0.08457842588169617,0.12455450464910506,Acetoacetate
fid_23477,-0.01269878123500078,0.0028716301823164,7.774991037898969e-4,-0.09654469651917048,-0.11774998784129112,Acetone
fid_23460,-0.02000595195365467,-0.05981434467346357,-0.0373924320881818,-0.1692843670136185,-0.09543650545679398,Alanine
fid_23479,-0.09711948662809648,0.05758775563071036,0.2834318141080243,-0.29141554793094215,-0.21550889833009376,Albumin
fid_23440,0.3152032582969748,-0.34446361979413764,0.2991339952869456,0.11225210352658171,-0.19496488039119797,Apolipoprotein A1
fid_23439,0.033268618239359,0.15486757324138567,0.3946497498838805,0.05486668198962549,-0.00457045055204972,Apolipoprotein B
fid_23441,-0.0932659357178484,-0.14667212784294265,-0.3905179211318694,0.04946627983342899,-0.02387052351070253,Apolipoprotein B to Apolipoprotein A1 ratio
fid_23433,-0.6810899636974407,0.17796391289771002,0.31445011679383134,0.13468687331487633,0.6419323003730105,Average Diameter for HDL Particles
fid_23432,-0.00594765483813593,-0.2025651580736396,0.02400124435005395,0.08997494829391432,0.13638092714532069,Average Diameter for LDL Particles
fid_23431,-0.18151082336429625,-0.3011159119716753,0.2475988870821884,0.06311914767659979,-0.3202186463667157,Average Diameter for VLDL Particles
fid_23484,-0.06162808795251835,-0.12802285546072306,0.1208329185801148,-0.03621029095324537,0.34886035965622364,Cholesterol in Chylomicrons and Extremely Large VLDL
fid_23526,-0.08223687593541107,0.1799824058596046,-0.11217203921169476,-0.10228653818434028,0.37729783589169646,Cholesterol in IDL
fid_23561,-0.1046086580232652,-0.26672151279406336,-0.23277483605237329,-0.18304516713619895,-0.5984409670989647,Cholesterol in Large HDL
fid_23533,-0.15308411125749086,-0.2137193555745663,-0.33324402124756763,0.1627180690870285,0.24376136922640493,Cholesterol in Large LDL
fid_23498,-0.2469474894217375,-0.2165669961916099,-0.04192418483447348,-0.00401856452638312,-0.2314630584375369,Cholesterol in Large VLDL
fid_23568,-0.05053300985415329,-0.08789889657081407,-0.05137221512774034,-0.26203798554418917,0.3350342309240501,Cholesterol in Medium HDL
fid_23540,0.03714768287222513,0.07223589196100615,-0.0977098389608634,-0.3173948678065957,0.3567079687706366,Cholesterol in Medium LDL
fid_23505,0.05917422442477857,-0.02245389728002186,-0.05003595423057586,0.2259589066472114,-0.05860263029854754,Cholesterol in Medium VLDL
fid_23575,-0.02562706730952817,-0.18279152923098035,0.08399067208118181,-0.09275200453912084,0.09331644515651538,Cholesterol in Small HDL
fid_23547,-0.2557271346846098,0.15174878981486267,0.18687484265190943,-0.08807517987580225,-0.6408347391082875,Cholesterol in Small LDL
fid_23512,0.08357485801122323,0.22906413390956945,-0.35077670536967914,-0.12566750199643928,0.6887256755576451,Cholesterol in Small VLDL
fid_23554,0.06731200652959529,0.14516415227379126,-0.11000766768403772,-0.1510157609993725,0.1150728068631312,Cholesterol in Very Large HDL
fid_23491,0.04888037624930735,-0.14352944633077144,0.02613258852188309,0.5287847081547987,-0.4571911384482482,Cholesterol in Very Large VLDL
fid_23519,0.16549871925368678,-0.12847564835179995,-0.24125365401354384,-0.16279271708396495,-0.2737757016410175,Cholesterol in Very Small VLDL
fid_23580,5.4478978046688054e-5,0.00113070089435218,-0.00672874439219511,0.0145898265932849,-9.18303583101277e-4,Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage
fid_23610,0.02033046239763195,0.03500089785331676,0.07659375868636714,0.15547687293949225,-0.16118724463835832,Cholesterol to Total Lipids in IDL percentage
fid_23635,-0.01219289294153345,-0.01920061922398388,-0.0071267640060692,0.00946286205716799,0.01641967731811738,Cholesterol to Total Lipids in Large HDL percentage
fid_23615,-0.04120110130524151,-0.01478164832012565,-0.10199014574669912,-0.03700283134996308,0.17230207956616894,Cholesterol to Total Lipids in Large LDL percentage
fid_23590,0.00389297068318291,-0.0490902894691379,0.03076902647892258,0.00599163714616678,0.02117538878809929,Cholesterol to Total Lipids in Large VLDL percentage
fid_23640,0.09113768404836048,0.00412716899735552,-0.06224400301446994,0.01512115329084366,0.13730112707393746,Cholesterol to Total Lipids in Medium HDL percentage
