protein,module_protein,degree_pp
PALM2,3,247
PAXX,2,918
HSD17B14,3,6
NFATC3,3,16
PAMR1,3,105
PBLD,1,744
DSCAM,3,5
PCDH17,3,75
PCOLCE,3,52
PCBP2,1,878
PCYT2,1,863
OSCAR,3,135
PDCD1,3,129
PDAP1,1,860
PDCD5,2,895
PDE5A,1,839
PDGFA,1,755
OMD,3,57
PDGFB,1,763
PDIA3,1,197
PDIA4,1,871
PDLIM5,1,829
NINJ1,4,26
PDLIM7,1,851
PCBD1,3,188
PAM,3,105
PDP1,1,604
PDZD2,1,675
PEAR1,1,689
PEBP1,2,905
PECAM1,1,810
PECR,1,587
PER3,1,620
PF4,1,688
PFDN2,1,548
LIPF,3,6
PFKFB2,1,859
PDZK1,3,97
PGD,1,849
PHACTR2,1,857
NOS1,3,26
PHLDB1,1,745
IL22,3,5
PHYKPL,1,772
MSLN,3,12
PADI4,2,90
PIBF1,1,861
PENK,3,120
PGF,3,207
PHOSPHO1,3,88
PI16,3,53
PIK3IP1,3,301
PILRA,3,134
MELTF,3,1
NOTCH2,3,7
NXPH3,3,39
PDGFRA,3,67
PIK3AP1,2,662
PIKFYVE,1,718
PKD2,1,800
GIP,3,6
PIGR,3,46
PKN3,1,443
OXT,3,22
PCSK9,3,17
LYPD3,3,13
OSMR,3,37
PKD1,3,72
MZB1,3,21
PGLYRP1,3,51
PILRB,3,39
PLA2G15,3,93
PLAU,3,128
PLA2G4A,1,866
PLCB2,1,860
PLEKHO1,1,843
PLIN3,1,877
PLPBP,1,887
PGR,4,33
PLSCR3,1,833
PLXNA4,1,849
PLXNB3,1,855
PMM2,1,832
PLA2G1B,5,17
PNLIP,5,18
PMVK,1,807
MNAT1,4,21
PCSK7,4,7
PDCD1LG2,3,44
GAD2,4,1
LRIG3,4,1
NEDD9,2,13
PALLD,4,5
PLCB1,4,14
PLAUR,3,236
PLTP,3,25
PNMA1,1,803
POLR2F,2,833
PPBP,1,761
PPCDC,2,884
PPIB,1,862
PLXDC1,4,22
PPIF,1,823
PPM1A,1,69
PKLR,2,102
PPM1F,1,868
PPME1,2,772
PPP1CC,1,863
PPP1R12A,1,862
PPP1R14A,1,798
PPP1R2,1,873
PPP1R9B,1,810
PPP2R5A,1,858
NMRK2,4,2
PBK,4,21
LGALS3BP,3,27
MEP1A,3,3
NPY,3,22
PLAT,3,82
PON3,3,30
PLXNB2,3,34
PRAP1,3,148
PPP3R1,1,813
PRDX1,1,699
PRDX3,1,842
PRDX2,2,105
PRDX5,1,830
PAPPA,3,2
PRG2,3,59
PRKAB1,1,813
PRDX6,2,372
PRKAR1A,1,830
PRKAR2A,1,868
PRKG1,1,847
IGFBP3,3,6
PLG,3,34
PROC,3,35
LPO,9,2
LUZP2,3,3
PODXL2,3,74
PRND,3,70
PNLIPRP1,5,16
PRCP,3,105
PRKRA,1,851
LAMP1,3,4
PQBP1,2,24
PRTFDC1,1,841
PSAP,3,485
PRAME,4,23
PSIP1,2,847
PSMD1,2,467
PSMD9,2,187
PSME1,2,870
PSME2,2,658
PSMG3,2,273
PNPT1,4,30
PRKD2,1,63
PSRC1,1,715
PSTPIP2,1,845
PI3,3,28
PRRT3,3,150
PTEN,1,543
PSMG4,2,184
PTGES2,1,829
PTPN1,1,856
ITGAL,3,1
LYVE1,3,11
PCDH12,3,4
PODXL,3,13
NEFL,3,3
OMG,3,25
PTGDS,3,235
PTPRN2,3,110
PTPRF,3,23
PTPN6,1,821
PTGR1,3,51
PTP4A3,3,39
CPE,3,4
PTRHD1,1,892
GC,3,2
PPY,3,5
PTS,3,143
PVALB,1,695
PRTN3,3,39
PTPRS,3,150
PROS1,3,47
QDPR,2,895
RAB10,1,854
RAB11FIP3,1,849
RAB27B,1,840
RAB2B,1,839
RAB33A,1,844
PXN,2,79
RAB37,4,350
RABEP1,1,871
RABEPK,1,439
RABGAP1L,2,866
RAB44,2,67
RAD23B,1,835
MYO6,4,27
NLGN2,4,2
PRKAG3,4,19
PPM1B,4,34
RANBP1,2,737
LBP,3,10
NOS3,3,15
ORM1,3,25
PRSS8,3,131
RAPGEF2,1,837
PPL,3,37
RASSF2,2,321
RARRES2,3,799
PALM3,4,49
FABP6,3,3
PPP1R14D,3,9
RBFOX3,3,161
RBKS,2,199
RBP1,4,30
RBM17,1,850
LAMB1,3,3
MAN1A2,3,3
RBPMS2,1,843
PRSS2,5,20
REG1A,3,43
REG1B,3,8
RBP2,3,18
REG3A,3,13
QPCT,3,112
RBP5,3,208
RELT,3,304
REEP4,1,809
REPS1,1,456
RFC4,1,630
GALNT2,3,2
PBXIP1,3,8
PRELP,3,21
PTPRR,3,48
RGMA,3,67
RGCC,1,841
RGS10,1,862
RHOC,1,839
RIDA,2,207
RILP,2,876
INSL4,4,6
PROK1,4,2
PAEP,4,3
RLN1,4,7
PRG3,3,4
RBP7,2,82
RNASE1,3,140
RETN,3,94
RNASE4,3,109
RILPL2,1,856
RGMB,3,270
RNASE6,3,139
RNASET2,3,224
RANGAP1,4,24
POLR2A,4,19
RNASEH2A,1,715
RNF41,1,864
NME3,3,1
PCDH9,3,10
PRTG,3,32
PTPRC,3,69
PTPRM,3,46
PTPRZ1,3,51
RET,3,24
ROBO1,3,190
RANBP2,4,59
RECK,3,25
RNF149,3,188
PRSS27,3,35
ROBO2,3,72
RNF5,1,778
RBPMS,4,25
RP2,1,837
NPR1,4,6
NUP50,4,6
PROCR,4,6
RPE,2,814
RRAS,1,864
FRZB,3,2
PTN,3,24
RSPO1,3,129
RSPO3,3,165
C1QBP,1,1
RRM2B,1,838
RTN4IP1,1,851
RNASE3,2,97
S100A11,2,116
GPA33,3,7
S100A14,3,8
RWDD1,1,886
S100A12,2,94
QSOX1,3,13
MTHFD2,4,16
S100A4,1,859
SAMD9L,1,872
SAFB2,4,60
SARG,1,845
ROR1,3,219
RTN4R,3,76
SCARA5,3,173
SCAMP3,1,867
ROBO4,3,32
SCARB2,3,264
PYY,3,7
REG4,3,27
RTBDN,3,46
SCG2,3,66
RPS10,4,28
POF1B,3,6
DIPK1C,4,1
SCARF2,3,213
SAT1,4,11
SCARF1,1,857
COL9A1,3,2
SCN4B,3,131
SCPEP1,1,855
GAST,3,6
SCRN1,1,814
SCRIB,1,82
SDC4,1,592
SCLY,3,140
SDCCAG8,1,819
SDHB,1,582
SAA4,3,16
SEC31A,1,844
CLEC4G,3,1
SCRG1,3,105
SELP,1,866
KEL,3,4
PTPRH,3,6
SEMA4D,1,835
SERPINA1,3,6
SERPINA4,3,22
SEPTIN8,2,605
SEPTIN9,1,724
SERPINB1,1,877
SART1,2,46
SERPINB6,1,873
HRG,3,6
SERPINA3,3,19
SERPINA5,3,29
SERPINA6,3,9
SERPINC1,3,29
SERPINB9,1,796
SERPINE1,1,740
SEMA3F,3,251
SERPIND1,3,57
SELENOP,3,20
SERPINF1,3,234
SERPINF2,3,45
SERPINE2,1,738
RAB6A,3,11
MUC2,3,5
SEMA3G,5,15
C2CD2L,4,2
SCP2,4,28
SERPINH1,1,832
SERPINB8,2,120
SCN2B,4,28
OPTC,3,2
SCG3,3,45
SEZ6,3,13
SEZ6L,3,115
SESTD1,1,789
SF3B4,2,817
SH2B3,1,842
SH2D1A,2,609
SBSN,3,16
SEL1L,3,13
SH3BP1,1,641
SH3GLB2,2,719
SHMT1,1,828
SHISA5,3,242
MILR1,3,20
SEMA7A,3,87
SIGLEC1,3,127
SIGLEC10,3,160
SDC1,3,82
SELE,3,59
SIGLEC7,3,62
RCOR1,4,1
RNF168,4,28
RNF31,4,16
SIAE,1,861
SIT1,2,13
SIRT2,1,877
SKAP2,1,858
IL5RA,3,2
SLAMF1,3,4
EDEM2,4,4
MEGF11,4,2
NOS2,4,9
RYR1,4,4
SCGB2A2,4,6
SHC1,4,16
SLC16A1,4,22
SLA2,1,849
SLAMF6,3,33
SLC27A4,1,725
SEZ6L2,3,56
SLC9A3R1,1,872
PSAPL1,3,10
SLMAP,1,811
SMAD1,1,866
SMAD2,1,872
SMAD3,1,813
GIMAP8,2,1
RALY,2,18
RPL14,2,15
S100P,2,23
SKAP1,2,33
SFRP1,3,25
SFRP4,3,57
NAAA,3,9
SEMA6C,4,20
SIRT1,4,42
SMPD1,3,17
SMARCA2,1,663
SMS,1,744
SMTN,1,730
SNAP23,1,840
SNAP25,1,742
SNAP29,1,872
SMNDC1,2,230
SNAPIN,1,758
PLIN1,3,13
MAPK13,2,1
SATB1,4,6
SETMAR,2,109
SNCA,2,866
SLC1A4,4,22
SNRPB2,2,341
SNU13,4,23
SNX15,2,849
SNX18,4,118
SNX2,1,631
SNX5,1,826
SLC4A1,2,54
SNX9,1,874
SOD1,2,840
SOD2,1,638
SMOC1,3,105
SMOC2,3,131
SORT1,1,772
SPAG1,1,278
SPARC,1,687
SORCS2,3,124
SPINK1,3,76
GAL,3,3
SLURP1,3,19
SLC12A2,4,48
PRSS22,3,1
SPINK5,3,59
PDGFC,1,1
SPART,1,873
KLK3,7,3
SPINT1,3,94
MMP10,3,2
MMP7,3,9
SIRPB1,3,162
SPON1,3,112
MMP13,3,1
RPA2,4,17
SMPD3,4,37
CRNN,3,1
SPINT2,1,735
SPRED2,1,668
SPRY2,1,851
SPTLC1,1,642
SRC,1,853
SRP14,2,683
SHBG,3,20
PTPRB,3,6
SORD,3,225
SRPK2,1,875
SSNA1,2,866
ST13,2,870
ST6GAL1,3,486
STAM,1,636
STAMBP,1,895
STAT2,1,871
SPRING1,4,35
SLITRK2,3,38
STAT5B,1,861
MTPN,1,4
STIP1,2,892
STK11,1,886
STK24,1,848
STK4,1,851
STX16,1,645
STX4,1,815
STX6,1,752
STX7,1,284
STX8,1,845
STXBP1,1,841
STXBP3,1,728
SUGP1,1,837
SUGT1,1,863
SULT1A1,1,812
SULT2A1,3,69
SUMF2,1,785
SLITRK1,3,54
SUSD1,1,809
SUOX,3,454
SV2A,1,703
SWAP70,2,711
SYAP1,1,870
SYTL4,1,848
TAB2,1,811
TACC3,1,847
SPON2,3,195
TADA3,1,790
TALDO1,2,916
TANK,1,784
DYNC1H1,4,4
STX3,4,23
TARBP2,1,871
TARS1,1,744
TAX1BP1,1,816
TBC1D23,1,849
TBC1D17,2,171
TBC1D5,1,776
TBCA,1,898
TBCB,1,860
TBCC,1,873
RRM2,2,8
STAU1,4,28
TBL1X,1,851
SSBP1,4,2
ST8SIA1,4,27
ACRV1,4,1
PGA4,3,6
TFF1,3,23
PZP,3,1
TFF2,3,21
SSC5D,3,48
TDRKH,1,843
TGFA,3,70
TFPI,3,43
TERF1,4,54
PCDH1,3,7
SLC39A5,3,17
SLITRK6,3,52
SNCG,3,40
STC1,3,80
SUSD5,3,62
TAFA5,3,208
SPARCL1,3,54
SPP1,3,38
STC2,3,17
TGFBR2,3,324
TGFBR3,3,133
TGOLN2,3,130
THBS2,3,40
TCOF1,2,63
TGM2,2,81
TGFB1,1,855
THPO,1,694
THBD,3,278
THBS4,3,79
THTPA,1,856
PTX3,3,4
TIA1,1,871
TIGAR,1,546
TIMM10,1,847
TFPI2,3,32
TGFBI,3,27
THY1,3,246
TIMD4,3,28
TIMM8A,1,823
TIMP1,3,809
TIMP3,1,645
TJAP1,1,851
TMCO5A,1,574
TMED8,1,861
SPRR3,3,2
MUC13,3,2
TMEM106A,1,815
THOP1,2,275
TMSB10,1,896
TNFAIP2,1,886
TNFAIP8,1,567
TNFRSF10A,3,137
TNFRSF10B,3,168
TNFRSF11A,3,223
SLAMF7,3,13
SPINK2,3,8
TNFRSF12A,3,191
TCL1A,2,20
TNFRSF13B,3,107
TNF,3,78
TNFAIP8L2,1,876
TNFRSF14,3,1035
LTBP3,3,4
SIGLEC8,3,28
SLAMF8,3,20
TFF3,3,20
TNFRSF19,3,246
TNFRSF1A,3,385
TNFRSF1B,3,309
SIGLEC6,3,12
TNFRSF21,3,267
TNFRSF4,3,265
TIGIT,3,4
KLRK1,3,10
TNFRSF13C,3,12
TNFRSF6B,3,80
TNFRSF8,3,137
TNFRSF11B,3,24
TNFSF10,3,4
TNFSF12,1,286
TNFRSF9,3,247
TNFSF13,3,104
SIGLEC9,3,13
TNFSF14,1,818
TNIP1,1,853
PM20D1,12,1
TOMM20,1,848
TOP2B,1,870
IL12RB2,13,2
TOR1AIP1,2,686
TP53,1,651
SOX9,4,13
TP53I3,2,889
TPD52L2,1,858
ENOPH1,1,1
TPK1,2,709
TDP1,2,85
TPMT,1,732
TPR,2,202
TRAF2,1,764
TPP1,1,603
TRDMT1,1,739
TREML1,1,845
TREML2,3,727
TRIAP1,1,886
TRIM21,1,800
TRIM24,1,723
TRIM25,1,834
TRIM40,1,688
TRIM5,1,814
TRIM58,1,818
TSC22D1,1,828
SLC51B,3,6
TSNAX,2,790
TSPYL1,1,828
TST,1,829
TPM3,3,16
SERPING1,3,28
TF,3,7
REST,4,5
SPACA5_SPACA5B,4,10
SPTBN2,4,8
TJP3,4,7
TP73,4,8
TTF2,1,769
TWF2,1,871
TXLNA,1,854
TXN,2,762
TXNDC5,1,874
STOML2,4,8
TTN,4,55
TXNDC9,1,847
TXNRD1,1,905
TEK,3,25
TUBB3,4,69
TYMP,1,853
UBAC1,2,218
UBE2B,4,722
TSC1,4,37
UBE2L6,1,886
UBE2Z,1,666
UBXN1,2,896
TXNL1,4,34
NELL1,3,2
UFD1,1,861
UNC79,1,623
UNG,1,287
UROD,2,853
USO1,1,861
MYH7B,4,9
USP25,1,874
USP47,1,541
USP8,1,874
VAMP5,3,30
VAMP8,1,867
IL6R,3,3
TYRO3,3,47
ULBP2,3,189
VASH1,1,844
VASP,1,860
GALNT3,3,1
TINAGL1,3,36
TNC,3,4
TNFSF8,3,41
VASN,3,155
VAV3,1,860
TNFRSF17,3,12
VEGFA,1,528
SYT1,3,12
TNFRSF10C,3,6
VEGFC,1,745
VPS28,1,833
VPS37A,1,842
VPS4B,1,865
TREM2,3,45
VCAM1,3,175
VPS53,1,858
UPB1,3,111
TIE1,3,8
VSIR,1,856
VTA1,1,851
VSIG4,3,221
VTI1A,1,873
WAS,1,584
WASF1,1,833
WARS,2,610
WASF3,1,582
TRAF3,2,20
MSMB,3,1
SCGB3A1,3,1
SCGB3A2,3,1
SFTPA2,3,6
VSIG2,3,13
VWC2,3,164
WASHC3,1,863
SOST,3,15
WWP2,1,864
XIAP,1,861
S100A13,3,4
VEGFB,3,18
WFDC2,3,183
XG,3,144
XRCC4,1,676
YARS1,1,858
YES1,1,846
UROS,2,4
YJU2,1,821
YOD1,2,591
YTHDF3,1,857
TGFBR1,4,8
TLR1,4,6
TPSG1,4,10
UNC5D,4,10
YWHAQ,1,892
WDR46,2,48
ZBTB16,1,805
ZBP1,4,64
ZBTB17,2,193
SFTPA1,4,3
ZFYVE19,1,866
ZNF830,4,29
BRD3,4,2
C7,3,1
CFHR4,3,1
CSF2,4,1
CST5,5,2
EDIL3,3,1
FCRL3,3,3
GAMT,4,1
GASK1A,4,1
GSAP,3,1
HBZ,2,2
HCG22,4,1
HEBP1,3,1
HIP1,4,1
HRC,3,3
HS6ST1,3,1
ICAM5,3,2
IFIT1,3,1
IFNG,3,3
IFNW1,4,1
IL15,3,1
IL17RB,3,3
IL1RL2,3,1
IL36A,6,1
ISM2,4,1
ITM2A,3,3
JCHAIN,3,1
KIR2DL3,8,1
KIRREL2,5,1
KLK15,3,1
KRT6C,4,1
LCP1,2,1
LECT2,3,1
LRIG1,3,1
LTA4H,3,2
LY75,3,1
MASP1,3,2
MMP3,3,1
MUCL3,10,1
MYH4,4,2
NFKB2,3,1
NPTX2,3,1
NRXN3,4,2
NTF3,3,1
NTPROBNP,11,1
OTOA,4,1
PEPD,3,3
PFDN4,3,1
PINLYP,3,2
PLA2G10,3,2
PLA2G7,3,1
PLB1,3,1
PON2,3,1
POSTN,3,5
PRR4,9,2
PSMC3,4,4
PSPN,3,1
PTH,3,4
PVR,3,1
PYDC1,3,2
RBM19,4,1
RBM25,4,1
RCC1,4,3
REG3G,3,1
REN,3,1
RLN2,4,3
RPGR,1,1
RTKN2,4,1
S100A16,3,3
S100G,3,5
SAT2,3,1
SCGB1A1,3,5
SCGN,3,3
SCN2A,3,1
SCN3B,4,1
SCT,3,1
SELL,3,9
SEMA4C,3,1
SERPINA11,3,2
SERPINA7,3,8
SERPINA9,3,2
SERPINI1,3,5
SERPINI2,5,14
SFTPD,3,1
SGSH,3,5
SIRPA,3,1
SLC9A3R2,3,1
SMAD5,3,2
SMPDL3A,3,11
SNED1,3,1
SORBS1,3,12
SOWAHA,4,6
SPINK4,3,6
SPINK6,3,4
SPINK8,4,2
SPINT3,7,3
SPOCK1,3,5
SPRR1B,4,3
SRPX,3,2
SSC4D,3,30
SSH3,4,6
STAB2,3,20
SUSD2,3,14
TACSTD2,3,6
TCL1B,3,1
TCN1,3,1
TCN2,3,1
TCTN3,3,12
TEX101,4,2
TFRC,3,2
THAP12,3,1
TIMP4,3,2
TLR4,4,4
TMED4,4,1
TMPRSS11D,3,3
TMPRSS15,3,20
TMPRSS5,3,4
TNFSF11,3,2
TNFSF13B,3,32
TNR,3,6
TNXB,3,50
TOP1,12,1
TP53BP1,13,2
TRPV3,4,1
TSPAN1,7,1
TSPAN15,4,1
TSPAN7,4,3
TSPAN8,3,6
TTR,3,17
TXK,4,5
TXNDC15,3,2
TYRP1,1,1
UGDH,4,29
UHRF2,4,4
UMOD,3,2
USP28,4,13
VAT1,3,3
VCAN,3,4
VEGFD,3,2
VGF,3,43
VIPR1,4,32
VIT,3,4
VNN1,3,7
VNN2,3,13
VSIG10L,3,2
VSNL1,3,56
VSTM1,3,1
VSTM2B,4,8
VSTM2L,3,1
VWA1,3,42
VWC2L,4,1
VWF,3,1
WASL,4,15
WFDC1,4,1
WFDC12,3,10
WFIKKN1,3,3
WFIKKN2,3,37
WIF1,3,10
WNT9A,3,15
XCL1,3,6
YAP1,3,211
YY1,4,21
ZHX2,2,126
ZNRD2,1,736
ZNRF4,1,518
