module,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
6,GO:0043122,regulation of canonical NF-kappaB signal transduction,13/246,305/18986,0.04262295081967213,3.2895908303345327,4.618445228506008,1.8326344895121935e-4,0.004410020441783597,0.003533926753572225,TNFSF14/TNFRSF19/EDA2R/LILRB4/LTBR/CLEC4D/VEGFA/CD40/MTDH/CD74/PARP1/ROR1/TGFBR3,13
6,GO:0045582,positive regulation of T cell differentiation,8/246,122/18986,0.06557377049180328,5.060908969745435,5.155542090365629,1.9168668440338867e-4,0.004526422924831114,0.0036272047450133463,TGFBR2/LILRB4/CD74/CD83/IL18/CD46/IL12B/CD80,8
6,GO:0008217,regulation of blood pressure,10/246,190/18986,0.05263157894736842,4.062045357295678,4.860083857832406,1.925333262426787e-4,0.004526422924831114,0.0036272047450133463,ADM/ACVRL1/PRCP/NOS3/DLL1/SCPEP1/CTSZ/NOS1/UMOD/CALCA,10
6,GO:0002292,T cell differentiation involved in immune response,7/246,92/18986,0.07608695652173914,5.8723047013078835,5.367282560342108,1.934368771295348e-4,0.004526422924831114,0.0036272047450133463,IL18R1/IL6/CLEC4D/IL18/CD46/IL12B/CD80,7
6,GO:0032945,negative regulation of mononuclear cell proliferation,7/246,92/18986,0.07608695652173914,5.8723047013078835,5.367282560342108,1.934368771295348e-4,0.004526422924831114,0.0036272047450133463,MAD1L1/TNFRSF14/LILRB4/TNFRSF21/CD274/CD300A/CD80,7
6,GO:2000403,positive regulation of lymphocyte migration,5/246,42/18986,0.11904761904761904,9.187959736740224,6.0862888828941495,2.0166906381565894e-4,0.004686733791277608,0.0037556682900926246,TNFSF14/JAM2/TNFRSF14/CCL7/CXCL13,5
6,GO:0001837,epithelial to mesenchymal transition,10/246,192/18986,0.052083333333333336,4.019732384823849,4.818340870699849,2.0957044138163484e-4,0.004837227942910796,0.003876265306758058,HGF/TGFBR2/IL6/EFNA1/VEGFA/PHLDB1/BAMBI/TCOF1/TGFBR3/VASN,10
6,GO:0071677,positive regulation of mononuclear cell migration,7/246,94/18986,0.07446808510638298,5.747362048088566,5.286465142627439,2.2112108705947133e-4,0.005069350326978286,0.004062274309207785,TNFSF14/JAM2/TNFRSF14/CCL7/CXCL13/MSTN/CXCL17,7
6,GO:0002705,positive regulation of leukocyte mediated immunity,9/246,158/18986,0.056962025316455694,4.396264279098487,4.911520793590021,2.2348009050905565e-4,0.0050828650903179335,0.004073104232643437,IL18R1/IL6/CD40/NECTIN2/ULBP2/IL18/CD160/SH2D1A/IL12B,9
6,GO:0046640,regulation of alpha-beta T cell proliferation,5/246,43/18986,0.11627906976744186,8.974286254490453,5.9977689384281065,2.258143474123483e-4,0.0050828650903179335,0.004073104232643437,TGFBR2/TNFRSF14/CD274/IL18/IL12B,5
