name,wX_01,wX_02,wX_03,wX_04,wX_05,wX_06,wX_07,wX_08,wX_09,wX_10
ADA,0.026681019707403726,-0.005099881314717493,0.05171024674054912,0.008749532925851653,-0.018924925985600687,0.015773578742683373,-0.00639509396791159,-0.04926521034314831,-0.07437677611068041,0.0017044996100297458
ADAM23,0.003946103404090994,-0.016638365659753854,6.57519350215132e-6,-0.01917992632306251,0.010291549581376222,-0.02368852429432647,-0.02529123456110353,-0.027689602076866167,0.039167524870563436,-0.022948455669955185
ADAMTS13,-0.009141865122690144,-0.010872184787032614,-0.07286430362199721,0.025239673749784565,-0.06126068854900303,-0.08150713835668441,0.04685921736442482,0.052747622909897755,-0.060940559377806944,-0.10645626972469618
ADM,0.0500410432426251,-0.10154479813230582,0.07710003027590288,-0.010211331549489607,-0.15911145910683538,0.05268247008955347,0.003374420242396943,-0.041813858984899595,-0.1857385082233355,0.214711399889864
AGRP,0.011839861306136111,-0.10915635145813482,-0.16079453090204157,-0.13151017646642402,0.13255214067093363,0.25935261155575773,-0.05766775439317667,-0.2063411279284653,-0.0880089730956397,0.06712125907461187
ALCAM,0.0054111214100841685,0.05163765458722882,-0.09013050696717533,-0.0162837051752497,0.006817981737831987,0.16530060513936792,0.14164725473058612,0.025664922268603806,0.14607650137112047,-0.060028978254721324
ANGPT2,0.059834725867269095,0.07766161296257275,-0.039762350365280606,0.06270172517417051,0.0035078105957476614,-0.12218561041845505,0.06650592817998845,-0.08497142058486182,-0.03965345133889869,0.06500486437519973
ANGPTL7,0.015478077509971738,-0.10210617962517521,0.05217397484846262,0.0877050832104799,0.10045457255604681,0.09795124311579564,-0.015468879337564675,-0.113239080630409,0.08290122208049233,0.18824294971653732
BLMH,0.009286930224737198,0.0038476489757869707,0.008266994586206194,-0.039727534905981556,0.013403644274108013,-0.023957560977509725,-0.08317650579130677,0.04251183267281211,-0.007614445000440686,-0.03289037176191202
CA14,-0.15196751530840819,0.008173072661800392,3.644274142228444e-4,-0.09499334545357019,-0.0016104281499411894,-0.10696657282949114,-0.036207684398380874,0.055668569732872875,0.21542166065605928,0.0023793431175001627
CA4,0.013392054652709309,-0.022181813698441376,0.07887085407065163,0.04268014866921035,-0.02285381358026333,-0.04537982983681523,0.0972827620422718,-0.1279853868143817,-0.0012256780410115314,-0.10490544104525634
CA9,-0.012888902065821358,0.03062429725392332,-0.02821323780246827,0.08034792774432473,0.0022655084703705397,0.05594246717013053,0.11025101642025914,-0.07065889021371517,0.0916454547071321,-8.733259402228189e-4
