name,u_01,u_02,u_03,u_04,u_05
C19ORF12,0.022172859990854627,0.02106859458885975,0.0111375352890153,0.011169133781147813,8.091153955025446e-4
C1QA,-0,-0,-0,-0,-0
C1QTNF1,0,0,0,0,0.01877267200939693
C2,0,0,0,0,0.02593531383477856
C2CD2L,0,0,0,0,0
C4BPB,0,0,0,0,0
CA1,0,0,0,0,0
CA11,0,0,0,0,0
CA12,-0,-0,-0,-0,-0
CA13,0,0,0,0,0
CA14,-0.019574954168410447,-0,-0.05548275227430301,-0,-0.011768951622706914
CA2,0,0,0,0,0
CA3,0,0,0,-0,0
CA4,-0,-0,0,-0,-0
CA5A,0.0527073977090559,0.04791856310566487,0.030503082929068427,0.03081321681415187,0
CA6,-0,-0,-0.04978640166936357,-0,-0.004874620976100824
CA9,-0,-0,-0,-0,-0
CALB1,0,0,0,0,0
CALB2,0,0,0.01727057579998051,0,0.021408498410134896
CALCA,0.009083557423536457,0.005893092215108212,0,0,0.03466078039410608
CALCOCO1,0,0,0,0,0
CAMKK1,0,0,0,0.007092963545797501,0.03432532908021371
CANT1,0.05609217791329794,0.057572622318571055,0.03612284270892123,0.06139868505529498,0
CAPG,0,0,0,0,0
CARHSP1,0,0,0,0,0
CASP1,0,0,0,0,0
CASP10,0,0,0,0,0
CASP2,0,0,0,0,0
CASP3,0,0,0,0,0
CASP8,0,0,0,0,0
CBLIF,0,0,0,0,0
CBLN4,0,0,0,0,0
CC2D1A,0.016295059542432096,0.023240284241958172,0,0.03682416067835264,0
CCDC80,0,0,0,0,0.02341110531452153
CCL11,0,0,0,0,0
CCL13,0,0,0,0,0.005939739700108926
CCL14,0,0,0,0,0
CCL15,0,0,0,0,0
CCL16,0.07513663329627776,0.06431848778177038,0.07356766618682414,0.036140772724295764,-0
CCL17,0,0,0,0,0.021951621468708937
CCL18,0,0,0,0,0.024456917476210364
CCL19,0,0,0,0,0
CCL2,0,0,0,0,0.005325182248607861
CCL20,0,0,0,0,6.338480478151294e-5
CCL21,0,0,0,0,0
CCL22,0.023675977412541727,0.023038667489855065,0.01106929835689174,0.03272810594511019,0
CCL23,0.07363993924759464,0.08309392910898271,0,0.10174681880760768,-0
CCL24,0,0,0,0,0
CCL25,0,0,0,0,0
CCL26,0,0,0,0,0
CCL27,0.0849966273501347,0.09957434308541993,0,0.11406778927741627,-0
CCL28,0,0,-0,0,0
CCL3,0,0,0.01726431669868596,0,0.05185370994574697
CCL4,0,0,0,0,0.02511525686020416
CCL5,0,0,0,0.004634757103034781,0.04062382829362023
CCL7,0,0,0.022747054008502524,0,0.03544347242698206
CCL8,0,0,0,0,0.009010654902330837
CCN1,0.13342355020159696,0.1522276633344986,0,0.17493514815724598,-0.12264539067072436
CCN2,0,0,0,0,0.028644630815743817
CCN3,0,0,0,0,0
CCN4,0,0,0,0,0
CCN5,0,0,0,0,0.0061798752109148
CCS,0,0,0,0,0
CCT5,0,0,0,0,0
CD109,0,-0,-0,-0,-0
CD14,0,0,0,0,0
CD160,0,0,0,0,0
CD163,0,0,6.890664889795626e-4,0,0
CD164,0,0,0,0,0.012164054688216267
CD177,0,0,0,0,0
CD1C,0,0,-0,0,0
CD200,-0,-0,-0,-0,-0
CD200R1,0,0,0,0,0
CD207,0,0,0,0,0
CD209,-0,-0,-0,0,-0
CD22,0,0,0.009585776228319236,0,0.03673613647970347
CD244,0,0,0,0,0.006412065358397839
CD27,0,0,0,-0,0
CD274,0,0,0,0,0.03220037750037253
CD276,-0,-0,-0,-0,-0
CD28,0,0,0,0,0
CD2AP,0,0,0,0,0.050086552463164735
CD300C,0,0,0,0,0.013227199995511123
CD300E,0,0,0.0017588267985946594,0,0
CD300LF,0,0,0,0,0
CD300LG,-0,-0,-0.08738567388309396,-0,-0.020446450061306465
CD302,0,0,0,0,0.034283990219332885
CD33,0,0,0,-0,0
CD34,-0,0,-0,0,-0
CD38,0.04309279809866116,0.043402189286979434,0.05249825349470217,0.034851295636543794,0
CD4,0.10555166694812422,0.0988022867506307,0.09001793943757902,0.08617519228239123,-0
CD40,0.0050020100881751125,0.0038414736922109437,0,0.003424523005056566,0.04222985723262527
CD40LG,0,0,0,0,0
CD46,0,0,0,0,0.017821143128660236
CD48,0,0,0,0,0
CD5,0.007502345117151861,0,0.06395967421324596,0,0.03422288942836437
CD58,-0,-0,-0,-0,-0
CD6,0,2.8864596948016615e-4,0,0.01643013293051102,0.030868834055621734
CD63,0.005997069462390449,0.014641417092896935,0,0.021141346683806746,0.023453854031695708
CD69,0,0,0,0,0.019467877109306548
CD70,0,0,0,0,0
CD74,0.01422985849266421,0,0.034279041591302725,0,0.028322389109932324
CD79B,0,0,0,-0,0
CD83,0,0,0.0030084007535542243,0,0.02993794167638358
CD84,0,0,0,0,0
CD8A,0,0,0,0,0
CD99,0,0,-0,0,0
CD99L2,0.02997671684331249,0.02627157407063374,0,0.06421037020807115,0
CDC27,0,0,0,0,0.021006301209523733
CDC37,0,0,0,0,0
CDCP1,0,0,0,0,0.016081502174736997
CDH15,0,0,0,0,0
CDH17,-0,-0,0,-0,-0
CDH2,0.07259902345374641,0.0644003693551535,0.05252819835934794,0.035789043266974886,-0
CDH3,0,0,0,0,0
CDH5,-0,-0,-0,-0,-0
CDH6,-0,-0,-0,-0,-0
CDHR1,0,0,0,0,0
CDHR2,0.09565832415214157,0.0922026758176837,0.08970263737420436,0.08290162205010242,-0
CDHR5,0.022368026570758745,0.032506257265219586,0.06843593785033475,0.04966381817260239,0
CDKN1A,0.05424142726674957,0.061768412686857954,0.004061503108692713,0.07021572524965393,0
CDKN2D,0,0,0,0,0
CDNF,0,0,0,0,0
CDON,0,0,0,0,0.0023587159770415045
CDSN,0,0,-0,0,0
CEACAM1,0,0,0,0.001131981642765599,0.010395749343702616
CEACAM21,0,-0,0,-0,0
CEACAM3,0,0,0,0,0
CEACAM8,0,0,0,0,0
CEBPB,0,0,0,0,0
CELA3A,0,0,-0,0,0
CEP164,0,0,0,0,0
CEP20,0.01350057674113529,0.018772783314658453,0,0.02724663813314183,0.00453515029672558
CEP43,0,0,0,0.0024506743136565915,0.04267648047879004
CEP85,0,0,0,0.0041452920788761565,0.03774634220423715
CERT,0,0,0,0,0
CES1,0.18345195672848622,0.1801834057814819,0.11267254338123592,0.15327952738276177,-0.20348234392072878
CES2,0.0023711245295106723,0.020920067320261512,0,0.05227698528426112,0.008569590785984692
CES3,0.010632304421394031,0.022269669255031193,0,0.03479653458609961,0.0031936440815764867
CETN2,0,0,0,0,0.007764624416276546
CFC1,0,0,0,0,0
CGA,-0,0,-0,0,0
CGREF1,0,0,0,0,0.004281226731980285
CHAC2,0,0,0,0,0
CHEK2,0,0,-0,0,0
CHGB,-0,-0,-0,-0,-0
CHI3L1,0,0,0,0,0.01272092017304681
CHIT1,0,0,0,0,0
CHL1,-0,-0,-0,-0,-0
CHMP1A,0,0,0,0,0.014244866851900437
CHRDL1,0,0,0,0,0
CHRDL2,0,0,0,0,0
CIAPIN1,0,0,0,0,0
CKAP4,0,0,0,0,0
CKMT1A_CKMT1B,0,-0,0,-0,0
CLC,0,-0,0,-0,-0
CLEC10A,0,-0,-0,-0,0
CLEC11A,0,-0,0,-0,0
CLEC14A,0,-0,0,-0,0
CLEC1A,0,0,0,0,0
CLEC1B,0,0.003546812063532558,0,0.015959957127994924,0.041219258474444076
CLEC4A,-0,-0,-0.06755808101784654,-0,-0.03542122342026875
CLEC4C,0,0,0,0,0
CLEC4D,0,0,0.015493058733814548,0,0.009722113334487217
CLEC4G,0,0,0,0.011871898892717036,0.03406459579205883
CLEC5A,-0,-0,-0,-0,-0
CLEC6A,0,0,0,0,0
CLEC7A,0,0,0,-0,0
CLIP2,0,0,0,0,0.02153587566606367
CLMP,0,0,0,0,0.02224260808213871
CLPP,0,0,0,0,0
CLPS,-0,-0,0,-0,-0
CLSPN,0,0,0,0,0
CLSTN1,0,0,0,0,0
CLSTN2,-0,-0,-0,-0,-0
CLTA,0,0,0,0,0
CLUL1,-0.04750197599563167,-0.0312604649556527,-0.12281769962711755,-0,-0
CNDP1,0,0,0,0,0
CNPY2,0,0,0,0,0
CNPY4,0,0,0,0,0.0067812077129762345
CNST,0,0,0,0,0.031962948323337514
CNTN1,-0,-0,-0,-0,-0
CNTN2,-0,0,-0,-0,-0
CNTN3,0.07700473008513213,0.08613161440558857,0.07447351869756628,0.09321831219645138,-0
CNTN4,-0,-0,-0,-0,-0
CNTN5,-0,-0,-0.00656843904497572,-0,-0
CNTNAP2,0,0,0,0,0
COL18A1,0.05798976670615769,0.04773473696174518,0.05620869571070548,0.037476820564215724,0
COL1A1,-0,-0,-0,-0,-0
COL4A1,-0,-0.007759704111485662,-0.003675306097703626,-0.0448543924832434,-0.012023882647742868
COL6A3,0.011452986782189485,0,0.05570291675762556,0,0.029723686597750033
COL9A1,0,0,-0,0,0
COLEC12,0,0,0.036514292736392534,0,0.042554726739248434
COMP,0,0,-0,0,0
COMT,0,0,0,0,0
COPE,-0,-0,-0,-0,-0
CORO1A,0,0,0,0,0
COX5B,0,0,0,0,0
CPA1,0,0,0,0,0
CPA2,0,0,0,0,0
CPB1,0,0,0,0,0.001396241613070032
CPE,-0,-0,-0,-0,-0
CPM,0.1373902891678475,0.12352728193956099,0.1296175100783875,0.09871390563784709,-0.06431677541562426
CPPED1,0,0,0,0,0
CPVL,0,0,0,0,0
CPXM1,0,0,0,0,0
CR2,0,0,0,0,0
CRACR2A,0,0,0,0,0
CRADD,0,0,0,0,0
CREG1,0.045207795984117644,0.04559740954476097,0,0.06434554351155944,0
CRELD2,0.013302603786723571,0.010748127854498492,0.0034880585573163624,0.01748311624146144,0.018741770673507074
CRH,-0,0,-0,0,-0
CRHBP,0.04689951355707523,0.04257588065974647,0.06709388699095108,0.031667982247163634,0
CRHR1,0,0,-0,0,0
CRIM1,-0,-0,-0,-0,-0
CRIP2,0.07081035110559804,0.06248088895286071,0.0751608841112543,0.04914707732987841,-0
CRISP2,-0,-0,-0,-0,-0
CRKL,0,0,0,0,0.021416359975222364
CRLF1,0,0,0,0,0.026395352009138322
CRNN,0,0,-0,0,0
CRTAC1,-0,-0,-0,0,-0
CRTAM,0,0,0,0,0
CRX,-0,-0,-0,-0,-0
CSF1,0,0,0.0318314224946906,0,0.038304737830743965
CSF2RA,0,0,0,0,0
CSF3,0,0,0,0,0
CST3,0.048952301403383254,0.03135608231619081,0.07530717840594818,0.008740958930226691,0
CST5,0,0,-0,0,0
CST6,0,-0,0,0,0
CST7,0,0,0,0,0
CSTB,0,0,0.04822750268022683,0,0.04080615432944681
CTF1,0,0,0,0,0.0030710537370104833
CTRB1,0,0,0,0,0
CTRC,-0,-0,-0,-0,-0
CTSB,-0,-0,-0.011070198007134723,-0,-0
CTSC,0,0,0,0,0
CTSF,0,0,-0,0,0
CTSH,0,0,0,0,0
CTSL,0,0,0,0,0.013002047984679509
CTSO,0.03959219063687305,0.03187444353088591,0.03305725765159764,0.020084045264219988,0
CTSV,-0,-0,-0,0,-0
CTSZ,0.01167614697429462,0,0.019683521547238306,0,0.035242316196291985
CX3CL1,-0,-0,-0,-0,-0
CXADR,0,0,0,0,0
CXCL1,0,0,0,0,0
CXCL10,0.024800786146803876,0.034298215418550784,0.0038135832165502336,0.04162099547391853,0
CXCL11,0,0,0,0,0
CXCL12,-0,-0,-0,0,-0
CXCL13,0.017007469638010024,0.015070700334000108,0,0.008217352565957386,0.01226878952565093
CXCL14,0,0,-0,0,0
CXCL16,0,0,0,0,0.04383989811345193
CXCL17,0,0,0,0,0.03495380607451975
CXCL3,0,0,0,0,0.006912377747059761
CXCL5,0,0,0,0,0.0017593298525584043
CXCL6,0.016085768785806333,0.02621946015499042,0,0.041864994794365576,0
CXCL8,0,0,0,0,0
CXCL9,0,0,0,0,0
DAB2,0,0,0,0.01604487286458577,0.030932176885955114
DAG1,0.0011689010954636753,0.005781652207323687,0,0.011547904743481208,0.041722048367020786
DAPP1,0,0,0,0,0
