dataset,n,n_q_sex,n_q_age,med_R2,p90_R2,p95_R2,max_R2
metabolome,249,227,243,0.0417266760447611,0.13919061300551974,0.1777859329016781,0.2623211045099276
proteome,2919,2037,1790,0.006833696814826484,0.07408010580001223,0.11206239902979838,0.7311024590608457
