module_protein,n_proteins,proteins,top_GO_terms,top_KEGG_pathways,associated_metabolites
1,765,AAMDC; ABHD14B; ABL1; ABRAXAS2; ACADSB; ACOT13; ACOX1; ACRBP; ADAMTS4; ADGRF5; AHCY; AHSA1; AIF1; AFAP1; AIFM1; AK2; AKR1B1; AKT1S1; AKT2; AKT3; ALDH5A1; AMOTL2; ANGPT1; ANKMY2; ANXA11; ANXA2; ANXA3; ANXA4; AP1G2; AP2B1; AP3B1; AP3S2; APP; APPL2; APRT; ARAF; ARF6; ARFIP1; ARHGAP1; ARHGAP25; ARHGAP45; ARHGEF1; ARHGEF10; ARHGEF12; ARG2; ARL13B; ARL2BP; ARSA; ARSB; ASAH1; ASPSCR1; ASRGL1; ATG16L1; ATOX1; ATP5IF1; ATP6V1F; ATP6V1G1; ATXN10; ATXN2L; AXIN1; AZI2; BACH1; BAG4; BAG6; BANK1; BAX; BCAT1; BCL2L1; BCL2L11; BCR; BDNF; BECN1; BGN; BID; BIN2; BIRC2; BLMH; BLOC1S3; BNIP2; BNIP3L; BRAP; BRDT; BRK1; BRSK2; BTC; BMP6; BTN3A2; C2ORF69; CA13; CABP2; CACNB3; CACYBP; CALCOCO1; CALCOCO2; CAMKK1; CAMLG; CAMSAP1; CASC3; CASP10; CASP2; CASP3; CASP7; CASP8; CASP9; CC2D1A; CCL13; CCDC134; CCL17; CCL28; CCL4; CCL5; CCL26; CCL8; CCN2; CCT5; CD164; CD226; CD36; CD40; CD40LG; CD63; CD69; CD84; CDC26; CDC27; CDC37; CDC42BPB; CDK5RAP3; CDKN1A; CDKN2D; CDNF; CEP170; CEP20; CEP43; CEP85; CERT; CETN2; CETN3; CHM; CHMP1A; CHMP6; CIAPIN1; CIRBP; CLEC1B; CLIP2; CLPP; CLTA; CMC1; CMIP; CNP; CNPY4; COCH; CNST; COL2A1; COMMD1; COMMD9; COMT; COPB2; CORO1A; COX5B; COX6B1; CPXM1; CRACR2A; CRADD; CRELD2; CRKL; CRYBB1; CRYGD; CRYM; CRYZL1; CSDE1; CSNK1D; CSNK2A1; CTF1; CXCL1; CXCL11; CXCL3; CXCL5; CXCL6; CYB5R2; DAAM1; DAB2; DAG1; DAPK2; DAPP1; DARS1; DBI; DBN1; DBNL; DCTD; DCTN1; DCTN2; DCTN6; DDHD2; DECR1; DENR; DFFA; DGKA; DGKZ; DHRS4L2; CXCL12; DIABLO; DKK1; DLG4; DMD; DNAJA2; DNAJB14; DNAJB6; DNAJB8; DNAJC21; DNAJC6; DNM1; DNM3; DNMBP; DOK1; DOK2; DPP7; DRG2; DTD1; DTNB; DUSP3; DUT; DXO; DYNLT1; DYNLT3; EBAG9; ECHS1; ECI2; EDAR; EDF1; EEF1D; EFCAB2; EGF; EHBP1; EHD3; EIF2AK2; EIF2AK3; EIF2S2; EIF4B; EIF4E; EIF4G1; EIF4G3; EIF5; ELAC1; ELOB; ENAH; ENO1; ENO2; ENOX2; ENSA; EPPK1; ERBIN; EREG; ERMAP; ERP29; ERP44; ESYT2; EVI5; F11R; F2R; FABP5; FADD; FAM13A; FAM172A; FARSA; FDX2; FES; FGD3; FGF2; FGFBP3; FHIT; FIS1; FKBP14; FKBP1B; FKBP4; FKBP5; FKBP7; FKBPL; FLI1; FNTA; FMR1; FOXJ3; FOXO1; FOXO3; FRMD4B; FUT8; FXN; FXYD5; FYB1; GADD45GIP1; GAPDH; GATD3; GBP2; GBP4; GCC1; GFER; GGACT; GGCT; GIGYF2; GIPC3; GIT1; GLB1; GLRX5; GMFG; GMPR2; GNAS; GNE; GNPDA2; GOLGA3; GOPC; GORASP2; GP1BA; GP1BB; GP5; GP6; GPC5; GPI; GRAP2; GRHPR; GRK5; GRSF1; GSTT2B; GTPBP2; GSTP1; GYS1; HARS1; HBEGF; HCLS1; HEXIM1; HGS; HHEX; HMGCL; HNRNPK; HPCAL1; HPSE; HS1BP3; HSBP1; HSD17B3; HSDL2; HSPA1A; HSPB1; HTRA2; ICA1; IFIT3; IFT20; IGHMBP2; IKBKG; IL1B; IL7; ILKAP; IMPA1; ING1; INPP1; INPPL1; IPCEF1; IQGAP2; IRAG2; IRAK1; IRAK4; IST1; ITGA6; ITGB1BP2; ITGB5; ITPA; ITPR1; JAM3; JPT2; KAZN; KIF22; KIFBP; KYAT1; L3HYPDH; LACTB2; LAMTOR5; LAP3; LARP1; ITGB1BP1; LAT; LAT2; LATS1; LDLRAP1; LETM1; LGALS8; LGMN; LONP1; LPP; LRPAP1; LRRC59; LRRFIP1; LSM1; LYN; LZTFL1; MAGED1; MANF; MAP2; MAP2K1; MAP2K6; LYSMD3; MAP3K5; MAP4K5; MAPK9; MAPKAPK2; MARS1; MAVS; MAX; MCEMP1; MCFD2; CGN; MDK; MDM1; MECR; MED18; MESD; METAP1D; METAP2; MGLL; MGMT; MICALL2; MIF; MINDY1; MINK1; MITD1; MMP1; MMUT; MOCS2; MPHOSPH8; MPI; MPIG6B; MRPL46; MRPL58; MSRA; MTDH; MTHFSD; MTIF3; MTSS1; MTSS2; MYCBP2; MYDGF; MYH9; MYO9B; MZT1; NAA10; NAA80; NACC1; NAGK; NARS1; NCK2; NDUFA5; NDUFB7; NECAP2; NEK7; NEXN; NFAT5; NFATC1; NFE2; NFKB1; NDUFS6; NFKBIE; NFU1; NID1; NFX1; NID2; NGRN; NIT1; NIT2; NMI; NMT1; NRGN; NT5C; NT5C3A; NUB1; NUCB2; NUDC; NUDT16; NUDT2; NUDT5; NUMB; OGA; OPHN1; OPLAH; OTUD6B; OTUD7B; OXCT1; P4HB; PACS2; PAFAH2; PAG1; PAK4; PARD3; PBLD; PCBP2; PCYT2; PDAP1; PDE5A; PDGFA; PDGFB; PDIA3; PDIA4; PDLIM5; PDLIM7; PDP1; PDZD2; PEAR1; PECAM1; PECR; PER3; PF4; PFDN2; PFKFB2; PGD; PHACTR2; PHLDB1; PHYKPL; PIBF1; PIKFYVE; PKD2; PKN3; PLA2G4A; PLCB2; PLEKHO1; PLIN3; PLPBP; PLSCR3; PLXNA4; PLXNB3; PMM2; PMVK; PNMA1; PPBP; PPIB; PPIF; PPM1A; PPM1F; PPP1CC; PPP1R12A; PPP1R14A; PPP1R2; PPP1R9B; PPP2R5A; PPP3R1; PRDX1; PRDX3; PRDX5; PRKAB1; PRKAR1A; PRKAR2A; PRKG1; PRKRA; PRTFDC1; PRKD2; PSRC1; PSTPIP2; PTEN; PTGES2; PTPN1; PTPN6; PTRHD1; PVALB; RAB10; RAB11FIP3; RAB27B; RAB2B; RAB33A; RABEP1; RABEPK; RAD23B; RAPGEF2; RBM17; RBPMS2; REEP4; REPS1; RFC4; RGCC; RGS10; RHOC; RILPL2; RNASEH2A; RNF41; RNF5; RP2; RRAS; C1QBP; RRM2B; RTN4IP1; RWDD1; S100A4; SAMD9L; SARG; SCAMP3; SCARF1; SCPEP1; SCRN1; SCRIB; SDC4; SDCCAG8; SDHB; SEC31A; SELP; SEMA4D; SEPTIN9; SERPINB1; SERPINB6; SERPINB9; SERPINE1; SERPINE2; SERPINH1; SESTD1; SH2B3; SH3BP1; SHMT1; SIAE; SIRT2; SKAP2; SLA2; SLC27A4; SLC9A3R1; SLMAP; SMAD1; SMAD2; SMAD3; SMARCA2; SMS; SMTN; SNAP23; SNAP25; SNAP29; SNAPIN; SNX2; SNX5; SNX9; SOD2; SORT1; SPAG1; SPARC; PDGFC; SPART; SPINT2; SPRED2; SPRY2; SPTLC1; SRC; SRPK2; STAM; STAMBP; STAT2; STAT5B; MTPN; STK11; STK24; STK4; STX16; STX4; STX6; STX7; STX8; STXBP1; STXBP3; SUGP1; SUGT1; SULT1A1; SUMF2; SUSD1; SV2A; SYAP1; SYTL4; TAB2; TACC3; TADA3; TANK; TARBP2; TARS1; TAX1BP1; TBC1D23; TBC1D5; TBCA; TBCB; TBCC; TBL1X; TDRKH; TGFB1; THPO; THTPA; TIA1; TIGAR; TIMM10; TIMM8A; TIMP3; TJAP1; TMCO5A; TMED8; TMEM106A; TMSB10; TNFAIP2; TNFAIP8; TNFAIP8L2; TNFSF12; TNFSF14; TNIP1; TOMM20; TOP2B; TP53; TPD52L2; ENOPH1; TPMT; TRAF2; TPP1; TRDMT1; TREML1; TRIAP1; TRIM21; TRIM24; TRIM25; TRIM40; TRIM5; TRIM58; TSC22D1; TSPYL1; TST; TTF2; TWF2; TXLNA; TXNDC5; TXNDC9; TXNRD1; TYMP; UBE2L6; UBE2Z; UFD1; UNC79; UNG; USO1; USP25; USP47; USP8; VAMP8; VASH1; VASP; VAV3; VEGFA; VEGFC; VPS28; VPS37A; VPS4B; VPS53; VSIR; VTA1; VTI1A; WAS; WASF1; WASF3; WASHC3; WWP2; XIAP; XRCC4; YARS1; YES1; YJU2; YTHDF3; YWHAQ; ZBTB16; ZFYVE19; RPGR; TYRP1; ZNRD2; ZNRF4,wound healing; hemostasis; positive regulation of phosphorylation; platelet activation; positive regulation of protein phosphorylation; coagulation,Lipid and atherosclerosis; Apoptosis - multiple species; Apoptosis; TNF signaling pathway; NF-kappa B signaling pathway; MAPK signaling pathway,Lactate
2,223,AARSD1; ACP1; ACYP1; ADA; ADD1; AHSP; AK1; ALDH1A1; AMPD3; ANKRD54; ANXA1; APBB1IP; APEX1; ARG1; ATG4A; ATXN3; AZU1; BAP18; BLNK; BLVRB; BOLA1; BOLA2_BOLA2B; BCL2L15; C9ORF40; CA1; CA2; CA3; C7ORF50; CAPG; CARHSP1; CAT; CCS; CD2AP; CDA; CEACAM8; CENPF; CHAC2; CASP1; CIT; CPPED1; CCL2; CSTB; CWC15; CXCL8; CLNS1A; DDI2; DDT; DDX58; DNAJB1; DNAJA4; DNAJB2; DNAJC9; DNPEP; DNPH1; BCL2; DPY30; DTYMK; CEBPB; EGLN1; EIF4EBP1; ELOA; ENTR1; CD6; EZR; ERI1; ARID4B; FEN1; FGR; FMNL1; FUS; GBP1; GCLM; GCHFR; GLO1; GLOD4; GLRX; GET3; GMPR; GSR; GIPC2; GNPDA1; HAGH; HBQ1; HDDC2; GPKOW; HDGF; HDGFL2; HIP1R; DHPS; HNRNPUL1; CLC; HSPA2; IGBP1; GIMAP7; IL18; IL16; IMPACT; INPP5D; KCTD5; LBR; HMBS; LMNB1; KIF1C; LHPP; LRCH4; KLF4; LPCAT2; LSP1; MAD1L1; LXN; MDH1; MMP8; LYAR; MMP9; MNDA; MRI1; MPO; NADK; MYL4; NAP1L4; NAMPT; NBN; NAPRT; NCF2; NEDD4L; NFYA; NMNAT1; MAEA; NPL; NPM1; NSFL1C; OLFM4; OGFR; OLR1; PAGR1; OSM; PARK7; PARP1; PAXX; PDCD5; PEBP1; PADI4; PIK3AP1; NEDD9; POLR2F; PPCDC; PKLR; PPME1; PRDX2; PRDX6; PQBP1; PSIP1; PSMD1; PSMD9; PSME1; PSME2; PSMG3; PSMG4; QDPR; PXN; RABGAP1L; RAB44; RANBP1; RASSF2; RBKS; RIDA; RILP; RBP7; RPE; RNASE3; S100A11; S100A12; SEPTIN8; SART1; SERPINB8; SF3B4; SH2D1A; SH3GLB2; SIT1; GIMAP8; RALY; RPL14; S100P; SKAP1; SMNDC1; MAPK13; SETMAR; SNCA; SNRPB2; SNX15; SLC4A1; SOD1; SRP14; SSNA1; ST13; STIP1; SWAP70; TALDO1; TBC1D17; RRM2; TCOF1; TGM2; THOP1; TCL1A; TOR1AIP1; TP53I3; TPK1; TDP1; TPR; TSNAX; TXN; UBAC1; UBXN1; UROD; WARS; TRAF3; UROS; YOD1; WDR46; ZBTB17; HBZ; LCP1; ZHX2,hydrogen peroxide metabolic process; cellular oxidant detoxification; cellular detoxification; cellular response to toxic substance; nucleotide metabolic process; response to oxidative stress,Nucleotide metabolism; Biosynthesis of cofactors; Lipid and atherosclerosis; NOD-like receptor signaling pathway; Pyruvate metabolism; Thiamine metabolism,Pyruvate; Glutamine
3,1099,ACAA1; ACE2; ACP5; ACY1; ACVRL1; ADAM22; ADAMTSL2; ADA2; ADAM8; ADAM15; ADGRE1; ADGRE2; ADGRE5; ACAN; ACY3; ADH1B; ADH4; ADAM12; ADAMTS15; ADM; AGRN; AHNAK; AFM; AGXT; ADGRG2; AGER; AKR7L; ABO; ALCAM; ANPEP; A1BG; AMBP; APOA1; AHSG; APOA4; ADIPOQ; APOC1; APOD; APOF; APLP1; ADAM23; ANGPTL4; APCS; ASGR1; ADAM9; ART3; ASGR2; ATRAID; AXL; B2M; APOM; AHNAK2; BAIAP2; AOC3; B4GAT1; ATRN; ASPN; ADGRD1; ANGPT2; BMP10; B4GALT1; BAG3; ASS1; BAMBI; BMPER; BSG; BST2; ANGPTL2; APOE; C1R; C1RL; C1S; C3; BTN2A1; BCAN; C19ORF12; ANXA10; ACTN2; CANT1; CA9; CA5A; CA12; CCL11; ANG; CCL14; C1QTNF1; CCDC80; CCL18; AGRP; CCL22; ALPI; CCL23; CCL3; CCL7; CCL27; CCN1; CCN3; BCAM; ANGPTL3; C2; ADGRG1; CCN4; CA14; CD163; AMIGO2; CD160; ACHE; CCL21; CD244; CD27; CD22; CD274; CD28; CD300A; CD300C; CD300E; CA4; CD200; CD248; CD300LG; CD302; CD38; CD14; CD4; CD46; CD48; CD34; BOC; CD109; CD276; CD55; ACTA2; CCL15; CCL16; CCN5; CD5; CD59; CD300LF; CD72; CD74; CD79B; CD80; CD1C; CD83; ADAMTS8; CD58; CD93; CD99; CD99L2; CCL25; CDH1; CDH17; CDH3; CDH5; BPIFB2; CBS; CDH2; CDSN; ALPP; CEACAM5; CEACAM6; CDHR2; AGR3; BMP4; C5; C8B; CELSR2; BCHE; BTD; CDHR5; CES1; CFB; CFD; CFHR2; CFH; CFHR5; CFI; BGLAP; CHCHD10; CBLIF; CALB1; CDON; AREG; CGREF1; CHRDL1; APOA2; CDH6; CHGB; CKAP4; CLEC14A; CFP; CD209; CLEC4D; CALB2; CLEC1A; CBLN4; CHL1; CNTN1; CKB; CNTN4; CNTN2; CLMP; COL15A1; CHAD; CLEC11A; COL1A1; COL18A1; COL6A3; CILP; CNTN3; COL5A1; COLEC12; CD86; CR1; CPM; CPQ; CHRDL2; COMP; CD8A; CLEC6A; CRELD1; CRHBP; CRIM1; CRLF1; CDCP1; CR2; CPXM2; CRIP2; CSF1; CEACAM19; CPA4; CST3; CREG1; CSPG4; CHI3L1; CTBS; CTSD; CTSL; CTSF; CTSO; COQ7; CXCL10; CRTAM; CTHRC1; CHCHD6; DCTPP1; DCXR; DDAH1; CLEC5A; CRISP3; DCN; CLEC7A; CTSS; CTSZ; CX3CL1; DDR1; DEFA1_DEFA1B; DLK1; APOL1; CA6; CNTNAP2; CLEC3B; DNER; DPP10; CTSC; DLL1; DPT; DSC2; CST6; DSG3; C1QA; CSF1R; CXADR; ECHDC3; DTX3; CXCL17; EDA2R; EDN1; CXCL16; DSG2; EFCAB14; EFEMP1; CALCA; CD7; CLEC10A; CXCL9; DKK4; DRAXIN; EFNA1; CNDP1; DPP4; DSG4; DKK3; EGFR; ENG; DCBLD2; EFNA4; CD207; ELN; EPHA1; DIPK2B; EPHA2; CTSB; EPHA4; ADGRB3; CCER2; EPHB4; DDC; ENO3; CPB2; ERBB2; CNTN5; DPP6; EGFL7; EFHD1; EPHB6; COL4A1; DMP1; ESAM; EPS8L2; ERBB3; CLU; EPCAM; F10; F7; CES2; CLIC5; FABP1; CSRP3; DUSP29; F9; FABP3; FABP4; FABP2; ENDOU; CTSE; FAM3B; CLEC4M; FAM3C; ESM1; FBLN2; FCAMR; FCER2; FCRL1; FCRL2; C4BPB; F11; F13B; FAM20A; EPO; CLSTN3; FAS; FGF21; FGA; CD200R1; ECM1; FAP; F3; FGFR2; FLRT2; FOLR1; FOLR2; FSTL1; ENPP7; FBP1; FTCD; FLT4; FN1; FSTL3; FUOM; FURIN; ENPP2; CHGA; FNDC1; GAS6; GDF15; CEACAM1; ENTPD2; GCG; AGR2; GGT1; GHR; GLA; ARHGEF5; ATP6V1D; B3GNT7; CDH4; CDK1; CEND1; CLSPN; CSH1; DBH; ENPP5; ENTPD6; EPHX2; EXOSC10; FABP9; FCRL6; FGFBP2; GALNT5; GFRA1; GGH; GLIPR1; GFRA3; CES3; GOT1; GOLM2; GALNT10; GPD1; GPRC5C; GRPEL1; GPC1; GSN; GSTA1; ERN1; GSTA3; GCNT1; GNLY; GZMA; GZMB; GM2A; GRN; HEG1; CST7; CXCL13; FCAR; FCN1; GUSB; HAVCR2; HGF; GPR37; HLA_A; HAO1; HMOX2; HNMT; FGF23; GUCA2A; HLA_E; HSPB6; HSPG2; HYAL1; FCRL5; ICAM1; ICAM2; GALNT7; IDO1; GFRA2; GPNMB; HS6ST2; HYOU1; ICOSLG; DPEP2; FLT1; IFNGR1; FST; HSD11B1; IGFBP1; CYTL1; IFI30; IGFBP4; CLSTN2; IGFBP6; IGFBP7; HEPH; HMCN2; IGF2R; IGFBPL1; IGF1R; HJV; IFNGR2; IGFBP2; IGSF3; IGSF8; IL10RB; IL12A_IL12B; CORO6; F2; CCL20; IGSF9; EBI3_IL27; ICAM3; IL12B; IL12RB1; IL15RA; DEFB4A_DEFB4B; IL18BP; CEACAM16; IL18R1; IL19; IL1RN; ANGPTL1; ERBB4; GDF2; IL1R1; IL2RA; IMMT; IL3RA; ENPP6; ITGA11; IL13RA1; IL1R2; IL6ST; INHBC; ISM1; IGSF21; ITGA5; CRTAC1; FGFBP1; HPGDS; ITGA2; ITGAM; IL7R; ITGAV; IL32; ITGB1; IGDCC4; ITGB2; C9; FGL1; F12; IL4R; INHBB; CD5L; FCN2; HEPACAM2; KHK; JAM2; FAM3D; KLK10; KLK1; KIAA0319; KLK11; GPR15L; KLK13; KLK6; KLK7; GZMH; KLRB1; KLRD1; ITGBL1; AKR1B10; ALDH3A1; KRT18; KRT8; ISLR2; ITGB7; KIT; KLK8; KYNU; LAMA4; GGT5; KRT19; LAIR1; IL6; KLKB1; CSF3R; FCGR3B; LAYN; KDR; LAMP2; LCAT; LDLR; LEP; LGALS1; C1QTNF5; LGALS3; KRT5; IFNLR1; LAG3; LAMP3; LCN2; LGALS4; L1CAM; LGALS9; LILRA2; LILRA3; LILRA5; LILRB1; LILRB4; ITIH3; LMNB2; LRP1; LRP11; ITGB6; CLUL1; KAZALD1; LRRC25; LGALS7_LGALS7B; LTBR; LY9; LTBP2; IDUA; IDI2; KLHL41; LIFR; MCAM; FETUB; MAMDC4; MANSC1; MEGF9; MERTK; MAMDC2; LY6D; HAVCR1; GFAP; LRTM2; MARCO; LILRB2; MRC1; LRRN1; MME; KITLG; LPL; MENT; CAPN3; MB; MYBPC1; MVK; MYBPC2; MYL3; ANGPTL7; MEGF10; MFAP4; MSTN; MXRA8; MYLPF; MYOM2; IGLC2; LY96; MAN2B2; MEPE; MFAP5; MIA; MYOC; NCAM1; MOG; FASLG; LTA; NBL1; NCR1; LMOD1; NCR3LG1; IL17C; NECTIN2; NCAN; MSR1; NELL2; NAGPA; NFASC; NHLRC3; MYOM3; NEB; ADAMTS13; MET; NCAM2; NECTIN4; NOTCH1; MMP12; NCS1; NPC2; NPDC1; GRP; MFGE8; MLN; NOTCH3; NPTXR; NRP1; LEPR; NRCAM; NTRK2; NPPC; NT5C1A; ADAMTSL4; NTRK3; OCLN; NRP2; NXPH1; ITIH4; LRG1; NOMO1; OGN; MTUS1; NT5E; PALM; MED21; MATN2; PALM2; HSD17B14; NFATC3; PAMR1; DSCAM; PCDH17; PCOLCE; OSCAR; PDCD1; OMD; PCBD1; PAM; LIPF; PDZK1; NOS1; IL22; MSLN; PENK; PGF; PHOSPHO1; PI16; PIK3IP1; PILRA; MELTF; NOTCH2; NXPH3; PDGFRA; GIP; PIGR; OXT; PCSK9; LYPD3; OSMR; PKD1; MZB1; PGLYRP1; PILRB; PLA2G15; PLAU; PDCD1LG2; PLAUR; PLTP; LGALS3BP; MEP1A; NPY; PLAT; PON3; PLXNB2; PRAP1; PAPPA; PRG2; IGFBP3; PLG; PROC; LUZP2; PODXL2; PRND; PRCP; LAMP1; PSAP; PI3; PRRT3; ITGAL; LYVE1; PCDH12; PODXL; NEFL; OMG; PTGDS; PTPRN2; PTPRF; PTGR1; PTP4A3; CPE; GC; PPY; PTS; PRTN3; PTPRS; PROS1; LBP; NOS3; ORM1; PRSS8; PPL; RARRES2; FABP6; PPP1R14D; RBFOX3; LAMB1; MAN1A2; REG1A; REG1B; RBP2; REG3A; QPCT; RBP5; RELT; GALNT2; PBXIP1; PRELP; PTPRR; RGMA; PRG3; RNASE1; RETN; RNASE4; RGMB; RNASE6; RNASET2; NME3; PCDH9; PRTG; PTPRC; PTPRM; PTPRZ1; RET; ROBO1; RECK; RNF149; PRSS27; ROBO2; FRZB; PTN; RSPO1; RSPO3; GPA33; S100A14; QSOX1; ROR1; RTN4R; SCARA5; ROBO4; SCARB2; PYY; REG4; RTBDN; SCG2; POF1B; SCARF2; COL9A1; SCN4B; GAST; SCLY; SAA4; CLEC4G; SCRG1; KEL; PTPRH; SERPINA1; SERPINA4; HRG; SERPINA3; SERPINA5; SERPINA6; SERPINC1; SEMA3F; SERPIND1; SELENOP; SERPINF1; SERPINF2; RAB6A; MUC2; OPTC; SCG3; SEZ6; SEZ6L; SBSN; SEL1L; SHISA5; MILR1; SEMA7A; SIGLEC1; SIGLEC10; SDC1; SELE; SIGLEC7; IL5RA; SLAMF1; SLAMF6; SEZ6L2; PSAPL1; SFRP1; SFRP4; NAAA; SMPD1; PLIN1; SMOC1; SMOC2; SORCS2; SPINK1; GAL; SLURP1; PRSS22; SPINK5; SPINT1; MMP10; MMP7; SIRPB1; SPON1; MMP13; CRNN; SHBG; PTPRB; SORD; ST6GAL1; SLITRK2; SULT2A1; SLITRK1; SUOX; SPON2; PGA4; TFF1; PZP; TFF2; SSC5D; TGFA; TFPI; PCDH1; SLC39A5; SLITRK6; SNCG; STC1; SUSD5; TAFA5; SPARCL1; SPP1; STC2; TGFBR2; TGFBR3; TGOLN2; THBS2; THBD; THBS4; PTX3; TFPI2; TGFBI; THY1; TIMD4; TIMP1; SPRR3; MUC13; TNFRSF10A; TNFRSF10B; TNFRSF11A; SLAMF7; SPINK2; TNFRSF12A; TNFRSF13B; TNF; TNFRSF14; LTBP3; SIGLEC8; SLAMF8; TFF3; TNFRSF19; TNFRSF1A; TNFRSF1B; SIGLEC6; TNFRSF21; TNFRSF4; TIGIT; KLRK1; TNFRSF13C; TNFRSF6B; TNFRSF8; TNFRSF11B; TNFSF10; TNFRSF9; TNFSF13; SIGLEC9; TREML2; SLC51B; TPM3; SERPING1; TF; TEK; NELL1; VAMP5; IL6R; TYRO3; ULBP2; GALNT3; TINAGL1; TNC; TNFSF8; VASN; TNFRSF17; SYT1; TNFRSF10C; TREM2; VCAM1; UPB1; TIE1; VSIG4; MSMB; SCGB3A1; SCGB3A2; SFTPA2; VSIG2; VWC2; SOST; S100A13; VEGFB; WFDC2; XG; C7; CFHR4; EDIL3; FCRL3; GSAP; HEBP1; HRC; HS6ST1; ICAM5; IFIT1; IFNG; IL15; IL17RB; IL1RL2; ITM2A; JCHAIN; KLK15; LECT2; LRIG1; LTA4H; LY75; MASP1; MMP3; NFKB2; NPTX2; NTF3; PEPD; PFDN4; PINLYP; PLA2G10; PLA2G7; PLB1; PON2; POSTN; PSPN; PTH; PVR; PYDC1; REG3G; REN; S100A16; S100G; SAT2; SCGB1A1; SCGN; SCN2A; SCT; SELL; SEMA4C; SERPINA11; SERPINA7; SERPINA9; SERPINI1; SFTPD; SGSH; SIRPA; SLC9A3R2; SMAD5; SMPDL3A; SNED1; SORBS1; SPINK4; SPINK6; SPOCK1; SRPX; SSC4D; STAB2; SUSD2; TACSTD2; TCL1B; TCN1; TCN2; TCTN3; TFRC; THAP12; TIMP4; TMPRSS11D; TMPRSS15; TMPRSS5; TNFSF11; TNFSF13B; TNR; TNXB; TSPAN8; TTR; TXNDC15; UMOD; VAT1; VCAN; VEGFD; VGF; VIT; VNN1; VNN2; VSIG10L; VSNL1; VSTM1; VSTM2L; VWA1; VWF; WFDC12; WFIKKN1; WFIKKN2; WIF1; WNT9A; XCL1; YAP1,humoral immune response; leukocyte migration; chemotaxis; taxis; regulation of immune effector process; leukocyte cell-cell adhesion,Cytokine-cytokine receptor interaction; Complement and coagulation cascades; Cell adhesion molecule (CAM) interaction; Viral protein interaction with cytokine and cytokine receptor; Integrin signaling; Hematopoietic cell lineage,Glycoprotein Acetyls; Total Phospholipids in Lipoprotein Particles; Total Lipids in Lipoprotein Particles; Phosphoglycerides; Polyunsaturated Fatty Acids; Omega-6 Fatty Acids to Total Fatty Acids percentage; Saturated Fatty Acids to Total Fatty Acids percentage; Linoleic Acid to Total Fatty Acids percentage
4,238,ACE; ACSL1; AKAP12; AIDA; AMFR; AMDHD2; APOB; ATP1B2; ADRA2A; ARHGAP30; ATP1B3; BABAM1; B3GAT3; BHMT2; BRD1; BRD2; C1GALT1C1; C1QTNF6; CACNA1C; CDAN1; CDH23; CCNE1; CEP164; ATP2B4; BCL7B; CACNB1; CLASP1; CLEC2L; ARID3A; ATF4; ATP1B4; CA7; CNTNAP4; CRTAP; COL3A1; CPTP; CREBZF; CCAR2; CDKL5; CYTH3; DCUN1D1; CD164L2; CHRM1; DDX1; CEBPA; DDX25; EIF1AX; DDA1; CLEC12A; CFC1; EDNRB; EP300; ESR1; FOLH1; CGA; CD3D; GGA1; GLP1R; GPHA2; CALY; GLI2; CTNNA1; ECSCR; GPR158; GLYR1; IGF2BP3; HDAC8; HSP90B1; BRME1; CNTF; CTLA4; GUK1; HMGCS1; HTR1B; IFNL2; IL13RA2; IKZF2; JUN; EVPL; ITIH1; ITPRIP; GABARAPL1; LRFN2; LRTM1; KDM3A; LYZL2; EPN1; MAPRE3; MORC3; MORF4L2; MKI67; NAGA; MYL6B; NCLN; ADAMTS1; CPOX; FGF20; INSR; KIAA1549L; MAP1LC3A; NENF; NME1; NUBP1; FSHB; KIAA2013; OGT; NUDT10; PAFAH1B3; MRPS16; PAIP2B; DCLRE1C; GAD1; GATA3; NINJ1; PGR; MNAT1; PCSK7; GAD2; LRIG3; PALLD; PLCB1; PLXDC1; NMRK2; PBK; PRAME; PNPT1; RAB37; MYO6; NLGN2; PRKAG3; PPM1B; PALM3; RBP1; INSL4; PROK1; PAEP; RLN1; RANGAP1; POLR2A; RANBP2; RBPMS; NPR1; NUP50; PROCR; MTHFD2; SAFB2; RPS10; DIPK1C; SAT1; C2CD2L; SCP2; SCN2B; RCOR1; RNF168; RNF31; EDEM2; MEGF11; NOS2; RYR1; SCGB2A2; SHC1; SLC16A1; SEMA6C; SIRT1; SATB1; SLC1A4; SNU13; SNX18; SLC12A2; RPA2; SMPD3; SPRING1; DYNC1H1; STX3; STAU1; SSBP1; ST8SIA1; ACRV1; TERF1; SOX9; REST; SPACA5_SPACA5B; SPTBN2; TJP3; TP73; STOML2; TTN; TUBB3; UBE2B; TSC1; TXNL1; MYH7B; TGFBR1; TLR1; TPSG1; UNC5D; ZBP1; SFTPA1; ZNF830; BRD3; CSF2; GAMT; GASK1A; HCG22; HIP1; IFNW1; ISM2; KRT6C; MYH4; NRXN3; OTOA; PSMC3; RBM19; RBM25; RCC1; RLN2; RTKN2; SCN3B; SOWAHA; SPINK8; SPRR1B; SSH3; TEX101; TLR4; TMED4; TRPV3; TSPAN15; TSPAN7; TXK; UGDH; UHRF2; USP28; VIPR1; VSTM2B; VWC2L; WASL; WFDC1; YY1,gonad development; development of primary sexual characteristics; ovulation cycle process; female gonad development; development of primary female sexual characteristics; sex differentiation,cAMP signaling pathway; Relaxin signaling pathway; cGMP-PKG signaling pathway; Aldosterone synthesis and secretion; Thyroid hormone synthesis; Endocrine and other factor-regulated calcium reabsorption,NA
