alpha,min_abs_r,n_edges,n_nodes,n_modules,modularity,edge_jaccard_vs_baseline,node_jaccard_vs_baseline,nmi_vs_baseline
0.001,0.2,14478,1415,6,0.4274305746980223,1,1,0.8922779449408689
0.001,0.25,7659,843,7,0.40249102284388993,0.5290095317032739,0.5957597173144876,0.5335914445703324
0.001,0.3,3945,520,8,0.401579641490006,0.2724823870700373,0.3674911660777385,0.44460686658138127
0.005,0.2,14478,1415,7,0.42904261370234037,1,1,0.8398442899362765
0.005,0.25,7659,843,7,0.3944652344914611,0.5290095317032739,0.5957597173144876,0.5246962420764667
0.005,0.3,3945,520,8,0.39935096165430567,0.2724823870700373,0.3674911660777385,0.4352688202158574
0.01,0.2,14478,1415,6,0.42202548155481046,1,1,0.8686106924759002
0.01,0.25,7659,843,6,0.4019057375466715,0.5290095317032739,0.5957597173144876,0.4982451256681538
0.01,0.3,3945,520,7,0.40086843656679855,0.2724823870700373,0.3674911660777385,0.4297066250709991
