protein,metabolite,n_pair,r,p,q,r_s,p_s,q_s,sign,abs_r,metabolite_label
ACY1,fid_23498,10283,0.2618307777812238,8.494406304094404e-161,6.990567907157529e-159,0.26431180007564326,6.2249216313882955e-164,4.624072296599764e-162,+,0.2618307777812238,Cholesterol in Large VLDL
FAM20A,fid_23515,9919,0.26641298076190584,8.698590002213433e-161,7.157793855897112e-159,0.2666076995147159,4.9950407491148315e-161,3.5645901787488974e-159,+,0.26641298076190584,Triglycerides in Small VLDL
FGFBP2,fid_23566,9921,0.2663858110293502,8.730473066685598e-161,7.183217296751729e-159,0.26834008516431473,3.2642084350759234e-163,2.3966297111631235e-161,+,0.2663858110293502,Total Lipids in Medium HDL
CST3,fid_23453,10331,-0.26122635625355617,8.913442892156097e-161,7.332931389023732e-159,-0.2673312323618511,1.4425468783447013e-168,1.1437086784585937e-166,-,0.26122635625355617,Polyunsaturated Fatty Acids to Total Fatty Acids percentage
IGFBP2,fid_23638,10420,-0.26014458853857914,8.973655412415315e-161,7.381632795944847e-159,-0.2907846210399004,3.7129835060593717e-202,4.4236530467583477e-200,-,0.26014458853857914,Triglycerides to Total Lipids in Large HDL percentage
DNAJB1,fid_23495,10318,0.2613696614108547,9.32279925060361e-161,7.667968143484092e-159,0.26108902519800453,2.1014078807318995e-160,1.4866459891227217e-158,+,0.2613696614108547,Concentration of Large VLDL Particles
PLTP,fid_23487,10412,-0.2602254010631814,9.392263509432707e-161,7.724229348338846e-159,-0.27320021449374166,1.280948641853676e-177,1.1400207962269939e-175,-,0.2602254010631814,Triglycerides in Chylomicrons and Extremely Large VLDL
SCLY,fid_23435,10401,0.2603488985623675,9.65068689934215e-161,7.935860912764092e-159,0.26253997446634036,1.5996215771197332e-163,1.1804195210486911e-161,+,0.2603488985623675,Triglycerides to Phosphoglycerides ratio
APOF,fid_23559,9904,0.266564540671894,9.82566751880877e-161,8.07883654904206e-159,0.3718315572856307,2.37e-322,1.0808e-319,+,0.266564540671894,Total Lipids in Large HDL
HAO1,fid_23452,10430,-0.2599758677943637,1.0327769467416182e-160,8.490714411116138e-159,-0.2602123985528124,5.185406289775706e-161,3.698989222452791e-159,-,0.2599758677943637,Omega-6 Fatty Acids to Total Fatty Acids percentage
IL16,fid_23452,10424,-0.2600362915640357,1.0689098894669271e-160,8.786779739338662e-159,-0.27672383214991375,1.4310191498616651e-182,1.3559879895669393e-180,-,0.2600362915640357,Omega-6 Fatty Acids to Total Fatty Acids percentage
PCSK9,fid_23409,10431,0.25993662506898213,1.1179145482468092e-160,9.188575854396731e-159,0.25176720720076656,1.5574820951934807e-150,9.591957360791889e-149,+,0.25993662506898213,Triglycerides in LDL
PLAT,fid_23629,10386,-0.2604722538175983,1.1425595947691102e-160,9.390082680465414e-159,-0.31546228182814334,1.0781702275211999e-238,1.9761304512366465e-236,-,0.2604722538175983,Phospholipids to Total Lipids in Very Large HDL percentage
TMPRSS15,fid_23501,10318,0.2612899948012096,1.1743277930087445e-160,9.648989327186448e-159,0.270672184481444,1.0538938782838248e-172,8.8015194463532e-171,+,0.2612899948012096,Triglycerides in Large VLDL
GPD1,fid_23522,9877,0.2668484249410659,1.1886695606523891e-160,9.765727512370995e-159,0.26581351984118234,2.2339008540059515e-159,1.560358307935307e-157,+,0.2668484249410659,Triglycerides in Very Small VLDL
OXT,fid_23481,10430,0.25992541185527135,1.1961777164284572e-160,9.826302921162243e-159,0.2512284000996677,7.289951668359743e-150,4.453062234936858e-148,+,0.25992541185527135,Concentration of Chylomicrons and Extremely Large VLDL Particles
HGF,fid_23642,10432,-0.2598800033917731,1.2728618914335721e-160,1.0455064347775901e-158,-0.2598302462124593,1.4712033096716492e-160,1.0434432774004943e-158,-,0.2598800033917731,Free Cholesterol to Total Lipids in Medium HDL percentage
LILRB4,fid_23648,10167,0.2631242140869442,1.2844063733182522e-160,1.0548698233729446e-158,0.26426937274721707,4.72168348416759e-162,3.411663581089293e-160,+,0.2631242140869442,Triglycerides to Total Lipids in Small HDL percentage
CD4,fid_23420,10277,0.2617571925181464,1.3007660065959106e-160,1.068185287467767e-158,0.29510945553536994,1.3343836848220698e-205,1.6596043646155035e-203,+,0.2617571925181464,Free Cholesterol in VLDL
C9,fid_23557,9904,-0.2664542670842108,1.3445843361913779e-160,1.1040442053893974e-158,-0.22732659744137035,2.8596406253851614e-116,1.0580132459598443e-114,-,0.2664542670842108,Triglycerides in Very Large HDL
ADH1B,fid_23448,9667,0.2695788515346782,1.3540445418823873e-160,1.1116866066380512e-158,0.2673491539679458,6.96558097872497e-158,4.763895796845009e-156,+,0.2695788515346782,Saturated Fatty Acids
NOS3,fid_23483,10131,0.26354955954142156,1.381037959438144e-160,1.1337206349018566e-158,0.32035993266622065,1.64565547222637e-240,3.08937963730746e-238,+,0.26354955954142156,Phospholipids in Chylomicrons and Extremely Large VLDL
