metabolite,metabolite_label,module_protein,k,K,n,p_fisher,q_fisher
fid_23484,Cholesterol in Chylomicrons and Extremely Large VLDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23485,Cholesteryl Esters in Chylomicrons and Extremely Large VLDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23486,Free Cholesterol in Chylomicrons and Extremely Large VLDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23487,Triglycerides in Chylomicrons and Extremely Large VLDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23488,Concentration of Very Large VLDL Particles,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23489,Total Lipids in Very Large VLDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23490,Phospholipids in Very Large VLDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23491,Cholesterol in Very Large VLDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23492,Cholesteryl Esters in Very Large VLDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23493,Free Cholesterol in Very Large VLDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23494,Triglycerides in Very Large VLDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23495,Concentration of Large VLDL Particles,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23496,Total Lipids in Large VLDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23497,Phospholipids in Large VLDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23498,Cholesterol in Large VLDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23499,Cholesteryl Esters in Large VLDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23500,Free Cholesterol in Large VLDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23501,Triglycerides in Large VLDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23502,Concentration of Medium VLDL Particles,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23503,Total Lipids in Medium VLDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23504,Phospholipids in Medium VLDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23507,Free Cholesterol in Medium VLDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23508,Triglycerides in Medium VLDL,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
fid_23509,Concentration of Small VLDL Particles,3,24,1099,25,1.2060274746612617e-7,4.21152451469012e-7
