protein,metabolite,metabolite_label,r,q,r_s,q_s,sign,abs_r
POF1B,fid_23623,Triglycerides to Total Lipids in Medium LDL percentage,0.11887780920330382,1.6638797769264042e-32,0.13068401519910236,4.3362120507505675e-39,+,0.11887780920330382
POF1B,fid_23602,Free Cholesterol to Total Lipids in Small VLDL percentage,-0.11775263034540648,6.488401247064839e-32,-0.12756429751952414,2.697118099893542e-37,-,0.11775263034540648
POLR2F,fid_23458,Polyunsaturated Fatty Acids to Monounsaturated Fatty Acids ratio,-0.26105818470697806,4.913305365792283e-156,-0.28998492540221127,5.45556035439453e-194,-,0.26105818470697806
POLR2F,fid_23454,Monounsaturated Fatty Acids to Total Fatty Acids percentage,0.2547413953793364,2.2278320905992173e-148,0.28269318612822725,5.338465013285764e-184,+,0.2547413953793364
POLR2F,fid_23480,Glycoprotein Acetyls,0.24343463884216307,3.308849684747912e-135,0.2697297581628967,5.649598834581427e-167,+,0.24343463884216307
POLR2F,fid_23453,Polyunsaturated Fatty Acids to Total Fatty Acids percentage,-0.2419175237155966,1.723501897404861e-133,-0.2727183651497554,8.103412049476604e-171,-,0.2419175237155966
POLR2F,fid_23443,Degree of Unsaturation,-0.2302562306884565,1.0804647180349011e-120,-0.2545663397091307,3.1144117410681414e-148,-,0.2302562306884565
POMC,fid_23492,Cholesteryl Esters in Very Large VLDL,0.12327026853357516,7.221822110210683e-35,0.12222446759688836,2.4972781055271743e-34,+,0.12327026853357516
POMC,fid_23491,Cholesterol in Very Large VLDL,0.11987169748806102,4.9472930592296485e-33,0.11959651757038854,6.451078470693318e-33,+,0.11987169748806102
POMC,fid_23498,Cholesterol in Large VLDL,0.11879296878159308,1.8446782172479462e-32,0.11944330668058152,7.777972249450559e-33,+,0.11879296878159308
POMC,fid_23500,Free Cholesterol in Large VLDL,0.11795346385576246,5.095086695373028e-32,0.11863246585018604,2.0882466933911264e-32,+,0.11795346385576246
POMC,fid_23499,Cholesteryl Esters in Large VLDL,0.11656991963899534,2.6746280225542475e-31,0.1170823574732544,1.3528266220601582e-31,+,0.11656991963899534
PON1,fid_23427,Total Concentration of Lipoprotein Particles,0.2791704614110371,3.354849560737494e-179,0.2859860133997809,1.787606191887384e-188,+,0.2791704614110371
PON1,fid_23430,Concentration of HDL Particles,0.2790357723002738,5.065421097153745e-179,0.28805703289979556,2.551299184594213e-191,+,0.2790357723002738
PON1,fid_23568,Cholesterol in Medium HDL,0.2694261775477667,1.639340321222424e-166,0.28088224327645533,1.4523064198746174e-181,+,0.2694261775477667
PON1,fid_23569,Cholesteryl Esters in Medium HDL,0.26880818114541294,1.0039557010469888e-165,0.28031821548816416,8.266079201759485e-181,+,0.26880818114541294
PON1,fid_23440,Apolipoprotein A1,0.2659426408228418,4.187914347607748e-162,0.27582605003404465,7.275994721089458e-175,+,0.2659426408228418
PON2,fid_23443,Degree of Unsaturation,-0.23199589680292448,1.473859746065591e-122,-0.2284826339344812,7.341643187335421e-119,-,0.23199589680292448
