name,type,degree,strength,module_louvain,module_walktrap
TMSB10,protein,4,1.0558937203133907,5,2
VWA1,protein,25,6.926361572604343,2,2
APP,protein,1,0.3461234595071182,5,1
A1BG,protein,5,1.1860376982193017,5,2
EFNA1,protein,6,1.492759470382988,6,2
STAB2,protein,25,6.959247232063679,2,2
NOMO1,protein,25,7.20117322513253,2,2
LAMP2,protein,34,9.96955962492763,2,2
FTCD,protein,26,8.19973583543995,2,2
APOF,protein,44,11.434227797923898,3,2
TMPRSS15,protein,44,12.654597274375917,4,2
ITIH4,protein,1,0.3484949748710414,5,2
LAYN,protein,1,0.35009946493636585,6,4
ACVRL1,protein,4,0.985616357176605,6,4
PLA2G10,protein,62,16.978416933659513,1,2
CFHR5,protein,1,0.3507494818934874,5,2
SERPING1,protein,1,0.3476766601433378,5,2
SEMA4D,protein,2,0.5671459547859928,5,1
ACE2,protein,28,8.01893932355957,4,2
PPY,protein,25,5.817360170016727,4,2
PYY,protein,36,10.080076390559562,4,2
SCARF1,protein,2,0.6014682164818699,5,1
SKAP1,protein,25,7.14639778770468,3,2
LY6D,protein,1,0.3470016256688759,6,4
VEGFC,protein,6,1.3686668125488084,2,2
APOA2,protein,26,5.919278621178817,3,2
CDNF,protein,1,0.34395232595209313,6,4
LILRA5,protein,1,0.3372491649400343,5,2
TREML1,protein,1,0.34324204588991225,5,1
HS6ST1,protein,31,8.661020346338127,2,2
FAM3C,protein,7,1.7037506504117874,6,2
FCAMR,protein,28,8.534555018213695,3,2
VMO1,protein,32,9.167572012599818,2,2
DKK1,protein,17,3.748907178900578,2,2
BDNF,protein,1,0.34052775145957076,5,1
SMOC2,protein,2,0.5491864047633027,6,4
SELP,protein,11,2.498339773572384,2,2
CD300LG,protein,27,7.987051098196687,3,2
CLUL1,protein,28,8.11835679400947,3,2
AGRN,protein,25,6.888955666539766,6,2
CFP,protein,59,16.265307753346796,1,2
CRIP2,protein,26,7.756480795831086,6,2
F10,protein,35,9.20126886014717,1,2
SHBG,protein,28,8.552998150307593,3,2
CCN2,protein,3,0.7414148537155455,5,1
GSTA3,protein,25,7.8593495563291516,2,2
CCL23,protein,34,9.995757996213609,2,2
GGT1,protein,25,6.863036016199077,2,2
CNTN3,protein,26,7.934432318953131,2,2
CREG1,protein,25,6.562153831830883,2,2
CD63,protein,11,2.468272440233306,6,2
ANGPTL4,protein,5,1.395379296299388,4,3
BAIAP2,protein,25,7.154652258161649,6,2
FGFR2,protein,25,7.084517832661665,2,2
BTN2A1,protein,1,0.3343985997435415,6,4
PTGDS,protein,15,3.2548608987970598,3,2
HSPB6,protein,1,0.33224012924228147,6,4
PRCP,protein,26,7.621616861830991,6,2
MVK,protein,28,7.837552721072862,4,2
CA14,protein,31,8.296905437461485,4,2
CD302,protein,6,1.4897332520325093,6,2
CCL22,protein,25,6.060938883867693,2,2
SERPINA5,protein,62,17.0475909191226,1,2
NPPC,protein,25,5.526398686600327,2,2
IL16,protein,25,7.387847608922817,2,2
EPHA1,protein,28,8.187660994947676,3,2
SERPINE2,protein,1,0.33078577717899416,5,1
GPD1,protein,25,7.465972144659469,2,2
NECTIN4,protein,1,0.32980059958608965,6,4
NTRK3,protein,31,8.648774796142645,3,2
CRELD1,protein,25,6.856259325082094,6,2
KRT18,protein,25,7.251505485493059,6,2
SUSD1,protein,2,0.5268752247991945,5,1
CLEC4A,protein,26,7.4304424792865795,3,2
BCHE,protein,46,12.97962463555483,1,2
IGSF8,protein,25,6.90903495219286,2,2
GLA,protein,25,7.341174938196729,2,2
SERPINA3,protein,1,0.32718566770463575,5,2
PCSK9,protein,25,6.385718499311898,2,2
PROS1,protein,60,14.96720712432519,1,2
CKAP4,protein,2,0.534362350043142,6,4
CPB2,protein,35,7.955490293488977,1,2
NOS3,protein,27,7.628913185934042,6,2
C2,protein,1,0.319168837218741,5,2
SCLY,protein,25,6.982052180237642,2,2
C1RL,protein,18,4.090992688123035,3,2
C9,protein,31,8.383293194017153,2,2
GGH,protein,26,6.514774525738222,3,2
ADAMTSL2,protein,26,7.235890645108601,4,2
RAB6A,protein,42,10.904508579390733,1,2
SMAD1,protein,27,7.881041149339619,2,2
IGSF3,protein,27,7.122531816503608,6,2
CCL16,protein,25,6.914765346634598,6,2
KYNU,protein,25,7.084014959833061,2,2
SORT1,protein,25,6.4867409753477014,2,2
MME,protein,25,6.869513271046457,2,2
EDA2R,protein,1,0.3197634279916089,6,4
LGALS4,protein,32,8.090996086985328,4,2
CRHBP,protein,25,6.296825067438755,6,2
TNFRSF10A,protein,28,7.425684328790661,4,2
SCG2,protein,3,0.7258974984192574,4,4
PCBD1,protein,25,7.352305067448751,2,2
AIFM1,protein,25,5.582993643547315,6,2
LGALS1,protein,25,6.0185229552502,3,2
PPBP,protein,1,0.32007387349922733,5,1
ANXA3,protein,2,0.5166646853303044,5,1
TNFRSF11A,protein,25,5.950605953758579,3,2
CPXM1,protein,1,0.31163071779807616,5,1
FABP5,protein,9,2.116234510305912,6,2
GYS1,protein,2,0.5167468946840388,5,1
CDHR5,protein,26,7.026089779695994,3,2
GZMB,protein,1,0.31180485785752743,5,1
HSD11B1,protein,31,8.400667259627017,3,2
DEFB4A_DEFB4B,protein,26,7.6599462831582725,2,2
SIAE,protein,14,3.153106868240656,2,2
TRIAP1,protein,2,0.5650497453423762,5,1
ITGA5,protein,25,6.242735495462428,2,2
VWC2,protein,3,0.7327478555624978,6,4
ART3,protein,1,0.3153019467678864,6,4
SUMF2,protein,25,6.691728409768268,2,2
CANT1,protein,25,6.341371777621969,2,2
PF4,protein,1,0.31516318776434965,5,1
NAGPA,protein,28,7.579389405599112,2,2
NID2,protein,1,0.3075593336380346,5,1
RSPO3,protein,1,0.3125947990174235,6,4
PLG,protein,10,2.4958166903124095,1,2
LAT,protein,4,0.9649423531018506,5,2
CDH2,protein,25,6.61465742369144,6,2
ERBB2,protein,25,7.177467005595283,2,2
GDF15,protein,26,6.442484364240304,4,2
CLEC1B,protein,12,2.6838375528458838,2,2
HCLS1,protein,2,0.5279651052429007,5,1
TNFRSF14,protein,25,5.7472609837551385,6,2
BPIFB2,protein,25,6.1509933882855075,3,2
C1S,protein,12,2.5792801388845294,1,2
LILRB4,protein,25,6.098899361094702,6,2
NUCB2,protein,24,5.303608104622816,2,2
CHMP6,protein,27,7.264353798187293,2,2
VSIG4,protein,25,5.572384110056061,3,2
IFI30,protein,25,6.120996322816426,6,2
TGFB1,protein,25,5.934431058867374,2,2
NPC2,protein,25,6.346068370509811,6,2
CDKN1A,protein,25,6.863711241291683,2,2
GP6,protein,2,0.5080885235511711,5,1
F2R,protein,2,0.5300206830444858,5,1
EPHB4,protein,1,0.3035275020861547,6,4
DPT,protein,4,0.910800816386479,3,4
MFAP5,protein,18,3.9487607499278496,6,2
THY1,protein,5,1.1265100644939328,3,2
CTSO,protein,25,6.145618194945174,6,2
RIDA,protein,25,7.12952788883606,2,2
CD5,protein,26,6.725946721280562,3,2
ANGPTL2,protein,25,6.68529933842615,2,2
ADH1B,protein,25,7.384256316169519,2,2
CD226,protein,1,0.3055506288047609,5,1
LTBR,protein,3,0.7286726023211565,6,4
TNFSF10,protein,40,9.514821990050972,1,2
CD72,protein,28,7.366272916446043,3,2
SCARA5,protein,1,0.2996020595185136,6,4
PLA2G15,protein,18,4.074734842528827,6,2
SPARC,protein,1,0.29343383060344314,5,1
KLKB1,protein,58,14.278855779935064,1,2
HPSE,protein,4,0.985970418699428,5,2
CLEC4D,protein,7,1.663218421354117,6,2
LRP11,protein,3,0.7240869881919492,6,4
KHK,protein,25,6.912201887440498,2,2
SELE,protein,25,6.239589315351484,6,2
CD300E,protein,10,2.2772961631288675,6,2
CHI3L1,protein,25,6.074549776816584,4,2
FGFBP2,protein,28,7.031698884945516,3,2
GUCA2A,protein,1,0.2994003716632591,6,4
CLEC14A,protein,1,0.29860209795916426,6,4
HJV,protein,25,6.433193193503406,2,2
F11R,protein,25,5.861438731178998,2,2
MRC1,protein,4,0.9244307104829325,5,4
LAIR1,protein,12,2.582022938185525,3,2
DLL1,protein,2,0.5091020563438389,6,4
STX7,protein,1,0.3012789114709962,5,1
TIMP3,protein,9,1.9740678157370406,6,2
PALM2,protein,25,6.175609158876972,6,2
MB,protein,1,0.29535937104489,6,4
CCL7,protein,5,1.1082580871196697,6,2
BSG,protein,2,0.4974583202393513,6,4
APLP1,protein,5,1.1738422240311743,6,2
DBI,protein,2,0.5295292704167596,5,1
FETUB,protein,25,5.4354658186516245,6,2
SORCS2,protein,1,0.29750663875561306,6,4
DNAJB1,protein,25,6.723709327147394,2,2
EGLN1,protein,25,6.206630084958353,6,2
IL10RB,protein,25,5.86965500707671,6,2
HLA_E,protein,2,0.5054287909162377,6,4
TCTN3,protein,25,6.440890108242838,2,2
USP8,protein,2,0.5041038201277283,5,1
NRP1,protein,26,6.482697190124126,2,2
AGR3,protein,25,6.727838882169333,2,2
IFNGR1,protein,1,0.2930848610710807,6,4
DSG2,protein,25,6.820224309519481,2,2
LEPR,protein,27,7.0414337660865005,3,2
SPINK1,protein,1,0.29268936724562905,6,4
EPHB6,protein,1,0.2938929869349313,6,4
ERP44,protein,25,6.594904685218254,2,2
SERPINA4,protein,26,6.71214678439189,2,2
TOMM20,protein,10,2.219146397113611,6,2
ERMAP,protein,3,0.7005249030020808,6,1
ADGRD1,protein,25,6.145073942390673,2,2
S100A11,protein,2,0.487611268386353,5,1
EFCAB14,protein,25,6.292658798494443,2,2
NOTCH3,protein,25,6.310618888582146,3,2
SNAP29,protein,25,5.59170722948781,2,2
VEGFA,protein,13,2.9397217523098944,6,2
BPIFB1,protein,25,6.360225101347522,3,2
LATS1,protein,25,6.38005187633371,2,2
MZB1,protein,3,0.747326736523843,6,4
TIMP1,protein,14,3.1855792386024127,6,2
VSIR,protein,4,0.9438015721577184,6,2
ITGAV,protein,32,7.653730856957674,3,2
STC1,protein,25,6.063458180192053,6,2
PGF,protein,25,6.302053793628141,6,2
FUOM,protein,25,6.588756734827028,6,2
TNFRSF6B,protein,25,5.824697828407294,4,2
CD40,protein,5,1.1665909668907286,6,2
ARSB,protein,3,0.7195975031657638,5,1
MPI,protein,2,0.5049287408649215,5,1
LBR,protein,13,2.8599060096515,6,2
VPS37A,protein,25,6.487857891598655,2,2
SORD,protein,25,6.323945227080449,2,2
MCEMP1,protein,1,0.28945974856727813,5,1
FIS1,protein,12,2.7087521972036113,1,2
CTSF,protein,20,4.724611016858225,3,2
IL32,protein,26,6.618516527826794,3,2
RET,protein,25,6.119482731084404,2,2
LSP1,protein,25,5.992038627988158,6,2
FLI1,protein,25,6.169292451824334,2,2
TNFRSF10B,protein,22,5.008962163606332,6,2
SERPINA6,protein,25,6.3804188648079325,3,2
OCLN,protein,25,5.794828591114858,6,2
CHRDL1,protein,1,0.28275794324569675,6,4
DTX3,protein,1,0.28213506514232284,6,4
PTS,protein,25,6.550566438741396,6,2
GIP,protein,20,4.652922214120011,4,2
CSF1,protein,25,5.640607873370549,6,2
TNFAIP8L2,protein,2,0.5154642375130902,5,1
PSRC1,protein,25,6.5014600458175,2,2
CASP1,protein,1,0.2769967229711685,5,1
NPL,protein,25,6.4330835514747,2,2
ADAM22,protein,1,0.280857437576921,6,4
MYDGF,protein,6,1.3994161672940248,5,2
ADGRG1,protein,30,6.884637767770853,4,2
ENO3,protein,25,6.764011904619669,2,2
GRPEL1,protein,5,1.1229672684341816,6,2
TXNDC5,protein,2,0.5216213663238916,5,1
YTHDF3,protein,25,5.529436252775655,2,2
CEACAM8,protein,3,0.6852632605268847,6,1
LGALS3BP,protein,18,3.9065872130475947,3,2
THBD,protein,1,0.2791518310863809,6,4
CRELD2,protein,16,3.5032727051998007,2,2
CCL5,protein,5,1.0833379383277622,5,2
GMFG,protein,2,0.48914638200455984,5,1
RNASE6,protein,25,5.6661663239643145,6,2
LAT2,protein,25,5.6103564768624095,2,2
MTDH,protein,12,2.5855217162045876,6,2
DPEP2,protein,1,0.2713407325838738,5,1
GP1BA,protein,2,0.4785761873458616,5,1
PON1,protein,25,6.017316465250865,3,2
EZR,protein,25,6.198307169887358,6,2
GCC1,protein,6,1.3371892835295958,2,2
LRCH4,protein,25,6.098176895020842,6,2
EEF1D,protein,25,5.683468434392785,2,2
PTPRB,protein,25,5.910511764697205,2,2
FYB1,protein,22,4.664592340891987,2,2
SYAP1,protein,29,7.075634607035155,1,2
IL13RA1,protein,25,5.387869729212804,2,2
LRIG1,protein,1,0.26743344386927936,5,2
SERPINB6,protein,2,0.47784505250776865,5,1
IL17RB,protein,25,5.50833529218789,4,2
CLEC4G,protein,1,0.26857614805505814,5,2
MPIG6B,protein,2,0.47943863008008925,5,1
ICAM1,protein,6,1.319483477179745,6,2
ANG,protein,5,1.116912556089193,6,2
CA5A,protein,25,5.999414576923834,6,2
ANXA4,protein,1,0.26937161071900734,5,1
SERPINF2,protein,48,11.547657948836846,1,2
MSRA,protein,2,0.4975614585397349,5,1
TBCC,protein,2,0.48754176955245954,5,1
NECTIN2,protein,7,1.6760496423735491,6,2
NUMB,protein,25,6.168298861063365,2,2
CA6,protein,25,5.903235847347975,3,2
PPP1R12A,protein,2,0.48413655797705774,5,1
LGALS8,protein,2,0.48927942091541055,5,1
TNFRSF1B,protein,21,4.437357906634608,3,2
DCXR,protein,25,6.104127242866063,2,2
IGF2R,protein,25,5.7926391523175536,2,2
VTA1,protein,1,0.2648341349361879,5,1
YES1,protein,25,5.283314514073818,2,2
IPCEF1,protein,25,5.423117244142481,2,2
NT5C1A,protein,25,5.509649845929421,2,2
CDH3,protein,1,0.2698508272683395,6,4
ESAM,protein,2,0.4642393804137046,5,4
PLAUR,protein,8,1.8089425694916703,6,2
POLR2F,protein,14,3.117401599779889,6,2
AK2,protein,2,0.4710382693764732,5,1
CD74,protein,25,5.627330718055574,6,2
ATRN,protein,31,7.780881770509108,2,2
SCPEP1,protein,9,2.003355070172452,6,2
CNDP1,protein,11,2.5280289519037806,1,2
SNCA,protein,25,6.559709342783642,2,2
MESD,protein,2,0.4981213768264827,5,1
NRGN,protein,2,0.4794420156704702,5,1
SPINT2,protein,1,0.26374524646722436,5,1
CMC1,protein,2,0.5130059903698002,5,1
ECHS1,protein,2,0.4773898479790789,5,1
CD14,protein,1,0.2673183653271456,5,2
CTSZ,protein,16,3.6354041266287958,6,2
DNAJB14,protein,2,0.4952997057583166,5,1
SIGLEC7,protein,25,5.848877758421845,6,2
ULBP2,protein,3,0.6921564977407534,6,4
CXCL16,protein,1,0.2622458826669809,5,2
DDAH1,protein,25,5.5905745656798045,2,2
PDAP1,protein,2,0.48025378454282397,5,1
SERPINB1,protein,2,0.46612180034708606,5,1
PLXNB3,protein,2,0.49385309141625844,5,1
LYN,protein,2,0.4969563743834365,5,1
HEG1,protein,25,6.379550461971231,2,2
NUDT5,protein,2,0.4865901041270042,5,1
ABL1,protein,18,3.82284687838846,2,2
DNAJA2,protein,2,0.4703227386110244,5,2
GRHPR,protein,5,1.0830615327874298,5,2
FGFBP3,protein,53,12.599253856099894,1,2
PLIN1,protein,25,6.045917362430981,2,2
HAVCR2,protein,24,5.1549527726808035,3,2
HAO1,protein,25,5.808124456437312,2,2
CEP20,protein,15,3.1866093676385407,2,2
LECT2,protein,25,6.1423751762493,2,2
CCN5,protein,1,0.2663409948732378,6,4
SCAMP3,protein,3,0.6949059373505344,5,2
NUDT16,protein,2,0.4993496206447602,5,1
PPIB,protein,2,0.5011474648422821,5,1
COL4A1,protein,25,5.80505062654369,1,2
DFFA,protein,1,0.2591656579605099,5,1
KDR,protein,25,6.099199781380496,2,2
NCS1,protein,25,5.346943256689584,2,2
ITGA11,protein,25,6.0229359221457415,3,2
CNPY4,protein,2,0.4830660950303165,5,1
TXLNA,protein,10,2.1612330353182587,2,2
SNAPIN,protein,25,5.992002432784809,2,2
CD99,protein,1,0.26522101214821586,6,4
LGALS3,protein,1,0.259812575208122,5,2
FN1,protein,25,6.0967212142487135,2,2
STX8,protein,2,0.4658312936147846,5,1
PLXNA4,protein,5,1.107405360864041,5,2
CXCL6,protein,25,5.9781025306821025,2,2
DLK1,protein,4,0.8847564374910453,6,4
MYH9,protein,25,5.913370044887421,2,2
ERP29,protein,2,0.5079055597189065,5,1
CLEC1A,protein,1,0.2669050568468305,6,4
INPP5D,protein,25,6.041395085545336,6,2
CD27,protein,4,0.8964796961690914,6,4
CHCHD10,protein,25,5.487939674435423,6,2
CD79B,protein,14,3.089813006771243,3,2
SNAP23,protein,4,0.9134949298011017,5,2
WNT9A,protein,1,0.265795961618964,6,4
ISM1,protein,25,5.419912297925863,2,2
PAXX,protein,25,5.836567902224135,2,2
UFD1,protein,25,5.895264193426278,2,2
HAVCR1,protein,25,5.5718795134062535,2,2
MIF,protein,1,0.25785802197567476,5,1
LBP,protein,1,0.25721819506194404,5,2
PLXNB2,protein,4,0.8722333249535437,4,2
OTUD7B,protein,7,1.5519036543795055,5,2
DAB2,protein,2,0.45651603224752163,5,1
HYOU1,protein,5,1.1482789000660882,6,2
PPP1R2,protein,2,0.4949770990350637,5,1
CXCL13,protein,25,5.689659250122684,6,2
LACTB2,protein,2,0.46613272007705575,5,1
PTGR1,protein,10,2.241486566000604,4,2
