protein,metabolite,r,p,q,r_s,p_s,q_s,sign,abs_r
LDLR,fid_23411,0.28409128871505385,6.973330602867635e-188,8.299382438861776e-186,0.28085739129775505,1.6879239945208775e-183,1.5676405377735802e-181,+,0.28409128871505385
ADM,fid_23452,-0.2840858410951663,7.093728813780903e-188,8.44129339791943e-186,-0.2903389175975636,1.6101117861334993e-196,1.7569121147383236e-194,-,0.2840858410951663
SMOC1,fid_23627,-0.2840812803188297,7.196121887047726e-188,8.561735909780301e-186,-0.31038061612444257,9.713970245035587e-226,1.4780018227275404e-223,-,0.2840812803188297
IL1RN,fid_23495,0.284074785574253,7.3444868054432e-188,8.736826005379846e-186,0.3261787746028846,1.9211131878836344e-250,3.924464922604412e-248,+,0.284074785574253
NHLRC3,fid_23596,-0.2840618268326045,7.649704760348101e-188,9.098416888673818e-186,-0.2827541060184688,4.605424411883817e-186,4.416049117036842e-184,-,0.2840618268326045
SNAP29,fid_23480,0.2840601993446008,7.688921765803979e-188,9.143564620355157e-186,0.27740856099272204,6.887535807059384e-179,6.039419155725394e-177,+,0.2840601993446008
ACE2,fid_23455,0.28405611070844067,7.78833229465087e-188,9.260267217492862e-186,0.269924580029867,4.1302561433558474e-169,3.1837927701044376e-167,+,0.28405611070844067
CFP,fid_23441,0.2840485851389561,7.974675600230487e-188,9.480277136393726e-186,0.3215458626698561,4.829715103364741e-243,9.040398295888997e-241,+,0.2840485851389561
RTN4R,fid_23431,0.28403984207398875,8.196764094558332e-188,9.742701951941008e-186,0.2947196822753639,1.0434117998121529e-202,1.2216237787842573e-200,+,0.28403984207398875
MEGF9,fid_23522,0.2840306148997998,8.437852295788785e-188,1.0027620376063536e-185,0.2667738126596657,4.366435151849678e-165,3.174930400014059e-163,+,0.2840306148997998
APOD,fid_23435,-0.28402775373211103,8.51403783291003e-188,1.0116505856027187e-185,-0.3776625332278061,0,0,-,0.28402775373211103
DPEP2,fid_23471,0.2840211477181524,8.6925734108209e-188,1.0326956235306252e-185,0.2931124001577414,2.0031276702985705e-200,2.2823879726144857e-198,+,0.2840211477181524
SMAD1,fid_23409,0.28401039787710014,8.991128109627055e-188,1.067989971408456e-185,0.2778215699467724,1.947222579925688e-179,1.721778266411153e-177,+,0.28401039787710014
CDKN1A,fid_23458,-0.283996322317212,9.397584500733389e-188,1.1160875392569526e-185,-0.275427239993691,2.8634184822609237e-176,2.4262314279321398e-174,-,0.283996322317212
FUOM,fid_23452,-0.283993240788184,9.488989164572173e-188,1.126758941917196e-185,-0.29076948606491293,4.013125202902726e-197,4.408136322126328e-195,-,0.283993240788184
CCL23,fid_23536,0.2839884646106979,9.632418315334415e-188,1.1436034362222849e-185,0.2792117014076321,2.7274124620051835e-181,2.4696249248432657e-179,+,0.2839884646106979
CRHBP,fid_23454,0.2839755863646018,1.0030035036098288e-187,1.1906157758161612e-185,0.27463170451014857,3.178718980329161e-175,2.655012060666082e-173,+,0.2839755863646018
CA14,fid_23606,0.28397513423623905,1.004428848834548e-187,1.192113038254839e-185,0.27893496346381647,6.391838867599473e-181,5.75614748603171e-179,+,0.28397513423623905
CKB,fid_23490,-0.283966546232023,1.0318901487063805e-187,1.2245057121214813e-185,-0.2908273315884923,3.329207352769695e-197,3.6585592824628816e-195,-,0.283966546232023
ADAMTSL2,fid_23639,0.28396606081769027,1.0334645243879588e-187,1.2261737736294883e-185,0.26001783942990725,1.2193090833101384e-156,7.924102649601137e-155,+,0.28396606081769027
LDLR,fid_23546,0.2839390185034864,1.125069343443845e-187,1.3346422000402046e-185,0.2934923362385025,5.7985693508675646e-201,6.653899526145284e-199,+,0.2839390185034864
LPL,fid_23555,0.28391004818783205,1.2322195329467908e-187,1.4615133083408109e-185,0.2904920897111756,9.824959218058066e-197,1.0744936703912673e-194,+,0.28391004818783205
GPD1,fid_23640,-0.28389446507545035,1.2940107603663812e-187,1.534552349433606e-185,-0.2935877187392791,4.246482474060291e-201,4.884435991618477e-199,-,0.28389446507545035
ERBB3,fid_23538,0.28389027384364207,1.3111518658272214e-187,1.5546261366901553e-185,0.2930231029337779,2.6799524320356226e-200,3.05070087099277e-198,+,0.28389027384364207
ASGR1,fid_23478,0.28388748092030663,1.3226999482952513e-187,1.5680628382309344e-185,0.25093984064860203,1.1132137690800892e-145,6.17930561321407e-144,+,0.28388748092030663
CDHR5,fid_23553,-0.2838826427577199,1.3429455158728104e-187,1.5918043578723918e-185,-0.287869540656119,4.435220358092409e-193,4.628364175294563e-191,-,0.2838826427577199
ERBB2,fid_23408,0.28387519633789066,1.3747118337145465e-187,1.6291915486883706e-185,0.2753111246551712,4.070841105951923e-176,3.441281125703817e-174,+,0.28387519633789066
LGALS4,fid_23618,0.2838682510417977,1.4050163543418323e-187,1.6648344340440632e-185,0.2515390362603869,2.171437757206136e-146,1.2168606603761704e-144,+,0.2838682510417977
SORT1,fid_23448,0.2838247726754987,1.6104850087131706e-187,1.9079876599315444e-185,0.2659016662006517,5.551625428784102e-164,3.9778129554698117e-162,+,0.2838247726754987
IL16,fid_23483,0.28381544043167317,1.6583577121719204e-187,1.964383628252329e-185,0.31809002636981853,1.3166202433616928e-237,2.3170954191351636e-235,+,0.28381544043167317
GHR,fid_23403,0.2838138418652587,1.6666994778794517e-187,1.973943047428059e-185,0.28527316397038693,1.6849499533113502e-189,1.6813205100428914e-187,+,0.2838138418652587
UPB1,fid_23552,-0.28381378197557616,1.6670128120305657e-187,1.973992488075901e-185,-0.3105864586130516,4.732763113956764e-226,7.220652701260095e-224,-,0.28381378197557616
PRAP1,fid_23632,0.2837995025061559,1.7434252918980846e-187,2.0641400038044908e-185,0.32044974958073974,2.604666909950035e-241,4.760253092345723e-239,+,0.2837995025061559
CFP,fid_23407,0.28379860062019563,1.74836727082845e-187,2.0696539606246144e-185,0.31571677374955043,6.466354504526674e-234,1.0859396744176588e-231,+,0.28379860062019563
FGF21,fid_23485,0.2837871018215516,1.8126161082829779e-187,2.1453600042329018e-185,0.27853419127174706,2.1903878661140843e-180,1.960159816689936e-178,+,0.2837871018215516
FGF21,fid_23574,0.2837783969394148,1.8628175669191345e-187,2.2044180315555217e-185,0.2753096388264054,4.089205240767319e-176,3.456403226366032e-174,+,0.2837783969394148
