protein,metabolite,r,p,q,r_s,p_s,q_s,sign,abs_r
APOA1,fid_23440,0.5431348225051968,0,0,0.6628517801743263,0,0,+,0.5431348225051968
APOC1,fid_23440,0.41520175233880724,0,0,0.480526486493918,0,0,+,0.41520175233880724
APOM,fid_23440,0.4334110388166587,0,0,0.4396328306657828,0,0,+,0.4334110388166587
PLTP,fid_23440,0.4383241485715774,0,0,0.44665173187811097,0,0,+,0.4383241485715774
FGFBP1,fid_23439,0.4570479135119897,0,0,0.462538425635824,0,0,+,0.4570479135119897
LDLR,fid_23439,0.4008576078248193,0,0,0.40165301499520306,0,0,+,0.4008576078248193
PLA2G7,fid_23439,0.6123198307934204,0,0,0.6324928347881197,0,0,+,0.6123198307934204
TFPI,fid_23439,0.37447806047134047,0,0,0.4095052754015596,0,0,+,0.37447806047134047
LDLR,fid_23441,0.40650798965746715,0,0,0.41859208611846765,0,0,+,0.40650798965746715
PLA2G7,fid_23441,0.5824749075721863,0,0,0.6047554805248202,0,0,+,0.5824749075721863
ADIPOQ,fid_23433,0.42843439138249834,0,0,0.42701062904041026,0,0,+,0.42843439138249834
APCS,fid_23433,-0.3838070813106353,0,0,-0.3663490475334727,3.0197e-320,1.3119142e-317,-,0.3838070813106353
APOA1,fid_23433,0.36913242038731825,0,0,0.4466464278421125,0,0,+,0.36913242038731825
CFH,fid_23433,-0.4212172421777878,0,0,-0.42584601022872537,0,0,-,0.4212172421777878
GHR,fid_23433,-0.371562421476943,0,0,-0.3663669282510725,2.7964e-320,1.2156213e-317,-,0.371562421476943
INHBC,fid_23433,-0.37916869977723866,0,0,-0.3837358979510347,0,0,-,0.37916869977723866
LDLR,fid_23433,-0.4684629978777655,0,0,-0.47168546876878087,0,0,-,0.4684629978777655
LEP,fid_23433,-0.37182327216091926,0,0,-0.3636965826098289,2.57367931e-315,1.0622543486e-312,-,0.37182327216091926
MXRA8,fid_23433,0.46822895123434566,0,0,0.47477173295351194,0,0,+,0.46822895123434566
PLTP,fid_23433,0.575975277161054,0,0,0.5915230846186693,0,0,+,0.575975277161054
PON3,fid_23433,0.38515578067824946,0,0,0.4311993642611235,0,0,+,0.38515578067824946
SSC4D,fid_23433,-0.4205277638937124,0,0,-0.43956554067870574,0,0,-,0.4205277638937124
ADIPOQ,fid_23431,-0.37998430915497594,0,0,-0.3809363397782388,0,0,-,0.37998430915497594
AGRP,fid_23431,0.41197117688310136,0,0,0.40729803051986285,0,0,+,0.41197117688310136
GHR,fid_23431,0.4042217618809197,0,0,0.40332367497981475,0,0,+,0.4042217618809197
IGSF9,fid_23431,0.404487714472598,0,0,0.4126716939603059,0,0,+,0.404487714472598
INHBC,fid_23431,0.3780508794202216,0,0,0.3850844996987615,0,0,+,0.3780508794202216
LCAT,fid_23431,0.390184728797675,0,0,0.39931645261648335,0,0,+,0.390184728797675
LDLR,fid_23431,0.6033603636339885,0,0,0.6133949938563704,0,0,+,0.6033603636339885
MFGE8,fid_23431,0.40283314544577137,0,0,0.39064693110435494,0,0,+,0.40283314544577137
NPY,fid_23431,0.4355850597663517,0,0,0.4308199982074698,0,0,+,0.4355850597663517
PRAP1,fid_23431,0.41186205142205123,0,0,0.41515182725203614,0,0,+,0.41186205142205123
RARRES2,fid_23431,0.37449051048467596,0,0,0.39197764348324937,0,0,+,0.37449051048467596
AGRP,fid_23484,0.44819549648549606,0,0,0.46419463259033317,0,0,+,0.44819549648549606
CCN1,fid_23484,0.4235644125333278,0,0,0.4290017815183446,0,0,+,0.4235644125333278
CES1,fid_23484,0.40622766986604264,0,0,0.4039691221106154,0,0,+,0.40622766986604264
FURIN,fid_23484,0.37060924271943113,0,0,0.375965159108262,0,0,+,0.37060924271943113
GHR,fid_23484,0.3828680969339138,0,0,0.3947089582215784,0,0,+,0.3828680969339138
IGSF9,fid_23484,0.4160535792891955,0,0,0.41879832176849713,0,0,+,0.4160535792891955
LDLR,fid_23484,0.6622534822981876,0,0,0.6749483640178356,0,0,+,0.6622534822981876
MFGE8,fid_23484,0.4628529131202927,0,0,0.43781198027069934,0,0,+,0.4628529131202927
NPY,fid_23484,0.43239551460064557,0,0,0.45184663753308013,0,0,+,0.43239551460064557
PRAP1,fid_23484,0.38198646572375294,0,0,0.3945749081330625,0,0,+,0.38198646572375294
APOM,fid_23526,0.42092467349971335,0,0,0.4177229199684803,0,0,+,0.42092467349971335
FGFBP1,fid_23526,0.5004682043688856,0,0,0.49388565942173945,0,0,+,0.5004682043688856
PLA2G7,fid_23526,0.5390367322079567,0,0,0.5496728176632922,0,0,+,0.5390367322079567
ADIPOQ,fid_23561,0.4511441197328556,0,0,0.46229362805911955,0,0,+,0.4511441197328556
APOA1,fid_23561,0.42631893468468224,0,0,0.5159192386426472,0,0,+,0.42631893468468224
CFH,fid_23561,-0.40627700799573574,0,0,-0.4236909139614919,0,0,-,0.40627700799573574
LDLR,fid_23561,-0.4882088843315891,0,0,-0.5038406184211176,0,0,-,0.4882088843315891
LEP,fid_23561,-0.3743307534870296,0,0,-0.38252356316000513,0,0,-,0.3743307534870296
MXRA8,fid_23561,0.4841696292919598,0,0,0.49886666638189736,0,0,+,0.4841696292919598
PLTP,fid_23561,0.5733273456552167,0,0,0.6039698720224567,0,0,+,0.5733273456552167
PON3,fid_23561,0.4283751214504487,0,0,0.49206337243657344,0,0,+,0.4283751214504487
PRAP1,fid_23561,-0.3831866095907747,0,0,-0.4034589276325395,0,0,-,0.3831866095907747
RTN4R,fid_23561,-0.37776684491903645,0,0,-0.4025737342557432,0,0,-,0.37776684491903645
SIT1,fid_23561,-0.38611415429630425,0,0,-0.3861235557418791,0,0,-,0.38611415429630425
SSC4D,fid_23561,-0.40908983948452105,0,0,-0.43866718147940653,0,0,-,0.40908983948452105
APOM,fid_23533,0.42148797974239155,0,0,0.421842285379653,0,0,+,0.42148797974239155
FGFBP1,fid_23533,0.4762730394245718,0,0,0.4738154837419931,0,0,+,0.4762730394245718
PLA2G7,fid_23533,0.5563307898988318,0,0,0.5703112475652439,0,0,+,0.5563307898988318
AGRP,fid_23498,0.41278399198267096,0,0,0.41033521332368605,0,0,+,0.41278399198267096
CCN1,fid_23498,0.39148161176412477,0,0,0.3843712517890177,0,0,+,0.39148161176412477
GHR,fid_23498,0.36841432538720126,0,0,0.3750423033437625,0,0,+,0.36841432538720126
LCAT,fid_23498,0.3868224970454179,0,0,0.3981601194906593,0,0,+,0.3868224970454179
LDLR,fid_23498,0.6745193281033027,0,0,0.6860814589370515,0,0,+,0.6745193281033027
MFGE8,fid_23498,0.37308489050361354,0,0,0.3619634008875771,4.046767053865e-312,1.624139008574005e-309,+,0.37308489050361354
NPY,fid_23498,0.4116649536380789,0,0,0.4137349336712961,0,0,+,0.4116649536380789
PLA2G7,fid_23498,0.4330071660204663,0,0,0.43993473920310017,0,0,+,0.4330071660204663
APOA1,fid_23568,0.5313198262164314,0,0,0.6475194533053602,0,0,+,0.5313198262164314
APOM,fid_23568,0.3929944384583471,0,0,0.39356788291484046,0,0,+,0.3929944384583471
PLTP,fid_23568,0.4498902633276904,0,0,0.4589478735266426,0,0,+,0.4498902633276904
SIT1,fid_23568,-0.3698814362871927,0,0,-0.36676930452086837,4.95e-321,2.16629e-318,-,0.3698814362871927
FGFBP1,fid_23540,0.4218401265517738,0,0,0.42499705530702975,0,0,+,0.4218401265517738
LDLR,fid_23540,0.39128802630285314,0,0,0.3981642759932097,0,0,+,0.39128802630285314
PLA2G7,fid_23540,0.5711577275175826,0,0,0.585019553503384,0,0,+,0.5711577275175826
TFPI,fid_23540,0.3794080226093463,0,0,0.4158435019368286,0,0,+,0.3794080226093463
FGFBP1,fid_23505,0.4778873217868575,0,0,0.48314280551089883,0,0,+,0.4778873217868575
PLA2G7,fid_23505,0.5949175097265499,0,0,0.6153232250300376,0,0,+,0.5949175097265499
APOM,fid_23575,0.3811577026858586,0,0,0.38881103710603543,0,0,+,0.3811577026858586
FGFBP1,fid_23547,0.44045422910711657,0,0,0.4442047763661815,0,0,+,0.44045422910711657
PLA2G7,fid_23547,0.6002561268586071,0,0,0.6169322284655147,0,0,+,0.6002561268586071
TFPI,fid_23547,0.3784907811237368,0,0,0.41424797175017264,0,0,+,0.3784907811237368
FGFBP1,fid_23512,0.38442373603306523,0,0,0.394562899677735,0,0,+,0.38442373603306523
LDLR,fid_23512,0.5366983375243368,0,0,0.5371018813743205,0,0,+,0.5366983375243368
PLA2G7,fid_23512,0.5630641699003923,0,0,0.5837986054292923,0,0,+,0.5630641699003923
ADIPOQ,fid_23554,0.41120485881754754,0,0,0.4108406723281928,0,0,+,0.41120485881754754
CFH,fid_23554,-0.38579793955692887,0,0,-0.3935521323112468,0,0,-,0.38579793955692887
GHR,fid_23554,-0.3685546283924115,0,0,-0.373269410458429,0,0,-,0.3685546283924115
IGSF9,fid_23554,-0.37741109658256006,0,0,-0.4095926897786808,0,0,-,0.37741109658256006
LDLR,fid_23554,-0.4583850242212526,0,0,-0.4578390529182927,0,0,-,0.4583850242212526
LEP,fid_23554,-0.3826483999342591,0,0,-0.38917137028928284,0,0,-,0.3826483999342591
MXRA8,fid_23554,0.4368051991607298,0,0,0.4413057146886633,0,0,+,0.4368051991607298
PLTP,fid_23554,0.5021629986874752,0,0,0.5198611880495897,0,0,+,0.5021629986874752
PON3,fid_23554,0.3933089814662154,0,0,0.44841510854060396,0,0,+,0.3933089814662154
PRAP1,fid_23554,-0.3907771903880656,0,0,-0.4081836767160195,0,0,-,0.3907771903880656
AGRP,fid_23491,0.4185648049765713,0,0,0.41743634087873294,0,0,+,0.4185648049765713
CCN1,fid_23491,0.3987604271783634,0,0,0.39196820068826077,0,0,+,0.3987604271783634
GHR,fid_23491,0.3778171072032521,0,0,0.38491894964299117,0,0,+,0.3778171072032521
LCAT,fid_23491,0.3824753276269759,0,0,0.39316941056560667,0,0,+,0.3824753276269759
LDLR,fid_23491,0.6785421785527609,0,0,0.6892989820516652,0,0,+,0.6785421785527609
MFGE8,fid_23491,0.3831101995762834,0,0,0.367811839138658,6e-323,2.65e-320,+,0.3831101995762834
NPY,fid_23491,0.4118283626985505,0,0,0.41514503347633136,0,0,+,0.4118283626985505
PLA2G7,fid_23491,0.43079103896930876,0,0,0.43842499471342816,0,0,+,0.43079103896930876
FGFBP1,fid_23519,0.4596565701420702,0,0,0.46244627172382097,0,0,+,0.4596565701420702
PLA2G7,fid_23519,0.5398284638395091,0,0,0.5559944018724732,0,0,+,0.5398284638395091
LDLR,fid_23610,-0.3888808486100602,0,0,-0.35973690153225224,4.835067565142756e-308,1.8633494132769216e-305,-,0.3888808486100602
MFGE8,fid_23610,-0.3773733451586177,0,0,-0.3337067472681249,9.519890481511953e-263,2.2177408713358378e-260,-,0.3773733451586177
ACY1,fid_23635,-0.37453787158748786,0,0,-0.39911097291340264,0,0,-,0.37453787158748786
ADIPOQ,fid_23635,0.3856569865490643,0,0,0.40868207747624136,0,0,+,0.3856569865490643
ASGR1,fid_23635,-0.40658889788164904,0,0,-0.43112638567116224,0,0,-,0.40658889788164904
CES1,fid_23635,-0.42503922361444074,0,0,-0.44289604643783254,0,0,-,0.42503922361444074
CPM,fid_23635,-0.38985648814975704,0,0,-0.42998799641557456,0,0,-,0.38985648814975704
FURIN,fid_23635,-0.4113860495109206,0,0,-0.45380174504457294,0,0,-,0.4113860495109206
GHR,fid_23635,-0.3687698229148461,0,0,-0.41280612275507284,0,0,-,0.3687698229148461
IGSF9,fid_23635,-0.4733007245560847,0,0,-0.5006372465863618,0,0,-,0.4733007245560847
LDLR,fid_23635,-0.5140789894338149,0,0,-0.5593870022598112,0,0,-,0.5140789894338149
LEP,fid_23635,-0.3746050077152998,0,0,-0.42041650017091575,0,0,-,0.3746050077152998
MFGE8,fid_23635,-0.40195674233265394,0,0,-0.3947393738335594,0,0,-,0.40195674233265394
MXRA8,fid_23635,0.3889195517394135,0,0,0.4079849746713851,0,0,+,0.3889195517394135
PLTP,fid_23635,0.442644969947475,0,0,0.4639089344873606,0,0,+,0.442644969947475
PON3,fid_23635,0.43504258986631966,0,0,0.49498001489248483,0,0,+,0.43504258986631966
PRAP1,fid_23635,-0.4606499337323482,0,0,-0.4951614162062357,0,0,-,0.4606499337323482
RARRES2,fid_23635,-0.38720817587251566,0,0,-0.4258934075487558,0,0,-,0.38720817587251566
FGFBP1,fid_23615,0.3799797726649235,0,0,0.34296362959404764,2.3179300739693517e-278,6.445078169828684e-276,+,0.3799797726649235
PON3,fid_23615,0.394817511109741,0,0,0.4100267701409095,0,0,+,0.394817511109741
ADIPOQ,fid_23640,0.3925170906742213,0,0,0.3978629237991962,0,0,+,0.3925170906742213
AGRP,fid_23640,-0.40262371414220893,0,0,-0.40785094976380243,0,0,-,0.40262371414220893
CCN1,fid_23640,-0.3702355398754865,0,0,-0.36502772049532345,8.74949e-318,3.705943357e-315,-,0.3702355398754865
CD4,fid_23640,-0.37262861762826,0,0,-0.4157840198774985,0,0,-,0.37262861762826
CES1,fid_23640,-0.3761520478310234,0,0,-0.37478763290666195,0,0,-,0.3761520478310234
FURIN,fid_23640,-0.3974184714275683,0,0,-0.3986745353594859,0,0,-,0.3974184714275683
IGSF9,fid_23640,-0.38675770374534046,0,0,-0.38288807383164086,0,0,-,0.38675770374534046
IL1RN,fid_23640,-0.3702176741187231,0,0,-0.4029910923049968,0,0,-,0.3702176741187231
LDLR,fid_23640,-0.6111974205993632,0,0,-0.6124700490900501,0,0,-,0.6111974205993632
MFGE8,fid_23640,-0.4355343483553302,0,0,-0.41431435157273966,0,0,-,0.4355343483553302
MXRA8,fid_23640,0.3781225886537347,0,0,0.3747902889900034,0,0,+,0.3781225886537347
NPY,fid_23640,-0.38070674549393513,0,0,-0.385563224230773,0,0,-,0.38070674549393513
PLTP,fid_23640,0.42002205577067564,0,0,0.4248973003801386,0,0,+,0.42002205577067564
PON3,fid_23640,0.42536588127013497,0,0,0.4570855453947781,0,0,+,0.42536588127013497
PRAP1,fid_23640,-0.44022949624499835,0,0,-0.4426913790979975,0,0,-,0.44022949624499835
RARRES2,fid_23640,-0.37960130909823725,0,0,-0.39222049460724173,0,0,-,0.37960130909823725
FGFBP1,fid_23595,0.3774087599425244,0,0,0.342828648850664,3.950402709554272e-278,1.0946531268730618e-275,+,0.3774087599425244
IGSF9,fid_23595,-0.4047114877031235,0,0,-0.39474781798057124,0,0,-,0.4047114877031235
LDLR,fid_23595,-0.38284924560739914,0,0,-0.38471566194769713,0,0,-,0.38284924560739914
MFGE8,fid_23595,-0.40383290015314305,0,0,-0.3775164376430362,0,0,-,0.40383290015314305
PON3,fid_23595,0.3742399495800762,0,0,0.4004724133822494,0,0,+,0.3742399495800762
PRAP1,fid_23595,-0.4381959160692528,0,0,-0.4326205468181813,0,0,-,0.4381959160692528
LDLR,fid_23645,-0.4115032743576595,0,0,-0.39379455413197445,0,0,-,0.4115032743576595
MFGE8,fid_23645,-0.4394941425474902,0,0,-0.4152135578487662,0,0,-,0.4394941425474902
FGFBP1,fid_23600,0.40693011145844205,0,0,0.38060744942807534,0,0,+,0.40693011145844205
PLA2G7,fid_23600,0.39066708059438143,0,0,0.3836867634650645,0,0,+,0.39066708059438143
IGSF9,fid_23585,-0.3831617889331766,0,0,-0.4252765420205371,0,0,-,0.3831617889331766
LDLR,fid_23585,-0.3989294594272811,0,0,-0.4123077098627533,0,0,-,0.3989294594272811
PRAP1,fid_23585,-0.41576628154197964,0,0,-0.4512029252559056,0,0,-,0.41576628154197964
FGFBP1,fid_23605,0.3832843559652612,0,0,0.3538531896638206,2.0076122612892812e-297,6.918894393006873e-295,+,0.3832843559652612
IGSF9,fid_23605,-0.39779931377552785,0,0,-0.3778086052863732,0,0,-,0.39779931377552785
LDLR,fid_23605,-0.418129259652263,0,0,-0.4057265561197772,0,0,-,0.418129259652263
MFGE8,fid_23605,-0.41414553926563813,0,0,-0.374875222182788,0,0,-,0.41414553926563813
PON3,fid_23605,0.4027221798539204,0,0,0.4235699699047908,0,0,+,0.4027221798539204
PRAP1,fid_23605,-0.4301965977374318,0,0,-0.41694728251271446,0,0,-,0.4301965977374318
AGRP,fid_23485,0.45111902270440707,0,0,0.46449835046901145,0,0,+,0.45111902270440707
CCN1,fid_23485,0.42845027707697586,0,0,0.4327486250407899,0,0,+,0.42845027707697586
CES1,fid_23485,0.3965648403447831,0,0,0.398193764209533,0,0,+,0.3965648403447831
GHR,fid_23485,0.3820390702721527,0,0,0.39411338833134135,0,0,+,0.3820390702721527
HHEX,fid_23485,0.3728212713512703,0,0,0.38079029142187326,0,0,+,0.3728212713512703
IGSF9,fid_23485,0.4043592128990741,0,0,0.4097251649003418,0,0,+,0.4043592128990741
LDLR,fid_23485,0.6720278465895609,0,0,0.6833626958256735,0,0,+,0.6720278465895609
MFGE8,fid_23485,0.45093552204916953,0,0,0.4280312248922494,0,0,+,0.45093552204916953
NPY,fid_23485,0.43260151360280674,0,0,0.44980175588426563,0,0,+,0.43260151360280674
PRAP1,fid_23485,0.3684157376869496,0,0,0.3807276483445041,0,0,+,0.3684157376869496
ADIPOQ,fid_23418,0.41579056269344966,0,0,0.4221762772135576,0,0,+,0.41579056269344966
APOA1,fid_23418,0.5264186937164153,0,0,0.6410270588142989,0,0,+,0.5264186937164153
APOC1,fid_23418,0.37360032487871137,0,0,0.4239638000404066,0,0,+,0.37360032487871137
APOM,fid_23418,0.4158030346278743,0,0,0.4133428699626909,0,0,+,0.4158030346278743
LDLR,fid_23418,-0.37696106379870636,0,0,-0.3863773353474164,0,0,-,0.37696106379870636
MENT,fid_23418,0.37011557185800925,0,0,0.3818259418897478,0,0,+,0.37011557185800925
MXRA8,fid_23418,0.4459401654688043,0,0,0.45136853209630023,0,0,+,0.4459401654688043
PAG1,fid_23418,-0.3821649164610869,0,0,-0.37898700823969,0,0,-,0.3821649164610869
PLTP,fid_23418,0.5332553100730174,0,0,0.5484572110283947,0,0,+,0.5332553100730174
PON3,fid_23418,0.41564451923325013,0,0,0.4608841163229457,0,0,+,0.41564451923325013
SIT1,fid_23418,-0.41393402683519237,0,0,-0.41143613653561323,0,0,-,0.41393402683519237
SSC4D,fid_23418,-0.38591250969098073,0,0,-0.39852251180772374,0,0,-,0.38591250969098073
APOM,fid_23527,0.42109760964799825,0,0,0.41837309067806694,0,0,+,0.42109760964799825
FGFBP1,fid_23527,0.49467413550050526,0,0,0.48834506097620056,0,0,+,0.49467413550050526
PLA2G7,fid_23527,0.5346449197054809,0,0,0.5452267873493891,0,0,+,0.5346449197054809
APOM,fid_23417,0.39377250780798945,0,0,0.3937812611039905,0,0,+,0.39377250780798945
FGFBP1,fid_23417,0.4490615784074866,0,0,0.45050712365100576,0,0,+,0.4490615784074866
PLA2G7,fid_23417,0.5704728390690776,0,0,0.5852060032794182,0,0,+,0.5704728390690776
TFPI,fid_23417,0.3703604500912048,0,0,0.4062313570897541,0,0,+,0.3703604500912048
ADIPOQ,fid_23562,0.45595926507219725,0,0,0.46758876699187096,0,0,+,0.45595926507219725
APOA1,fid_23562,0.42729325064246604,0,0,0.5169008747607814,0,0,+,0.42729325064246604
CFH,fid_23562,-0.4101496670066176,0,0,-0.4286028049502839,0,0,-,0.4101496670066176
IL1RN,fid_23562,-0.37361909436859175,0,0,-0.4238353963570547,0,0,-,0.37361909436859175
INHBC,fid_23562,-0.3682950032455979,0,0,-0.3875432318109286,0,0,-,0.3682950032455979
LDLR,fid_23562,-0.499675133677627,0,0,-0.5176900168010947,0,0,-,0.499675133677627
LEP,fid_23562,-0.37988609854380456,0,0,-0.38904545246457695,0,0,-,0.37988609854380456
MXRA8,fid_23562,0.4881846933147575,0,0,0.5027491765183331,0,0,+,0.4881846933147575
PAG1,fid_23562,-0.37050529366934976,0,0,-0.3744671236546447,0,0,-,0.37050529366934976
PLTP,fid_23562,0.5763183266554678,0,0,0.6065871898835792,0,0,+,0.5763183266554678
PON3,fid_23562,0.4351506527004429,0,0,0.4999519043872225,0,0,+,0.4351506527004429
PRAP1,fid_23562,-0.39243221420338037,0,0,-0.4142467978895632,0,0,-,0.39243221420338037
RTN4R,fid_23562,-0.380725856878173,0,0,-0.40561617190564137,0,0,-,0.380725856878173
SIT1,fid_23562,-0.390377041644491,0,0,-0.3908351931761405,0,0,-,0.390377041644491
SSC4D,fid_23562,-0.4110408698061609,0,0,-0.44038365164641696,0,0,-,0.4110408698061609
APOM,fid_23534,0.4151499952325649,0,0,0.4161176640802735,0,0,+,0.4151499952325649
FGFBP1,fid_23534,0.4644266533920204,0,0,0.46323669655695016,0,0,+,0.4644266533920204
PLA2G7,fid_23534,0.5547003086939818,0,0,0.5688961685890703,0,0,+,0.5547003086939818
AGRP,fid_23499,0.3887836701993946,0,0,0.3834034586808215,0,0,+,0.3887836701993946
CCN1,fid_23499,0.3714884949268108,0,0,0.3623321875080054,8.48416608877e-313,3.4277681614591e-310,+,0.3714884949268108
LDLR,fid_23499,0.643889176791311,0,0,0.6525632597205657,0,0,+,0.643889176791311
NPY,fid_23499,0.3822469117617641,0,0,0.37978465087626107,0,0,+,0.3822469117617641
PLA2G7,fid_23499,0.4753182463891312,0,0,0.48590512559878857,0,0,+,0.4753182463891312
APOA1,fid_23569,0.5274656078563931,0,0,0.64234933924708,0,0,+,0.5274656078563931
APOM,fid_23569,0.385052035810715,0,0,0.3849046576687035,0,0,+,0.385052035810715
PLTP,fid_23569,0.4470575623256621,0,0,0.45552001466593584,0,0,+,0.4470575623256621
SIT1,fid_23569,-0.37038665153829425,0,0,-0.36744347665357735,2.77e-322,1.22696e-319,-,0.37038665153829425
FGFBP1,fid_23541,0.3975381622307355,0,0,0.40378279171273074,0,0,+,0.3975381622307355
LDLR,fid_23541,0.45009303333918665,0,0,0.45630192748723913,0,0,+,0.45009303333918665
PLA2G7,fid_23541,0.5631219594282079,0,0,0.5763578034759129,0,0,+,0.5631219594282079
TFPI,fid_23541,0.3827342111730516,0,0,0.42002863574107346,0,0,+,0.3827342111730516
FGFBP1,fid_23506,0.5055627597996941,0,0,0.5050768898899143,0,0,+,0.5055627597996941
PLA2G7,fid_23506,0.5820907456087719,0,0,0.6008714783166166,0,0,+,0.5820907456087719
FGFBP1,fid_23548,0.414371710129096,0,0,0.4229068175110036,0,0,+,0.414371710129096
LDLR,fid_23548,0.4462670164549435,0,0,0.4495459586190985,0,0,+,0.4462670164549435
PLA2G7,fid_23548,0.5924876144342067,0,0,0.6098440749909085,0,0,+,0.5924876144342067
TFPI,fid_23548,0.38563950837252764,0,0,0.4234953072310178,0,0,+,0.38563950837252764
LDLR,fid_23513,0.5684810560844383,0,0,0.569535622253714,0,0,+,0.5684810560844383
PLA2G7,fid_23513,0.5479007705953095,0,0,0.5677290733723808,0,0,+,0.5479007705953095
FGFBP1,fid_23416,0.4029235435704925,0,0,0.41352583925434333,0,0,+,0.4029235435704925
LDLR,fid_23416,0.5199569461976552,0,0,0.5184754558477106,0,0,+,0.5199569461976552
PLA2G7,fid_23416,0.5749927270145351,0,0,0.5951727138985897,0,0,+,0.5749927270145351
ADIPOQ,fid_23555,0.4227393699771373,0,0,0.4261163878631552,0,0,+,0.4227393699771373
CFH,fid_23555,-0.39288886879888246,0,0,-0.4033148126066782,0,0,-,0.39288886879888246
GHR,fid_23555,-0.3718973996068192,0,0,-0.3787542810972877,0,0,-,0.3718973996068192
IGSF9,fid_23555,-0.37757399824590454,0,0,-0.4115790133263778,0,0,-,0.37757399824590454
LDLR,fid_23555,-0.4654655510563141,0,0,-0.4679773120531238,0,0,-,0.4654655510563141
LEP,fid_23555,-0.3885819314286269,0,0,-0.39758711568375055,0,0,-,0.3885819314286269
MXRA8,fid_23555,0.4506547955354848,0,0,0.4582969533498332,0,0,+,0.4506547955354848
PLTP,fid_23555,0.5199888334672038,0,0,0.5414704049309109,0,0,+,0.5199888334672038
PON3,fid_23555,0.4080210467664123,0,0,0.4671748544694257,0,0,+,0.4080210467664123
PRAP1,fid_23555,-0.3968788863353822,0,0,-0.41749504592571285,0,0,-,0.3968788863353822
RTN4R,fid_23555,-0.370740445393675,0,0,-0.39513787273517886,0,0,-,0.370740445393675
AGRP,fid_23492,0.39161779630025795,0,0,0.3862428659318582,0,0,+,0.39161779630025795
CCN1,fid_23492,0.3773644933127359,0,0,0.3677033668339216,9e-323,3.9703e-320,+,0.3773644933127359
LCAT,fid_23492,0.38129015928189003,0,0,0.3921382063617702,0,0,+,0.38129015928189003
LDLR,fid_23492,0.657816166274716,0,0,0.66669981457802,0,0,+,0.657816166274716
NPY,fid_23492,0.3837695900054028,0,0,0.3813284507360973,0,0,+,0.3837695900054028
PLA2G7,fid_23492,0.483523252912129,0,0,0.4945164031814876,0,0,+,0.483523252912129
FGFBP1,fid_23520,0.47555031689557553,0,0,0.47552897497535546,0,0,+,0.47555031689557553
PLA2G7,fid_23520,0.536014379849489,0,0,0.5504800418689847,0,0,+,0.536014379849489
ACY1,fid_23636,-0.38642483079462725,0,0,-0.3995641863769399,0,0,-,0.38642483079462725
ADH4,fid_23636,-0.37665086083573124,0,0,-0.39469208533899713,0,0,-,0.37665086083573124
ADIPOQ,fid_23636,0.38396561044772515,0,0,0.39852311250673056,0,0,+,0.38396561044772515
ASGR1,fid_23636,-0.4056694846490597,0,0,-0.42304165000019206,0,0,-,0.4056694846490597
CES1,fid_23636,-0.44337958681334816,0,0,-0.4475926684516523,0,0,-,0.44337958681334816
CPM,fid_23636,-0.3897098014026819,0,0,-0.41824065224532186,0,0,-,0.3897098014026819
FURIN,fid_23636,-0.42903877129245155,0,0,-0.4587955029390477,0,0,-,0.42903877129245155
GHR,fid_23636,-0.37558120153813157,0,0,-0.4070078299012247,0,0,-,0.37558120153813157
IGSF9,fid_23636,-0.4829911584483895,0,0,-0.494040791361073,0,0,-,0.4829911584483895
LDLR,fid_23636,-0.5334216931374293,0,0,-0.5670387530607129,0,0,-,0.5334216931374293
LEP,fid_23636,-0.3754361383840252,0,0,-0.4139495091362623,0,0,-,0.3754361383840252
MFGE8,fid_23636,-0.44002534887958994,0,0,-0.4204146506240356,0,0,-,0.44002534887958994
MXRA8,fid_23636,0.38427393947478494,0,0,0.39371494331215096,0,0,+,0.38427393947478494
PLTP,fid_23636,0.43025630607683263,0,0,0.44110530379797025,0,0,+,0.43025630607683263
PON3,fid_23636,0.43943665336225246,0,0,0.48622953187648,0,0,+,0.43943665336225246
PRAP1,fid_23636,-0.4694639547482894,0,0,-0.4951804114088359,0,0,-,0.4694639547482894
RARRES2,fid_23636,-0.3937191981445225,0,0,-0.4230206593254948,0,0,-,0.3937191981445225
UPB1,fid_23636,-0.3734041679965508,0,0,-0.39353766252485434,0,0,-,0.3734041679965508
IGSF9,fid_23591,-0.3832171037717674,0,0,-0.38726380890271034,0,0,-,0.3832171037717674
PRAP1,fid_23591,-0.3808881739180839,0,0,-0.3948456439912173,0,0,-,0.3808881739180839
AGRP,fid_23641,-0.42367117126200443,0,0,-0.43164117154585846,0,0,-,0.42367117126200443
CCN1,fid_23641,-0.3993650816268813,0,0,-0.3966558986680667,0,0,-,0.3993650816268813
CES1,fid_23641,-0.38340379400596314,0,0,-0.3792660621539761,0,0,-,0.38340379400596314
FURIN,fid_23641,-0.39289722588112486,0,0,-0.3914678605449786,0,0,-,0.39289722588112486
GCG,fid_23641,-0.36980484979938905,0,0,-0.3784732195612893,0,0,-,0.36980484979938905
IGSF9,fid_23641,-0.38507602446645495,0,0,-0.37674167661648494,0,0,-,0.38507602446645495
LDLR,fid_23641,-0.6141398884735173,0,0,-0.615257083953936,0,0,-,0.6141398884735173
MFGE8,fid_23641,-0.4723640511408849,0,0,-0.44844667984178244,0,0,-,0.4723640511408849
NPY,fid_23641,-0.40141111743421676,0,0,-0.40945924060120154,0,0,-,0.40141111743421676
