name,type
LRP2BP,protein
LRPAP1,protein
LRRC25,protein
LRRC37A2,protein
LRRC38,protein
LRRC59,protein
LRRFIP1,protein
LRRN1,protein
LRTM1,protein
LRTM2,protein
LSM1,protein
LSM8,protein
LSP1,protein
LTA,protein
LTA4H,protein
LTB,protein
LTBP2,protein
LTBP3,protein
LTBR,protein
LTO1,protein
LUZP2,protein
LXN,protein
LY6D,protein
LY75,protein
LY9,protein
LY96,protein
LYAR,protein
LYN,protein
LYPD1,protein
LYPD3,protein
LYPD8,protein
LYPLA2,protein
LYSMD3,protein
LYVE1,protein
LYZL2,protein
LZTFL1,protein
M6PR,protein
MAD1L1,protein
MAEA,protein
MAG,protein
MAGEA3,protein
MAGED1,protein
MAMDC2,protein
MAMDC4,protein
MAN1A2,protein
MAN2B2,protein
MANEAL,protein
MANF,protein
MANSC1,protein
MANSC4,protein
MAP1LC3A,protein
MAP1LC3B2,protein
MAP2,protein
MAP2K1,protein
MAP2K6,protein
MAP3K5,protein
MAP4K5,protein
MAPK13,protein
MAPK9,protein
MAPKAPK2,protein
MAPRE3,protein
MAPT,protein
MARCO,protein
MARS1,protein
MASP1,protein
MATN2,protein
MATN3,protein
MAVS,protein
MAX,protein
MB,protein
MBL2,protein
MCAM,protein
MCEE,protein
MCEMP1,protein
MCFD2,protein
MCTS1,protein
MDGA1,protein
MDH1,protein
MDK,protein
MDM1,protein
MECR,protein
MED18,protein
MED21,protein
MEGF10,protein
MEGF11,protein
MEGF9,protein
MELTF,protein
MENT,protein
MEP1A,protein
MEP1B,protein
MEPE,protein
MERTK,protein
MESD,protein
MET,protein
METAP1,protein
METAP1D,protein
METAP2,protein
MFAP3,protein
MFAP3L,protein
MFAP4,protein
MFAP5,protein
MFGE8,protein
MGLL,protein
MGMT,protein
MIA,protein
MICALL2,protein
MICB_MICA,protein
MIF,protein
MILR1,protein
MINDY1,protein
MINK1,protein
MITD1,protein
MKI67,protein
MLLT1,protein
MLN,protein
MME,protein
MMP1,protein
MMP10,protein
MMP12,protein
MMP13,protein
MMP15,protein
MMP3,protein
MMP7,protein
MMP8,protein
MMP9,protein
MMUT,protein
MN1,protein
MNAT1,protein
MNDA,protein
MOCS2,protein
MOG,protein
MORC3,protein
MORF4L1,protein
MORF4L2,protein
MORN4,protein
MPHOSPH8,protein
MPI,protein
MPIG6B,protein
MPO,protein
MPRIP,protein
MRC1,protein
MRI1,protein
MRPL24,protein
MRPL28,protein
MRPL46,protein
MRPL52,protein
MRPL58,protein
MRPS16,protein
MSLN,protein
MSLNL,protein
MSMB,protein
MSR1,protein
MSRA,protein
MST1,protein
MSTN,protein
MTDH,protein
MTHFD2,protein
MTHFSD,protein
MTIF3,protein
MTPN,protein
MTR,protein
MTSS1,protein
MTSS2,protein
MTUS1,protein
MUC13,protein
MUC16,protein
MUC2,protein
MUCL3,protein
MVK,protein
MXRA8,protein
MYBPC1,protein
MYBPC2,protein
MYCBP2,protein
MYDGF,protein
MYH4,protein
MYH7B,protein
MYH9,protein
MYL1,protein
MYL3,protein
MYL4,protein
MYL6B,protein
MYLPF,protein
MYO6,protein
MYO9B,protein
MYOC,protein
MYOM1,protein
MYOM2,protein
MYOM3,protein
MZB1,protein
MZT1,protein
NAA10,protein
NAA80,protein
NAAA,protein
NACC1,protein
NADK,protein
NAGA,protein
NAGK,protein
NAGPA,protein
NAMPT,protein
NAP1L4,protein
NAPRT,protein
NARS1,protein
NBL1,protein
NBN,protein
NCAM1,protein
NCAM2,protein
NCAN,protein
NCF2,protein
NCK2,protein
NCLN,protein
NCR1,protein
NCR3LG1,protein
NCS1,protein
NDRG1,protein
NDST1,protein
NDUFA5,protein
NDUFB7,protein
NDUFS6,protein
NEB,protein
NECAP2,protein
NECTIN1,protein
NECTIN2,protein
NECTIN4,protein
NEDD4L,protein
NEDD9,protein
NEFL,protein
NEK7,protein
NELL1,protein
NELL2,protein
NENF,protein
NEO1,protein
NEXN,protein
NFASC,protein
NFAT5,protein
NFATC1,protein
NFATC3,protein
NFE2,protein
NFIC,protein
NFKB1,protein
NFKB2,protein
NFKBIE,protein
NFU1,protein
NFX1,protein
NFYA,protein
NGF,protein
NGFR,protein
NGRN,protein
NHLRC3,protein
NID1,protein
NID2,protein
NINJ1,protein
NIT1,protein
NIT2,protein
NLGN1,protein
NLGN2,protein
NME1,protein
NME3,protein
NMI,protein
NMNAT1,protein
NMRK2,protein
NMT1,protein
NOMO1,protein
NOP56,protein
NOS1,protein
NOS2,protein
NOS3,protein
NOTCH1,protein
NOTCH2,protein
NOTCH3,protein
NPC2,protein
NPDC1,protein
NPHS1,protein
NPHS2,protein
NPL,protein
NPPB,protein
NPPC,protein
NPR1,protein
NPTN,protein
NPTX1,protein
NPTX2,protein
NPTXR,protein
NPY,protein
NRCAM,protein
NRGN,protein
NRN1,protein
NRP1,protein
NRP2,protein
NRTN,protein
NRXN3,protein
NSFL1C,protein
NT5C,protein
NT5C1A,protein
NT5C3A,protein
NT5E,protein
NTF3,protein
NTF4,protein
NTPROBNP,protein
NTRK2,protein
NTRK3,protein
NUB1,protein
NUBP1,protein
NUCB2,protein
NUDC,protein
NUDT10,protein
NUDT15,protein
NUDT16,protein
NUDT2,protein
NUDT5,protein
NUMB,protein
NUP50,protein
NXPE4,protein
NXPH1,protein
NXPH3,protein
OBP2B,protein
OCLN,protein
ODAM,protein
OFD1,protein
OGA,protein
OGFR,protein
OGN,protein
OGT,protein
OLFM4,protein
OLR1,protein
OMD,protein
OMG,protein
OMP,protein
OPHN1,protein
OPLAH,protein
OPTC,protein
ORM1,protein
OSBPL2,protein
OSCAR,protein
OSM,protein
OSMR,protein
OSTN,protein
OTOA,protein
OTUD6B,protein
OTUD7B,protein
OXCT1,protein
OXT,protein
P4HB,protein
PACS2,protein
PADI2,protein
PADI4,protein
PAEP,protein
PAFAH1B3,protein
PAFAH2,protein
PAG1,protein
PAGR1,protein
PAIP2B,protein
PAK4,protein
PALLD,protein
PALM,protein
PALM2,protein
PALM3,protein
PAM,protein
PAMR1,protein
PAPPA,protein
PARD3,protein
PARK7,protein
PARP1,protein
PAXX,protein
PBK,protein
PBLD,protein
PBXIP1,protein
PCARE,protein
PCBD1,protein
PCBP2,protein
PCDH1,protein
PCDH12,protein
PCDH17,protein
PCDH7,protein
PCDH9,protein
PCDHB15,protein
PCNA,protein
PCSK7,protein
PCSK9,protein
PCYT2,protein
PDAP1,protein
PDCD1,protein
PDCD1LG2,protein
PDCD5,protein
PDCD6,protein
PDCL2,protein
PDE1C,protein
PDE4D,protein
PDE5A,protein
PDGFA,protein
PDGFB,protein
PDGFC,protein
PDGFRA,protein
PDGFRB,protein
PDIA2,protein
PDIA3,protein
PDIA4,protein
PDIA5,protein
PDLIM5,protein
PDLIM7,protein
PDP1,protein
PDRG1,protein
PDXDC1,protein
PDZD2,protein
PDZK1,protein
PEAR1,protein
PEBP1,protein
PECAM1,protein
PECR,protein
PENK,protein
PEPD,protein
PER3,protein
PF4,protein
PFDN2,protein
PFDN4,protein
PFDN6,protein
PFKFB2,protein
PGA4,protein
PGD,protein
PGF,protein
PGLYRP1,protein
PGLYRP2,protein
PGLYRP4,protein
PGM2,protein
PGR,protein
PHACTR2,protein
PHLDB1,protein
PHLDB2,protein
PHOSPHO1,protein
PHYKPL,protein
PI16,protein
PI3,protein
PIBF1,protein
PIGR,protein
PIK3AP1,protein
PIK3IP1,protein
PIKFYVE,protein
PILRA,protein
PILRB,protein
PINLYP,protein
PITHD1,protein
PKD1,protein
PKD2,protein
PKLR,protein
PKN3,protein
PLA2G10,protein
PLA2G15,protein
PLA2G1B,protein
PLA2G2A,protein
PLA2G4A,protein
PLA2G7,protein
PLAT,protein
PLAU,protein
PLAUR,protein
PLB1,protein
PLCB1,protein
PLCB2,protein
PLEKHO1,protein
PLG,protein
PLIN1,protein
PLIN3,protein
PLPBP,protein
PLSCR3,protein
PLTP,protein
PLXDC1,protein
PLXDC2,protein
PLXNA4,protein
PLXNB2,protein
PLXNB3,protein
PM20D1,protein
PMCH,protein
PMM2,protein
PMS1,protein
PMVK,protein
PNLIP,protein
PNLIPRP1,protein
PNLIPRP2,protein
PNMA1,protein
PNMA2,protein
PNPT1,protein
PODXL,protein
PODXL2,protein
POF1B,protein
POLR2A,protein
POLR2F,protein
POMC,protein
PON1,protein
PON2,protein
PON3,protein
POSTN,protein
PPBP,protein
PPCDC,protein
PPIB,protein
PPIE,protein
PPIF,protein
PPL,protein
PPM1A,protein
PPM1B,protein
PPM1F,protein
PPME1,protein
PPP1CC,protein
PPP1R12A,protein
PPP1R12B,protein
PPP1R14A,protein
PPP1R14D,protein
PPP1R2,protein
PPP1R9B,protein
PPP2R5A,protein
PPP3R1,protein
PPT1,protein
PPY,protein
PQBP1,protein
PRAME,protein
PRAP1,protein
PRC1,protein
PRCP,protein
PRDX1,protein
PRDX2,protein
PRDX3,protein
PRDX5,protein
PRDX6,protein
PREB,protein
PRELP,protein
PRG2,protein
PRG3,protein
PRKAB1,protein
PRKAG3,protein
PRKAR1A,protein
PRKAR2A,protein
PRKCQ,protein
PRKD2,protein
PRKG1,protein
PRKRA,protein
PRL,protein
PRND,protein
PROC,protein
PROCR,protein
PROK1,protein
PROS1,protein
PRR4,protein
PRR5,protein
PRRT3,protein
PRSS2,protein
PRSS22,protein
PRSS27,protein
PRSS53,protein
PRSS8,protein
PRTFDC1,protein
PRTG,protein
PRTN3,protein
PRUNE2,protein
PSAP,protein
PSAPL1,protein
PSCA,protein
PSG1,protein
PSIP1,protein
PSMA1,protein
PSMC3,protein
PSMD1,protein
PSMD5,protein
PSMD9,protein
PSME1,protein
PSME2,protein
PSMG3,protein
PSMG4,protein
PSPN,protein
PSRC1,protein
PSTPIP2,protein
PTEN,protein
PTGDS,protein
PTGES2,protein
PTGR1,protein
PTH,protein
PTH1R,protein
PTK7,protein
PTN,protein
PTP4A3,protein
PTPN1,protein
PTPN6,protein
PTPN9,protein
PTPRB,protein
PTPRC,protein
PTPRF,protein
PTPRH,protein
PTPRK,protein
PTPRM,protein
PTPRN2,protein
PTPRR,protein
PTPRS,protein
PTPRZ1,protein
PTRHD1,protein
PTS,protein
PTTG1,protein
PTX3,protein
PVALB,protein
PVR,protein
PXDNL,protein
PXN,protein
PYDC1,protein
PYY,protein
PZP,protein
QDPR,protein
QPCT,protein
QSOX1,protein
RAB10,protein
RAB11FIP3,protein
RAB27B,protein
RAB2B,protein
RAB33A,protein
RAB37,protein
RAB39B,protein
RAB3GAP1,protein
RAB44,protein
RAB6A,protein
RAB6B,protein
RABEP1,protein
RABEPK,protein
RABGAP1L,protein
RAC3,protein
RAD23B,protein
RAD51,protein
RALB,protein
RALY,protein
RANBP1,protein
RANBP2,protein
RANGAP1,protein
RAP1A,protein
RAPGEF2,protein
RARRES1,protein
RARRES2,protein
RASA1,protein
RASGRF1,protein
RASSF2,protein
RBFOX3,protein
RBKS,protein
RBM17,protein
RBM19,protein
RBM25,protein
RBP1,protein
RBP2,protein
RBP5,protein
RBP7,protein
RBPMS,protein
RBPMS2,protein
RCC1,protein
RCOR1,protein
RECK,protein
REEP4,protein
REG1A,protein
REG1B,protein
REG3A,protein
REG3G,protein
REG4,protein
RELB,protein
RELT,protein
REN,protein
REPS1,protein
REST,protein
RET,protein
RETN,protein
REXO2,protein
RFC4,protein
RGCC,protein
RGL2,protein
RGMA,protein
RGMB,protein
RGS10,protein
RGS8,protein
RHOC,protein
RICTOR,protein
RIDA,protein
RILP,protein
RILPL2,protein
RIPK4,protein
RLN1,protein
RLN2,protein
RNASE1,protein
RNASE10,protein
RNASE3,protein
RNASE4,protein
RNASE6,protein
RNASEH2A,protein
RNASET2,protein
RNF149,protein
RNF168,protein
RNF31,protein
RNF4,protein
RNF41,protein
RNF43,protein
RNF5,protein
ROBO1,protein
ROBO2,protein
ROBO4,protein
ROR1,protein
RP2,protein
RPA2,protein
RPE,protein
RPGR,protein
RPL14,protein
RPS10,protein
RRAS,protein
RRM2,protein
RRM2B,protein
RRP15,protein
RSPO1,protein
RSPO3,protein
RTBDN,protein
RTKN2,protein
RTN4IP1,protein
RTN4R,protein
RUVBL1,protein
RWDD1,protein
RYR1,protein
S100A11,protein
S100A12,protein
S100A13,protein
S100A14,protein
S100A16,protein
S100A3,protein
S100A4,protein
S100G,protein
S100P,protein
SAA4,protein
SAFB2,protein
SAG,protein
SAMD9L,protein
SAP18,protein
SARG,protein
SART1,protein
SAT1,protein
SAT2,protein
SATB1,protein
SBSN,protein
SCAMP3,protein
SCARA5,protein
SCARB1,protein
SCARB2,protein
SCARF1,protein
SCARF2,protein
SCG2,protein
SCG3,protein
SCGB1A1,protein
SCGB2A2,protein
SCGB3A1,protein
SCGB3A2,protein
SCGN,protein
SCIN,protein
SCLY,protein
SCN2A,protein
SCN2B,protein
SCN3A,protein
SCN3B,protein
SCN4B,protein
SCP2,protein
SCPEP1,protein
SCRG1,protein
SCRIB,protein
SCRN1,protein
SCT,protein
SDC1,protein
SDC4,protein
SDCCAG8,protein
SDHB,protein
SDK2,protein
SEC31A,protein
SEL1L,protein
SELE,protein
SELENOP,protein
SELL,protein
SELP,protein
SELPLG,protein
SEMA3F,protein
SEMA3G,protein
SEMA4C,protein
SEMA4D,protein
SEMA6C,protein
SEMA7A,protein
SEPTIN3,protein
SEPTIN7,protein
SEPTIN8,protein
SEPTIN9,protein
SERPINA1,protein
SERPINA11,protein
SERPINA12,protein
SERPINA3,protein
SERPINA4,protein
SERPINA5,protein
SERPINA6,protein
SERPINA7,protein
SERPINA9,protein
SERPINB1,protein
SERPINB5,protein
SERPINB6,protein
SERPINB8,protein
SERPINB9,protein
SERPINC1,protein
SERPIND1,protein
SERPINE1,protein
SERPINE2,protein
SERPINF1,protein
SERPINF2,protein
SERPING1,protein
SERPINH1,protein
SERPINI1,protein
SERPINI2,protein
SESTD1,protein
SETMAR,protein
SEZ6,protein
SEZ6L,protein
SEZ6L2,protein
SF3B4,protein
SFRP1,protein
SFRP4,protein
SFTPA1,protein
SFTPA2,protein
SFTPD,protein
SGSH,protein
SH2B3,protein
SH2D1A,protein
SH3BGRL2,protein
SH3BP1,protein
SH3GL3,protein
SH3GLB2,protein
SHBG,protein
SHC1,protein
SHD,protein
SHH,protein
SHISA5,protein
SHMT1,protein
SHPK,protein
SIAE,protein
SIGLEC1,protein
SIGLEC10,protein
SIGLEC15,protein
SIGLEC5,protein
SIGLEC6,protein
SIGLEC7,protein
SIGLEC8,protein
SIGLEC9,protein
SIL1,protein
SIRPA,protein
SIRPB1,protein
SIRT1,protein
SIRT2,protein
SIRT5,protein
SIT1,protein
SKAP1,protein
SKAP2,protein
SKIV2L,protein
SLA2,protein
SLAMF1,protein
SLAMF6,protein
SLAMF7,protein
SLAMF8,protein
SLC12A2,protein
SLC13A1,protein
SLC16A1,protein
SLC1A4,protein
SLC27A4,protein
SLC28A1,protein
SLC34A3,protein
SLC39A14,protein
SLC39A5,protein
SLC44A4,protein
SLC4A1,protein
SLC51B,protein
SLC9A3R1,protein
SLC9A3R2,protein
SLIRP,protein
SLIT2,protein
SLITRK1,protein
SLITRK2,protein
SLITRK6,protein
SLK,protein
SLMAP,protein
SLURP1,protein
SMAD1,protein
SMAD2,protein
SMAD3,protein
SMAD5,protein
SMARCA2,protein
SMC3,protein
SMNDC1,protein
SMOC1,protein
SMOC2,protein
SMPD1,protein
SMPD3,protein
SMPDL3A,protein
SMPDL3B,protein
SMS,protein
SMTN,protein
SNAP23,protein
SNAP25,protein
SNAP29,protein
SNAPIN,protein
SNCA,protein
SNCG,protein
SNED1,protein
SNRPB2,protein
SNU13,protein
SNX15,protein
SNX18,protein
SNX2,protein
SNX5,protein
SNX9,protein
SOD1,protein
SOD2,protein
SOD3,protein
SORBS1,protein
SORCS2,protein
SORD,protein
SORT1,protein
SOST,protein
SOWAHA,protein
SOX2,protein
SOX9,protein
SPACA5_SPACA5B,protein
SPAG1,protein
SPARC,protein
SPARCL1,protein
SPART,protein
SPESP1,protein
SPINK1,protein
SPINK2,protein
SPINK4,protein
SPINK5,protein
SPINK6,protein
SPINK8,protein
SPINT1,protein
SPINT2,protein
SPINT3,protein
SPOCK1,protein
SPON1,protein
SPON2,protein
SPP1,protein
SPRED2,protein
SPRING1,protein
SPRR1B,protein
SPRR3,protein
SPRY2,protein
SPTBN2,protein
SPTLC1,protein
SRC,protein
SRP14,protein
SRPK2,protein
SRPX,protein
SSB,protein
SSBP1,protein
SSC4D,protein
SSC5D,protein
SSH3,protein
SSNA1,protein
ST13,protein
ST3GAL1,protein
ST6GAL1,protein
ST8SIA1,protein
STAB2,protein
STAM,protein
STAMBP,protein
STAT2,protein
STAT5B,protein
STAU1,protein
STC1,protein
STC2,protein
STEAP4,protein
STIP1,protein
STK11,protein
STK24,protein
STK4,protein
STOML2,protein
STX16,protein
STX1B,protein
STX3,protein
STX4,protein
STX5,protein
STX6,protein
STX7,protein
STX8,protein
STXBP1,protein
STXBP3,protein
SUGP1,protein
SUGT1,protein
SULT1A1,protein
SULT2A1,protein
SUMF1,protein
SUMF2,protein
SUOX,protein
SUSD1,protein
SUSD2,protein
SUSD4,protein
SUSD5,protein
SV2A,protein
SWAP70,protein
SYAP1,protein
SYNGAP1,protein
SYT1,protein
SYTL4,protein
TAB2,protein
TACC3,protein
TACSTD2,protein
TADA3,protein
TAFA5,protein
TAGLN3,protein
TALDO1,protein
TANK,protein
TAP1,protein
TARBP2,protein
TARM1,protein
TARS1,protein
TAX1BP1,protein
TBC1D17,protein
TBC1D23,protein
TBC1D5,protein
TBCA,protein
TBCB,protein
TBCC,protein
TBL1X,protein
TBR1,protein
TCL1A,protein
TCL1B,protein
TCN1,protein
TCN2,protein
TCOF1,protein
TCP11,protein
TCTN3,protein
TDGF1,protein
TDO2,protein
TDP1,protein
TDRKH,protein
TEF,protein
TEK,protein
TERF1,protein
TET2,protein
TEX101,protein
TEX33,protein
TF,protein
TFAP2A,protein
TFF1,protein
TFF2,protein
TFF3,protein
TFPI,protein
TFPI2,protein
TFRC,protein
TG,protein
TGFA,protein
TGFB1,protein
TGFB2,protein
TGFBI,protein
TGFBR1,protein
TGFBR2,protein
TGFBR3,protein
TGM2,protein
TGOLN2,protein
THAP12,protein
THBD,protein
THBS2,protein
THBS4,protein
THOP1,protein
THPO,protein
THRAP3,protein
THSD1,protein
THTPA,protein
THY1,protein
TIA1,protein
TIE1,protein
TIGAR,protein
TIGIT,protein
TIMD4,protein
TIMM10,protein
TIMM8A,protein
TIMP1,protein
TIMP2,protein
TIMP3,protein
TIMP4,protein
TINAGL1,protein
TJAP1,protein
TJP3,protein
TK1,protein
TLR1,protein
TLR2,protein
TLR3,protein
TLR4,protein
TMCO5A,protein
TMED1,protein
TMED10,protein
TMED4,protein
TMED8,protein
TMEM106A,protein
TMEM132A,protein
TMEM25,protein
TMOD4,protein
TMPRSS11B,protein
TMPRSS11D,protein
TMPRSS15,protein
TMPRSS5,protein
TMSB10,protein
TNC,protein
TNF,protein
TNFAIP2,protein
TNFAIP8,protein
TNFAIP8L2,protein
TNFRSF10A,protein
TNFRSF10B,protein
TNFRSF10C,protein
TNFRSF11A,protein
TNFRSF11B,protein
TNFRSF12A,protein
TNFRSF13B,protein
TNFRSF13C,protein
TNFRSF14,protein
TNFRSF17,protein
TNFRSF19,protein
TNFRSF1A,protein
TNFRSF1B,protein
TNFRSF21,protein
TNFRSF4,protein
TNFRSF6B,protein
TNFRSF8,protein
TNFRSF9,protein
TNFSF10,protein
TNFSF11,protein
TNFSF12,protein
TNFSF13,protein
TNFSF13B,protein
TNFSF14,protein
TNFSF8,protein
TNIP1,protein
TNN,protein
TNNI3,protein
TNPO1,protein
TNR,protein
TNXB,protein
TOMM20,protein
TOP1,protein
TOP1MT,protein
TOP2B,protein
TOR1AIP1,protein
TP53,protein
TP53BP1,protein
TP53I3,protein
TP53INP1,protein
TP73,protein
TPBGL,protein
TPD52L2,protein
TPK1,protein
TPM3,protein
TPMT,protein
TPP1,protein
TPPP2,protein
TPPP3,protein
TPR,protein
TPRKB,protein
TPSAB1,protein
TPSD1,protein
TPSG1,protein
TPT1,protein
TRAF2,protein
TRAF3,protein
TRAF3IP2,protein
TRDMT1,protein
TREH,protein
TREM2,protein
TREML1,protein
TREML2,protein
TRIAP1,protein
TRIM21,protein
TRIM24,protein
TRIM25,protein
TRIM26,protein
TRIM40,protein
TRIM5,protein
TRIM58,protein
TRPV3,protein
TSC1,protein
TSC22D1,protein
TSHB,protein
TSLP,protein
TSNAX,protein
TSPAN1,protein
TSPAN15,protein
TSPAN7,protein
TSPAN8,protein
TSPYL1,protein
TST,protein
TTF2,protein
TTN,protein
TTR,protein
TUBB3,protein
TWF2,protein
TXK,protein
TXLNA,protein
TXN,protein
TXNDC15,protein
TXNDC5,protein
TXNDC9,protein
TXNL1,protein
TXNRD1,protein
TYMP,protein
TYRO3,protein
TYRP1,protein
UBAC1,protein
UBE2B,protein
UBE2L6,protein
UBE2Z,protein
UBQLN3,protein
UBXN1,protein
UFD1,protein
UGDH,protein
UHRF2,protein
ULBP2,protein
UMOD,protein
UNC5D,protein
UNC79,protein
UNG,protein
UPB1,protein
UPK3A,protein
UPK3BL1,protein
UROD,protein
UROS,protein
USO1,protein
USP25,protein
USP28,protein
USP47,protein
USP8,protein
UXS1,protein
VAMP5,protein
VAMP8,protein
VASH1,protein
VASN,protein
VASP,protein
VAT1,protein
VAV3,protein
VCAM1,protein
VCAN,protein
VCPKMT,protein
VEGFA,protein
VEGFB,protein
VEGFC,protein
VEGFD,protein
VGF,protein
VIM,protein
VIPR1,protein
VIT,protein
VMO1,protein
VNN1,protein
VNN2,protein
VPS28,protein
VPS37A,protein
VPS4B,protein
VPS53,protein
VSIG10,protein
VSIG10L,protein
VSIG2,protein
VSIG4,protein
VSIR,protein
VSNL1,protein
VSTM1,protein
VSTM2B,protein
VSTM2L,protein
VTA1,protein
VTCN1,protein
VTI1A,protein
VWA1,protein
VWA5A,protein
VWC2,protein
VWC2L,protein
VWF,protein
WARS,protein
WAS,protein
WASF1,protein
WASF3,protein
WASHC3,protein
WASL,protein
WDR46,protein
WFDC1,protein
WFDC12,protein
WFDC2,protein
WFIKKN1,protein
WFIKKN2,protein
WIF1,protein
WNT9A,protein
WWP2,protein
XCL1,protein
XG,protein
XIAP,protein
XPNPEP2,protein
XRCC4,protein
YAP1,protein
YARS1,protein
YES1,protein
YJU2,protein
YOD1,protein
YTHDF3,protein
YWHAQ,protein
YY1,protein
ZBP1,protein
ZBTB16,protein
ZBTB17,protein
ZCCHC8,protein
ZFYVE19,protein
ZHX2,protein
ZNF174,protein
ZNF75D,protein
ZNF830,protein
ZNRD2,protein
ZNRF4,protein
ZP3,protein
ZP4,protein
ZPR1,protein
