name,type
CASP2,protein
CASP3,protein
CASP4,protein
CASP7,protein
CASP8,protein
CASP9,protein
CASQ2,protein
CAT,protein
CBLIF,protein
CBLN1,protein
CBLN4,protein
CBS,protein
CBX2,protein
CC2D1A,protein
CCAR2,protein
CCDC134,protein
CCDC28A,protein
CCDC50,protein
CCDC80,protein
CCER2,protein
CCL11,protein
CCL13,protein
CCL14,protein
CCL15,protein
CCL16,protein
CCL17,protein
CCL18,protein
CCL19,protein
CCL2,protein
CCL20,protein
CCL21,protein
CCL22,protein
CCL23,protein
CCL24,protein
CCL25,protein
CCL26,protein
CCL27,protein
CCL28,protein
CCL3,protein
CCL4,protein
CCL5,protein
CCL7,protein
CCL8,protein
CCN1,protein
CCN2,protein
CCN3,protein
CCN4,protein
CCN5,protein
CCND2,protein
CCNE1,protein
CCS,protein
CCT5,protein
CD101,protein
CD109,protein
CD14,protein
CD160,protein
CD163,protein
CD164,protein
CD164L2,protein
CD177,protein
CD1C,protein
CD2,protein
CD200,protein
CD200R1,protein
CD207,protein
CD209,protein
CD22,protein
CD226,protein
CD244,protein
CD248,protein
CD27,protein
CD274,protein
CD276,protein
CD28,protein
CD2AP,protein
CD300A,protein
CD300C,protein
CD300E,protein
CD300LF,protein
CD300LG,protein
CD302,protein
CD33,protein
CD34,protein
CD36,protein
CD38,protein
CD3D,protein
CD3E,protein
CD3G,protein
CD4,protein
CD40,protein
CD40LG,protein
CD46,protein
CD48,protein
CD5,protein
CD55,protein
CD58,protein
CD59,protein
CD5L,protein
CD6,protein
CD63,protein
CD69,protein
CD7,protein
CD70,protein
CD72,protein
CD74,protein
CD79B,protein
CD80,protein
CD82,protein
CD83,protein
CD84,protein
CD86,protein
CD8A,protein
CD93,protein
CD99,protein
CD99L2,protein
CDA,protein
CDAN1,protein
CDC123,protein
CDC25A,protein
CDC26,protein
CDC27,protein
CDC37,protein
CDC42BPB,protein
CDCP1,protein
CDH1,protein
CDH15,protein
CDH17,protein
CDH2,protein
CDH22,protein
CDH23,protein
CDH3,protein
CDH4,protein
CDH5,protein
CDH6,protein
CDHR1,protein
CDHR2,protein
CDHR5,protein
CDK1,protein
CDK5RAP3,protein
CDKL5,protein
CDKN1A,protein
CDKN2D,protein
CDNF,protein
CDON,protein
CDSN,protein
CEACAM1,protein
CEACAM16,protein
CEACAM18,protein
CEACAM19,protein
CEACAM20,protein
CEACAM21,protein
CEACAM3,protein
CEACAM5,protein
CEACAM6,protein
CEACAM8,protein
CEBPA,protein
CEBPB,protein
CELA2A,protein
CELA3A,protein
CELSR2,protein
CEMIP2,protein
CEND1,protein
CENPF,protein
CENPJ,protein
CEP112,protein
CEP152,protein
CEP164,protein
CEP170,protein
CEP20,protein
CEP290,protein
CEP350,protein
CEP43,protein
CEP85,protein
CERT,protein
CES1,protein
CES2,protein
CES3,protein
CETN2,protein
CETN3,protein
CFB,protein
CFC1,protein
CFD,protein
CFH,protein
CFHR2,protein
CFHR4,protein
CFHR5,protein
CFI,protein
CFP,protein
CGA,protein
CGB3_CGB5_CGB8,protein
CGN,protein
CGREF1,protein
CHAC2,protein
CHAD,protein
CHCHD10,protein
CHCHD6,protein
CHEK2,protein
CHGA,protein
CHGB,protein
CHI3L1,protein
CHIT1,protein
CHL1,protein
CHM,protein
CHMP1A,protein
CHMP6,protein
CHP1,protein
CHRDL1,protein
CHRDL2,protein
CHRM1,protein
CIAPIN1,protein
CILP,protein
CINP,protein
CIRBP,protein
CIT,protein
CKAP4,protein
CKB,protein
CKMT1A_CKMT1B,protein
CLASP1,protein
CLC,protein
CLEC10A,protein
CLEC11A,protein
CLEC12A,protein
CLEC14A,protein
CLEC1A,protein
CLEC1B,protein
CLEC2L,protein
CLEC3B,protein
CLEC4A,protein
CLEC4C,protein
CLEC4D,protein
CLEC4G,protein
CLEC4M,protein
CLEC5A,protein
CLEC6A,protein
CLEC7A,protein
CLGN,protein
CLIC5,protein
CLINT1,protein
CLIP2,protein
CLMP,protein
CLNS1A,protein
CLPP,protein
CLPS,protein
CLSPN,protein
CLSTN1,protein
CLSTN2,protein
CLSTN3,protein
CLTA,protein
CLU,protein
CLUL1,protein
CMC1,protein
CMIP,protein
CNDP1,protein
CNGB3,protein
CNP,protein
CNPY2,protein
CNPY4,protein
CNST,protein
CNTF,protein
CNTN1,protein
CNTN2,protein
CNTN3,protein
CNTN4,protein
CNTN5,protein
CNTNAP2,protein
CNTNAP4,protein
COCH,protein
COL15A1,protein
