name,wY_01,wY_02,wY_03,wY_04,wY_05
fid_23474,-0.07067301539805519,0.01816484582905342,-0.007525139513110886,0.2874885274384187,-0.1612739861242643
fid_23475,-0.08742589236530841,0.01700199958467924,0.05622985428928129,-0.1774274259328972,0.18961227980377582
fid_23476,0.02652091050089974,0.0056656456674491346,0.015595019460233575,-0.08457842588169617,0.12455450464910506
fid_23477,-0.012698781235000784,0.0028716301823164085,7.774991037898969e-4,-0.09654469651917048,-0.11774998784129112
fid_23460,-0.020005951953654677,-0.05981434467346357,-0.0373924320881818,-0.1692843670136185,-0.09543650545679398
fid_23479,-0.09711948662809647,0.05758775563071036,0.2834318141080243,-0.29141554793094215,-0.21550889833009376
fid_23440,0.3152032582969748,-0.34446361979413764,0.2991339952869456,0.11225210352658171,-0.19496488039119797
fid_23439,0.033268618239359,0.15486757324138567,0.3946497498838805,0.05486668198962549,-0.004570450552049723
fid_23441,-0.09326593571784839,-0.14667212784294265,-0.3905179211318694,0.049466279833428994,-0.023870523510702537
fid_23433,-0.6810899636974407,0.17796391289771002,0.31445011679383134,0.13468687331487633,0.6419323003730105
fid_23432,-0.005947654838135937,-0.2025651580736396,0.024001244350053956,0.08997494829391432,0.13638092714532069
fid_23431,-0.18151082336429625,-0.3011159119716753,0.24759888708218838,0.06311914767659979,-0.3202186463667157
fid_23484,-0.061628087952518354,-0.12802285546072306,0.1208329185801148,-0.03621029095324537,0.34886035965622364
fid_23526,-0.08223687593541107,0.1799824058596046,-0.11217203921169477,-0.10228653818434028,0.37729783589169646
fid_23561,-0.10460865802326519,-0.26672151279406336,-0.23277483605237326,-0.18304516713619898,-0.5984409670989647
fid_23533,-0.15308411125749086,-0.2137193555745663,-0.33324402124756763,0.1627180690870285,0.24376136922640493
fid_23498,-0.2469474894217375,-0.21656699619160993,-0.04192418483447348,-0.004018564526383123,-0.2314630584375369
fid_23568,-0.050533009854153293,-0.08789889657081407,-0.051372215127740345,-0.26203798554418917,0.3350342309240501
fid_23540,0.037147682872225134,0.07223589196100615,-0.0977098389608634,-0.3173948678065957,0.3567079687706366
fid_23505,0.05917422442477857,-0.022453897280021867,-0.050035954230575864,0.2259589066472114,-0.058602630298547544
fid_23575,-0.02562706730952817,-0.18279152923098035,0.08399067208118181,-0.09275200453912083,0.09331644515651538
fid_23547,-0.2557271346846098,0.15174878981486267,0.18687484265190943,-0.08807517987580225,-0.6408347391082875
fid_23512,0.08357485801122323,0.22906413390956942,-0.35077670536967914,-0.12566750199643928,0.6887256755576451
fid_23554,0.06731200652959529,0.14516415227379126,-0.11000766768403773,-0.1510157609993725,0.1150728068631312
fid_23491,0.04888037624930735,-0.14352944633077144,0.026132588521883097,0.5287847081547987,-0.45719113844824827
fid_23519,0.16549871925368678,-0.12847564835179995,-0.24125365401354382,-0.16279271708396495,-0.2737757016410175
fid_23580,5.4478978046688054e-5,0.0011307008943521899,-0.0067287443921951184,0.0145898265932849,-9.18303583101277e-4
fid_23610,0.020330462397631952,0.03500089785331676,0.07659375868636714,0.15547687293949225,-0.16118724463835832
fid_23635,-0.012192892941533454,-0.019200619223983882,-0.007126764006069203,0.009462862057167995,0.01641967731811738
fid_23615,-0.04120110130524151,-0.01478164832012565,-0.10199014574669911,-0.03700283134996308,0.17230207956616894
fid_23590,0.0038929706831829173,-0.049090289469137904,0.030769026478922587,0.005991637146166786,0.02117538878809929
fid_23640,0.09113768404836048,0.004127168997355521,-0.06224400301446994,0.015121153290843667,0.13730112707393746
fid_23620,0.09394388843057688,-0.05673223523099179,0.03518461128047858,0.0028386237743688765,-0.06323202260273449
fid_23595,-0.158940484968603,0.0851319286135055,0.053154130298222926,0.07421750003773865,0.19307274862865753
fid_23645,-0.181807432502752,-0.013890083075183603,0.05651766941570771,0.08056016607022867,-0.3557768183733679
fid_23625,-0.05921186388656957,0.04182388995990874,0.07577293442152815,0.024271874807197103,0.06345779845582941
fid_23600,-0.019823149971091126,-0.14663195582104122,-0.08076391662593473,0.07849670148299352,-0.09478069319997712
fid_23630,0.019766148040770336,0.01083270458385002,0.020373810786802764,-0.019585740875102807,0.04757984651084031
fid_23585,-0.014494601003353246,0.010334939622021566,0.020491876189368225,-0.03740023508352841,0.03891267897330771
fid_23605,-0.03506224762887986,-0.1754844734672692,0.10135877821069116,-0.06133480019219464,0.059851760674513275
fid_23485,0.03482800374489644,-0.21797392106409713,0.38751142037034125,-0.4178292953083293,0.7481829596213925
fid_23418,-0.1740606225483817,-0.33655714940805365,-0.044815645507057245,-0.43898794318230805,-0.31058739018955356
fid_23527,-0.18976071660217553,0.227532860518739,-0.2508098394395387,-0.005806250938694558,0.23864718804725255
fid_23417,-0.1762198610127486,-0.22425283031016746,-0.2202670743618806,0.06308911090141506,0.34106588689859224
fid_23562,-0.1853926318844942,-0.4663010677649793,-0.19484235244505504,-0.34670606865272335,-0.8687669270403557
fid_23534,-0.22011038285339782,-0.38644024922592946,-0.2747616000354651,0.2795765899716143,0.5814116482441737
fid_23499,-0.5284604088455691,-4.7298390315482876e-4,-0.4226119914084858,0.3864017154837369,-0.14907280178726626
fid_23569,-0.19059941763568092,-0.15595775907730888,0.027498214540467757,-0.43215591924716706,0.33752967544496787
fid_23541,0.04538013208178168,-0.01613519202701665,-0.2099505813414472,-0.43042236328546474,0.2580312464176531
fid_23506,0.2840873337496363,0.46062467069377894,0.28362582002942205,0.3317286002422899,0.3151019108979926
fid_23576,-0.028946024788462168,-0.2467672607014606,0.30246417656933405,-0.2125538870090201,-0.1417966834181073
fid_23548,-0.4060108718824037,0.2533795921484291,0.07363863365912206,-0.04643702631299158,-0.9612487278668453
fid_23513,0.03283657038535251,0.24724556574239753,-0.5796964625715507,0.1957685206251224,0.7494315521944521
fid_23416,0.11656118106510081,0.09229265734181671,-0.1292447339356596,0.14211743593072573,0.19804310605688305
fid_23555,0.030982517227453293,0.16594007267606012,-0.19127327311820988,-0.3283349318311156,0.21646878165501524
fid_23492,0.26533955615381943,0.1330239513685916,-0.25541234491427606,1.1764437964251464,-0.4841640229404391
fid_23520,0.359444660879194,-0.2782205325362464,-0.1645413083460023,-0.43222486035586827,-0.42124882870711916
fid_23581,-0.003706318539877346,0.011423456503525612,-0.0185647688911132,0.02171169509206522,-0.006536844313425325
fid_23611,0.02614824620073647,0.08267418717654942,0.08436510509287783,0.12308064094599572,-0.12246328129059585
