name,wY_01,wY_02,wY_03,wY_04,wY_05,metabolite_label
fid_23474,-0.08175761442374421,0.0375835763220661,-0.013034245474477891,0.2876070025874536,-0.14639223237850427,3-Hydroxybutyrate
fid_23475,-0.08210076473174363,0.00972437923511745,0.05334920951076855,-0.17515065294385138,0.1891029676248544,Acetate
fid_23476,0.02855982379960483,-0.00356355051856455,0.02490954298011217,-0.09030074756331462,0.09099452301081792,Acetoacetate
fid_23477,-0.00494740600837089,-0.01183659995419427,-0.00570989569372279,-0.09913431342757248,-0.10350742617919909,Acetone
fid_23460,-0.01310290314947655,-0.06264272043821302,-0.03341231435863569,-0.15674649894746212,-0.07382427803526152,Alanine
fid_23479,-0.08689885571511953,0.0331900827588027,0.2587934751250337,-0.28871466646840593,-0.19307826327459776,Albumin
fid_23440,0.8081442061160043,0.4854032833721239,5.855648125406622,4.923524831338709,-1.15406090224667,Apolipoprotein A1
fid_23439,6.637272805178584,4.3836995695873515,63.23445862053807,45.25802651987651,56.142016017197776,Apolipoprotein B
fid_23441,-0.04309580402593603,-0.24145356581235372,-0.5401065782215755,-0.00263776203879665,-0.1081964543303732,Apolipoprotein B to Apolipoprotein A1 ratio
fid_23433,-0.7618680267270439,0.4112866858921757,-0.10818882330284744,0.31543229477379026,0.8568896842817344,Average Diameter for HDL Particles
fid_23432,-0.03116295257888173,-0.20639609996448455,-0.01095029840911401,0.1796933060905253,0.15284945307675998,Average Diameter for LDL Particles
fid_23431,-0.23434138976138047,-0.384272965031826,0.31706075172532255,0.06860748250896351,-0.425973265851311,Average Diameter for VLDL Particles
fid_23484,-0.6203753768894497,11.3184945965554,3.6028237570164032,-5.086753407197764,-31.474248258218687,Cholesterol in Chylomicrons and Extremely Large VLDL
fid_23526,16.444472788077366,33.3285989506174,-15.052816339536523,-4.052332896597268,6.164084328502698,Cholesterol in IDL
fid_23561,0.2733987907091622,9.859163450438004,-6.496839207891696,-7.392532843550516,-35.07203570258911,Cholesterol in Large HDL
fid_23533,18.927093839549183,7.6652573739266225,22.66028050908576,15.436831056487136,-0.7927117772623468,Cholesterol in Large LDL
fid_23498,10.14450864394894,-14.258662559465906,0.647492932809858,14.47773993563028,-13.031736050633569,Cholesterol in Large VLDL
fid_23568,18.64772894164257,-3.248986076739163,15.64093987313761,-7.432615248481594,2.4593577775261584,Cholesterol in Medium HDL
fid_23540,8.03248204875157,-2.599317474439533,-13.81374264906926,13.726628097734142,8.925607349505093,Cholesterol in Medium LDL
fid_23505,-8.807029578933392,-12.903485874484074,-29.489518602747335,0.5474819225207597,-8.856280131160194,Cholesterol in Medium VLDL
fid_23575,-3.846640543043777,-29.52065885209307,0.13961009085978657,7.197733272501711,10.458531225417389,Cholesterol in Small HDL
fid_23547,-7.29812399175332,8.868450284667041,-26.03384461718074,1.3530352269490913,1.3650755754029644,Cholesterol in Small LDL
fid_23512,-2.134098395350717,8.351047326416378,-0.3635698505277872,12.997131597773995,-0.4488340642209147,Cholesterol in Small VLDL
fid_23554,5.14611168911336,17.220255845307854,2.3278534480624415,7.627645188481051,-27.463637188188606,Cholesterol in Very Large HDL
fid_23491,-5.0680930091308065,-9.937389342003666,1.418625723729721,12.971535888665718,-6.305984784328563,Cholesterol in Very Large VLDL
fid_23519,19.86576340473983,26.8145835544531,17.18026696622817,-36.13891563071942,-44.08502722386517,Cholesterol in Very Small VLDL
fid_23580,-8.096686593383351,-1.4504063564239766,-8.947122338872731,-2.9028807719282694,4.80399965393464,Cholesterol to Total Lipids in Chylomicrons and Extremely Large VLDL percentage
fid_23610,9.05096972636129,-41.84204781289122,-39.23356385295897,61.837645281103434,-18.946638221784813,Cholesterol to Total Lipids in IDL percentage
fid_23635,5.4028129443477875,59.409943033354416,64.44283576281353,-8.64117488325166,25.98599070311365,Cholesterol to Total Lipids in Large HDL percentage
fid_23615,23.4735648852943,5.573330139805975,3.8055474100663473,31.07996258525792,-12.28953795549502,Cholesterol to Total Lipids in Large LDL percentage
fid_23590,-14.829719397201783,-30.788649951289106,-32.23003832431413,-25.202740936030263,-24.77404932418065,Cholesterol to Total Lipids in Large VLDL percentage
fid_23640,-34.82599239048488,-0.960873626349391,-23.994040074632185,25.67038479068849,11.561999519287092,Cholesterol to Total Lipids in Medium HDL percentage
fid_23620,-10.543487668844325,17.109530907484817,-38.091334572824735,-40.014131343677306,18.98089571752886,Cholesterol to Total Lipids in Medium LDL percentage
fid_23595,22.02981204652731,-20.17531022654022,-2.3159068011186763,-2.9346426553318667,-24.032516885400433,Cholesterol to Total Lipids in Medium VLDL percentage
fid_23645,3.509870471142107,-11.401500732861678,-41.69505651377152,10.987710441971757,3.312863726464563,Cholesterol to Total Lipids in Small HDL percentage
fid_23625,8.34616436938899,25.058003413505592,-18.466938799168343,29.34857418001584,-2.4088708944554837,Cholesterol to Total Lipids in Small LDL percentage
fid_23600,5.804146826794513,-38.883318214507085,-21.90317135801235,6.950137340294171,-18.488881876854332,Cholesterol to Total Lipids in Small VLDL percentage
