name,type,display_label,degree,strength,module_louvain,module_walktrap
EGF,protein,EGF,1,0.3614255938467114,5,2
SERPINE1,protein,SERPINE1,21,4.751542319957422,2,3
XG,protein,XG,1,0.36410648557268505,6,1
OGN,protein,OGN,1,0.3636823624851277,6,1
ANGPT1,protein,ANGPT1,1,0.35629901370311695,5,2
ADAMTS15,protein,ADAMTS15,26,7.712298797903095,2,3
RBP7,protein,RBP7,2,0.6205022289310669,5,2
SLC39A5,protein,SLC39A5,35,10.834739974510466,2,3
CLMP,protein,CLMP,5,1.2258306706141304,6,3
PTH,protein,PTH,54,17.36895925782726,2,3
CD99L2,protein,CD99L2,30,8.420484952238153,1,3
OXT,protein,OXT,36,9.954524434934996,4,3
IL6,protein,IL6,8,1.9319265644930497,6,3
DPY30,protein,DPY30,25,6.866242661658943,6,3
P4HB,protein,P4HB,25,6.877043755254317,2,3
AFM,protein,AFM,37,11.354238349363287,2,3
ITGA6,protein,ITGA6,1,0.351630920674813,5,2
CKB,protein,CKB,32,9.742074135237477,3,3
CCL27,protein,CCL27,45,13.201910009219404,2,3
TNFRSF12A,protein,TNFRSF12A,25,6.489803965657302,4,3
DAG1,protein,DAG1,11,2.486862547013089,2,3
GSTA1,protein,GSTA1,27,8.457185199570175,2,3
SEMA3F,protein,SEMA3F,26,7.530469352410214,6,3
FSTL3,protein,FSTL3,25,5.907035020048023,6,3
CDHR2,protein,CDHR2,27,8.162378756515308,2,3
PDGFA,protein,PDGFA,1,0.3457296668091162,5,2
PLAT,protein,PLAT,28,8.938419825623203,2,3
TMSB10,protein,TMSB10,4,1.0558937203133907,6,3
VWA1,protein,VWA1,25,6.926361572604343,4,3
APP,protein,APP,1,0.3461234595071182,5,2
A1BG,protein,A1BG,5,1.1860376982193017,6,3
EFNA1,protein,EFNA1,6,1.492759470382988,6,3
STAB2,protein,STAB2,25,6.959247232063679,2,3
NOMO1,protein,NOMO1,25,7.20117322513253,2,3
LAMP2,protein,LAMP2,34,9.96955962492763,2,3
FTCD,protein,FTCD,26,8.19973583543995,2,3
APOF,protein,APOF,44,11.434227797923898,3,3
TMPRSS15,protein,TMPRSS15,44,12.654597274375917,4,3
ITIH4,protein,ITIH4,1,0.3484949748710414,5,3
LAYN,protein,LAYN,1,0.35009946493636585,6,1
ACVRL1,protein,ACVRL1,4,0.985616357176605,6,3
PLA2G10,protein,PLA2G10,62,16.978416933659513,1,3
CFHR5,protein,CFHR5,1,0.3507494818934874,5,3
SERPING1,protein,SERPING1,1,0.3476766601433378,5,3
SEMA4D,protein,SEMA4D,2,0.5671459547859928,5,2
ACE2,protein,ACE2,28,8.01893932355957,4,3
PPY,protein,PPY,25,5.817360170016727,4,3
PYY,protein,PYY,36,10.080076390559562,4,3
SCARF1,protein,SCARF1,2,0.6014682164818699,5,2
SKAP1,protein,SKAP1,25,7.14639778770468,3,3
LY6D,protein,LY6D,1,0.3470016256688759,6,1
VEGFC,protein,VEGFC,6,1.3686668125488084,2,3
APOA2,protein,APOA2,26,5.919278621178817,3,3
CDNF,protein,CDNF,1,0.34395232595209313,6,1
LILRA5,protein,LILRA5,1,0.3372491649400343,5,3
TREML1,protein,TREML1,1,0.34324204588991225,5,2
HS6ST1,protein,HS6ST1,31,8.661020346338127,2,3
FAM3C,protein,FAM3C,7,1.7037506504117874,6,3
FCAMR,protein,FCAMR,28,8.534555018213695,3,3
VMO1,protein,VMO1,32,9.167572012599818,2,3
DKK1,protein,DKK1,17,3.748907178900578,2,3
BDNF,protein,BDNF,1,0.34052775145957076,5,2
SMOC2,protein,SMOC2,2,0.5491864047633027,6,1
SELP,protein,SELP,11,2.498339773572384,2,3
CD300LG,protein,CD300LG,27,7.987051098196687,3,3
CLUL1,protein,CLUL1,28,8.11835679400947,3,3
AGRN,protein,AGRN,25,6.888955666539766,6,3
CFP,protein,CFP,59,16.265307753346796,1,3
CRIP2,protein,CRIP2,26,7.756480795831086,6,3
F10,protein,F10,35,9.20126886014717,1,3
SHBG,protein,SHBG,28,8.552998150307593,3,3
CCN2,protein,CCN2,3,0.7414148537155455,2,3
GSTA3,protein,GSTA3,25,7.8593495563291516,2,3
CCL23,protein,CCL23,34,9.995757996213609,2,3
GGT1,protein,GGT1,25,6.863036016199077,2,3
CNTN3,protein,CNTN3,26,7.934432318953131,2,3
CREG1,protein,CREG1,25,6.562153831830883,2,3
CD63,protein,CD63,11,2.468272440233306,2,3
ANGPTL4,protein,ANGPTL4,5,1.395379296299388,4,1
BAIAP2,protein,BAIAP2,25,7.154652258161649,6,3
FGFR2,protein,FGFR2,25,7.084517832661665,2,3
BTN2A1,protein,BTN2A1,1,0.3343985997435415,6,1
PTGDS,protein,PTGDS,15,3.2548608987970598,3,3
HSPB6,protein,HSPB6,1,0.33224012924228147,6,1
PRCP,protein,PRCP,26,7.621616861830991,6,3
MVK,protein,MVK,28,7.837552721072862,4,3
CA14,protein,CA14,31,8.296905437461485,4,3
CD302,protein,CD302,6,1.4897332520325093,6,3
CCL22,protein,CCL22,25,6.060938883867693,2,3
SERPINA5,protein,SERPINA5,62,17.0475909191226,1,3
NPPC,protein,NPPC,25,5.526398686600327,2,3
IL16,protein,IL16,25,7.387847608922817,2,3
EPHA1,protein,EPHA1,28,8.187660994947676,3,3
SERPINE2,protein,SERPINE2,1,0.33078577717899416,5,2
GPD1,protein,GPD1,25,7.465972144659469,2,3
NECTIN4,protein,NECTIN4,1,0.32980059958608965,6,1
NTRK3,protein,NTRK3,31,8.648774796142645,3,3
CRELD1,protein,CRELD1,25,6.856259325082094,6,3
KRT18,protein,KRT18,25,7.251505485493059,6,3
SUSD1,protein,SUSD1,2,0.5268752247991945,5,2
CLEC4A,protein,CLEC4A,26,7.4304424792865795,3,3
