protein,module_protein,ENTREZID
CD300LF,3,146722
CD72,3,971
CD74,3,972
CD79B,3,974
CD80,3,941
CD69,1,969
CD1C,3,911
CD83,3,9308
ADAMTS8,3,11095
CD58,3,965
CD84,1,8832
CD93,3,22918
CD99,3,4267
CD99L2,3,83692
CDC26,1,246184
CDC27,1,996
CDC37,1,11140
CCL25,3,6370
CDH1,3,999
CDAN1,4,146059
CDH17,3,1015
CDH3,3,1001
CDH5,3,1003
BPIFB2,3,80341
CBS,3,875
CDH2,3,1000
CDC42BPB,1,9578
CDH23,4,64072
CDK5RAP3,1,80279
CDKN1A,1,1026
CDKN2D,1,1032
CDSN,3,1041
ALPP,3,250
CEACAM5,3,1048
CEACAM6,3,4680
CCNE1,4,898
CDA,2,978
CEACAM8,2,1088
AMY2B,5,280
CELA2A,5,63036
CDNF,1,441549
CEP170,1,9859
CEP20,1,123811
CEP43,1,11116
CEP85,1,64793
CDHR2,3,54825
AGR3,3,155465
BMP4,3,652
CERT,1,NA
CETN2,1,1069
C5,3,727
C8B,3,732
CELSR2,3,1952
BCHE,3,590
BTD,3,686
CDHR5,3,53841
CES1,3,1066
CFB,3,629
CFD,3,1675
CFHR2,3,3080
CFH,3,3075
CFHR5,3,81494
CFI,3,3426
CENPF,2,1063
CEP164,4,22897
CETN3,1,1070
BGLAP,3,632
CHCHD10,3,400916
CBLIF,3,2694
CALB1,3,793
CHAC2,2,494143
CHM,1,1121
CHMP1A,1,5119
CDON,3,50937
CHMP6,1,79643
CIAPIN1,1,57019
AREG,3,374
CGREF1,3,10669
CHRDL1,3,91851
APOA2,3,336
CASP1,2,834
CDH6,3,1004
CHGB,3,1114
CKAP4,3,10970
CLEC14A,3,161198
CIRBP,1,1153
ATP2B4,4,493
BCL7B,4,9275
CACNB1,4,782
CLASP1,4,23332
CFP,3,5199
CD209,3,30835
CLEC4D,3,338339
CLEC1B,1,51266
CALB2,3,794
CLEC1A,3,51267
CIT,2,11113
CLIP2,1,7461
CELA3A,5,10136
CLPP,1,8192
CLTA,1,1211
CMC1,1,152100
CMIP,1,80790
CNP,1,1267
CNPY4,1,245812
CBLN4,3,140689
CHL1,3,10752
CNTN1,3,1272
CKB,3,1152
CNTN4,3,152330
CNTN2,3,6900
CLEC2L,4,154790
CLMP,3,79827
COL15A1,3,1306
CHAD,3,1101
COCH,1,1690
CLEC11A,3,6320
COL1A1,3,1277
COL18A1,3,80781
COL6A3,3,1293
CNST,1,163882
COL2A1,1,1280
COMMD1,1,150684
CILP,3,8483
COMMD9,1,29099
COMT,1,1312
COPB2,1,9276
ARID3A,4,1820
CORO1A,1,11151
COX5B,1,1329
CLPS,5,1208
CPA1,5,1357
CPA2,5,1358
CNTN3,3,5067
COX6B1,1,1340
COL5A1,3,1289
COLEC12,3,81035
CD86,3,942
CR1,3,1378
CPPED1,2,55313
CPXM1,1,56265
CRACR2A,1,84766
ATF4,4,468
ATP1B4,4,23439
CA7,4,766
CPM,3,1368
CPQ,3,10404
CRADD,1,8738
CRELD2,1,79174
CHRDL2,3,25884
COMP,3,1311
CD8A,3,925
CNTNAP4,4,85445
CRKL,1,1399
CRYBB1,1,1414
CRYGD,1,1421
CRYM,1,1428
CRTAP,4,10491
CRYZL1,1,9946
CLEC6A,3,93978
CRELD1,3,78987
CRHBP,3,1393
CRIM1,3,51232
CRLF1,3,9244
CDCP1,3,64866
CR2,3,1380
CSDE1,1,7812
CSNK1D,1,1453
BPIFA2,5,140683
CPXM2,3,119587
CRIP2,3,1397
CSF1,3,1435
CST1,5,1469
CEACAM19,3,56971
CPA4,3,51200
CST3,3,1471
CREG1,3,8804
CSNK2A1,1,1457
CSPG4,3,1464
COL3A1,4,1281
CPB1,5,1360
CTRB1,5,1504
