protein,module_protein,ENTREZID
NCR3LG1,3,374383
IL17C,3,27189
NECTIN2,3,5819
NAPRT,2,93100
NECAP2,1,55707
NCF2,2,4688
NCAN,3,1463
MYL6B,4,140465
NEDD4L,2,23327
NEK7,1,140609
MSR1,3,4481
NELL2,3,4753
NEXN,1,91624
NFAT5,1,10725
NFATC1,1,4772
NFE2,1,4778
NFKB1,1,4790
NDUFS6,1,4726
NFKBIE,1,4794
NFU1,1,27247
NAGPA,3,51172
NFASC,3,23114
NID1,1,4811
NCLN,4,56926
NFX1,1,4799
NID2,1,22795
NGRN,1,51335
NHLRC3,3,387921
NIT1,1,4817
ADAMTS1,4,9510
CPOX,4,1371
FGF20,4,26281
INSR,4,3643
KIAA1549L,4,25758
MAP1LC3A,4,84557
NIT2,1,56954
NFYA,2,4800
NMI,1,9111
MYOM3,3,127294
NEB,3,4703
ADAMTS13,3,11093
MET,3,4233
NCAM2,3,4685
NECTIN4,3,81607
NOTCH1,3,4851
MMP12,3,4321
NCS1,3,23413
NPC2,3,10577
NMNAT1,2,64802
NPDC1,3,56654
GRP,3,2922
MFGE8,3,4240
MLN,3,4295
NOTCH3,3,4854
NPTXR,3,23467
NMT1,1,4836
NRP1,3,8829
MAEA,2,10296
NPL,2,80896
NPM1,2,4869
NRGN,1,4900
NSFL1C,2,55968
NT5C,1,30833
NPPB,11,4879
LEPR,3,3953
NRCAM,3,4897
NTRK2,3,4915
NT5C3A,1,51251
NENF,4,29937
NPPC,3,4880
NT5C1A,3,84618
NUB1,1,51667
NUCB2,1,4925
ADAMTSL4,3,54507
NME1,4,4830
NUDC,1,10726
NUDT16,1,131870
NUDT2,1,318
NUDT5,1,11164
NTRK3,3,4916
NUMB,1,8650
OCLN,3,100506658
OGA,1,10724
NUBP1,4,4682
OLFM4,2,10562
NRP2,3,8828
NXPH1,3,30010
OGFR,2,11054
OPHN1,1,4983
ITIH4,3,3700
LRG1,3,116844
OLR1,2,4973
OPLAH,1,26873
OTUD6B,1,51633
OTUD7B,1,56957
NOMO1,3,23420
OXCT1,1,5019
P4HB,1,5034
FSHB,4,2488
KIAA2013,4,90231
OGT,4,8473
PACS2,1,23241
PAFAH2,1,5051
NUDT10,4,170685
PAG1,1,55824
PAFAH1B3,4,5050
PAGR1,2,79447
OGN,3,4969
MTUS1,3,57509
NT5E,3,4907
PALM,3,5064
MED21,3,9412
MRPS16,4,51021
PAIP2B,4,400961
MATN2,3,4147
PAK4,1,10298
PARD3,1,56288
OSM,2,5008
PARK7,2,11315
PARP1,2,142
DCLRE1C,4,64421
GAD1,4,2571
GATA3,4,2625
PALM2,3,NA
PAXX,2,286257
HSD17B14,3,51171
NFATC3,3,4775
PAMR1,3,25891
PBLD,1,64081
DSCAM,3,1826
PCDH17,3,27253
PCOLCE,3,5118
PCBP2,1,5094
PCYT2,1,5833
OSCAR,3,126014
PDCD1,3,5133
PDAP1,1,11333
PDCD5,2,9141
PDE5A,1,8654
PDGFA,1,5154
OMD,3,4958
PDGFB,1,5155
PDIA3,1,2923
PDIA4,1,9601
PDLIM5,1,10611
NINJ1,4,4814
PDLIM7,1,9260
PCBD1,3,5092
PAM,3,5066
PDP1,1,54704
PDZD2,1,23037
PEAR1,1,375033
PEBP1,2,5037
PECAM1,1,5175
PECR,1,55825
PER3,1,8863
PF4,1,5196
PFDN2,1,5202
LIPF,3,8513
PFKFB2,1,5208
PDZK1,3,5174
PGD,1,5226
PHACTR2,1,9749
NOS1,3,4842
PHLDB1,1,23187
IL22,3,50616
PHYKPL,1,85007
MSLN,3,10232
PADI4,2,23569
PIBF1,1,10464
PENK,3,5179
PGF,3,5228
PHOSPHO1,3,162466
PI16,3,221476
PIK3IP1,3,113791
PILRA,3,29992
MELTF,3,4241
NOTCH2,3,4853
NXPH3,3,11248
PDGFRA,3,5156
PIK3AP1,2,118788
PIKFYVE,1,200576
PKD2,1,5311
GIP,3,2695
PIGR,3,5284
PKN3,1,29941
OXT,3,5020
PCSK9,3,255738
LYPD3,3,27076
OSMR,3,9180
PKD1,3,5310
MZB1,3,51237
PGLYRP1,3,8993
PILRB,3,29990
PLA2G15,3,23659
PLAU,3,5328
PLA2G4A,1,5321
PLCB2,1,5330
PLEKHO1,1,51177
PLIN3,1,10226
PLPBP,1,11212
PGR,4,5241
PLSCR3,1,57048
PLXNA4,1,91584
PLXNB3,1,5365
PMM2,1,5373
PLA2G1B,5,5319
PNLIP,5,5406
PMVK,1,10654
MNAT1,4,4331
PCSK7,4,9159
PDCD1LG2,3,80380
GAD2,4,2572
LRIG3,4,121227
NEDD9,2,4739
PALLD,4,23022
PLCB1,4,23236
PLAUR,3,5329
PLTP,3,5360
PNMA1,1,9240
POLR2F,2,5435
PPBP,1,5473
PPCDC,2,60490
PPIB,1,5479
PLXDC1,4,57125
PPIF,1,10105
PPM1A,1,5494
PKLR,2,5313
PPM1F,1,9647
PPME1,2,51400
PPP1CC,1,5501
PPP1R12A,1,4659
PPP1R14A,1,94274
PPP1R2,1,5504
PPP1R9B,1,84687
PPP2R5A,1,5525
NMRK2,4,27231
PBK,4,55872
LGALS3BP,3,3959
MEP1A,3,4224
NPY,3,4852
PLAT,3,5327
PON3,3,5446
PLXNB2,3,23654
PRAP1,3,118471
PPP3R1,1,5534
PRDX1,1,5052
PRDX3,1,10935
PRDX2,2,7001
PRDX5,1,25824
PAPPA,3,5069
PRG2,3,5553
PRKAB1,1,5564
PRDX6,2,9588
PRKAR1A,1,5573
PRKAR2A,1,5576
PRKG1,1,5592
IGFBP3,3,3486
PLG,3,5340
PROC,3,5624
LPO,9,4025
LUZP2,3,338645
PODXL2,3,50512
PRND,3,23627
PNLIPRP1,5,5407
PRCP,3,5547
PRKRA,1,8575
LAMP1,3,3916
PQBP1,2,10084
PRTFDC1,1,56952
PSAP,3,5660
PRAME,4,23532
PSIP1,2,11168
PSMD1,2,5707
PSMD9,2,5715
PSME1,2,5720
PSME2,2,5721
PSMG3,2,84262
PNPT1,4,87178
PRKD2,1,25865
PSRC1,1,84722
PSTPIP2,1,9050
PI3,3,5266
PRRT3,3,285368
PTEN,1,5728
PSMG4,2,389362
PTGES2,1,80142
PTPN1,1,5770
ITGAL,3,3683
LYVE1,3,10894
PCDH12,3,51294
PODXL,3,5420
NEFL,3,4747
OMG,3,4974
PTGDS,3,5730
PTPRN2,3,5799
PTPRF,3,5792
PTPN6,1,5777
PTGR1,3,22949
PTP4A3,3,11156
CPE,3,1363
PTRHD1,1,391356
GC,3,2638
PPY,3,5539
PTS,3,5805
PVALB,1,5816
PRTN3,3,5657
PTPRS,3,5802
PROS1,3,5627
QDPR,2,5860
RAB10,1,10890
RAB11FIP3,1,9727
RAB27B,1,5874
RAB2B,1,84932
RAB33A,1,9363
PXN,2,5829
RAB37,4,326624
RABEP1,1,9135
RABEPK,1,10244
RABGAP1L,2,9910
RAB44,2,401258
RAD23B,1,5887
MYO6,4,4646
NLGN2,4,57555
PRKAG3,4,53632
PPM1B,4,5495
RANBP1,2,5902
LBP,3,3929
NOS3,3,4846
ORM1,3,5004
PRSS8,3,5652
RAPGEF2,1,9693
PPL,3,5493
RASSF2,2,9770
RARRES2,3,5919
PALM3,4,342979
FABP6,3,2172
PPP1R14D,3,54866
RBFOX3,3,146713
RBKS,2,64080
RBP1,4,5947
RBM17,1,84991
LAMB1,3,3912
MAN1A2,3,10905
RBPMS2,1,348093
PRSS2,5,5645
REG1A,3,5967
REG1B,3,5968
RBP2,3,5948
REG3A,3,5068
QPCT,3,25797
RBP5,3,83758
RELT,3,84957
REEP4,1,80346
REPS1,1,85021
RFC4,1,5984
GALNT2,3,2590
PBXIP1,3,57326
PRELP,3,5549
PTPRR,3,5801
RGMA,3,56963
RGCC,1,28984
RGS10,1,6001
RHOC,1,389
RIDA,2,10247
RILP,2,83547
INSL4,4,3641
PROK1,4,84432
PAEP,4,5047
RLN1,4,6013
PRG3,3,10394
RBP7,2,116362
RNASE1,3,6035
RETN,3,56729
RNASE4,3,6038
RILPL2,1,196383
RGMB,3,285704
RNASE6,3,6039
RNASET2,3,8635
RANGAP1,4,5905
POLR2A,4,5430
RNASEH2A,1,10535
RNF41,1,10193
NME3,3,4832
PCDH9,3,5101
PRTG,3,283659
PTPRC,3,5788
PTPRM,3,5797
PTPRZ1,3,5803
RET,3,5979
ROBO1,3,6091
RANBP2,4,5903
RECK,3,8434
RNF149,3,284996
PRSS27,3,83886
ROBO2,3,6092
RNF5,1,6048
RBPMS,4,11030
RP2,1,6102
NPR1,4,4881
NUP50,4,10762
PROCR,4,10544
RPE,2,6120
RRAS,1,6237
FRZB,3,2487
PTN,3,5764
RSPO1,3,284654
RSPO3,3,84870
C1QBP,1,708
RRM2B,1,50484
RTN4IP1,1,84816
RNASE3,2,6037
S100A11,2,6282
GPA33,3,10223
S100A14,3,57402
RWDD1,1,51389
S100A12,2,6283
QSOX1,3,5768
MTHFD2,4,10797
S100A4,1,6275
SAMD9L,1,219285
SAFB2,4,9667
SARG,1,NA
ROR1,3,4919
RTN4R,3,65078
SCARA5,3,286133
SCAMP3,1,10067
ROBO4,3,54538
SCARB2,3,950
PYY,3,5697
REG4,3,83998
RTBDN,3,83546
SCG2,3,7857
RPS10,4,6204
POF1B,3,79983
DIPK1C,4,125704
SCARF2,3,91179
SAT1,4,6303
SCARF1,1,8578
COL9A1,3,1297
SCN4B,3,6330
SCPEP1,1,59342
GAST,3,2520
SCRN1,1,9805
SCRIB,1,23513
SDC4,1,6385
SCLY,3,51540
SDCCAG8,1,10806
SDHB,1,6390
SAA4,3,6291
SEC31A,1,22872
CLEC4G,3,339390
SCRG1,3,11341
SELP,1,6403
KEL,3,3792
PTPRH,3,5794
SEMA4D,1,10507
SERPINA1,3,5265
SERPINA4,3,5267
SEPTIN8,2,23176
SEPTIN9,1,10801
SERPINB1,1,1992
SART1,2,9092
SERPINB6,1,5269
HRG,3,3273
SERPINA3,3,12
SERPINA5,3,5104
SERPINA6,3,866
SERPINC1,3,462
SERPINB9,1,5272
SERPINE1,1,5054
SEMA3F,3,6405
SERPIND1,3,3053
SELENOP,3,6414
SERPINF1,3,5176
SERPINF2,3,5345
SERPINE2,1,5270
RAB6A,3,5870
MUC2,3,4583
SEMA3G,5,56920
C2CD2L,4,9854
SCP2,4,6342
SERPINH1,1,871
SERPINB8,2,5271
SCN2B,4,6327
OPTC,3,26254
SCG3,3,29106
SEZ6,3,124925
SEZ6L,3,23544
SESTD1,1,91404
SF3B4,2,10262
SH2B3,1,10019
SH2D1A,2,4068
SBSN,3,374897
SEL1L,3,6400
SH3BP1,1,23616
SH3GLB2,2,56904
SHMT1,1,6470
SHISA5,3,51246
MILR1,3,284021
SEMA7A,3,8482
SIGLEC1,3,6614
SIGLEC10,3,89790
SDC1,3,6382
SELE,3,6401
SIGLEC7,3,27036
RCOR1,4,23186
RNF168,4,165918
RNF31,4,55072
SIAE,1,54414
SIT1,2,27240
SIRT2,1,22933
SKAP2,1,8935
IL5RA,3,3568
SLAMF1,3,6504
EDEM2,4,55741
MEGF11,4,84465
NOS2,4,4843
RYR1,4,6261
SCGB2A2,4,4250
SHC1,4,6464
SLC16A1,4,6566
SLA2,1,84174
SLAMF6,3,114836
SLC27A4,1,10999
SEZ6L2,3,26470
SLC9A3R1,1,NA
PSAPL1,3,768239
SLMAP,1,7871
SMAD1,1,4086
SMAD2,1,4087
SMAD3,1,4088
GIMAP8,2,155038
RALY,2,22913
RPL14,2,9045
S100P,2,6286
SKAP1,2,8631
SFRP1,3,6422
SFRP4,3,6424
NAAA,3,27163
SEMA6C,4,10500
SIRT1,4,23411
SMPD1,3,6609
SMARCA2,1,6595
SMS,1,6611
SMTN,1,6525
SNAP23,1,8773
SNAP25,1,6616
SNAP29,1,9342
SMNDC1,2,10285
SNAPIN,1,23557
PLIN1,3,5346
MAPK13,2,5603
SATB1,4,6304
SETMAR,2,6419
SNCA,2,6622
SLC1A4,4,6509
SNRPB2,2,6629
SNU13,4,4809
SNX15,2,29907
SNX18,4,112574
SNX2,1,6643
SNX5,1,27131
SLC4A1,2,6521
SNX9,1,51429
SOD1,2,6647
SOD2,1,6648
SMOC1,3,64093
SMOC2,3,64094
SORT1,1,6272
SPAG1,1,6674
SPARC,1,6678
SORCS2,3,57537
SPINK1,3,6690
GAL,3,51083
SLURP1,3,57152
SLC12A2,4,6558
PRSS22,3,64063
SPINK5,3,11005
PDGFC,1,56034
SPART,1,23111
KLK3,7,354
SPINT1,3,6692
MMP10,3,4319
MMP7,3,4316
SIRPB1,3,10326
SPON1,3,10418
MMP13,3,4322
RPA2,4,6118
SMPD3,4,55512
CRNN,3,49860
SPINT2,1,10653
SPRED2,1,200734
SPRY2,1,10253
SPTLC1,1,10558
SRC,1,6714
SRP14,2,6727
SHBG,3,6462
PTPRB,3,5787
SORD,3,6652
SRPK2,1,6733
SSNA1,2,8636
ST13,2,6767
ST6GAL1,3,6480
STAM,1,8027
STAMBP,1,10617
STAT2,1,6773
SPRING1,4,79794
SLITRK2,3,84631
STAT5B,1,6777
MTPN,1,136319
STIP1,2,10963
STK11,1,6794
STK24,1,8428
STK4,1,6789
STX16,1,8675
STX4,1,6810
STX6,1,10228
STX7,1,8417
STX8,1,9482
STXBP1,1,6812
STXBP3,1,6814
SUGP1,1,57794
SUGT1,1,10910
SULT1A1,1,6817
SULT2A1,3,6822
SUMF2,1,25870
SLITRK1,3,114798
SUSD1,1,64420
SUOX,3,6821
SV2A,1,9900
SWAP70,2,23075
SYAP1,1,94056
SYTL4,1,94121
TAB2,1,23118
TACC3,1,10460
SPON2,3,10417
TADA3,1,10474
TALDO1,2,6888
TANK,1,10010
DYNC1H1,4,1778
STX3,4,6809
TARBP2,1,6895
TARS1,1,6897
TAX1BP1,1,8887
TBC1D23,1,55773
TBC1D17,2,79735
TBC1D5,1,9779
TBCA,1,6902
TBCB,1,1155
TBCC,1,6903
RRM2,2,6241
STAU1,4,6780
TBL1X,1,6907
SSBP1,4,6742
ST8SIA1,4,6489
ACRV1,4,56
PGA4,3,643847
TFF1,3,7031
PZP,3,5858
TFF2,3,7032
SSC5D,3,284297
TDRKH,1,11022
TGFA,3,7039
TFPI,3,7035
TERF1,4,7013
PCDH1,3,5097
SLC39A5,3,283375
SLITRK6,3,84189
SNCG,3,6623
STC1,3,6781
SUSD5,3,26032
TAFA5,3,25817
SPARCL1,3,8404
SPP1,3,6696
STC2,3,8614
TGFBR2,3,7048
TGFBR3,3,7049
TGOLN2,3,10618
THBS2,3,7058
TCOF1,2,6949
TGM2,2,7052
TGFB1,1,7040
THPO,1,7066
THBD,3,7056
THBS4,3,7060
THTPA,1,79178
PTX3,3,5806
TIA1,1,7072
TIGAR,1,57103
TIMM10,1,26519
TFPI2,3,7980
TGFBI,3,7045
THY1,3,7070
TIMD4,3,91937
TIMM8A,1,1678
TIMP1,3,7076
TIMP3,1,7078
TJAP1,1,93643
TMCO5A,1,145942
TMED8,1,283578
SPRR3,3,6707
MUC13,3,56667
TMEM106A,1,113277
THOP1,2,7064
TMSB10,1,9168
TNFAIP2,1,7127
TNFAIP8,1,25816
TNFRSF10A,3,8797
TNFRSF10B,3,8795
TNFRSF11A,3,8792
SLAMF7,3,57823
SPINK2,3,6691
TNFRSF12A,3,51330
TCL1A,2,8115
TNFRSF13B,3,23495
TNF,3,7124
TNFAIP8L2,1,79626
TNFRSF14,3,8764
LTBP3,3,4054
SIGLEC8,3,27181
SLAMF8,3,56833
TFF3,3,7033
TNFRSF19,3,55504
TNFRSF1A,3,7132
TNFRSF1B,3,7133
SIGLEC6,3,946
TNFRSF21,3,27242
TNFRSF4,3,7293
TIGIT,3,201633
KLRK1,3,22914
TNFRSF13C,3,115650
TNFRSF6B,3,8771
TNFRSF8,3,943
TNFRSF11B,3,4982
TNFSF10,3,8743
TNFSF12,1,8742
TNFRSF9,3,3604
TNFSF13,3,8741
SIGLEC9,3,27180
TNFSF14,1,8740
TNIP1,1,10318
PM20D1,12,148811
TOMM20,1,9804
TOP2B,1,7155
IL12RB2,13,3595
TOR1AIP1,2,26092
TP53,1,7157
SOX9,4,6662
TP53I3,2,9540
TPD52L2,1,7165
ENOPH1,1,58478
TPK1,2,27010
TDP1,2,55775
TPMT,1,7172
TPR,2,7175
TRAF2,1,7186
TPP1,1,1200
TRDMT1,1,1787
TREML1,1,340205
TREML2,3,79865
TRIAP1,1,51499
TRIM21,1,6737
TRIM24,1,8805
TRIM25,1,7706
TRIM40,1,135644
TRIM5,1,85363
TRIM58,1,25893
TSC22D1,1,8848
SLC51B,3,123264
TSNAX,2,7257
TSPYL1,1,7259
TST,1,7263
TPM3,3,7170
SERPING1,3,710
TF,3,7018
REST,4,5978
SPACA5_SPACA5B,4,NA
SPTBN2,4,6712
TJP3,4,27134
TP73,4,7161
TTF2,1,8458
TWF2,1,11344
TXLNA,1,200081
TXN,2,7295
TXNDC5,1,81567
STOML2,4,30968
TTN,4,7273
TXNDC9,1,10190
TXNRD1,1,7296
TEK,3,7010
TUBB3,4,10381
TYMP,1,1890
UBAC1,2,10422
UBE2B,4,7320
TSC1,4,7248
UBE2L6,1,9246
UBE2Z,1,65264
UBXN1,2,51035
TXNL1,4,9352
NELL1,3,4745
UFD1,1,7353
UNC79,1,57578
UNG,1,7374
UROD,2,7389
USO1,1,8615
MYH7B,4,57644
USP25,1,29761
USP47,1,55031
USP8,1,9101
VAMP5,3,10791
VAMP8,1,8673
IL6R,3,3570
TYRO3,3,7301
ULBP2,3,80328
VASH1,1,22846
VASP,1,7408
GALNT3,3,2591
TINAGL1,3,64129
TNC,3,3371
TNFSF8,3,944
VASN,3,114990
VAV3,1,10451
TNFRSF17,3,608
VEGFA,1,7422
SYT1,3,6857
TNFRSF10C,3,8794
VEGFC,1,7424
VPS28,1,51160
VPS37A,1,137492
VPS4B,1,9525
TREM2,3,54209
VCAM1,3,7412
VPS53,1,55275
UPB1,3,51733
TIE1,3,7075
VSIR,1,64115
VTA1,1,51534
VSIG4,3,11326
VTI1A,1,143187
WAS,1,7454
WASF1,1,8936
WARS,2,NA
WASF3,1,10810
TRAF3,2,7187
MSMB,3,4477
SCGB3A1,3,92304
SCGB3A2,3,117156
SFTPA2,3,729238
VSIG2,3,23584
VWC2,3,375567
WASHC3,1,51019
SOST,3,50964
WWP2,1,11060
XIAP,1,331
S100A13,3,6284
VEGFB,3,7423
WFDC2,3,10406
XG,3,7499
XRCC4,1,7518
YARS1,1,8565
YES1,1,7525
UROS,2,7390
YJU2,1,55702
YOD1,2,55432
YTHDF3,1,253943
TGFBR1,4,7046
TLR1,4,7096
TPSG1,4,25823
UNC5D,4,137970
YWHAQ,1,10971
WDR46,2,9277
ZBTB16,1,7704
ZBP1,4,81030
ZBTB17,2,7709
SFTPA1,4,653509
ZFYVE19,1,84936
ZNF830,4,91603
BRD3,4,8019
C7,3,730
CFHR4,3,10877
CSF2,4,1437
CST5,5,1473
EDIL3,3,10085
FCRL3,3,115352
GAMT,4,2593
GASK1A,4,729085
GSAP,3,54103
HBZ,2,3050
HCG22,4,285834
HEBP1,3,50865
HIP1,4,3092
HRC,3,3270
HS6ST1,3,9394
ICAM5,3,7087
IFIT1,3,3434
IFNG,3,3458
IFNW1,4,3467
IL15,3,3600
IL17RB,3,55540
IL1RL2,3,8808
IL36A,6,27179
ISM2,4,145501
ITM2A,3,9452
JCHAIN,3,3512
KIR2DL3,8,3804
KIRREL2,5,84063
KLK15,3,55554
KRT6C,4,286887
LCP1,2,3936
LECT2,3,3950
LRIG1,3,26018
LTA4H,3,4048
LY75,3,4065
MASP1,3,5648
MMP3,3,4314
MUCL3,10,135656
MYH4,4,4622
NFKB2,3,4791
NPTX2,3,4885
NRXN3,4,9369
NTF3,3,4908
NTPROBNP,11,NA
OTOA,4,146183
PEPD,3,5184
PFDN4,3,5203
PINLYP,3,390940
PLA2G10,3,8399
PLA2G7,3,7941
PLB1,3,151056
PON2,3,5445
POSTN,3,10631
PRR4,9,11272
PSMC3,4,5702
PSPN,3,5623
PTH,3,5741
PVR,3,5817
PYDC1,3,260434
RBM19,4,9904
RBM25,4,58517
RCC1,4,1104
REG3G,3,130120
REN,3,5972
RLN2,4,6019
RPGR,1,6103
RTKN2,4,219790
S100A16,3,140576
S100G,3,795
SAT2,3,112483
SCGB1A1,3,7356
SCGN,3,10590
SCN2A,3,6326
SCN3B,4,55800
SCT,3,6343
SELL,3,6402
SEMA4C,3,54910
SERPINA11,3,256394
SERPINA7,3,6906
SERPINA9,3,327657
SERPINI1,3,5274
SERPINI2,5,5276
SFTPD,3,6441
SGSH,3,6448
SIRPA,3,140885
SLC9A3R2,3,NA
SMAD5,3,4090
SMPDL3A,3,10924
SNED1,3,25992
SORBS1,3,10580
SOWAHA,4,134548
SPINK4,3,27290
SPINK6,3,404203
SPINK8,4,646424
SPINT3,7,10816
SPOCK1,3,6695
SPRR1B,4,6699
SRPX,3,8406
SSC4D,3,136853
SSH3,4,54961
STAB2,3,55576
SUSD2,3,56241
TACSTD2,3,4070
TCL1B,3,9623
TCN1,3,6947
TCN2,3,6948
TCTN3,3,26123
TEX101,4,83639
TFRC,3,7037
THAP12,3,5612
TIMP4,3,7079
TLR4,4,7099
TMED4,4,222068
TMPRSS11D,3,9407
TMPRSS15,3,5651
TMPRSS5,3,80975
TNFSF11,3,8600
TNFSF13B,3,10673
TNR,3,7143
TNXB,3,7148
TOP1,12,7150
TP53BP1,13,7158
TRPV3,4,162514
TSPAN1,7,10103
TSPAN15,4,23555
TSPAN7,4,7102
TSPAN8,3,7103
TTR,3,7276
TXK,4,7294
TXNDC15,3,79770
TYRP1,1,7306
UGDH,4,7358
UHRF2,4,115426
UMOD,3,7369
USP28,4,57646
VAT1,3,10493
VCAN,3,1462
VEGFD,3,2277
VGF,3,7425
VIPR1,4,7433
VIT,3,5212
VNN1,3,8876
VNN2,3,8875
VSIG10L,3,147645
VSNL1,3,7447
VSTM1,3,284415
VSTM2B,4,342865
VSTM2L,3,128434
VWA1,3,64856
VWC2L,4,402117
VWF,3,7450
WASL,4,8976
WFDC1,4,58189
WFDC12,3,128488
WFIKKN1,3,117166
WFIKKN2,3,124857
WIF1,3,11197
WNT9A,3,7483
XCL1,3,6375
YAP1,3,10413
YY1,4,7528
ZHX2,2,22882
ZNRD2,1,10534
ZNRF4,1,148066
