id,label,type,degree,strength,module_louvain,module_walktrap
EGF,EGF,protein,1,0.3614255938467114,5,2
SERPINE1,SERPINE1,protein,21,4.751542319957422,2,3
XG,XG,protein,1,0.36410648557268505,6,1
OGN,OGN,protein,1,0.3636823624851277,6,1
ANGPT1,ANGPT1,protein,1,0.35629901370311695,5,2
ADAMTS15,ADAMTS15,protein,26,7.712298797903095,2,3
RBP7,RBP7,protein,2,0.6205022289310669,5,2
SLC39A5,SLC39A5,protein,35,10.834739974510466,2,3
CLMP,CLMP,protein,5,1.2258306706141304,6,3
PTH,PTH,protein,54,17.36895925782726,2,3
CD99L2,CD99L2,protein,30,8.420484952238153,1,3
OXT,OXT,protein,36,9.954524434934996,4,3
IL6,IL6,protein,8,1.9319265644930497,6,3
DPY30,DPY30,protein,25,6.866242661658943,6,3
P4HB,P4HB,protein,25,6.877043755254317,2,3
AFM,AFM,protein,37,11.354238349363287,2,3
ITGA6,ITGA6,protein,1,0.351630920674813,5,2
CKB,CKB,protein,32,9.742074135237477,3,3
CCL27,CCL27,protein,45,13.201910009219404,2,3
TNFRSF12A,TNFRSF12A,protein,25,6.489803965657302,4,3
DAG1,DAG1,protein,11,2.486862547013089,2,3
GSTA1,GSTA1,protein,27,8.457185199570175,2,3
SEMA3F,SEMA3F,protein,26,7.530469352410214,6,3
FSTL3,FSTL3,protein,25,5.907035020048023,6,3
CDHR2,CDHR2,protein,27,8.162378756515308,2,3
PDGFA,PDGFA,protein,1,0.3457296668091162,5,2
PLAT,PLAT,protein,28,8.938419825623203,2,3
TMSB10,TMSB10,protein,4,1.0558937203133907,6,3
VWA1,VWA1,protein,25,6.926361572604343,4,3
APP,APP,protein,1,0.3461234595071182,5,2
A1BG,A1BG,protein,5,1.1860376982193017,6,3
EFNA1,EFNA1,protein,6,1.492759470382988,6,3
STAB2,STAB2,protein,25,6.959247232063679,2,3
NOMO1,NOMO1,protein,25,7.20117322513253,2,3
LAMP2,LAMP2,protein,34,9.96955962492763,2,3
FTCD,FTCD,protein,26,8.19973583543995,2,3
APOF,APOF,protein,44,11.434227797923898,3,3
TMPRSS15,TMPRSS15,protein,44,12.654597274375917,4,3
ITIH4,ITIH4,protein,1,0.3484949748710414,5,3
LAYN,LAYN,protein,1,0.35009946493636585,6,1
ACVRL1,ACVRL1,protein,4,0.985616357176605,6,3
PLA2G10,PLA2G10,protein,62,16.978416933659513,1,3
CFHR5,CFHR5,protein,1,0.3507494818934874,5,3
SERPING1,SERPING1,protein,1,0.3476766601433378,5,3
SEMA4D,SEMA4D,protein,2,0.5671459547859928,5,2
ACE2,ACE2,protein,28,8.01893932355957,4,3
PPY,PPY,protein,25,5.817360170016727,4,3
PYY,PYY,protein,36,10.080076390559562,4,3
SCARF1,SCARF1,protein,2,0.6014682164818699,5,2
SKAP1,SKAP1,protein,25,7.14639778770468,3,3
LY6D,LY6D,protein,1,0.3470016256688759,6,1
VEGFC,VEGFC,protein,6,1.3686668125488084,2,3
APOA2,APOA2,protein,26,5.919278621178817,3,3
CDNF,CDNF,protein,1,0.34395232595209313,6,1
LILRA5,LILRA5,protein,1,0.3372491649400343,5,3
TREML1,TREML1,protein,1,0.34324204588991225,5,2
HS6ST1,HS6ST1,protein,31,8.661020346338127,2,3
FAM3C,FAM3C,protein,7,1.7037506504117874,6,3
FCAMR,FCAMR,protein,28,8.534555018213695,3,3
VMO1,VMO1,protein,32,9.167572012599818,2,3
DKK1,DKK1,protein,17,3.748907178900578,2,3
BDNF,BDNF,protein,1,0.34052775145957076,5,2
SMOC2,SMOC2,protein,2,0.5491864047633027,6,1
SELP,SELP,protein,11,2.498339773572384,2,3
CD300LG,CD300LG,protein,27,7.987051098196687,3,3
CLUL1,CLUL1,protein,28,8.11835679400947,3,3
AGRN,AGRN,protein,25,6.888955666539766,6,3
CFP,CFP,protein,59,16.265307753346796,1,3
CRIP2,CRIP2,protein,26,7.756480795831086,6,3
F10,F10,protein,35,9.20126886014717,1,3
SHBG,SHBG,protein,28,8.552998150307593,3,3
CCN2,CCN2,protein,3,0.7414148537155455,2,3
GSTA3,GSTA3,protein,25,7.8593495563291516,2,3
CCL23,CCL23,protein,34,9.995757996213609,2,3
GGT1,GGT1,protein,25,6.863036016199077,2,3
CNTN3,CNTN3,protein,26,7.934432318953131,2,3
CREG1,CREG1,protein,25,6.562153831830883,2,3
CD63,CD63,protein,11,2.468272440233306,2,3
ANGPTL4,ANGPTL4,protein,5,1.395379296299388,4,1
BAIAP2,BAIAP2,protein,25,7.154652258161649,6,3
FGFR2,FGFR2,protein,25,7.084517832661665,2,3
BTN2A1,BTN2A1,protein,1,0.3343985997435415,6,1
PTGDS,PTGDS,protein,15,3.2548608987970598,3,3
HSPB6,HSPB6,protein,1,0.33224012924228147,6,1
PRCP,PRCP,protein,26,7.621616861830991,6,3
MVK,MVK,protein,28,7.837552721072862,4,3
CA14,CA14,protein,31,8.296905437461485,4,3
CD302,CD302,protein,6,1.4897332520325093,6,3
CCL22,CCL22,protein,25,6.060938883867693,2,3
SERPINA5,SERPINA5,protein,62,17.0475909191226,1,3
NPPC,NPPC,protein,25,5.526398686600327,2,3
IL16,IL16,protein,25,7.387847608922817,2,3
EPHA1,EPHA1,protein,28,8.187660994947676,3,3
SERPINE2,SERPINE2,protein,1,0.33078577717899416,5,2
GPD1,GPD1,protein,25,7.465972144659469,2,3
NECTIN4,NECTIN4,protein,1,0.32980059958608965,6,1
NTRK3,NTRK3,protein,31,8.648774796142645,3,3
CRELD1,CRELD1,protein,25,6.856259325082094,6,3
KRT18,KRT18,protein,25,7.251505485493059,6,3
SUSD1,SUSD1,protein,2,0.5268752247991945,5,2
CLEC4A,CLEC4A,protein,26,7.4304424792865795,3,3
BCHE,BCHE,protein,46,12.97962463555483,1,3
IGSF8,IGSF8,protein,25,6.90903495219286,2,3
GLA,GLA,protein,25,7.341174938196729,2,3
SERPINA3,SERPINA3,protein,1,0.32718566770463575,5,3
PCSK9,PCSK9,protein,25,6.385718499311898,2,3
PROS1,PROS1,protein,60,14.96720712432519,1,3
CKAP4,CKAP4,protein,2,0.534362350043142,6,1
CPB2,CPB2,protein,35,7.955490293488977,1,3
NOS3,NOS3,protein,27,7.628913185934042,6,3
C2,C2,protein,1,0.319168837218741,5,3
SCLY,SCLY,protein,25,6.982052180237642,2,3
C1RL,C1RL,protein,18,4.090992688123035,3,3
C9,C9,protein,31,8.383293194017153,2,3
GGH,GGH,protein,26,6.514774525738222,3,3
ADAMTSL2,ADAMTSL2,protein,26,7.235890645108601,4,3
RAB6A,RAB6A,protein,42,10.904508579390733,1,3
SMAD1,SMAD1,protein,27,7.881041149339619,2,3
IGSF3,IGSF3,protein,27,7.122531816503608,6,3
CCL16,CCL16,protein,25,6.914765346634598,6,3
KYNU,KYNU,protein,25,7.084014959833061,2,3
SORT1,SORT1,protein,25,6.4867409753477014,2,3
MME,MME,protein,25,6.869513271046457,2,3
EDA2R,EDA2R,protein,1,0.3197634279916089,6,1
LGALS4,LGALS4,protein,32,8.090996086985328,4,3
CRHBP,CRHBP,protein,25,6.296825067438755,6,3
TNFRSF10A,TNFRSF10A,protein,28,7.425684328790661,4,3
SCG2,SCG2,protein,3,0.7258974984192574,4,1
PCBD1,PCBD1,protein,25,7.352305067448751,2,3
AIFM1,AIFM1,protein,25,5.582993643547315,6,3
LGALS1,LGALS1,protein,25,6.0185229552502,3,3
PPBP,PPBP,protein,1,0.32007387349922733,5,2
ANXA3,ANXA3,protein,2,0.5166646853303044,5,2
TNFRSF11A,TNFRSF11A,protein,25,5.950605953758579,3,3
CPXM1,CPXM1,protein,1,0.31163071779807616,5,2
FABP5,FABP5,protein,9,2.116234510305912,6,3
GYS1,GYS1,protein,2,0.5167468946840388,5,2
CDHR5,CDHR5,protein,26,7.026089779695994,3,3
GZMB,GZMB,protein,1,0.31180485785752743,5,2
HSD11B1,HSD11B1,protein,31,8.400667259627017,3,3
DEFB4A_DEFB4B,DEFB4A_DEFB4B,protein,26,7.6599462831582725,2,3
SIAE,SIAE,protein,14,3.153106868240656,2,3
TRIAP1,TRIAP1,protein,2,0.5650497453423762,5,2
ITGA5,ITGA5,protein,25,6.242735495462428,2,3
VWC2,VWC2,protein,3,0.7327478555624978,6,1
ART3,ART3,protein,1,0.3153019467678864,6,1
SUMF2,SUMF2,protein,25,6.691728409768268,2,3
CANT1,CANT1,protein,25,6.341371777621969,2,3
PF4,PF4,protein,1,0.31516318776434965,5,2
NAGPA,NAGPA,protein,28,7.579389405599112,2,3
NID2,NID2,protein,1,0.3075593336380346,5,2
RSPO3,RSPO3,protein,1,0.3125947990174235,6,1
PLG,PLG,protein,10,2.4958166903124095,1,3
LAT,LAT,protein,4,0.9649423531018506,5,3
CDH2,CDH2,protein,25,6.61465742369144,6,3
ERBB2,ERBB2,protein,25,7.177467005595283,2,3
GDF15,GDF15,protein,26,6.442484364240304,4,3
CLEC1B,CLEC1B,protein,12,2.6838375528458838,2,3
HCLS1,HCLS1,protein,2,0.5279651052429007,5,2
TNFRSF14,TNFRSF14,protein,25,5.7472609837551385,6,3
BPIFB2,BPIFB2,protein,25,6.1509933882855075,3,3
C1S,C1S,protein,12,2.5792801388845294,1,3
LILRB4,LILRB4,protein,25,6.098899361094702,6,3
NUCB2,NUCB2,protein,24,5.303608104622816,2,3
CHMP6,CHMP6,protein,27,7.264353798187293,2,3
VSIG4,VSIG4,protein,25,5.572384110056061,3,3
IFI30,IFI30,protein,25,6.120996322816426,6,3
TGFB1,TGFB1,protein,25,5.934431058867374,2,3
NPC2,NPC2,protein,25,6.346068370509811,6,3
CDKN1A,CDKN1A,protein,25,6.863711241291683,2,3
GP6,GP6,protein,2,0.5080885235511711,5,2
F2R,F2R,protein,2,0.5300206830444858,5,2
EPHB4,EPHB4,protein,1,0.3035275020861547,6,1
DPT,DPT,protein,4,0.910800816386479,3,1
MFAP5,MFAP5,protein,18,3.9487607499278496,6,3
THY1,THY1,protein,5,1.1265100644939328,3,3
CTSO,CTSO,protein,25,6.145618194945174,6,3
RIDA,RIDA,protein,25,7.12952788883606,2,3
CD5,CD5,protein,26,6.725946721280562,3,3
ANGPTL2,ANGPTL2,protein,25,6.68529933842615,2,3
ADH1B,ADH1B,protein,25,7.384256316169519,2,3
CD226,CD226,protein,1,0.3055506288047609,5,2
LTBR,LTBR,protein,3,0.7286726023211565,6,1
TNFSF10,TNFSF10,protein,40,9.514821990050972,1,3
CD72,CD72,protein,28,7.366272916446043,3,3
SCARA5,SCARA5,protein,1,0.2996020595185136,6,1
PLA2G15,PLA2G15,protein,18,4.074734842528827,6,3
SPARC,SPARC,protein,1,0.29343383060344314,5,2
KLKB1,KLKB1,protein,58,14.278855779935064,1,3
HPSE,HPSE,protein,4,0.985970418699428,5,3
CLEC4D,CLEC4D,protein,7,1.663218421354117,6,3
LRP11,LRP11,protein,3,0.7240869881919492,6,1
KHK,KHK,protein,25,6.912201887440498,2,3
SELE,SELE,protein,25,6.239589315351484,6,3
CD300E,CD300E,protein,10,2.2772961631288675,6,3
CHI3L1,CHI3L1,protein,25,6.074549776816584,4,3
FGFBP2,FGFBP2,protein,28,7.031698884945516,3,3
GUCA2A,GUCA2A,protein,1,0.2994003716632591,6,1
CLEC14A,CLEC14A,protein,1,0.29860209795916426,6,1
HJV,HJV,protein,25,6.433193193503406,2,3
F11R,F11R,protein,25,5.861438731178998,2,3
MRC1,MRC1,protein,4,0.9244307104829325,3,1
LAIR1,LAIR1,protein,12,2.582022938185525,3,3
DLL1,DLL1,protein,2,0.5091020563438389,6,1
STX7,STX7,protein,1,0.3012789114709962,5,2
TIMP3,TIMP3,protein,9,1.9740678157370406,6,3
PALM2,PALM2,protein,25,6.175609158876972,6,3
MB,MB,protein,1,0.29535937104489,6,1
CCL7,CCL7,protein,5,1.1082580871196697,6,3
BSG,BSG,protein,2,0.4974583202393513,6,1
APLP1,APLP1,protein,5,1.1738422240311743,6,3
DBI,DBI,protein,2,0.5295292704167596,5,2
FETUB,FETUB,protein,25,5.4354658186516245,6,3
SORCS2,SORCS2,protein,1,0.29750663875561306,6,1
DNAJB1,DNAJB1,protein,25,6.723709327147394,2,3
EGLN1,EGLN1,protein,25,6.206630084958353,6,3
IL10RB,IL10RB,protein,25,5.86965500707671,6,3
HLA_E,HLA_E,protein,2,0.5054287909162377,6,1
TCTN3,TCTN3,protein,25,6.440890108242838,2,3
USP8,USP8,protein,2,0.5041038201277283,5,2
NRP1,NRP1,protein,26,6.482697190124126,2,3
AGR3,AGR3,protein,25,6.727838882169333,2,3
IFNGR1,IFNGR1,protein,1,0.2930848610710807,6,1
DSG2,DSG2,protein,25,6.820224309519481,2,3
LEPR,LEPR,protein,27,7.0414337660865005,3,3
SPINK1,SPINK1,protein,1,0.29268936724562905,6,1
EPHB6,EPHB6,protein,1,0.2938929869349313,6,1
ERP44,ERP44,protein,25,6.594904685218254,2,3
SERPINA4,SERPINA4,protein,26,6.71214678439189,2,3
TOMM20,TOMM20,protein,10,2.219146397113611,6,3
ERMAP,ERMAP,protein,3,0.7005249030020808,6,2
ADGRD1,ADGRD1,protein,25,6.145073942390673,2,3
S100A11,S100A11,protein,2,0.487611268386353,5,2
EFCAB14,EFCAB14,protein,25,6.292658798494443,2,3
NOTCH3,NOTCH3,protein,25,6.310618888582146,3,3
SNAP29,SNAP29,protein,25,5.59170722948781,2,3
VEGFA,VEGFA,protein,13,2.9397217523098944,6,3
BPIFB1,BPIFB1,protein,25,6.360225101347522,3,3
LATS1,LATS1,protein,25,6.38005187633371,2,3
MZB1,MZB1,protein,3,0.747326736523843,3,1
TIMP1,TIMP1,protein,14,3.1855792386024127,6,3
VSIR,VSIR,protein,4,0.9438015721577184,5,3
ITGAV,ITGAV,protein,32,7.653730856957674,3,3
STC1,STC1,protein,25,6.063458180192053,6,3
PGF,PGF,protein,25,6.302053793628141,6,3
FUOM,FUOM,protein,25,6.588756734827028,6,3
TNFRSF6B,TNFRSF6B,protein,25,5.824697828407294,4,3
CD40,CD40,protein,5,1.1665909668907286,6,3
ARSB,ARSB,protein,3,0.7195975031657638,5,3
MPI,MPI,protein,2,0.5049287408649215,5,2
LBR,LBR,protein,13,2.8599060096515,6,3
VPS37A,VPS37A,protein,25,6.487857891598655,2,3
SORD,SORD,protein,25,6.323945227080449,2,3
MCEMP1,MCEMP1,protein,1,0.28945974856727813,5,2
FIS1,FIS1,protein,12,2.7087521972036113,1,3
CTSF,CTSF,protein,20,4.724611016858225,3,3
IL32,IL32,protein,26,6.618516527826794,3,3
RET,RET,protein,25,6.119482731084404,2,3
LSP1,LSP1,protein,25,5.992038627988158,6,3
FLI1,FLI1,protein,25,6.169292451824334,2,3
TNFRSF10B,TNFRSF10B,protein,22,5.008962163606332,4,3
SERPINA6,SERPINA6,protein,25,6.3804188648079325,3,3
OCLN,OCLN,protein,25,5.794828591114858,4,3
CHRDL1,CHRDL1,protein,1,0.28275794324569675,6,1
DTX3,DTX3,protein,1,0.28213506514232284,6,1
PTS,PTS,protein,25,6.550566438741396,6,3
GIP,GIP,protein,20,4.652922214120011,4,3
CSF1,CSF1,protein,25,5.640607873370549,4,3
TNFAIP8L2,TNFAIP8L2,protein,2,0.5154642375130902,5,2
PSRC1,PSRC1,protein,25,6.5014600458175,2,3
CASP1,CASP1,protein,1,0.2769967229711685,5,2
NPL,NPL,protein,25,6.4330835514747,2,3
ADAM22,ADAM22,protein,1,0.280857437576921,6,1
MYDGF,MYDGF,protein,6,1.3994161672940248,5,3
ADGRG1,ADGRG1,protein,30,6.884637767770853,4,3
ENO3,ENO3,protein,25,6.764011904619669,2,3
GRPEL1,GRPEL1,protein,5,1.1229672684341816,6,3
TXNDC5,TXNDC5,protein,2,0.5216213663238916,5,2
YTHDF3,YTHDF3,protein,25,5.529436252775655,2,3
CEACAM8,CEACAM8,protein,3,0.6852632605268847,6,2
LGALS3BP,LGALS3BP,protein,18,3.9065872130475947,3,3
THBD,THBD,protein,1,0.2791518310863809,6,1
CRELD2,CRELD2,protein,16,3.5032727051998007,2,3
CCL5,CCL5,protein,5,1.0833379383277622,5,3
GMFG,GMFG,protein,2,0.48914638200455984,5,2
RNASE6,RNASE6,protein,25,5.6661663239643145,4,3
LAT2,LAT2,protein,25,5.6103564768624095,2,3
MTDH,MTDH,protein,12,2.5855217162045876,6,3
DPEP2,DPEP2,protein,1,0.2713407325838738,5,2
GP1BA,GP1BA,protein,2,0.4785761873458616,5,2
PON1,PON1,protein,25,6.017316465250865,3,3
EZR,EZR,protein,25,6.198307169887358,2,3
GCC1,GCC1,protein,6,1.3371892835295958,2,3
LRCH4,LRCH4,protein,25,6.098176895020842,6,3
EEF1D,EEF1D,protein,25,5.683468434392785,2,3
PTPRB,PTPRB,protein,25,5.910511764697205,2,3
FYB1,FYB1,protein,22,4.664592340891987,2,3
SYAP1,SYAP1,protein,29,7.075634607035155,1,3
IL13RA1,IL13RA1,protein,25,5.387869729212804,2,3
LRIG1,LRIG1,protein,1,0.26743344386927936,5,3
SERPINB6,SERPINB6,protein,2,0.47784505250776865,5,2
IL17RB,IL17RB,protein,25,5.50833529218789,4,3
CLEC4G,CLEC4G,protein,1,0.26857614805505814,5,3
MPIG6B,MPIG6B,protein,2,0.47943863008008925,5,2
ICAM1,ICAM1,protein,6,1.319483477179745,6,3
ANG,ANG,protein,5,1.116912556089193,6,3
CA5A,CA5A,protein,25,5.999414576923834,6,3
