method,k,cancor,p_perm,q_perm,n,p_proteins,p_metabolites,ridge_lambda,n_perms,complete_cases,thr_missing_proteome,thr_missing_metabolome
ridge,1,0.974272307625246,0.001996007984031936,0.001996007984031936,3642,1442,249,1e-4,500,TRUE,0.05,0.05
ridge,2,0.9567962133021737,0.001996007984031936,0.001996007984031936,3642,1442,249,1e-4,500,TRUE,0.05,0.05
ridge,3,0.9471625597915919,0.001996007984031936,0.001996007984031936,3642,1442,249,1e-4,500,TRUE,0.05,0.05
ridge,4,0.9368952233819164,0.001996007984031936,0.001996007984031936,3642,1442,249,1e-4,500,TRUE,0.05,0.05
ridge,5,0.9186399696191881,0.001996007984031936,0.001996007984031936,3642,1442,249,1e-4,500,TRUE,0.05,0.05
