component,side,method,name,weight,abs_w,rank
2,proteins,scca,LDLR,0.360750841705034,0.360750841705034,1
2,proteins,scca,MFGE8,0.22378653776969465,0.22378653776969465,2
2,proteins,scca,CES1,0.1801834057814819,0.1801834057814819,3
2,proteins,scca,NPY,0.17699872386735396,0.17699872386735396,4
2,proteins,scca,AGRP,0.1603184752449134,0.1603184752449134,5
2,proteins,scca,FURIN,0.15780233678479433,0.15780233678479433,6
2,proteins,scca,CCN1,0.1522276633344986,0.1522276633344986,7
2,proteins,scca,RARRES2,0.14585571402627137,0.14585571402627137,8
2,proteins,scca,ADH4,0.14008817961060888,0.14008817961060888,9
2,proteins,scca,SSC5D,0.132225527368122,0.132225527368122,10
2,proteins,scca,ASGR1,0.12998329559516467,0.12998329559516467,11
2,proteins,scca,F7,0.12773443140011173,0.12773443140011173,12
2,proteins,scca,ACY1,0.12516042952329506,0.12516042952329506,13
2,proteins,scca,CPM,0.12352728193956099,0.12352728193956099,14
2,proteins,scca,PLAT,0.11321819517799181,0.11321819517799181,15
2,proteins,scca,RBP5,0.11119136445610225,0.11119136445610225,16
2,proteins,scca,GUSB,0.10515120037716207,0.10515120037716207,17
2,proteins,scca,GSTA1,0.10470276807722036,0.10470276807722036,18
2,proteins,scca,GSTA3,0.10388280265653264,0.10388280265653264,19
2,proteins,scca,SLC39A5,0.10311123323510508,0.10311123323510508,20
2,proteins,scca,LPL,-0.10089708951706491,0.10089708951706491,21
2,proteins,scca,CCL27,0.09957434308541993,0.09957434308541993,22
2,proteins,scca,CD4,0.0988022867506307,0.0988022867506307,23
2,proteins,scca,LAMP2,0.09612583907943371,0.09612583907943371,24
2,proteins,scca,INHBC,0.09597244741578442,0.09597244741578442,25
