component,side,method,name,weight,abs_w,rank
3,proteins,classic,PLA2G7,0.38488388110240956,0.38488388110240956,1
3,proteins,classic,RHOC,-0.20616591373451404,0.20616591373451404,2
3,proteins,classic,IKBKG,0.18812809683549572,0.18812809683549572,3
3,proteins,classic,FGFBP1,0.1719097676198519,0.1719097676198519,4
3,proteins,classic,CASP3,-0.16257327230842264,0.16257327230842264,5
3,proteins,classic,STAT5B,0.14891987139684046,0.14891987139684046,6
3,proteins,classic,PLA2G4A,0.14793675364045253,0.14793675364045253,7
3,proteins,classic,HPCAL1,0.14789986059071855,0.14789986059071855,8
3,proteins,classic,SRC,0.14720995692394956,0.14720995692394956,9
3,proteins,classic,GRAP2,0.13649634047575393,0.13649634047575393,10
3,proteins,classic,DFFA,-0.1339912752047251,0.1339912752047251,11
3,proteins,classic,FYB1,-0.13278912560468845,0.13278912560468845,12
3,proteins,classic,CRKL,0.1318390467655691,0.1318390467655691,13
3,proteins,classic,MSRA,-0.130842762574427,0.130842762574427,14
3,proteins,classic,CD300LG,-0.12532854545666897,0.12532854545666897,15
3,proteins,classic,FIS1,-0.11419990752828318,0.11419990752828318,16
3,proteins,classic,DOK2,-0.10707778945024198,0.10707778945024198,17
3,proteins,classic,TNFSF10,0.1015396038216456,0.1015396038216456,18
3,proteins,classic,HARS1,-0.1002489662864166,0.1002489662864166,19
3,proteins,classic,IRAK4,-0.09640410690558482,0.09640410690558482,20
3,proteins,classic,MVK,-0.09615459954310439,0.09615459954310439,21
3,proteins,classic,CD99,-0.0951595548793307,0.0951595548793307,22
3,proteins,classic,MPIG6B,-0.09334055223766839,0.09334055223766839,23
3,proteins,classic,TMSB10,0.09099876910396404,0.09099876910396404,24
3,proteins,classic,TFPI,0.08954033399092837,0.08954033399092837,25
