component,side,method,name,weight,abs_w,rank
4,proteins,scca,LDLR,0.3857384091187675,0.3857384091187675,1
4,proteins,scca,PLA2G7,0.2330287041215205,0.2330287041215205,2
4,proteins,scca,NPY,0.17817834704513494,0.17817834704513494,3
4,proteins,scca,MFGE8,0.17532761079252182,0.17532761079252182,4
4,proteins,scca,CCN1,0.17493514815724598,0.17493514815724598,5
4,proteins,scca,AGRP,0.16763948370673415,0.16763948370673415,6
4,proteins,scca,CES1,0.15327952738276177,0.15327952738276177,7
4,proteins,scca,PROC,0.14836564047285683,0.14836564047285683,8
4,proteins,scca,F7,0.14702512082702834,0.14702512082702834,9
4,proteins,scca,SSC5D,0.14255180165611664,0.14255180165611664,10
4,proteins,scca,FURIN,0.13172508072347797,0.13172508072347797,11
4,proteins,scca,RARRES2,0.12690366266609512,0.12690366266609512,12
4,proteins,scca,TFPI,0.12501367529547355,0.12501367529547355,13
4,proteins,scca,PLA2G10,-0.11709703499951568,0.11709703499951568,14
4,proteins,scca,SLC39A5,0.11650633968294272,0.11650633968294272,15
4,proteins,scca,ADH4,0.11536169914863945,0.11536169914863945,16
4,proteins,scca,ERBB3,0.11534761634950122,0.11534761634950122,17
4,proteins,scca,CCL27,0.11406778927741627,0.11406778927741627,18
4,proteins,scca,PLAT,0.10853034459083291,0.10853034459083291,19
4,proteins,scca,LAMP2,0.10749930592401964,0.10749930592401964,20
4,proteins,scca,SMOC1,0.10317039328761458,0.10317039328761458,21
4,proteins,scca,CCL23,0.10174681880760768,0.10174681880760768,22
4,proteins,scca,CPM,0.09871390563784709,0.09871390563784709,23
4,proteins,scca,SMAD1,0.0952340559305368,0.0952340559305368,24
4,proteins,scca,MEGF9,0.09442598827057849,0.09442598827057849,25
