component,side,method,name,weight,abs_w,rank
5,proteins,scca,LDLR,-0.6745393306349775,0.6745393306349775,1
5,proteins,scca,MFGE8,-0.3068475021063901,0.3068475021063901,2
5,proteins,scca,CES1,-0.20348234392072878,0.20348234392072878,3
5,proteins,scca,NPY,-0.1838308959084359,0.1838308959084359,4
5,proteins,scca,AGRP,-0.1502784676489857,0.1502784676489857,5
5,proteins,scca,FURIN,-0.1445240282425898,0.1445240282425898,6
5,proteins,scca,CCN1,-0.12264539067072436,0.12264539067072436,7
5,proteins,scca,RARRES2,-0.12118587188661832,0.12118587188661832,8
5,proteins,scca,ADH4,-0.09118447149545375,0.09118447149545375,9
5,proteins,scca,ASGR1,-0.08161136343187265,0.08161136343187265,10
5,proteins,scca,SSC5D,-0.06553534188960139,0.06553534188960139,11
5,proteins,scca,CPM,-0.06431677541562426,0.06431677541562426,12
5,proteins,scca,CCL3,0.05185370994574697,0.05185370994574697,13
5,proteins,scca,VSIR,0.05128595828102407,0.05128595828102407,14
5,proteins,scca,CD2AP,0.050086552463164735,0.050086552463164735,15
5,proteins,scca,ACY1,-0.04871897418534208,0.04871897418534208,16
5,proteins,scca,NPDC1,0.04809478218126902,0.04809478218126902,17
5,proteins,scca,APEX1,0.04784549268907898,0.04784549268907898,18
5,proteins,scca,PPY,0.04741904975628898,0.04741904975628898,19
5,proteins,scca,FUS,0.04655421173097689,0.04655421173097689,20
5,proteins,scca,RRM2,0.04599710533581399,0.04599710533581399,21
5,proteins,scca,AMN,0.04419354740575004,0.04419354740575004,22
5,proteins,scca,PIGR,0.04409637984940255,0.04409637984940255,23
5,proteins,scca,F7,-0.043967575683652275,0.043967575683652275,24
5,proteins,scca,SCAMP3,0.04389060703749367,0.04389060703749367,25
