component,side,method,name,weight,abs_w,rank,label
3,metabolites,classic,fid_23635,64.44283576281353,64.44283576281353,1,Cholesterol to Total Lipids in Large HDL percentage
3,metabolites,classic,fid_23439,63.23445862053807,63.23445862053807,2,Apolipoprotein B
3,metabolites,classic,fid_23524,-58.54652835774889,58.54652835774889,3,Total Lipids in IDL
3,metabolites,classic,fid_23611,49.121577094716976,49.121577094716976,4,Cholesteryl Esters to Total Lipids in IDL percentage
3,metabolites,classic,fid_23531,-46.9133144510934,46.9133144510934,5,Total Lipids in Large LDL
3,metabolites,classic,fid_23425,-41.92815103278581,41.92815103278581,6,Total Lipids in LDL
3,metabolites,classic,fid_23645,-41.69505651377152,41.69505651377152,7,Cholesterol to Total Lipids in Small HDL percentage
3,metabolites,classic,fid_23646,41.46599745897914,41.46599745897914,8,Cholesteryl Esters to Total Lipids in Small HDL percentage
3,metabolites,classic,fid_23415,41.43489547092637,41.43489547092637,9,Total Esterified Cholesterol
3,metabolites,classic,fid_23430,41.272267371350374,41.272267371350374,10,Concentration of HDL Particles
3,metabolites,classic,fid_23610,-39.23356385295897,39.23356385295897,11,Cholesterol to Total Lipids in IDL percentage
3,metabolites,classic,fid_23442,38.87031497734808,38.87031497734808,12,Total Fatty Acids
3,metabolites,classic,fid_23620,-38.091334572824735,38.091334572824735,13,Cholesterol to Total Lipids in Medium LDL percentage
3,metabolites,classic,fid_23402,38.04726423630098,38.04726423630098,14,"Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)"
3,metabolites,classic,fid_23638,37.781792465395945,37.781792465395945,15,Triglycerides to Total Lipids in Large HDL percentage
3,metabolites,classic,fid_23634,37.46774940792978,37.46774940792978,16,Phospholipids to Total Lipids in Large HDL percentage
3,metabolites,classic,fid_23417,35.96428187298438,35.96428187298438,17,Cholesteryl Esters in LDL
3,metabolites,classic,fid_23422,35.151890275589224,35.151890275589224,18,Free Cholesterol in HDL
3,metabolites,classic,fid_23407,-32.81892296257584,32.81892296257584,19,Total Triglycerides
3,metabolites,classic,fid_23590,-32.23003832431413,32.23003832431413,20,Cholesterol to Total Lipids in Large VLDL percentage
3,metabolites,classic,fid_23573,-30.75125123416085,30.75125123416085,21,Total Lipids in Small HDL
3,metabolites,classic,fid_23400,-30.28055309786819,30.28055309786819,22,Total Cholesterol
3,metabolites,classic,fid_23569,-29.795532842773135,29.795532842773135,23,Cholesteryl Esters in Medium HDL
3,metabolites,classic,fid_23623,-29.722360460565945,29.722360460565945,24,Triglycerides to Total Lipids in Medium LDL percentage
3,metabolites,classic,fid_23591,29.577741351402263,29.577741351402263,25,Cholesteryl Esters to Total Lipids in Large VLDL percentage
