component,side,method,name,weight,abs_w,rank,label
5,metabolites,classic,fid_23414,-86.02251099198294,86.02251099198294,1,Phospholipids in HDL
5,metabolites,classic,fid_23524,-66.44865751931766,66.44865751931766,2,Total Lipids in IDL
5,metabolites,classic,fid_23425,-66.34107484370273,66.34107484370273,3,Total Lipids in LDL
5,metabolites,classic,fid_23613,-64.72145142750225,64.72145142750225,4,Triglycerides to Total Lipids in IDL percentage
5,metabolites,classic,fid_23418,58.48504846214932,58.48504846214932,5,Cholesteryl Esters in HDL
5,metabolites,classic,fid_23415,58.05461616991797,58.05461616991797,6,Total Esterified Cholesterol
5,metabolites,classic,fid_23439,56.142016017197776,56.142016017197776,7,Apolipoprotein B
5,metabolites,classic,fid_23626,52.34271179590758,52.34271179590758,8,Cholesteryl Esters to Total Lipids in Small LDL percentage
5,metabolites,classic,fid_23407,51.84242405042739,51.84242405042739,9,Total Triglycerides
5,metabolites,classic,fid_23611,-51.11796620113531,51.11796620113531,10,Cholesteryl Esters to Total Lipids in IDL percentage
5,metabolites,classic,fid_23423,-46.92732479311092,46.92732479311092,11,Total Lipids in Lipoprotein Particles
5,metabolites,classic,fid_23627,46.7963611694647,46.7963611694647,12,Free Cholesterol to Total Lipids in Small LDL percentage
5,metabolites,classic,fid_23442,-46.45945766243751,46.45945766243751,13,Total Fatty Acids
5,metabolites,classic,fid_23426,45.34368297400425,45.34368297400425,14,Total Lipids in HDL
5,metabolites,classic,fid_23519,-44.08502722386517,44.08502722386517,15,Cholesterol in Very Small VLDL
5,metabolites,classic,fid_23538,44.055453133436714,44.055453133436714,16,Total Lipids in Medium LDL
5,metabolites,classic,fid_23605,42.17503658280515,42.17503658280515,17,Cholesterol to Total Lipids in Very Small VLDL percentage
5,metabolites,classic,fid_23624,41.37321879841638,41.37321879841638,18,Phospholipids to Total Lipids in Small LDL percentage
5,metabolites,classic,fid_23628,39.38471645496476,39.38471645496476,19,Triglycerides to Total Lipids in Small LDL percentage
5,metabolites,classic,fid_23531,36.16682770517753,36.16682770517753,20,Total Lipids in Large LDL
5,metabolites,classic,fid_23520,35.769452300214944,35.769452300214944,21,Cholesteryl Esters in Very Small VLDL
5,metabolites,classic,fid_23411,35.4702793355356,35.4702793355356,22,Total Phospholipids in Lipoprotein Particles
5,metabolites,classic,fid_23561,-35.07203570258911,35.07203570258911,23,Cholesterol in Large HDL
5,metabolites,classic,fid_23429,-34.36142221491833,34.36142221491833,24,Concentration of LDL Particles
5,metabolites,classic,fid_23517,-33.551645563769505,33.551645563769505,25,Total Lipids in Very Small VLDL
