module,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
1,GO:0030193,regulation of blood coagulation,9/50,69/18986,0.13043478260869565,49.52869565217391,20.751199823561393,1.432774696872723e-13,1.3222343485733203e-10,9.555228439111416e-11,F7/TFPI/PROC/PROS1/CPB2/PLG/KLKB1/SERPINF2/F12,9
1,GO:1900046,regulation of hemostasis,9/50,71/18986,0.1267605633802817,48.13352112676056,20.445703907070246,1.8755097142883976e-13,1.3222343485733203e-10,9.555228439111416e-11,F7/TFPI/PROC/PROS1/CPB2/PLG/KLKB1/SERPINF2/F12,9
1,GO:0050818,regulation of coagulation,9/50,76/18986,0.11842105263157894,44.96684210526316,19.73478893457689,3.552994997391192e-13,1.5969350862042915e-10,1.1540374493809289e-10,F7/TFPI/PROC/PROS1/CPB2/PLG/KLKB1/SERPINF2/F12,9
1,GO:0061045,negative regulation of wound healing,9/50,78/18986,0.11538461538461539,43.81384615384615,19.46950585751312,4.5303123012887703e-13,1.5969350862042915e-10,1.1540374493809289e-10,APCS/TFPI/PROC/PROS1/CPB2/PLG/KLKB1/SERPINF2/F12,9
1,GO:0030195,negative regulation of blood coagulation,8/50,50/18986,0.16,60.7552,21.740161424180084,6.346163319301845e-13,1.7653256615810206e-10,1.2757261966483225e-10,TFPI/PROC/PROS1/CPB2/PLG/KLKB1/SERPINF2/F12,8
1,GO:1900047,negative regulation of hemostasis,8/50,51/18986,0.1568627450980392,59.56392156862745,21.51933092000904,7.51202409183413e-13,1.7653256615810206e-10,1.2757261966483225e-10,TFPI/PROC/PROS1/CPB2/PLG/KLKB1/SERPINF2/F12,8
1,GO:0050819,negative regulation of coagulation,8/50,54/18986,0.14814814814814814,56.25481481481481,20.89368006044689,1.2202219399454409e-12,2.457875621890102e-10,1.7762027637100553e-10,TFPI/PROC/PROS1/CPB2/PLG/KLKB1/SERPINF2/F12,8
1,GO:0061041,regulation of wound healing,10/50,140/18986,0.07142857142857142,27.122857142857143,15.941209902919256,2.7432104356446975e-12,4.83490839282378e-10,3.493983818031668e-10,APCS/F7/TFPI/PROC/PROS1/CPB2/PLG/KLKB1/SERPINF2/F12,10
1,GO:1903035,negative regulation of response to wounding,9/50,101/18986,0.0891089108910891,33.83643564356436,17.002171070813617,4.960201370901937e-12,7.325075761868845e-10,5.293522461731274e-10,APCS/TFPI/PROC/PROS1/CPB2/PLG/KLKB1/SERPINF2/F12,9
1,GO:0042060,wound healing,14/50,444/18986,0.03153153153153153,11.973153153153152,12.022390158097023,5.195089192814784e-12,7.325075761868845e-10,5.293522461731274e-10,APCS/CCN1/F7/TFPI/ERBB3/PROC/F10/PROS1/CPB2/PLG/KLKB1/SERPINF2/F13B/F12,14
1,GO:0007596,blood coagulation,11/50,234/18986,0.04700854700854701,17.850085470085467,13.327000686835548,1.928431958860946e-11,2.4718991472672127e-9,1.7863369724185607e-9,F7/TFPI/PROC/F10/PROS1/CPB2/PLG/KLKB1/SERPINF2/F13B/F12,11
1,GO:0007599,hemostasis,11/50,241/18986,0.04564315352697095,17.33161825726141,13.111162477302264,2.6502936165331285e-11,2.874549230239778e-9,2.0773151585458045e-9,F7/TFPI/PROC/F10/PROS1/CPB2/PLG/KLKB1/SERPINF2/F13B/F12,11
1,GO:0050817,coagulation,11/50,241/18986,0.04564315352697095,17.33161825726141,13.111162477302264,2.6502936165331285e-11,2.874549230239778e-9,2.0773151585458045e-9,F7/TFPI/PROC/F10/PROS1/CPB2/PLG/KLKB1/SERPINF2/F13B/F12,11
1,GO:1903034,regulation of response to wounding,10/50,181/18986,0.055248618784530384,20.979005524861876,13.877865239788028,3.5677601874651246e-11,3.593244188804161e-9,2.596685610124993e-9,APCS/F7/TFPI/PROC/PROS1/CPB2/PLG/KLKB1/SERPINF2/F12,10
1,GO:0042730,fibrinolysis,6/50,27/18986,0.2222222222222222,84.38222222222223,22.278903613280047,6.940376950400365e-11,6.523954333376344e-9,4.7145858863070555e-9,PROS1/CPB2/PLG/KLKB1/SERPINF2/F12,6
1,GO:0050878,regulation of body fluid levels,12/50,381/18986,0.031496062992125984,11.959685039370079,11.10431836381508,2.192936920264554e-10,1.932525660983138e-8,1.3965545650105843e-8,F7/TFPI/PROC/F10/PROS1/CPB2/PLG/KLKB1/SERPINF2/EGFR/F13B/F12,12
