module,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
3,GO:0050863,regulation of T cell activation,14/98,393/18986,0.035623409669211195,6.901490367139222,8.515469439166733,1.4188275563876595e-8,2.153196000207871e-5,1.7016980526280674e-5,SIT1/LGALS9/PAG1/IGFBP2/LGALS1/VSIG4/THY1/CD5/TNFRSF1B/HAVCR2/CD27/TNFRSF9/IL7R/LAG3,14
3,GO:0002697,regulation of immune effector process,14/98,410/18986,0.03414634146341464,6.615331010452962,8.279736976119533,2.4141134660711584e-8,2.153196000207871e-5,1.7016980526280674e-5,APOA1/LGALS9/APOA2/LGALS1/VSIG4/MZB1/TNFRSF1B/HAVCR2/TNFRSF4/IL7R/CD22/FCER2/SPON2/LAG3,14
3,GO:0034113,heterotypic cell-cell adhesion,7/98,63/18986,0.1111111111111111,21.52607709750567,11.754565691264084,3.43229968152158e-8,2.153196000207871e-5,1.7016980526280674e-5,APOA1/ADIPOQ/IL1RN/SKAP1/THY1/ITGAV/DSC2,7
3,GO:0032368,regulation of lipid transport,9/98,156/18986,0.057692307692307696,11.177001569858712,9.193530733354669,1.1422414174951817e-7,5.37424586931483e-5,4.2473345340018204e-5,PLTP/APOA1/ADIPOQ/APOA2/TNFRSF11A/ITGAV/PON1/GAL/RETN,9
3,GO:0002698,negative regulation of immune effector process,8/98,128/18986,0.0625,12.108418367346939,9.083113656787983,3.241870598342885e-7,9.530756579691836e-5,7.532277558646774e-5,APOA1/LGALS9/APOA2/LGALS1/VSIG4/HAVCR2/IL7R/CD22,8
3,GO:0032370,positive regulation of lipid transport,7/98,88/18986,0.07954545454545454,15.410714285714286,9.75987539451605,3.54592406204178e-7,9.530756579691836e-5,7.532277558646774e-5,PLTP/APOA1/ADIPOQ/TNFRSF11A/PON1/GAL/RETN,7
3,GO:0046651,lymphocyte proliferation,11/98,297/18986,0.037037037037037035,7.1753590325018886,7.726321160631652,3.8229535638273625e-7,9.530756579691836e-5,7.532277558646774e-5,LGALS9/IGFBP2/VSIG4/MZB1/TNFRSF1B/HAVCR2/TNFRSF4/TNFRSF9/GAL/IL7R/CD22,11
3,GO:0050670,regulation of lymphocyte proliferation,10/98,240/18986,0.041666666666666664,8.072278911564625,7.942112705756634,4.571413663299321e-7,9.530756579691836e-5,7.532277558646774e-5,LGALS9/IGFBP2/VSIG4/MZB1/TNFRSF1B/HAVCR2/TNFRSF4/TNFRSF9/GAL/CD22,10
3,GO:0032943,mononuclear cell proliferation,11/98,305/18986,0.036065573770491806,6.987152893944463,7.5926881000943975,4.975481441834489e-7,9.530756579691836e-5,7.532277558646774e-5,LGALS9/IGFBP2/VSIG4/MZB1/TNFRSF1B/HAVCR2/TNFRSF4/TNFRSF9/GAL/IL7R/CD22,11
3,GO:0032944,regulation of mononuclear cell proliferation,10/98,245/18986,0.04081632653061224,7.907538525614326,7.838542712969322,5.522180631171996e-7,9.530756579691836e-5,7.532277558646774e-5,LGALS9/IGFBP2/VSIG4/MZB1/TNFRSF1B/HAVCR2/TNFRSF4/TNFRSF9/GAL/CD22,10
3,GO:1905952,regulation of lipid localization,9/98,188/18986,0.047872340425531915,9.274533217542336,8.212813433707593,5.570580360074931e-7,9.530756579691836e-5,7.532277558646774e-5,PLTP/APOA1/ADIPOQ/APOA2/TNFRSF11A/ITGAV/PON1/GAL/RETN,9
3,GO:1903037,regulation of leukocyte cell-cell adhesion,12/98,392/18986,0.030612244897959183,5.930653894210745,7.105366599930086,8.333671187995404e-7,1.3069974313172794e-4,1.0329366130383777e-4,LGALS9/PAG1/IGFBP2/SKAP1/LGALS1/VSIG4/THY1/CD5/HAVCR2/CD27/IL7R/LAG3,12
3,GO:0022408,negative regulation of cell-cell adhesion,9/98,207/18986,0.043478260869565216,8.423247559893523,7.73514105095626,1.2449701073513616e-6,1.795450992322515e-4,1.418967644807715e-4,APOA1/ADIPOQ/IL1RN/LGALS9/PAG1/LGALS1/VSIG4/HAVCR2/LAG3,9
3,GO:0070663,regulation of leukocyte proliferation,10/98,270/18986,0.037037037037037035,7.1753590325018886,7.361442559966839,1.335617103746823e-6,1.795450992322515e-4,1.418967644807715e-4,LGALS9/IGFBP2/VSIG4/MZB1/TNFRSF1B/HAVCR2/TNFRSF4/TNFRSF9/GAL/CD22,10
3,GO:0070661,leukocyte proliferation,11/98,341/18986,0.03225806451612903,6.249506254114548,7.045954018287611,1.4863276485802853e-6,1.8648457564187314e-4,1.4738112052238198e-4,LGALS9/IGFBP2/VSIG4/MZB1/TNFRSF1B/HAVCR2/TNFRSF4/TNFRSF9/GAL/IL7R/CD22,11
3,GO:0046718,symbiont entry into host cell,8/98,159/18986,0.050314465408805034,9.747657553587473,7.978571212681591,1.685347820232014e-6,1.8970926904793035e-4,1.499296365371249e-4,LGALS9/LGALS1/MRC1/ITGAV/TNFRSF4/SIGLEC1/ITGA2/CTSB,8
3,GO:0045785,positive regulation of cell adhesion,13/98,499/18986,0.026052104208416832,5.047196433683694,6.599282007017677,1.713633142303303e-6,1.8970926904793035e-4,1.499296365371249e-4,APOA1/LGALS9/IGFBP2/SKAP1/EPHA1/LGALS1/THY1/CD5/ITGAV/HAVCR2/CD27/IL7R/ITGA2,13
3,GO:1905954,positive regulation of lipid localization,7/98,113/18986,0.061946902654867256,12.001264222503162,8.448637933170856,1.9423866511474195e-6,2.0308731541441354e-4,1.6050247591060257e-4,PLTP/APOA1/ADIPOQ/TNFRSF11A/PON1/GAL/RETN,7
3,GO:0044409,symbiont entry into host,8/98,164/18986,0.04878048780487805,9.45047287207566,7.828803686827614,2.125737578400951e-6,2.0579834138016913e-4,1.626450340456284e-4,LGALS9/LGALS1/MRC1/ITGAV/TNFRSF4/SIGLEC1/ITGA2/CTSB,8
