module,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
5,GO:0007599,hemostasis,32/487,241/18986,0.13278008298755187,5.176514693227227,10.58706227479265,2.3722362475269002e-14,1.0713018893831481e-10,7.738484348511434e-11,CD40LG/GP5/FGA/PDGFB/PDGFA/SERPING1/TREML1/SERPINE2/PF4/GP6/F2R/HPSE/GP1BA/MPIG6B/LYN/GPI/C4BPB/AP3B1/PLA2G4A/F11/PTPN6/DGKA/SRC/PRKG1/STXBP1/CD59/GP1BB/VAV3/NFE2/TFPI2/SH2B3/ANXA2,32
5,GO:0050900,leukocyte migration,41/487,404/18986,0.10148514851485149,3.956462073312054,9.745686164506022,5.947709155425444e-14,1.3429927272950654e-10,9.70102666982287e-11,IL1B/PDGFB/ITGA6/APP/PPBP/PF4/CCL5/GP1BA/CXCL16/LYN/PPIB/LGALS3/MIF/LBP/CD69/FADD/IRAK4/CRKL/CCL18/MDK/BCR/STAT5B/CCL20/LGMN/JAM3/CCL26/C5/SRC/CXCL3/CXCL11/TREM2/CCL28/CCL3/VAV3/CXCL5/CCL13/ADAM8/AIF1/CCL11/VEGFB/TNF,41
5,GO:0050817,coagulation,31/487,241/18986,0.12863070539419086,5.014748609063877,10.177000840131832,1.4602052621151101e-13,1.7674051939123068e-10,1.2766744431341753e-10,CD40LG/GP5/FGA/PDGFB/ANGPT1/PDGFA/SERPING1/TREML1/SERPINE2/PF4/GP6/F2R/HPSE/GP1BA/MPIG6B/LYN/C4BPB/AP3B1/PLA2G4A/F11/PTPN6/DGKA/SRC/PRKG1/STXBP1/CD59/GP1BB/VAV3/TFPI2/SH2B3/ANXA2,31
5,GO:0097529,myeloid leukocyte migration,31/487,243/18986,0.12757201646090535,4.97347495796047,10.114623456768562,1.830762293358177e-13,1.7674051939123068e-10,1.2766744431341753e-10,IL1B/PDGFB/APP/PPBP/PF4/CCL5/LYN/PPIB/LGALS3/MIF/LBP/IRAK4/CCL18/MDK/BCR/STAT5B/LGMN/JAM3/CCL26/C5/CXCL3/CXCL11/TREM2/CCL3/VAV3/CXCL5/CCL13/ADAM8/AIF1/CCL11/VEGFB,31
5,GO:0006959,humoral immune response,35/487,310/18986,0.11290322580645161,4.401602967476982,9.797565851599723,1.9568259454299233e-13,1.7674051939123068e-10,1.2766744431341753e-10,FGA/IL1B/APP/CFHR5/SERPING1/C2/PPBP/PF4/CCL5/LGALS3/GPI/C4BPB/CCL18/CCL17/IL7/CCL20/PTPN6/RGCC/CCL26/PGLYRP1/C5/CXCL3/C8B/MMP7/CD59/CXCL11/TREM2/CCL28/CCL3/B2M/CXCL5/CCL13/CCL11/C1R/TNF,35
5,GO:0007596,blood coagulation,30/487,234/18986,0.1282051282051282,4.998157215816353,9.984806528941814,3.976739178386909e-13,2.9931590215992134e-10,2.1620903006703561e-10,CD40LG/GP5/FGA/PDGFB/PDGFA/SERPING1/TREML1/SERPINE2/PF4/GP6/F2R/HPSE/GP1BA/MPIG6B/LYN/C4BPB/AP3B1/PLA2G4A/F11/PTPN6/DGKA/SRC/PRKG1/STXBP1/CD59/GP1BB/VAV3/TFPI2/SH2B3/ANXA2,30
5,GO:0006935,chemotaxis,43/487,472/18986,0.09110169491525423,3.5516566317474676,9.108330003555158,5.901605944728131e-13,3.807378920913177e-10,2.750237116197365e-10,IL1B/PDGFB/ANGPT1/PDGFA/APP/SEMA4D/PPBP/PF4/CCL5/CXCL16/PLXNB3/LYN/PPIB/LGALS3/PLXNA4/MIF/LBP/MAP2K1/CRKL/CCL18/MDK/PPM1F/S100A4/CCL17/CCL20/LGMN/JAM3/CCL26/C5/CXCL3/CXCL11/TREM2/TYMP/CCL28/CCL3/VAV3/CXCL5/CCL13/BIN2/ADAM8/AIF1/CCL11/VEGFB,43
5,GO:0042330,taxis,43/487,474/18986,0.09071729957805907,3.5366707387865084,9.07449058541735,6.81113320044587e-13,3.844884691651694e-10,2.7773291826554935e-10,IL1B/PDGFB/ANGPT1/PDGFA/APP/SEMA4D/PPBP/PF4/CCL5/CXCL16/PLXNB3/LYN/PPIB/LGALS3/PLXNA4/MIF/LBP/MAP2K1/CRKL/CCL18/MDK/PPM1F/S100A4/CCL17/CCL20/LGMN/JAM3/CCL26/C5/CXCL3/CXCL11/TREM2/TYMP/CCL28/CCL3/VAV3/CXCL5/CCL13/BIN2/ADAM8/AIF1/CCL11/VEGFB,43
5,GO:0060326,cell chemotaxis,34/487,328/18986,0.10365853658536585,4.041192968397857,9.01454913623692,4.982284438964617e-12,2.4999996140404677e-9,1.8058595878773508e-9,IL1B/PDGFB/APP/PPBP/PF4/CCL5/CXCL16/PLXNB3/LYN/PPIB/LGALS3/MIF/LBP/CRKL/CCL18/MDK/CCL17/CCL20/LGMN/JAM3/CCL26/C5/CXCL3/CXCL11/CCL28/CCL3/VAV3/CXCL5/CCL13/BIN2/ADAM8/AIF1/CCL11/VEGFB,34
5,GO:0042060,wound healing,40/487,444/18986,0.09009009009009009,3.512218584087167,8.690930477096604,5.603794654429247e-12,2.530673665940248e-9,1.8280168035869722e-9,CD40LG/GP5/FGA/EREG/SDC4/PDGFB/PDGFA/SERPING1/TREML1/SERPINE2/PF4/GP6/F2R/HPSE/GP1BA/MPIG6B/LYN/VPS4B/C4BPB/CHMP1A/LRG1/AP3B1/PLA2G4A/CASP7/F11/PTPN6/SYTL4/DGKA/RHOC/SRC/PRKG1/STXBP1/CD59/GP1BB/VAV3/TFPI2/SH2B3/VEGFB/TNF/ANXA2,40
5,GO:0042327,positive regulation of phosphorylation,41/487,479/18986,0.08559498956158663,3.3369742747767637,8.405224758613684,1.533645767508496e-11,6.296312987334881e-9,4.548103572735721e-9,MMP9/IL1B/EREG/PDGFB/EGF/ANGPT1/ITGA6/PDGFA/APP/SEMA4D/LILRA5/LAT/HCLS1/MYDGF/CCL5/LYN/ERP29/MIF/DAB2/EIF4G1/PARK7/STK11/MAP2K1/CRKL/PIBF1/RSPO1/FLT4/RGCC/SRC/STK4/AXIN1/SPRY2/PTPN1/CTF1/BANK1/TREM2/PDE5A/ARL2BP/VEGFB/TNF/MAVS,41
5,GO:2001233,regulation of apoptotic signaling pathway,37/487,403/18986,0.09181141439205956,3.5793254900362275,8.49173464932506,2.083870554821559e-11,7.8422995213118e-9,5.664837587185974e-9,MMP9/CD40LG/FGA/IL1B/BID/ITGA6/APP/BDNF/TRIAP1/PF4/LGALS3/ERP29/MIF/FXN/PARK7/HSPA1A/FADD/CRADD/ENO1/NCK2/BCL2L1/IL7/HTRA2/BAX/SRC/CDKN2D/CASP2/STK4/PTPN1/HNRNPK/TREM2/INHBB/PPIF/TNFSF12/COL2A1/SOD1/TNF,37
5,GO:0030595,leukocyte chemotaxis,28/487,240/18986,0.11666666666666667,4.548323066392881,8.975737110765778,2.4407348834129453e-11,8.4787374873022e-9,6.1245646993495685e-9,IL1B/PDGFB/APP/PPBP/PF4/CCL5/CXCL16/LYN/PPIB/LGALS3/MIF/LBP/CCL18/MDK/LGMN/JAM3/CCL26/C5/CXCL3/CXCL11/CCL3/VAV3/CXCL5/CCL13/ADAM8/AIF1/CCL11/VEGFB,28
5,GO:0032496,response to lipopolysaccharide,34/487,354/18986,0.096045197740113,3.744382185408184,8.456918395797283,4.1186391630157034e-11,1.3285553185842083e-8,9.596738921944108e-9,MMP8/MMP9/IL1B/C2/PPBP/PF4/F2R/CASP1/CD14/LYN/MIF/LBP/IRAK4/CASP3/CASP7/PLSCR3/PRDX3/BCR/ERBIN/SRC/CXCL3/CNP/TNIP1/ACP5/CASP8/CXCL11/TREM2/NFKB1/MAPKAPK2/B2M/CXCL5/IRAK1/GIT1/TNF,34
5,GO:0001934,positive regulation of protein phosphorylation,39/487,455/18986,0.08571428571428572,3.3416251100029335,8.202935411043635,4.716572401578325e-11,1.420002731035181e-8,1.0257303770169283e-8,MMP9/IL1B/EREG/PDGFB/EGF/ANGPT1/PDGFA/APP/SEMA4D/LILRA5/LAT/HCLS1/MYDGF/LYN/ERP29/MIF/DAB2/EIF4G1/PARK7/STK11/MAP2K1/CRKL/PIBF1/RSPO1/FLT4/RGCC/SRC/STK4/AXIN1/SPRY2/PTPN1/CTF1/BANK1/TREM2/PDE5A/ARL2BP/VEGFB/TNF/MAVS,39
5,GO:0050878,regulation of body fluid levels,35/487,381/18986,0.09186351706036745,3.581356745191245,8.258312907733686,7.29504419289146e-11,2.0590262234436146e-8,1.4873251285375416e-8,CD40LG/GP5/FGA/PDGFB/PDGFA/SERPING1/TREML1/SERPINE2/PF4/GP6/F2R/HPSE/GP1BA/MPIG6B/LYN/GPI/VAMP8/C4BPB/AP3B1/PLA2G4A/STAT5B/F11/PTPN6/DGKA/SRC/PRKG1/STXBP1/CD59/GP1BB/VAV3/NFE2/TFPI2/SH2B3/ANXA2/BTC,35
5,GO:0030168,platelet activation,21/487,141/18986,0.14893617021276595,5.8063698719909125,9.294463564600859,8.20006285049312e-11,2.1774352936203328e-8,1.5728572036104168e-8,CD40LG/GP5/FGA/PDGFB/PDGFA/TREML1/SERPINE2/PF4/GP6/F2R/GP1BA/LYN/PLA2G4A/PTPN6/DGKA/SRC/PRKG1/STXBP1/GP1BB/VAV3/SH2B3,21
5,GO:0051402,neuron apoptotic process,31/487,307/18986,0.10097719869706841,3.9366593315452585,8.416695214069687,8.678882924084586e-11,2.1774352936203328e-8,1.5728572036104168e-8,BID/ANGPT1/APP/BDNF/F2R/GPI/PARK7/FADD/SRPK2/BCL2L1/AKT2/MDK/DIABLO/CASP3/CASP7/HTRA2/LGMN/BAX/STAMBP/CASP2/GRN/STXBP1/CASP8/TREM2/CCL3/AKT1S1/ADAM8/CASP10/VEGFB/SOD1/TNF,31
5,GO:0002237,response to molecule of bacterial origin,34/487,375/18986,0.09066666666666667,3.5346967830253258,8.043636720824896,1.9526765274076172e-10,4.641203788301473e-8,3.35254546173751e-8,MMP8/MMP9/IL1B/C2/PPBP/PF4/F2R/CASP1/CD14/LYN/MIF/LBP/IRAK4/CASP3/CASP7/PLSCR3/PRDX3/BCR/ERBIN/SRC/CXCL3/CNP/TNIP1/ACP5/CASP8/CXCL11/TREM2/NFKB1/MAPKAPK2/B2M/CXCL5/IRAK1/GIT1/TNF,34
5,GO:1903034,regulation of response to wounding,23/487,181/18986,0.1270718232044199,4.953974610593668,8.67225720765464,2.7370415673056627e-10,6.180239858976187e-8,4.464258851094867e-8,FGA/PDGFB/PDGFA/SERPING1/SCARF1/SERPINE2/PF4/F2R/HPSE/GP1BA/MAP2K1/MDK/F11/PTPN6/STK24/GRN/PRKG1/FKBP1B/SH2B3/VEGFB/GIT1/TNF/ANXA2,23
5,GO:0052547,regulation of peptidase activity,32/487,346/18986,0.09248554913294797,3.605607055109138,7.936329161734101,4.104504102166543e-10,8.826638345421004e-8,6.37586877825269e-8,MMP9/APP/ITIH4/SERPING1/SERPINE2/SERPINA3/TRIAP1/F2R/VSIR/CASP1/SERPINB6/SPINT2/SERPINB1/LYN/FADD/CRADD/PEBP1/DIABLO/PPM1F/HTRA2/LGMN/DNAJB6/SERPINH1/SRC/UBXN1/CDKN2D/GRN/CASP8/PZP/TFPI2/SPINK2/TNF,32
5,GO:0050866,negative regulation of cell activation,25/487,219/18986,0.1141552511415525,4.450413959288533,8.332810159805904,4.6201087931359786e-10,9.140518009987456e-8,6.60259785393481e-8,CD84/SDC4/PDGFB/PDGFA/SERPINE2/VSIR/TNFAIP8L2/CLEC4G/LYN/LGALS3/CD69/MDK/CASP3/ADGRF5/PIBF1/PTPN6/PRKAR1A/PGLYRP1/GRN/PRKG1/IL2RA/BANK1/TREM2/PDE5A/SH2B3,25
5,GO:0043523,regulation of neuron apoptotic process,27/487,254/18986,0.1062992125984252,4.144141376578442,8.185072014353828,4.6552682513222205e-10,9.140518009987456e-8,6.60259785393481e-8,ANGPT1/APP/BDNF/F2R/GPI/PARK7/SRPK2/BCL2L1/MDK/CASP3/CASP7/HTRA2/LGMN/BAX/STAMBP/CASP2/GRN/STXBP1/CASP8/TREM2/CCL3/AKT1S1/ADAM8/CASP10/VEGFB/SOD1/TNF,27
5,GO:0051896,regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,28/487,280/18986,0.1,3.898562628336756,7.928059379965381,9.012268077094546e-10,1.6958084431732904e-7,1.2249569636366666e-7,PDGFB/EGF/ANGPT1/PDGFA/APP/SEMA4D/SERPINE2/HCLS1/F2R/HPSE/MYDGF/CCL5/PARK7/STK11/RRAS/PTPN6/STAMBP/SRC/SPRY2/PTPN1/BANK1/TREM2/CCL3/VAV3/ADAM8/SH2B3/VEGFB/TNF,28
5,GO:0045088,regulation of innate immune response,37/487,470/18986,0.07872340425531915,3.06908121805234,7.369678401622697,1.620777116656909e-9,2.9277717835290403e-7,2.1148582250609523e-7,EREG/APP/SERPING1/CD226/CASP1/CCL5/CD14/LYN/LBP/HSPA1A/FADD/AP3B1/IRAK4/STAT2/EIF2AK2/SIRT2/CDC37/ERBIN/STAT5B/MAP2K6/PTPN6/TARBP2/HEXIM1/SRC/GRN/PTPN1/TNIP1/GIGYF2/CASP8/TREM2/MAPKAPK2/ADAM8/IRAK1/TRIM25/TNF/MAVS/TAX1BP1,37
5,GO:0070098,chemokine-mediated signaling pathway,16/487,93/18986,0.17204301075268819,6.707204521869687,8.951794487362703,1.7032756537321732e-9,2.9584587893286515e-7,2.137024797941702e-7,PPBP/PF4/CCL5/LYN/CCL18/CCL17/CCL20/CCL26/CXCL3/CXCL11/TREM2/CCL3/CXCL5/CCL13/CCL11/SH2B3,16
5,GO:0061844,antimicrobial humoral immune response mediated by antimicrobial peptide,19/487,136/18986,0.13970588235294118,5.44652131899988,8.443641989977543,1.98429329463827e-9,3.3189142661431215e-7,2.3973976296623773e-7,APP/PPBP/PF4/CCL5/LGALS3/CCL18/CCL17/CCL20/CCL26/PGLYRP1/CXCL3/MMP7/CXCL11/CCL28/CCL3/B2M/CXCL5/CCL13/CCL11,19
